Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,1,82,2023-06-30,KCR,,LAD,"L,3-9",GS-5,L(0-1),99,4.0,6,5,5,4,5,2,0,11.25,10.26,22,95,54,14,8,2,11,5,1,0,31.0,,,1,0,0,18,1,1,0,0,0,0,0.82,-0.322,0.0,0.00%,-3.28,3.0,12.0,1t start tie,5t 1-3 0 out d2,,2023-06-30,118,119,717553
2,2,87,2023-07-05,KCR,@,MIN,"L,0-5",GS-5,L(0-2),4,5.0,3,3,2,3,5,1,1,7.0,8.03,20,91,60,18,13,3,8,3,0,0,53.0,,,1,0,2,16,0,0,0,0,0,0,0.71,-0.109,0.0,0.00%,-0.42,13.05,24.0,1b start tie,5b 3 out d3,,2023-07-05,118,142,717482
3,3,92,2023-07-15,KCR,,TBR,"L,1-6",GS-6,L(0-3),9,6.0,5,2,2,1,11,2,0,5.4,6.59,24,92,61,9,12,3,9,4,0,0,64.0,,,1,0,0,23,1,0,0,0,0,0,0.83,0.073,0.0,0.00%,1.1,27.9,49.0,1t start tie,6t 3 out d1,1.0,2023-07-15,118,139,717411
4,4,99,2023-07-21,KCR,@,NYY,"L,4-5",GS-6,L(0-4),5,5.1,5,5,5,2,3,3,2,6.2,7.93,25,97,67,16,14,7,11,3,2,0,39.0,,,0,0,0,21,0,0,0,1,0,0,0.81,-0.378,0.0,0.00%,-2.81,2.6,10.0,1b start tie,6b 12- 1 out d2,,2023-07-21,118,147,717318
5,5,104,2023-07-26,KCR,@,CLE,"L,3-8",GS-3,L(0-5),4,2.2,5,4,4,4,3,1,1,7.04,8.34,18,75,42,11,7,3,7,4,1,0,31.0,,,3,0,0,13,0,0,0,0,0,0,0.78,-0.214,0.0,0.00%,-2.28,-2.0,5.0,1b start tie,3b 123 2 out d3,,2023-07-26,118,114,717249
6,6,108,2023-08-01,KCR,,NYM,"W,7-6",6-6,,5,1.0,0,0,0,1,1,0,0,6.75,8.17,4,21,13,2,4,1,1,0,1,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,1.06,0.076,0.0,0.00%,0.52,3.65,6.0,6t --- 0 out tie,6t 3 out tie,,2023-08-01,118,121,717170
7,7,112,2023-08-05,KCR,@,PHI,"L,6-9",GS-4,,3,4.0,6,3,3,2,4,1,0,6.75,7.86,18,66,42,14,8,5,7,3,0,0,40.0,,,0,0,0,16,1,0,0,1,0,0,0.89,-0.116,0.0,0.00%,-0.92,6.2,15.0,1b start tie,4b 3 out d1,,2023-08-05,118,143,717123
8,8,117,2023-08-10,KCR,@,BOS,"L,0-2",4-GF(8),L(0-6),4,5.0,6,2,2,2,3,0,0,6.27,7.16,22,91,56,12,9,6,11,4,0,0,,0.0,0.0,0,1,0,19,4,0,0,0,1,0,0.79,-0.064,0.0,0.00%,0.71,8.45,18.0,4b --- 0 out tie,8b end d 2,,2023-08-10,118,111,717051
9,9,122,2023-08-16,KCR,,SEA,"L,5-6",2-6,,5,5.0,4,1,1,5,6,0,1,5.68,6.81,25,97,58,17,14,5,8,3,1,0,,0.0,0.0,3,0,0,19,2,0,0,0,0,0,1.1,0.153,0.0,0.00%,1.58,15.25,30.0,2t --- 0 out d2,6t 3 out d1,,2023-08-16,118,136,716963
10,10,127,2023-08-21,KCR,@,OAK,"L,4-6",2-7,,4,5.2,5,3,3,1,9,2,2,5.56,6.74,25,90,54,15,15,3,10,4,0,0,,1.0,0.0,0,0,0,22,1,0,0,0,0,0,0.87,-0.115,0.0,0.00%,-0.15,19.95,35.0,2b 1-- 1 out tie,7b 3 out d2,,2023-08-21,118,133,716904
11,11,132,2023-08-27,KCR,@,SEA,"L,2-3",GS-6,L(0-7),5,5.2,5,3,3,2,9,2,1,5.47,6.68,24,101,63,15,16,5,7,3,1,0,54.0,,,1,0,0,21,0,0,0,1,0,0,0.77,-0.078,0.0,0.00%,-0.31,19.95,35.0,1b start tie,6b 1-- 2 out d3,,2023-08-27,118,136,716820
