Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,259,3,2021-04-04,STL,@,CIN,"L,1-12",GS-5,L(0-1),99,5.0,4,4,4,2,4,1,0,7.20,5.37,21,77,50,16,10,9,6,2,1,0,45,,,0,0,0,19,0,1,0,0,0,0,1.11,-0.187,1.21,-0.12%,-1.19,,,1b start tie,5b 3 out d3,,2021-04-04,138,113,634560
2,260,8,2021-04-10,STL,,MIL,"L,5-9",GS-5,L(0-2),5,5.0,8,3,3,0,1,1,0,6.30,5.37,23,83,57,12,5,11,11,5,1,0,40,,,1,0,0,23,0,0,0,0,0,0,.86,-0.094,1.03,-0.07%,-0.60,,,1t start tie,5t 3 out d3,,2021-04-10,138,158,632222
3,261,13,2021-04-16,STL,@,PHI,"L,2-9",GS-5,L(0-3),5,5.0,5,6,6,2,5,0,2,7.80,4.77,24,,,15,6,6,9,2,1,0,36,,,0,0,0,20,2,0,1,0,0,0,.63,-0.324,.61,-0.19%,-3.47,,,1b start tie,5b 3 out d6,,2021-04-16,138,143,634474
4,262,18,2021-04-21,STL,@,WSN,"L,0-1",GS-6,L(0-4),4,6.0,4,1,1,1,3,0,0,6.00,4.17,23,91,62,15,10,9,10,5,1,0,62,,,1,0,0,22,2,0,0,1,0,1,.98,0.164,.89,0.09%,1.91,,,1b start tie,6b 3 out d1,,2021-04-21,138,120,634405
5,263,23,2021-04-27,STL,,PHI,"W,5-2",GS-8,W(1-4),5,7.1,2,2,1,2,4,0,0,4.76,3.84,27,93,57,14,9,9,12,3,4,0,70,,,0,0,0,24,1,0,0,0,1,1,.99,0.232,.98,0.14%,1.33,,,1t start tie,8t 1-- 1 out a3,,2021-04-27,138,143,634318
6,264,28,2021-05-02,STL,@,PIT,"W,3-0",GS-8,W(2-4),4,8.0,5,0,0,2,3,0,2,3.72,3.86,30,,,17,6,12,11,4,1,0,73,,,0,0,0,26,2,0,0,2,0,0,.96,0.411,1.21,0.31%,4.05,,,1b start tie,8b 3 out a3,,2021-05-02,138,134,634260
7,265,34,2021-05-08,STL,,COL,"W,9-8",GS-5,W(3-4),5,5.0,6,5,5,5,2,0,0,4.35,4.04,26,,,17,4,11,8,3,1,0,32,,,0,0,0,21,3,0,0,0,0,0,1.32,-0.266,1.60,-0.19%,-2.60,,,1t start tie,5t 3 out tie,,2021-05-08,138,115,634165
8,266,44,2021-05-21,STL,,CHC,"L,3-12",GS-6,,12,6.0,4,2,2,1,2,1,3,4.18,4.37,25,,,10,6,13,6,3,0,0,57,,,0,0,0,19,1,0,0,1,1,0,1.08,0.051,1.71,0.05%,0.88,,,1t start tie,6t 3 out d1,,2021-05-21,138,112,634022
9,267,50,2021-05-27,STL,@,ARI,"W,5-4",GS-7,,5,6.0,3,3,3,1,6,0,1,4.22,4.13,22,86,55,17,7,7,7,6,0,0,59,,,0,0,0,20,1,0,0,0,0,0,.83,0.029,1.07,0.02%,0.55,,,1b start tie,7b -23 0 out a3,,2021-05-27,138,109,633914
10,268,56,2021-06-02,STL,@,LAD,"L,3-14",GS-1,L(3-5),5,0.2,6,10,10,4,1,0,0,5.83,4.30,12,,,3,1,2,5,2,0,0,-3,,,1,0,0,8,1,0,0,0,0,0,.84,-0.490,1.17,-0.41%,-7.26,,,1b start a 1,1b 123 2 out d6,,2021-06-02,138,119,633988
11,269,61,2021-06-08,STL,,CLE,"L,1-10",GS-4,L(3-6),5,4.0,7,5,5,1,7,1,0,6.21,4.26,20,71,50,14,12,5,7,3,1,0,34,,,0,0,0,19,0,1,0,0,0,0,.58,-0.288,.63,-0.19%,-3.08,,,1t start tie,4t 3 out d5,,2021-06-08,138,114,633778
12,270,65,2021-06-13,STL,@,CHC,"L,0-2",GS-7,L(3-7),4,7.0,5,2,2,1,6,0,0,5.82,4.00,28,97,67,21,12,11,10,6,1,0,64,,,0,0,0,27,1,0,0,0,0,0,.71,0.043,.77,0.03%,1.54,,,1b start tie,7b 3 out d2,,2021-06-13,138,112,633689
13,271,70,2021-06-18,STL,@,ATL,"L,1-9",GS-4,L(3-8),4,3.0,8,8,8,4,3,2,2,6.62,4.52,21,68,39,10,7,4,8,4,0,0,10,,,1,1,0,15,1,0,0,1,0,0,.74,-0.394,.74,-0.24%,-5.90,,,1b start a 1,4b -23 0 out d5,,2021-06-18,138,144,633607
14,272,75,2021-06-24,STL,,PIT,"L,2-8",GS-5,L(3-9),5,5.0,5,5,5,7,2,1,0,6.78,4.84,26,,,13,4,13,4,2,0,0,32,,,0,0,0,19,1,0,1,1,0,0,1.16,-0.296,.85,-0.13%,-2.60,,,1t start tie,5t 3 out d4,,2021-06-24,138,134,633502
15,273,80,2021-06-29,STL,,ARI,"W,3-2",GS-6,W(4-9),4,6.0,4,1,1,2,6,0,0,6.38,4.64,23,87,54,23,6,6,9,4,1,0,64,,,0,0,0,21,1,0,0,0,0,0,1.28,0.233,.72,0.08%,1.88,,,1t start tie,6t 3 out a1,,2021-06-29,138,109,633508
16,274,85,2021-07-04,STL,@,COL,"L,2-3",GS-4,,4,3.1,1,1,1,1,2,1,1,6.23,4.76,12,43,24,6,3,6,2,0,0,0,55,,,0,0,0,10,0,0,0,1,0,0,1.00,0.106,.56,0.04%,1.00,,,1b start tie,4b --- 1 out a1,,2021-07-04,138,115,633434
