Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,164,2021-04-01,ATL,@,PHI,"L,2-3",8-8,,99,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.17,4.0,,,3,4,1,2,2,0,0,,0,0,1,0,0,4,0.0,0.0,0.0,0,0,0,2.45,0.107,2.56,0.07%,0.51,,,8b --- 0 out tie,8b 3 out tie,,2021-04-01,144,143,634622,2021,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,165,2021-04-04,ATL,@,PHI,"L,1-2",8-8,L(0-1),2,0.2,3.0,1.0,1.0,1.0,0.0,0.0,0,5.4,3.77,6.0,17.0,9.0,3,0,1,4,3,0,0,,0,0,0,0,0,5,0.0,0.0,1.0,0,0,0,1.91,-0.27,1.88,-0.16%,-1.27,,,8b --- 0 out tie,8b 123 2 out d1,,2021-04-04,144,143,634617,2021,0.667,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
3,166,2021-05-13,ATL,,TOR,"L,4-8",7-7,H(1),38,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,3.38,2.8,3.0,12.0,8.0,2,2,0,2,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,1.26,0.098,1.11,0.05%,0.53,,,7t --- 0 out a1,7t 3 out a1,,2021-05-13,144,141,634114,2021,1.0,1.667,4.0,10.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,5.4,3.0,1.667,4.0,10.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,5.4,3.0,1.667,4.0,10.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,5.4,3.0
4,167,2021-05-15,ATL,@,MIL,"W,5-1",8-8,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.45,2.9,3.0,11.0,8.0,3,0,1,2,1,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.38,0.028,0.36,0.02%,0.51,,,8b --- 0 out a4,8b 3 out a4,,2021-05-15,144,158,634106,2021,1.0,2.667,4.0,13.0,0.0,1.0,1.0,1.0,2.0,0.0,4.0,3.375,1.875,2.667,4.0,13.0,0.0,1.0,1.0,1.0,2.0,0.0,4.0,3.375,1.875,2.667,4.0,13.0,0.0,1.0,1.0,1.0,2.0,0.0,4.0,3.375,1.875
5,168,2021-05-19,ATL,,NYM,"W,5-4",8-8,,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.93,2.53,3.0,,,1,1,2,0,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.72,0.056,0.74,0.03%,0.53,,,8t --- 0 out d1,8t 3 out d1,,2021-05-19,144,121,634066,2021,1.0,3.667,4.0,16.0,0.0,1.0,1.0,1.0,2.0,0.0,4.0,2.455,1.364,3.667,4.0,16.0,0.0,1.0,1.0,1.0,2.0,0.0,4.0,2.455,1.364,3.667,4.0,16.0,0.0,1.0,1.0,1.0,2.0,0.0,4.0,2.455,1.364
6,169,2021-05-20,ATL,,PIT,"L,4-6",9-9,,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.59,2.64,4.0,21.0,15.0,4,1,2,2,1,0,0,,0,0,0,0,0,4,0.0,0.0,0.0,0,0,0,2.41,0.144,2.06,0.07%,0.53,,,9t --- 0 out tie,9t 3 out tie,,2021-05-20,144,134,634041,2021,1.0,4.667,4.0,19.0,0.0,1.0,1.0,1.0,3.0,0.0,4.0,1.929,1.071,4.667,4.0,19.0,0.0,1.0,1.0,1.0,3.0,0.0,4.0,1.929,1.071,4.667,4.0,19.0,0.0,1.0,1.0,1.0,3.0,0.0,4.0,1.929,1.071
7,170,2021-05-23,ATL,,PIT,"W,7-1",8-8,,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.35,2.42,3.0,13.0,8.0,2,3,1,1,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.09,0.007,0.08,0.00%,0.53,,,8t --- 0 out a6,8t 3 out a6,,2021-05-23,144,134,634060,2021,1.0,5.667,5.0,23.0,0.0,1.0,1.0,1.0,3.0,0.0,5.0,1.588,1.059,4.667,4.0,19.0,0.0,1.0,1.0,1.0,2.0,0.0,4.0,1.929,1.071,5.667,5.0,23.0,0.0,1.0,1.0,1.0,3.0,0.0,5.0,1.588,1.059
8,171,2021-05-31,ATL,,WSN,"W,5-3",8-8,H(2),7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.17,2.26,3.0,9.0,8.0,3,1,1,1,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,1.01,0.078,1.0,0.05%,0.53,,,8t --- 0 out a2,8t 3 out a2,,2021-05-31,144,120,633917,2021,1.0,6.667,5.0,26.0,0.0,1.0,1.0,1.0,4.0,0.0,5.0,1.35,0.9,5.0,1.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.2,6.667,5.0,26.0,0.0,1.0,1.0,1.0,4.0,0.0,5.0,1.35,0.9
9,172,2021-06-02,ATL,,WSN,"L,3-5",9-GF,,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,2.08,2.48,5.0,18.0,13.0,3,0,2,1,0,0,0,,0,0,2,0,0,4,0.0,0.0,0.0,0,0,0,0.59,-0.071,0.58,-0.04%,-0.47,,,9t --- 0 out d1,9t end d 2,,2021-06-02,144,120,633883,2021,1.0,7.667,5.0,29.0,0.0,1.0,1.0,1.0,5.0,0.0,5.0,1.174,0.783,5.0,1.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.2,7.667,5.0,29.0,0.0,1.0,1.0,1.0,5.0,0.0,5.0,1.174,0.783
10,173,2021-06-05,ATL,,LAD,"W,6-4",8-8,H(3),2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.86,2.86,4.0,14.0,11.0,0,2,1,2,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,1.84,0.078,1.7,0.04%,0.53,,,8t --- 0 out a2,8t 3 out a2,,2021-06-05,144,119,633828,2021,1.0,8.667,6.0,34.0,0.0,2.0,2.0,1.0,6.0,0.0,6.0,2.077,0.808,5.0,2.0,18.0,0.0,1.0,1.0,0.0,4.0,0.0,2.0,1.8,0.4,8.667,6.0,34.0,0.0,2.0,2.0,1.0,6.0,0.0,6.0,2.077,0.808
