Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,27,2021-04-05,LAD,@,OAK,"W,10-3",GS-6,W(1-0),99,6.0,2.0,0.0,0.0,2.0,8.0,0.0,0,0.0,1.5,23.0,85.0,57.0,13,15,8,5,3,0,0,74,,,0,0,0,21,0.0,0.0,0.0,0,0,1,0.55,0.132,0.57,0.08%,2.97,,,1b start tie,6b 3 out a7,,2021-04-05,119,133,634600,2021,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,28,2021-04-14,LAD,,COL,"W,4-2",GS-5,,8,4.1,7.0,2.0,2.0,1.0,6.0,0.0,0,1.74,1.33,21.0,71.0,47.0,14,7,8,6,4,0,0,46,,,0,0,0,20,1.0,0.0,0.0,0,0,0,1.04,-0.017,1.33,-0.01%,0.03,,,1t start tie,5t 123 1 out a2,,2021-04-14,119,115,634614,2021,4.333,6.0,2.0,23.0,0.0,0.0,0.0,2.0,8.0,0.0,2.0,0.0,0.667,6.0,2.0,23.0,0.0,0.0,0.0,2.0,8.0,0.0,2.0,0.0,0.667,6.0,2.0,23.0,0.0,0.0,0.0,2.0,8.0,0.0,2.0,0.0,0.667,6.0,2.0,23.0,0.0,0.0,0.0,2.0,8.0,0.0,2.0,0.0,0.667,6.0,2.0,23.0,0.0,0.0,0.0,2.0,8.0,0.0,2.0,0.0,0.667
3,29,2021-04-19,LAD,@,SEA,"L,3-4",GS-5,L(1-1),4,5.0,4.0,4.0,3.0,1.0,8.0,2.0,1,2.93,2.97,21.0,92.0,59.0,18,13,6,5,3,0,0,52,,,0,1,0,19,1.0,0.0,0.0,0,0,1,0.59,-0.195,0.71,-0.14%,-1.52,,,1b start tie,5b 3 out d2,,2021-04-19,119,136,634421,2021,5.0,10.333,9.0,44.0,0.0,2.0,2.0,3.0,14.0,1.0,10.0,1.742,1.161,10.333,9.0,44.0,0.0,2.0,2.0,3.0,14.0,1.0,10.0,1.742,1.161,10.333,9.0,44.0,0.0,2.0,2.0,3.0,14.0,1.0,10.0,1.742,1.161,10.333,9.0,44.0,0.0,2.0,2.0,3.0,14.0,1.0,10.0,1.742,1.161,10.333,9.0,44.0,0.0,2.0,2.0,3.0,14.0,1.0,10.0,1.742,1.161
4,30,2021-04-25,LAD,,SDP,"L,7-8",GS-6,,5,6.0,2.0,1.0,1.0,1.0,10.0,1.0,0,2.53,2.84,21.0,,,24,13,6,4,1,1,0,73,,,2,0,0,20,0.0,0.0,0.0,0,0,0,1.16,0.269,1.65,0.23%,2.16,,,1t start tie,6t 3 out a1,,2021-04-25,119,135,634356,2021,6.0,15.333,13.0,65.0,2.0,6.0,5.0,4.0,22.0,4.0,21.0,2.935,1.109,15.333,13.0,65.0,2.0,6.0,5.0,4.0,22.0,4.0,21.0,2.935,1.109,15.333,13.0,65.0,2.0,6.0,5.0,4.0,22.0,4.0,21.0,2.935,1.109,15.333,13.0,65.0,2.0,6.0,5.0,4.0,22.0,4.0,21.0,2.935,1.109,15.333,13.0,65.0,2.0,6.0,5.0,4.0,22.0,4.0,21.0,2.935,1.109
5,31,2021-05-01,LAD,@,MIL,"L,5-6",GS-2,,5,1.2,1.0,1.0,1.0,1.0,3.0,1.0,0,2.74,3.3,7.0,,,4,4,1,2,0,0,0,51,,,0,0,0,6,0.0,0.0,0.0,0,0,0,0.65,-0.032,0.81,-0.02%,-0.22,,,1b start a 1,2b 1-- 2 out tie,,2021-05-01,119,158,634338,2021,1.667,21.333,15.0,86.0,3.0,7.0,6.0,5.0,32.0,5.0,26.0,2.531,0.938,21.333,15.0,86.0,3.0,7.0,6.0,5.0,32.0,5.0,26.0,2.531,0.938,21.333,15.0,86.0,3.0,7.0,6.0,5.0,32.0,5.0,26.0,2.531,0.938,15.333,13.0,63.0,3.0,7.0,6.0,3.0,24.0,5.0,24.0,3.522,1.043,21.333,15.0,86.0,3.0,7.0,6.0,5.0,32.0,5.0,26.0,2.531,0.938
1,32,2022-08-20,LAD,,MIA,"W,7-0",GS-5,W(1-0),99,5.0,1.0,0.0,0.0,2.0,9.0,0.0,0,0.0,0.71,18.0,71.0,48.0,16,11,5,2,1,1,0,72,,,1,0,0,16,0.0,0.0,0.0,0,0,0,0.76,0.156,0.02,0.00%,2.52,31.45,48.0,1t start tie,5t 3 out a7,,2022-08-20,119,146,662561,2022,5.0,23.0,16.0,93.0,4.0,8.0,7.0,6.0,35.0,6.0,30.0,2.739,0.957,23.0,16.0,93.0,4.0,8.0,7.0,6.0,35.0,6.0,30.0,2.739,0.957,23.0,16.0,93.0,4.0,8.0,7.0,6.0,35.0,6.0,30.0,2.739,0.957,12.667,7.0,49.0,4.0,6.0,5.0,3.0,21.0,5.0,20.0,3.553,0.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,33,2022-08-27,LAD,@,MIA,"L,1-2",GS-6,L(1-1),6,6.0,4.0,2.0,1.0,1.0,4.0,0.0,1,0.82,1.84,23.0,86.0,56.0,12,9,8,9,3,1,0,61,,,2,0,0,21,0.0,0.0,0.0,0,0,1,1.13,0.024,0.02,0.00%,0.96,15.9,31.0,1b start tie,6b 3 out d1,,2022-08-27,119,146,661354,2022,6.0,28.0,17.0,111.0,4.0,8.0,7.0,8.0,44.0,6.0,31.0,2.25,0.893,28.0,17.0,111.0,4.0,8.0,7.0,8.0,44.0,6.0,31.0,2.25,0.893,22.0,15.0,88.0,4.0,8.0,7.0,6.0,36.0,6.0,29.0,2.864,0.955,12.667,4.0,46.0,2.0,2.0,2.0,4.0,22.0,2.0,10.0,1.421,0.632,5.0,1.0,18.0,0.0,0.0,0.0,2.0,9.0,0.0,1.0,0.0,0.6
3,34,2022-09-02,LAD,,SDP,"L,1-7",GS-6,L(1-2),5,5.0,4.0,6.0,6.0,5.0,5.0,2.0,2,3.94,4.55,25.0,87.0,53.0,13,12,7,6,3,1,0,35,,,0,0,0,18,0.0,0.0,0.0,1,0,0,0.71,-0.228,0.01,0.00%,-2.48,2.65,12.0,1t start tie,6t 12- 0 out d4,,2022-09-02,119,135,662603,2022,5.0,34.0,21.0,134.0,4.0,10.0,8.0,9.0,48.0,6.0,35.0,2.118,0.882,34.0,21.0,134.0,4.0,10.0,8.0,9.0,48.0,6.0,35.0,2.118,0.882,23.667,12.0,90.0,4.0,8.0,6.0,6.0,34.0,5.0,25.0,2.282,0.761,12.667,6.0,48.0,1.0,3.0,2.0,4.0,16.0,1.0,9.0,1.421,0.789,11.0,5.0,41.0,0.0,2.0,1.0,3.0,13.0,0.0,5.0,0.818,0.727
4,35,2022-09-09,LAD,@,SDP,"L,4-5",GS-5,,6,5.0,5.0,4.0,3.0,3.0,3.0,1.0,1,4.29,5.11,24.0,,,11,7,6,11,5,2,0,43,,,0,0,0,20,0.0,0.0,0.0,1,0,1,1.32,-0.225,0.02,0.00%,-1.69,5.85,15.0,1b start a 1,5b 3 out tie,,2022-09-09,119,135,661850,2022,5.0,39.0,25.0,159.0,6.0,16.0,14.0,14.0,53.0,8.0,45.0,3.231,1.0,39.0,25.0,159.0,6.0,16.0,14.0,14.0,53.0,8.0,45.0,3.231,1.0,23.667,12.0,94.0,4.0,10.0,9.0,10.0,31.0,4.0,24.0,3.423,0.93,16.0,9.0,66.0,2.0,8.0,7.0,8.0,18.0,2.0,15.0,3.938,1.062,16.0,9.0,66.0,2.0,8.0,7.0,8.0,18.0,2.0,15.0,3.938,1.062
5,36,2022-09-16,LAD,@,SFG,"W,5-0",GS-5,W(2-2),6,5.0,0.0,0.0,0.0,1.0,4.0,0.0,0,3.46,4.54,15.0,69.0,40.0,11,9,7,3,1,0,0,70,,,0,0,0,14,0.0,0.0,0.0,1,0,0,0.68,0.235,0.01,0.00%,2.42,22.65,33.0,1b start tie,5b 3 out a4,,2022-09-16,119,137,662026,2022,5.0,44.0,30.0,183.0,7.0,20.0,17.0,17.0,56.0,9.0,53.0,3.477,1.068,44.0,30.0,183.0,7.0,20.0,17.0,17.0,56.0,9.0,53.0,3.477,1.068,22.667,15.0,97.0,4.0,13.0,11.0,12.0,24.0,4.0,27.0,4.368,1.191,16.0,13.0,72.0,3.0,12.0,10.0,9.0,12.0,3.0,22.0,5.625,1.375,21.0,14.0,90.0,3.0,12.0,10.0,11.0,21.0,3.0,23.0,4.286,1.19
