Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,95,3,2021-04-03,HOU,@,OAK,"W,9-1",GS-5,W(1-0),99,5.0,2,1,1,3,7,0,0,1.80,2.17,20,95,54,26,7,8,2,1,0,0,63,,,0,0,0,17,0,0,0,1,0,1,1.24,0.162,1.47,0.12%,1.48,,,1b start a 1,5b 3 out a4,,2021-04-03,117,133,634629
2,96,8,2021-04-09,HOU,,OAK,"L,2-6",GS-5,,5,5.0,2,1,1,3,6,1,1,1.80,3.97,21,88,50,17,13,6,5,2,0,0,62,,,0,1,0,17,0,0,0,0,0,0,1.13,0.156,1.41,0.12%,1.64,,,1t start tie,5t 3 out tie,,2021-04-09,117,133,634537
3,97,12,2021-04-14,HOU,,DET,"L,4-6",GS-4,L(1-1),4,3.2,4,6,6,3,3,0,2,5.27,4.41,19,87,46,15,12,5,6,3,0,0,29,,,0,0,0,14,2,0,0,0,0,0,.95,-0.175,1.02,-0.11%,-1.68,,,1t start tie,4t 123 2 out d3,,2021-04-14,117,116,634521
4,98,21,2021-04-25,HOU,,LAA,"L,2-4",GS-6,,10,6.0,3,2,2,2,5,0,1,4.58,3.98,24,106,61,21,9,7,9,4,1,0,61,,,0,0,0,21,0,0,0,0,0,0,1.12,0.051,1.14,0.03%,1.16,,,1t start tie,6t 3 out d2,,2021-04-25,117,108,634403
5,99,26,2021-04-30,HOU,@,TBR,"W,9-2",GS-7,W(2-1),4,7.0,3,0,0,3,9,0,0,3.38,3.43,26,111,72,13,21,7,7,3,1,0,77,,,0,1,0,23,1,0,0,0,0,0,.55,0.229,.58,0.14%,3.43,,,1b start a 1,7b 3 out a6,,2021-04-30,117,139,634275
6,100,31,2021-05-06,HOU,@,NYY,"W,7-4",GS-6,,5,6.0,6,3,3,4,8,2,0,3.58,4.06,28,105,63,20,14,9,7,5,0,0,52,,,0,0,0,24,1,0,0,0,0,0,.95,-0.090,.99,-0.06%,0.13,,,1b start tie,6b 3 out d2,,2021-05-06,117,147,634224
7,101,36,2021-05-11,HOU,,LAA,"W,5-1",GS-8,W(3-1),4,8.0,3,1,1,2,9,1,0,3.10,3.91,27,96,64,22,12,11,5,2,0,0,79,,,0,1,0,25,0,0,0,2,0,1,1.29,0.334,1.51,0.24%,3.22,,,1t start tie,8t 3 out tie,,2021-05-11,117,108,634156
8,102,41,2021-05-16,HOU,,TEX,"W,6-2",GS-6,,4,6.0,5,0,0,2,5,0,0,2.70,3.73,23,95,55,19,8,7,9,4,1,0,65,,,0,0,0,21,1,0,0,2,0,0,1.25,0.361,1.71,0.30%,3.16,,,1t start tie,6t 3 out a2,,2021-05-16,117,140,634068
9,103,46,2021-05-22,HOU,@,TEX,"L,4-8",GS-5,,5,5.0,6,3,3,4,7,1,0,2.96,3.89,26,105,71,23,9,7,8,1,3,0,46,,,0,0,0,22,1,0,0,0,0,0,1.39,-0.031,1.95,-0.03%,-0.39,,,1b start a 2,5b 3 out a1,,2021-05-22,117,140,634079
10,104,66,2021-06-15,HOU,,TEX,"W,6-3",GS-5,,23,4.1,3,2,1,3,3,0,0,2.89,3.88,21,77,40,12,5,11,4,1,1,0,51,,,0,0,0,18,1,0,0,0,0,1,1.01,-0.010,1.38,-0.01%,0.03,,,1t start tie,5t 123 1 out d1,,2021-06-15,117,140,633829
