Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,286,2021-07-16,STL,,SFG,"L,2-7",7-7,,99,0.2,1.0,1.0,1.0,0.0,0.0,1.0,0,13.5,22.67,3.0,,,1,0,1,2,1,0,0,,2,2,0,0,0,3,0.0,0.0,0.0,0,0,0,0.46,-0.068,0.29,-0.03%,-2.11,,,7t 12- 1 out d3,7t 3 out d6,,2021-07-16,138,137,633285,2021,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,287,2021-07-19,STL,,CHC,"W,8-3",6-6,,2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,9.0,16.17,1.0,1.0,1.0,0,0,1,0,0,0,0,,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0.46,0.013,0.31,0.01%,0.22,,,6t 1-- 2 out a4,6t 3 out a4,,2021-07-19,138,112,633226,2021,0.333,0.667,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,13.5,1.5,0.667,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,13.5,1.5,0.667,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,13.5,1.5
3,288,2021-07-21,STL,,CHC,"W,3-2",10-GF(10),W(1-0),1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,4.5,11.17,3.0,,,2,0,1,1,0,0,0,,2,0,0,0,0,2,0.0,0.0,1.0,0,0,0,4.54,0.44,3.28,0.19%,1.82,,,10t 1-3 0 out tie,10t end tie,,2021-07-21,138,112,633241,2021,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,9.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,9.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,9.0,1.0
4,289,2021-07-22,STL,,CHC,"W,3-2",8-8,H(1),0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,3.0,8.84,3.0,13.0,7.0,2,3,1,0,0,0,0,,0,0,0,0,0,2,0.0,0.0,0.0,1,0,0,2.24,0.118,1.82,0.06%,0.48,,,8t --- 0 out a1,8t 3 out a1,,2021-07-22,138,112,633178,2021,1.0,2.0,1.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,4.5,1.0,2.0,1.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,4.5,1.0,2.0,1.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,4.5,1.0
5,290,2021-07-24,STL,@,CIN,"L,3-5",6-7,,1,2.0,2.0,2.0,2.0,0.0,2.0,1.0,0,5.4,8.37,8.0,,,4,3,4,2,1,0,0,,0,0,0,0,0,8,0.0,0.0,0.0,0,0,0,0.34,-0.045,0.28,-0.02%,-0.88,,,6b --- 0 out d2,7b 3 out d4,,2021-07-24,138,113,633175,2021,2.0,3.0,1.0,10.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,1.0,3.0,1.0,10.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,1.0,3.0,1.0,10.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,1.0
6,291,2021-07-31,STL,,MIN,"L,1-8",4-5,,6,1.2,3.0,1.0,1.0,0.0,2.0,0.0,0,5.4,6.47,9.0,39.0,27.0,6,3,6,1,1,0,0,,0,0,0,0,0,9,0.0,0.0,0.0,0,0,1,0.1,-0.009,0.06,0.00%,-0.47,,,4t --- 0 out d7,5t 12- 2 out d7,,2021-07-31,138,142,633127,2021,1.667,5.0,3.0,18.0,2.0,3.0,3.0,2.0,3.0,2.0,9.0,5.4,1.0,5.0,3.0,18.0,2.0,3.0,3.0,2.0,3.0,2.0,9.0,5.4,1.0,5.0,3.0,18.0,2.0,3.0,3.0,2.0,3.0,2.0,9.0,5.4,1.0
7,292,2021-08-03,STL,,ATL,"L,1-6",6-7,,2,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0,4.15,5.48,7.0,24.0,18.0,2,2,3,3,0,1,0,,0,0,0,0,0,7,0.0,0.0,0.0,0,0,0,0.07,0.008,0.04,0.00%,0.96,,,6t --- 0 out d6,7t 3 out d6,,2021-08-03,138,144,633032,2021,2.0,6.667,6.0,27.0,2.0,4.0,4.0,2.0,5.0,2.0,12.0,5.4,1.2,6.0,5.0,24.0,1.0,3.0,3.0,2.0,5.0,1.0,8.0,4.5,1.167,6.667,6.0,27.0,2.0,4.0,4.0,2.0,5.0,2.0,12.0,5.4,1.2
8,293,2021-08-04,STL,,ATL,"L,4-7",6-6,,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,5.39,1.0,5.0,3.0,2,0,0,1,0,0,0,,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0.9,0.025,0.45,0.01%,0.22,,,6t 1-- 2 out d1,6t 3 out d1,,2021-08-04,138,144,633037,2021,0.333,8.667,7.0,34.0,2.0,4.0,4.0,2.0,6.0,2.0,13.0,4.154,1.038,7.667,6.0,30.0,1.0,3.0,3.0,2.0,6.0,1.0,9.0,3.522,1.043,8.667,7.0,34.0,2.0,4.0,4.0,2.0,6.0,2.0,13.0,4.154,1.038
9,294,2021-08-06,STL,,KCR,"W,4-2",8-8,H(2),1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,3.6,4.97,3.0,11.0,7.0,2,2,1,1,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.95,0.072,0.28,0.01%,0.48,,,8t --- 0 out a2,8t 3 out a2,,2021-08-06,138,118,632982,2021,1.0,9.0,7.0,35.0,2.0,4.0,4.0,2.0,6.0,2.0,13.0,4.0,1.0,7.0,6.0,28.0,1.0,3.0,3.0,1.0,6.0,1.0,9.0,3.857,1.0,9.0,7.0,35.0,2.0,4.0,4.0,2.0,6.0,2.0,13.0,4.0,1.0
10,295,2021-08-08,STL,,KCR,"L,5-6",8-8,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.27,4.81,3.0,10.0,7.0,2,0,2,1,1,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.18,0.014,0.07,0.00%,0.48,,,8t --- 0 out d3,8t 3 out d3,,2021-08-08,138,118,632985,2021,1.0,10.0,7.0,38.0,2.0,4.0,4.0,2.0,7.0,2.0,13.0,3.6,0.9,7.0,6.0,28.0,1.0,3.0,3.0,0.0,6.0,1.0,9.0,3.857,0.857,10.0,7.0,38.0,2.0,4.0,4.0,2.0,7.0,2.0,13.0,3.6,0.9
11,296,2021-08-12,STL,@,PIT,"W,7-6",3-3,W(2-0),3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,3.0,4.92,3.0,13.0,6.0,2,0,1,1,1,0,0,,0,0,0,0,0,2,0.0,0.0,0.0,1,0,0,0.8,0.035,0.28,0.01%,0.51,,,3b --- 0 out d2,3b 3 out d2,,2021-08-12,138,134,632944,2021,1.0,11.0,7.0,41.0,2.0,4.0,4.0,2.0,7.0,2.0,13.0,3.273,0.818,6.0,4.0,23.0,0.0,1.0,1.0,0.0,4.0,0.0,4.0,1.5,0.667,11.0,7.0,41.0,2.0,4.0,4.0,2.0,7.0,2.0,13.0,3.273,0.818
12,297,2021-08-13,STL,@,KCR,"W,6-0",7-8,H(3),0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,2.77,4.79,6.0,17.0,11.0,2,1,6,0,0,0,0,,0,0,0,0,0,6,1.0,0.0,0.0,0,0,0,0.93,0.011,0.41,0.00%,-0.47,,,7b --- 0 out a3,8b 12- 0 out a5,,2021-08-13,138,118,632943,2021,1.0,12.0,7.0,44.0,2.0,4.0,4.0,3.0,7.0,2.0,13.0,3.0,0.833,5.333,1.0,17.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.375,12.0,7.0,44.0,2.0,4.0,4.0,3.0,7.0,2.0,13.0,3.0,0.833
13,298,2021-08-15,STL,@,KCR,"W,7-2",9-GF,,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2.57,4.53,4.0,13.0,9.0,3,0,2,1,1,0,0,,0,0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.11,0.009,0.07,0.00%,0.54,,,9b --- 0 out a5,9b end a 5,,2021-08-15,138,118,632860,2021,1.0,13.0,10.0,50.0,2.0,4.0,4.0,3.0,7.0,3.0,17.0,2.769,1.0,4.333,3.0,16.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.923,13.0,10.0,50.0,2.0,4.0,4.0,3.0,7.0,3.0,17.0,2.769,1.0
14,299,2021-08-17,STL,,MIL,"L,0-2",7-7,,1,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0,2.4,4.17,5.0,18.0,14.0,3,2,0,3,3,0,0,,0,0,0,0,0,5,0.0,0.0,0.0,0,0,0,0.78,0.033,0.58,0.02%,0.48,,,7t --- 0 out d2,7t 3 out d2,,2021-08-17,138,158,632884,2021,1.0,14.0,11.0,54.0,2.0,4.0,4.0,3.0,8.0,3.0,18.0,2.571,1.0,5.0,4.0,19.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,0.0,1.0,14.0,11.0,54.0,2.0,4.0,4.0,3.0,8.0,3.0,18.0,2.571,1.0
