Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,1,2021-05-01,SEA,,LAA,"L,5-10",8-8,,99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.17,3.0,,,1,3,1,2,2,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.00%,0.5,,,8t --- 0 out d9,8t 3 out d9,,2021-05-01,136,108,634272,2021,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,2,2021-05-03,SEA,,BAL,"L,3-5",8-GF,,1,1.2,2.0,2.0,2.0,1.0,2.0,1.0,0,6.75,7.67,8.0,31.0,20.0,6,2,2,3,0,0,0,,1,1,0,0,0,7,1.0,0.0,0.0,0,0,0,0.44,-0.134,0.51,-0.09%,-1.57,,,8t --3 1 out d1,9t end d 2,,2021-05-03,136,110,634242,2021,1.667,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,2021-05-08,SEA,@,TEX,"L,8-9",6-6,,4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,7.17,1.0,,,0,0,0,1,1,0,0,,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,1.19,0.034,1.51,0.03%,0.33,,,6b -2- 2 out d1,6b 3 out d1,,2021-05-08,136,140,634171,2021,0.333,2.667,2.0,11.0,1.0,2.0,2.0,1.0,2.0,2.0,6.0,6.75,1.125,2.667,2.0,11.0,1.0,2.0,2.0,1.0,2.0,2.0,6.0,6.75,1.125,2.667,2.0,11.0,1.0,2.0,2.0,1.0,2.0,2.0,6.0,6.75,1.125
4,4,2021-05-09,SEA,@,TEX,"L,2-10",6-6,,0,0.2,3.0,2.0,2.0,2.0,0.0,0.0,0,9.82,8.08,6.0,23.0,11.0,4,1,3,1,1,0,0,,0,0,0,0,0,4,0.0,0.0,0.0,1,0,0,0.11,-0.02,0.13,-0.01%,-1.99,,,6b --- 0 out d5,6b 1-3 2 out d7,,2021-05-09,136,140,634182,2021,0.667,3.0,2.0,12.0,1.0,2.0,2.0,1.0,2.0,2.0,6.0,6.0,1.0,3.0,2.0,12.0,1.0,2.0,2.0,1.0,2.0,2.0,6.0,6.0,1.0,3.0,2.0,12.0,1.0,2.0,2.0,1.0,2.0,2.0,6.0,6.0,1.0
5,5,2021-05-12,SEA,@,LAD,"L,1-7",8-GF(8),,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,7.71,6.6,4.0,17.0,12.0,4,1,2,1,1,0,0,,0,0,0,0,0,4,0.0,0.0,0.0,0,0,1,0.01,0.001,0.01,0.00%,0.53,,,8b --- 0 out d6,8b end d 6,,2021-05-12,136,119,634140,2021,1.0,3.667,5.0,18.0,1.0,4.0,4.0,3.0,2.0,2.0,9.0,9.818,2.182,3.667,5.0,18.0,1.0,4.0,4.0,3.0,2.0,2.0,9.0,9.818,2.182,3.667,5.0,18.0,1.0,4.0,4.0,3.0,2.0,2.0,9.0,9.818,2.182
6,6,2021-05-21,SEA,@,SDP,"L,1-16",5-5,,8,1.0,4.0,4.0,4.0,1.0,2.0,0.0,0,12.71,5.82,8.0,32.0,18.0,8,3,4,1,1,0,0,,0,0,0,0,0,7,1.0,0.0,0.0,0,0,0,0.05,-0.009,0.04,0.00%,-3.53,,,5b --- 0 out d7,5b 3 out d11,,2021-05-21,136,135,634019,2021,1.0,4.667,5.0,22.0,1.0,4.0,4.0,3.0,3.0,2.0,9.0,7.714,1.714,4.667,5.0,22.0,1.0,4.0,4.0,3.0,3.0,2.0,9.0,7.714,1.714,4.667,5.0,22.0,1.0,4.0,4.0,3.0,3.0,2.0,9.0,7.714,1.714
7,7,2021-05-23,SEA,@,SDP,"L,2-9",8-GF(8),,1,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1,12.15,5.27,5.0,9.0,8.0,1,3,2,0,0,0,0,,0,0,0,0,0,4,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.00%,-0.53,,,8b --- 0 out d7,8b end d 8,,2021-05-23,136,135,633996,2021,1.0,5.667,9.0,30.0,1.0,8.0,8.0,4.0,5.0,3.0,14.0,12.706,2.294,4.667,9.0,27.0,1.0,8.0,8.0,4.0,5.0,3.0,14.0,15.429,2.786,5.667,9.0,30.0,1.0,8.0,8.0,4.0,5.0,3.0,14.0,12.706,2.294
8,8,2021-05-26,SEA,@,OAK,"L,3-6",4-5,,2,1.2,3.0,1.0,1.0,2.0,1.0,0.0,0,10.8,5.33,9.0,37.0,21.0,5,2,3,3,2,0,0,,2,2,0,0,0,6,0.0,0.0,0.0,0,1,0,0.37,-0.08,0.38,-0.05%,-1.6,,,4b 12- 1 out d3,5b 3 out d6,,2021-05-26,136,133,634074,2021,1.667,6.667,10.0,35.0,1.0,9.0,9.0,4.0,7.0,4.0,17.0,12.15,2.1,4.0,8.0,24.0,0.0,7.0,7.0,3.0,5.0,2.0,11.0,15.75,2.75,6.667,10.0,35.0,1.0,9.0,9.0,4.0,7.0,4.0,17.0,12.15,2.1
9,9,2021-08-15,SEA,,TOR,"L,3-8",6-7,,80,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0,8.71,4.33,7.0,31.0,22.0,9,3,3,1,0,0,0,,0,0,0,0,0,7,0.0,0.0,0.0,0,0,0,0.1,0.015,0.08,0.01%,0.99,,,6t --- 0 out d5,7t 3 out d5,,2021-08-15,136,141,632857,2021,2.0,8.333,13.0,44.0,1.0,10.0,10.0,6.0,8.0,4.0,20.0,10.8,2.28,5.333,11.0,32.0,0.0,8.0,8.0,5.0,6.0,2.0,14.0,13.5,3.0,8.333,13.0,44.0,1.0,10.0,10.0,6.0,8.0,4.0,20.0,10.8,2.28
10,10,2021-08-20,SEA,@,HOU,"L,3-12",3-4,,4,1.1,3.0,3.0,3.0,1.0,0.0,0.0,0,10.03,4.46,8.0,24.0,12.0,5,0,1,6,2,1,0,,2,0,0,0,0,6,1.0,0.0,0.0,0,1,0,0.1,-0.021,0.15,-0.02%,-2.02,,,3b 12- 2 out d7,4b 3 out d9,,2021-08-20,136,117,632774,2021,1.333,10.333,14.0,51.0,1.0,10.0,10.0,6.0,11.0,4.0,21.0,8.71,1.935,6.667,9.0,33.0,0.0,6.0,6.0,3.0,9.0,2.0,12.0,8.1,1.8,10.333,14.0,51.0,1.0,10.0,10.0,6.0,11.0,4.0,21.0,8.71,1.935
