Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,126,2021-05-30,MIN,,KCR,"L,3-6",9-GF,,99,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0,9.0,16.17,5.0,13.0,8.0,2,0,3,2,0,1,0,,0,0,0,0,0,5,0.0,0.0,0.0,0,0,0,0.2,-0.033,0.08,-0.01%,-0.49,,,9t --- 0 out d2,9t end d 3,,2021-05-30,142,118,633881,2021,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,127,2021-06-01,MIN,@,BAL,"L,4-7",6-7,,1,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0,6.0,13.17,8.0,33.0,14.0,3,4,3,2,1,0,0,,0,0,0,0,0,6,0.0,0.0,0.0,1,0,0,0.14,-0.01,0.05,0.00%,0.05,,,6b --- 0 out d4,7b 3 out d4,,2021-06-01,142,110,633856,2021,2.0,1.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,9.0,2.0,1.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,9.0,2.0,1.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,9.0,2.0
3,128,2021-06-02,MIN,@,BAL,"L,3-6",8-GF(8),,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,4.5,11.42,3.0,8.0,4.0,2,0,1,1,0,0,0,,0,0,0,0,0,2,0.0,0.0,0.0,1,0,0,0.17,0.007,0.05,0.00%,0.53,,,8b --- 0 out d3,8b end d 3,,2021-06-02,142,110,633853,2021,1.0,3.0,3.0,13.0,2.0,2.0,2.0,2.0,1.0,2.0,9.0,6.0,1.667,3.0,3.0,13.0,2.0,2.0,2.0,2.0,1.0,2.0,9.0,6.0,1.667,3.0,3.0,13.0,2.0,2.0,2.0,2.0,1.0,2.0,9.0,6.0,1.667
4,129,2021-06-04,MIN,@,KCR,"L,5-14",5-7,,1,2.1,2.0,1.0,1.0,0.0,3.0,0.0,1,4.26,7.91,11.0,34.0,25.0,4,6,5,2,1,0,0,,0,0,0,0,0,10,1.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.00%,0.06,,,5b --- 0 out d11,7b 1-- 1 out d12,,2021-06-04,142,118,633838,2021,2.333,4.0,3.0,16.0,2.0,2.0,2.0,3.0,1.0,2.0,9.0,4.5,1.5,4.0,3.0,16.0,2.0,2.0,2.0,3.0,1.0,2.0,9.0,4.5,1.5,4.0,3.0,16.0,2.0,2.0,2.0,3.0,1.0,2.0,9.0,4.5,1.5
5,130,2021-07-18,MIN,@,DET,"L,0-7",8-GF(8),,43,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,3.68,6.99,3.0,13.0,9.0,2,2,1,1,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.00%,0.51,,,8b --- 0 out d7,8b end d 7,,2021-07-18,142,116,633280,2021,1.0,6.333,5.0,27.0,2.0,3.0,3.0,3.0,4.0,3.0,12.0,4.263,1.263,6.333,5.0,27.0,2.0,3.0,3.0,3.0,4.0,3.0,12.0,4.263,1.263,6.333,5.0,27.0,2.0,3.0,3.0,3.0,4.0,3.0,12.0,4.263,1.263
6,131,2021-07-23,MIN,,LAA,"W,5-4",8-8,W(1-0),4,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,3.24,6.65,5.0,20.0,11.0,3,1,1,2,1,0,0,,0,0,0,0,0,4,1.0,0.0,0.0,0,0,0,1.46,0.053,0.03,0.00%,0.51,,,8t --- 0 out d1,8t 3 out d1,,2021-07-23,142,108,633159,2021,1.0,7.333,5.0,30.0,2.0,3.0,3.0,3.0,5.0,3.0,12.0,3.682,1.091,7.333,5.0,30.0,2.0,3.0,3.0,3.0,5.0,3.0,12.0,3.682,1.091,7.333,5.0,30.0,2.0,3.0,3.0,3.0,5.0,3.0,12.0,3.682,1.091
7,132,2021-07-28,MIN,,DET,"L,14-17",7-GF,,4,3.0,3.0,4.0,4.0,2.0,3.0,0.0,0,5.56,5.73,14.0,45.0,26.0,4,7,4,5,1,0,0,,0,0,0,0,0,12,2.0,0.0,0.0,0,0,0,0.45,-0.154,0.0,0.00%,-2.47,,,7t --- 0 out d7,9t end d 5,,2021-07-28,142,116,633138,2021,3.0,8.333,6.0,35.0,2.0,3.0,3.0,3.0,6.0,4.0,14.0,3.24,1.08,7.333,4.0,30.0,1.0,2.0,2.0,3.0,6.0,3.0,9.0,2.455,0.955,8.333,6.0,35.0,2.0,3.0,3.0,3.0,6.0,4.0,14.0,3.24,1.08
8,133,2021-07-31,MIN,@,STL,"W,8-1",8-8,,2,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0,5.11,5.44,4.0,18.0,10.0,5,1,0,1,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.06,0.003,0.0,0.00%,0.48,,,8b --- 0 out a7,8b 3 out a7,,2021-07-31,142,138,633127,2021,1.0,11.333,9.0,49.0,2.0,7.0,7.0,5.0,9.0,6.0,19.0,5.559,1.235,8.333,6.0,36.0,0.0,5.0,5.0,3.0,8.0,4.0,10.0,5.4,1.08,11.333,9.0,49.0,2.0,7.0,7.0,5.0,9.0,6.0,19.0,5.559,1.235
9,134,2021-08-04,MIN,@,CIN,"L,5-6",5-6,,3,2.0,1.0,0.0,0.0,2.0,5.0,0.0,0,4.4,4.84,9.0,44.0,26.0,8,5,2,0,0,0,0,,0,0,0,0,0,7,1.0,0.0,0.0,0,0,0,0.31,0.028,0.0,0.00%,1.13,,,5b --- 0 out d4,6b 3 out d4,,2021-08-04,142,113,633071,2021,2.0,12.333,9.0,53.0,2.0,7.0,7.0,6.0,11.0,6.0,19.0,5.108,1.216,8.333,6.0,37.0,0.0,5.0,5.0,3.0,10.0,4.0,10.0,5.4,1.08,12.333,9.0,53.0,2.0,7.0,7.0,6.0,11.0,6.0,19.0,5.108,1.216
10,135,2021-08-06,MIN,@,HOU,"W,5-4",10-GF(11),W(2-0),1,1.1,0.0,0.0,0.0,0.0,2.0,0.0,0,4.02,4.45,5.0,17.0,14.0,2,3,3,0,0,0,0,,2,0,0,0,0,5,0.0,0.0,0.0,0,0,1,5.21,0.567,0.03,0.00%,1.61,,,10b 12- 2 out tie,11b end a 1,,2021-08-06,142,117,633029,2021,1.333,14.333,10.0,62.0,2.0,7.0,7.0,8.0,16.0,7.0,21.0,4.395,1.256,8.0,5.0,35.0,0.0,4.0,4.0,5.0,12.0,4.0,9.0,4.5,1.25,14.333,10.0,62.0,2.0,7.0,7.0,8.0,16.0,7.0,21.0,4.395,1.256
