Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1.0,71.0,5.0,2021-04-05,OAK,,LAD,"L,3-10",GS-3,L(0-1),99.0,2.2,7,7,7,3,4,1,1,23.63,9.55,19,90.0,53.0,14,11,4.0,7.0,4,0,0,17.0,,,0,0,0,14,1,0,0,0,1,0,0.92,-0.378,0.64,-0.16%,-6.01,,,1t start tie,3t 1-3 2 out d7,,2021-04-05,133,119,634600
2.0,72.0,10.0,2021-04-10,OAK,@,HOU,"W,7-3",GS-7,W(1-1),4.0,6.0,6,1,1,1,5,1,0,8.31,5.82,24,100.0,72.0,8,11,7.0,11.0,5,0,0,60.0,,,0,0,0,23,1,0,0,1,0,0,0.94,0.282,0.7,0.13%,2.16,,,1b start tie,7b --- 0 out a5,,2021-04-10,133,117,632202
3.0,73.0,14.0,2021-04-16,OAK,,DET,"W,3-0",GS-6,W(2-1),5.0,6.0,2,0,0,1,7,0,0,4.91,3.99,21,100.0,66.0,16,14,7.0,6.0,1,2,0,74.0,,,0,0,0,20,0,0,0,0,0,0,0.92,0.338,0.85,0.19%,2.97,,,1t start tie,6t 3 out a2,,2021-04-16,133,116,634525
4.0,74.0,19.0,2021-04-21,OAK,,MIN,"W,13-12",GS-5,,4.0,4.0,9,6,6,0,4,3,0,6.75,5.47,22,76.0,56.0,11,10,7.0,11.0,2,2,0,24.0,,,0,0,0,22,3,0,0,0,0,0,0.88,-0.382,1.0,-0.26%,-3.4,,,1t start tie,5t 1-- 0 out a2,,2021-04-21,133,142,634440
5.0,75.0,24.0,2021-04-27,OAK,@,TBR,"L,3-4",GS-6,L(2-2),5.0,6.0,6,3,3,2,5,1,0,6.2,5.28,28,105.0,73.0,16,16,10.0,11.0,6,1,0,51.0,,,0,0,0,26,2,1,0,0,0,2,1.17,-0.138,1.43,-0.10%,-0.06,,,1b start tie,6b 3 out d1,,2021-04-27,133,139,634368
6.0,76.0,30.0,2021-05-03,OAK,,TOR,"W,5-4",GS-6,W(3-2),5.0,6.0,7,3,3,1,4,0,0,5.87,4.7,26,88.0,62.0,12,8,10.0,11.0,8,1,0,49.0,,,0,0,0,25,0,0,0,0,0,0,1.16,0.044,1.4,0.03%,-0.03,,,1t start tie,6t 3 out a2,,2021-05-03,133,141,634293
7.0,77.0,35.0,2021-05-08,OAK,,TBR,"W,6-3",GS-6,W(4-2),4.0,5.1,5,2,2,2,6,1,0,5.5,4.67,23,88.0,59.0,16,12,5.0,10.0,4,0,0,54.0,,,0,1,0,21,1,0,0,0,0,1,0.81,0.024,1.05,0.02%,0.45,,,1t start tie,6t 1-- 1 out a1,,2021-05-08,133,139,634236
8.0,78.0,40.0,2021-05-14,OAK,@,MIN,"W,6-1",GS-6,W(5-2),5.0,6.0,5,1,1,1,4,1,0,4.93,4.65,23,94.0,61.0,11,7,5.0,13.0,2,3,0,61.0,,,0,0,0,22,0,0,0,1,0,0,0.96,0.278,1.19,0.21%,2.07,,,1b start tie,6b 3 out a4,,2021-05-14,133,142,634131
9.0,79.0,44.0,2021-05-19,OAK,,HOU,"L,1-8",GS-5,L(5-3),4.0,5.0,7,2,2,2,6,1,0,4.79,4.64,24,98.0,66.0,18,6,3.0,13.0,7,1,0,49.0,,,0,0,0,22,0,0,0,0,0,0,0.89,0.035,1.54,0.04%,0.48,,,1t start tie,5t 3 out d1,,2021-05-19,133,117,634034
10.0,80.0,49.0,2021-05-24,OAK,,SEA,"L,2-4",GS-6,L(5-4),4.0,6.0,6,4,4,3,11,2,0,4.92,4.72,27,101.0,67.0,16,21,3.0,10.0,3,0,0,52.0,,,0,0,0,24,3,0,0,0,0,0,0.78,-0.162,1.19,-0.15%,-1.03,,,1t start tie,6t 3 out d3,,2021-05-24,133,136,633955
