Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,182,4,2021-04-05,PHI,,NYM,"W,5-3",GS-4,,99,3.1,4,2,2,4,4,0,0,5.4,4.37,18,74.0,47.0,11,4,4,6,1,1,0,44.0,,,0,0,0,14,0,0,0,0,0,0,1.44,-0.15,1.79,-0.11%,-1.56,,,1t start tie,4t 123 1 out d2,,2021-04-05,143,121,634606
2,183,9,2021-04-11,PHI,@,ATL,"W,7-6",GS-5,,5,5.0,9,5,5,0,5,2,0,7.56,5.57,24,80.0,58.0,10,9,7,12,4,0,0,34.0,,,0,0,0,22,3,0,0,0,1,0,0.82,-0.281,1.02,-0.21%,-2.34,,,1b start tie,5b 3 out tie,,2021-04-11,143,144,632207
3,184,14,2021-04-17,PHI,,STL,"L,4-9",GS-3,L(0-1),5,2.2,4,6,5,5,3,2,0,9.82,8.17,17,,,10,5,4,5,1,0,0,26.0,,,0,0,0,12,1,0,1,0,0,0,0.95,-0.377,0.96,-0.23%,-4.09,,,1t start tie,3t -23 2 out d4,,2021-04-17,143,138,634470
4,185,31,2021-05-05,PHI,,MIL,"W,5-4",7-7,H(1),17,1.0,0,0,0,1,1,0,0,9.0,7.84,3,13.0,8.0,3,2,1,0,0,0,0,,0.0,0.0,0,0,0,2,0,0,0,1,0,0,1.78,0.096,1.9,0.06%,0.51,,,7t --- 0 out a1,7t 3 out a1,,2021-05-05,143,158,634294
5,186,34,2021-05-08,PHI,@,ATL,"L,7-8",12-GF(12),,2,0.0,1,0,0,0,0,0,0,9.0,7.84,2,,,0,0,1,1,1,0,0,,1.0,1.0,0,0,0,1,0,0,0,0,0,0,2.35,-0.185,3.09,-0.15%,-1.38,,,12b -2- 0 out tie,12b end d 1,,2021-05-08,143,144,634199
6,187,35,2021-05-09,PHI,@,ATL,"L,1-6",7-GF(8),,0,2.0,2,1,1,0,0,0,0,8.36,7.17,7,32.0,21.0,2,1,3,4,2,0,0,,0.0,0.0,0,0,0,7,1,0,0,0,0,0,0.08,0.001,0.11,0.00%,0.06,,,7b --- 0 out d4,8b end d 5,,2021-05-09,143,144,634175
7,188,38,2021-05-13,PHI,@,WSN,"L,1-5",8-GF(8),,3,1.0,0,0,0,0,1,0,0,7.8,6.77,3,,,2,1,2,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.03,0.003,0.04,0.00%,0.49,,,8b --- 0 out d4,8b end d 4,,2021-05-13,143,120,634103
8,189,40,2021-05-15,PHI,@,TOR,"L,0-4",7-GF(8),,1,1.1,1,1,0,0,1,0,0,7.16,6.35,6,17.0,13.0,5,1,2,3,1,1,0,,0.0,0.0,0,0,0,6,1,0,0,0,0,1,0.16,-0.009,0.2,-0.01%,-0.34,,,7b --- 2 out d3,8b end d 4,,2021-05-15,143,141,634139
9,190,44,2021-05-20,PHI,,MIA,"L,0-6",4-5,,4,2.0,3,2,2,1,2,1,0,7.36,6.66,9,,,7,4,2,4,1,0,0,,0.0,0.0,0,0,1,8,1,0,0,0,0,0,0.63,-0.136,0.81,-0.10%,-0.99,,,4t --- 0 out d1,5t 3 out d3,,2021-05-20,143,146,634039
10,191,73,2021-06-25,PHI,@,NYM,"W,2-1",GS-5,,35,5.0,3,0,0,1,2,0,0,5.79,5.87,19,73.0,45.0,9,6,7,9,4,1,0,62.0,,,0,0,0,17,0,0,0,0,0,0,1.32,0.341,1.35,0.21%,2.46,,,1b start tie,5b 3 out tie,2.0,2021-06-25,143,121,634515
11,192,82,2021-07-05,PHI,@,CHC,"W,13-3",GS-4,,9,4.0,5,2,2,2,4,1,0,5.6,5.88,19,74.0,46.0,15,7,6,7,2,0,0,46.0,,,0,0,0,16,1,0,0,0,0,1,1.26,-0.023,0.99,-0.01%,0.02,,,1b start tie,4b 3 out tie,,2021-07-05,143,112,633386
12,193,87,2021-07-10,PHI,@,BOS,"W,11-2",GS-5,,4,4.1,3,2,2,3,1,1,1,5.4,6.23,20,66.0,36.0,8,4,3,12,2,3,0,47.0,,,0,0,0,16,1,0,0,0,0,0,1.34,0.044,1.23,0.03%,0.22,,,1b start a 1,5b 1-- 1 out a1,,2021-07-10,143,111,633344
13,194,89,2021-07-16,PHI,,MIA,"W,5-2",GS-5,,5,4.1,6,2,2,0,9,0,0,5.25,5.36,19,79.0,59.0,17,13,3,7,4,1,0,52.0,,,0,0,0,19,3,0,0,0,0,0,1.14,0.04,1.39,0.03%,0.0,,,1t start tie,5t 1-- 1 out a3,1.0,2021-07-16,143,146,633283
14,195,95,2021-07-22,PHI,,ATL,"L,2-7",GS-6,L(0-2),5,6.0,6,6,6,3,4,2,0,5.79,5.69,27,,,13,11,7,13,7,0,0,37.0,,,1,0,0,24,1,0,1,0,0,0,0.62,-0.296,0.8,-0.23%,-2.97,,,1t start tie,6t 3 out d6,,2021-07-22,143,144,633276
15,196,100,2021-07-27,PHI,,WSN,"L,4-6",GS-4,L(0-3),4,4.0,7,6,6,2,3,2,1,6.46,6.1,21,69.0,45.0,10,5,10,5,2,0,0,25.0,,,0,0,0,18,1,0,0,1,0,0,0.63,-0.385,0.79,-0.29%,-3.98,,,1t start tie,4t 3 out d5,,2021-07-27,143,120,633152
16,197,108,2021-08-04,PHI,@,WSN,"W,9-5",5-9,W(1-3),7,4.0,3,2,2,0,3,1,0,6.3,6.01,15,52.0,32.0,10,5,7,5,1,1,0,,2.0,0.0,0,0,0,15,0,0,0,0,0,0,0.47,0.117,0.74,0.11%,0.15,,,5b 12- 2 out a3,9b 1-- 2 out a4,,2021-08-04,143,120,633040
17,198,113,2021-08-10,PHI,,LAD,"L,0-5",6-6,,5,0.1,3,3,3,0,0,0,0,6.79,5.99,4,,,1,0,0,4,4,0,0,,0.0,0.0,0,0,0,4,2,0,0,0,0,0,1.12,-0.184,1.97,-0.19%,-1.91,,,6t --- 0 out d1,6t -23 1 out d2,,2021-08-10,143,119,632984
18,199,117,2021-08-14,PHI,,CIN,"W,6-1",GS-6,W(2-3),3,6.0,0,0,0,2,8,0,0,6.07,5.51,19,76.0,48.0,11,13,4,5,3,0,0,78.0,,,0,0,0,17,0,0,0,1,0,0,0.9,0.367,1.57,0.38%,3.03,,,1t start tie,6t 3 out a1,,2021-08-14,143,113,632916
19,200,122,2021-08-20,PHI,@,SDP,"W,4-3",GS-5,,5,4.1,3,2,2,4,4,1,0,5.93,5.63,20,,,16,6,3,9,4,1,0,49.0,,,0,0,0,16,1,0,1,0,0,0,1.22,0.007,1.51,0.01%,-0.15,,,1b start tie,5b 1-- 1 out a1,,2021-08-20,143,135,632817
20,201,127,2021-08-26,PHI,,ARI,"L,7-8",GS-4,L(2-4),5,4.0,7,4,4,2,2,1,0,6.12,5.71,21,70.0,51.0,12,6,10,7,3,1,0,32.0,,,0,0,0,17,1,0,0,0,0,0,0.95,-0.201,0.99,-0.13%,-1.98,,,1t start tie,4t 3 out d4,,2021-08-26,143,109,632746
21,202,132,2021-08-31,PHI,@,WSN,"W,12-6",GS-4,,4,3.1,6,5,5,5,2,1,0,6.49,5.93,21,,,12,5,3,11,5,4,0,25.0,,,0,0,0,16,4,0,1,0,0,0,1.03,-0.336,1.49,-0.29%,-3.31,,,1b start tie,4b --- 1 out d3,,2021-08-31,143,120,632677
22,203,137,2021-09-06,PHI,@,MIL,"W,12-0",8-GF,,5,2.0,0,0,0,1,3,0,0,6.3,5.81,7,22.0,16.0,7,3,1,2,0,0,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,1.01,,,8b --- 0 out a11,9b end a12,,2021-09-06,143,158,632584
23,204,141,2021-09-10,PHI,,COL,"L,2-11",4-5,,3,2.0,1,1,0,0,1,0,0,6.13,5.71,8,40.0,24.0,2,5,4,3,2,0,0,,0.0,0.0,0,0,0,7,0,0,0,0,0,1,0.41,-0.025,0.63,-0.02%,0.01,,,4t --- 0 out d3,5t 3 out d4,,2021-09-10,143,115,632537
