Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1.0,1.0,156.0,2021-09-26,CIN,,WSN,"W,9-2",7-7,,99.0,1.0,0,0,0,1,1,0,0,0.0,4.17,4,,,2,1,1.0,1.0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.3,0.012,0.0,0.00%,0.56,,,7t --- 0 out a6,7t 3 out a6,,2021-09-26,113,120,632333
2.0,2.0,157.0,2021-09-27,CIN,,PIT,"W,13-1",9-GF,,0.0,1.0,1,0,0,0,1,0,0,0.0,2.67,4,15.0,9,2,1,1.0,2.0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.56,,,9t --- 0 out a12,9t end a12,,2021-09-27,113,134,632388
3.0,3.0,159.0,2021-09-29,CIN,@,CHW,"L,1-6",8-GF(8),,1.0,1.0,0,0,0,0,2,0,0,0.0,1.5,3,18.0,15,1,3,0.0,1.0,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.01,0.001,0.0,0.00%,0.53,,,8b --- 0 out d6,8b end d 6,,2021-09-29,113,145,632304
4.0,4.0,160.0,2021-10-01,CIN,@,PIT,"L,2-9",8-GF(8),,1.0,0.2,1,1,1,0,0,1,0,2.45,5.35,3,8.0,5,1,0,0.0,3.0,0,2,0,,3,3,0,0,0,3,0,0,0,0,0,0,0.01,-0.007,0.0,0.00%,-2.42,,,8b 123 1 out d4,8b end d 8,,2021-10-01,113,134,632250
1,5,1,2022-04-07,CIN,@,ATL,"W,6-3",8-8,,99,1.0,1,2,2,1,2,1,0,18.00,15.11,5,26,14,2,3,0,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.61,-0.013,.57,-0.01%,-1.49,1.05,3.00,8b --- 0 out a5,8b 3 out a3,,2022-04-07,113,144,661577
2,6,3,2022-04-09,CIN,@,ATL,"L,1-2",8-GF(8),,1,1.0,0,0,0,1,1,0,1,9.00,11.11,5,22,13,7,1,0,2,0,2,0,,0,0,0,0,0,3,0,0,0,0,0,0,.33,0.015,.31,0.01%,0.51,3.05,6.00,8b --- 0 out d2,8b end d 2,,2022-04-09,113,144,661575
3,7,6,2022-04-13,CIN,,CLE,"L,3-7",8-GF,,3,1.2,1,1,1,0,2,1,0,7.36,9.93,6,27,18,4,4,0,4,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.05,-0.005,.04,0.00%,-0.19,5.15,8.00,8t --- 1 out d5,9t end d 4,,2022-04-13,113,114,663117
4,8,8,2022-04-15,CIN,@,LAD,"L,1-3",6-6,,1,1.0,0,0,0,1,2,0,0,5.79,8.25,4,14,9,1,5,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.41,0.029,.34,0.02%,0.50,5.65,9.00,6b --- 0 out d2,6b 3 out d2,,2022-04-15,113,119,662620
5,9,9,2022-04-16,CIN,@,LAD,"L,2-5",8-GF(8),,0,1.0,0,0,0,1,0,0,0,4.76,7.88,3,14,7,4,1,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.03,0.001,.03,0.00%,0.50,1.65,3.00,8b --- 0 out d5,8b end d 5,,2022-04-16,113,119,662619
6,10,12,2022-04-19,CIN,@,SDP,"L,2-6",6-6,,2,0.2,0,0,0,0,1,0,0,4.26,7.06,2,7,4,1,1,0,1,0,1,0,,0,0,0,0,0,2,0,0,0,0,0,0,.16,0.008,.10,0.00%,0.24,3.50,5.00,6b --- 1 out d3,6b 3 out d3,,2022-04-19,113,135,662232
7,11,14,2022-04-22,CIN,,STL,"L,2-4",7-7,,2,1.0,1,0,0,0,0,0,0,3.68,6.52,4,16,9,3,1,0,4,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.39,0.023,.21,0.01%,0.53,1.65,3.00,7t --- 0 out d3,7t 3 out d3,,2022-04-22,113,138,663169
