Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,1,2022-08-16,MIA,,SDP,"W,4-3",6-7,H(1),99,1.1,2.0,3.0,3.0,1.0,2.0,0.0,0,20.25,2.36,7.0,33.0,18.0,3,5,1,3,0,1,0,,0,0,0,0,0,6,0.0,0.0,0.0,0,0,0,1.13,-0.08,0.01,0.00%,-0.58,-0.8,1.0,6t --- 0 out a3,7t 123 1 out a3,,2022-08-16,146,135,661357,2022,1.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,2,2022-08-20,MIA,@,LAD,"L,0-7",6-6,,3,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0,11.57,3.11,6.0,30.0,20.0,5,3,1,3,1,1,0,,0,0,0,0,0,5,1.0,0.0,0.0,0,0,0,0.04,0.001,0.0,0.00%,0.5,2.45,6.0,6b --- 0 out d7,6b 3 out d7,,2022-08-20,146,119,662561,2022,1.0,1.333,2.0,7.0,0.0,3.0,3.0,1.0,2.0,0.0,2.0,20.25,2.25,1.333,2.0,7.0,0.0,3.0,3.0,1.0,2.0,0.0,2.0,20.25,2.25,1.333,2.0,7.0,0.0,3.0,3.0,1.0,2.0,0.0,2.0,20.25,2.25
3,3,2022-08-21,MIA,@,LAD,"L,3-10",8-GF(8),,0,0.2,1.0,0.0,0.0,1.0,0.0,0.0,0,9.0,4.11,4.0,18.0,10.0,4,1,0,3,1,1,0,,2,2,0,0,0,3,0.0,0.0,0.0,0,0,0,0.02,-0.003,0.0,0.00%,-1.09,0.3,2.0,8b 12- 1 out d5,8b end d 7,,2022-08-21,146,119,662600,2022,0.667,2.333,4.0,13.0,0.0,3.0,3.0,2.0,3.0,1.0,5.0,11.571,2.571,2.333,4.0,13.0,0.0,3.0,3.0,2.0,3.0,1.0,5.0,11.571,2.571,2.333,4.0,13.0,0.0,3.0,3.0,2.0,3.0,1.0,5.0,11.571,2.571
4,4,2022-08-26,MIA,,LAD,"L,6-10",10-GF(10),L(0-1),4,1.0,5.0,5.0,4.0,0.0,1.0,0.0,0,15.75,3.36,8.0,41.0,27.0,7,3,2,5,3,1,0,,0,0,0,0,0,8,3.0,0.0,0.0,0,0,0,2.94,-0.481,0.01,0.00%,-3.89,-6.75,-6.0,10t -2- 0 out tie,10t end d 5,,2022-08-26,146,119,661355,2022,1.0,3.0,5.0,17.0,0.0,3.0,3.0,3.0,3.0,1.0,6.0,9.0,2.667,3.0,5.0,17.0,0.0,3.0,3.0,3.0,3.0,1.0,6.0,9.0,2.667,3.0,5.0,17.0,0.0,3.0,3.0,3.0,3.0,1.0,6.0,9.0,2.667
5,5,2022-08-30,MIA,,TBR,"L,2-7",9-GF,,3,1.0,3.0,1.0,1.0,0.0,3.0,1.0,0,14.4,4.71,6.0,23.0,17.0,2,5,0,3,1,0,0,,0,0,0,0,0,6,0.0,0.0,0.0,0,0,0,0.04,-0.007,0.0,0.00%,-0.51,4.45,9.0,9t --- 0 out d4,9t end d 5,,2022-08-30,146,139,661351,2022,1.0,4.0,10.0,25.0,0.0,8.0,7.0,3.0,4.0,4.0,14.0,15.75,3.25,4.0,10.0,25.0,0.0,8.0,7.0,3.0,4.0,4.0,14.0,15.75,3.25,4.0,10.0,25.0,0.0,8.0,7.0,3.0,4.0,4.0,14.0,15.75,3.25
6,6,2022-09-04,MIA,@,ATL,"L,1-7",8-8,,4,0.2,1.0,3.0,3.0,3.0,1.0,0.0,0,17.47,5.76,6.0,33.0,17.0,3,1,1,1,0,1,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.12,-0.016,0.0,0.00%,-1.27,-4.9,-4.0,8b --- 0 out d3,8b 123 2 out d4,,2022-09-04,146,144,661474,2022,0.667,5.0,13.0,31.0,1.0,9.0,8.0,3.0,7.0,5.0,20.0,14.4,3.2,5.0,13.0,31.0,1.0,9.0,8.0,3.0,7.0,5.0,20.0,14.4,3.2,5.0,13.0,31.0,1.0,9.0,8.0,3.0,7.0,5.0,20.0,14.4,3.2
7,7,2022-09-10,MIA,,NYM,"L,3-11",4-6,,5,2.1,3.0,2.0,2.0,1.0,5.0,2.0,0,14.63,7.36,11.0,41.0,28.0,7,9,1,4,1,0,0,,3,3,0,0,0,10,0.0,0.0,0.0,0,0,0,0.12,-0.094,0.0,0.00%,-3.25,8.85,16.0,4t 123 2 out d4,6t 3 out d9,,2022-09-10,146,121,661323,2022,2.333,5.667,14.0,37.0,1.0,12.0,11.0,6.0,8.0,5.0,21.0,17.471,3.529,4.333,12.0,30.0,1.0,9.0,8.0,5.0,6.0,5.0,19.0,16.615,3.923,5.667,14.0,37.0,1.0,12.0,11.0,6.0,8.0,5.0,21.0,17.471,3.529
8,8,2022-09-14,MIA,,PHI,"L,1-6",8-GF,,3,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0,11.7,6.21,8.0,31.0,22.0,6,6,1,3,1,0,0,,0,0,0,0,0,7,0.0,0.0,0.0,0,0,0,0.04,0.005,0.0,0.00%,0.99,9.3,15.0,8t --- 0 out d5,9t end d 5,,2022-09-14,146,143,661336,2022,2.0,8.0,17.0,48.0,3.0,14.0,13.0,7.0,13.0,7.0,30.0,14.625,3.0,5.667,13.0,35.0,3.0,11.0,10.0,5.0,10.0,6.0,25.0,15.882,3.176,8.0,17.0,48.0,3.0,14.0,13.0,7.0,13.0,7.0,30.0,14.625,3.0
9,9,2022-09-19,MIA,,CHC,"W,10-3",9-GF,,4,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0,10.64,6.11,6.0,33.0,19.0,3,3,0,2,2,0,0,,0,0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.02,0.001,0.0,0.00%,0.49,4.45,9.0,9t --- 0 out a7,9t end a 7,,2022-09-19,146,112,661299,2022,1.0,10.0,18.0,56.0,3.0,14.0,13.0,8.0,16.0,7.0,31.0,11.7,2.6,7.0,13.0,39.0,3.0,11.0,10.0,5.0,13.0,6.0,25.0,12.857,2.571,10.0,18.0,56.0,3.0,14.0,13.0,8.0,16.0,7.0,31.0,11.7,2.6
10,10,2022-09-25,MIA,,WSN,"L,1-6",6-6,,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.75,5.86,3.0,11.0,8.0,2,0,1,2,0,1,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.32,0.024,0.0,0.00%,0.49,2.25,3.0,6t --- 0 out d3,6t 3 out d3,,2022-09-25,146,120,661294,2022,1.0,11.0,19.0,62.0,3.0,14.0,13.0,10.0,18.0,7.0,32.0,10.636,2.636,7.0,9.0,37.0,3.0,6.0,6.0,7.0,14.0,3.0,18.0,7.714,2.286,11.0,19.0,62.0,3.0,14.0,13.0,10.0,18.0,7.0,32.0,10.636,2.636
11,11,2022-09-28,MIA,@,NYM,"L,4-5",9-9,,2,0.1,1.0,0.0,0.0,1.0,0.0,0.0,0,9.49,6.03,3.0,,,2,2,1,1,0,0,0,,0,0,0,0,0,2,1.0,0.0,0.0,0,0,0,2.38,-0.072,0.0,0.00%,-0.41,-0.45,1.0,9b --- 0 out tie,9b 12- 1 out tie,,2022-09-28,146,121,662400,2022,0.333,12.0,19.0,65.0,3.0,14.0,13.0,10.0,18.0,7.0,32.0,9.75,2.417,7.0,6.0,34.0,2.0,5.0,5.0,7.0,11.0,2.0,12.0,6.429,1.857,12.0,19.0,65.0,3.0,14.0,13.0,10.0,18.0,7.0,32.0,9.75,2.417
12,12,2022-10-01,MIA,@,MIL,"W,4-3",4-5,,2,1.0,2.0,1.0,1.0,2.0,3.0,1.0,0,9.45,6.79,7.0,33.0,20.0,3,7,1,1,0,0,0,,0,0,0,0,0,5,0.0,0.0,0.0,0,0,0,1.2,-0.192,0.0,0.00%,-1.5,3.85,9.0,4b --- 0 out a2,5b 12- 0 out a1,,2022-10-01,146,158,661152,2022,1.0,12.333,20.0,68.0,3.0,14.0,13.0,11.0,18.0,8.0,34.0,9.486,2.514,6.667,6.0,31.0,2.0,2.0,2.0,5.0,10.0,3.0,13.0,2.7,1.65,12.333,20.0,68.0,3.0,14.0,13.0,11.0,18.0,8.0,34.0,9.486,2.514
13,13,2022-10-05,MIA,,ATL,"W,12-9",6-7,W(1-1),3,1.1,3.0,2.0,2.0,1.0,3.0,1.0,0,9.82,7.13,8.0,36.0,27.0,7,5,0,4,1,1,0,,0,0,0,0,0,7,2.0,0.0,0.0,0,0,0,0.66,-0.056,0.0,0.00%,-1.47,6.6,13.0,6t --- 1 out d1,7t 1-- 2 out a2,,2022-10-05,146,144,661422,2022,1.333,13.333,22.0,75.0,4.0,15.0,14.0,13.0,21.0,9.0,39.0,9.45,2.625,5.333,5.0,27.0,1.0,1.0,1.0,6.0,8.0,2.0,9.0,1.688,2.062,13.333,22.0,75.0,4.0,15.0,14.0,13.0,21.0,9.0,39.0,9.45,2.625
1,14,2023-03-30,MIA,,NYM,"L,3-5",6-6,,99,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.26,1.0,2.0,2.0,1,0,0,1,0,0,0,,2,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0.94,0.027,0.9,0.02%,0.52,0.75,1.0,6t 1-3 2 out d3,6t 3 out d3,,2023-03-30,146,121,718774,2023,0.333,14.667,25.0,83.0,5.0,17.0,16.0,14.0,24.0,12.0,47.0,9.818,2.659,4.667,7.0,27.0,2.0,3.0,3.0,6.0,8.0,5.0,16.0,5.786,2.786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,15,2023-04-01,MIA,,NYM,"L,2-6",5-5,L(0-1),1,1.0,3.0,2.0,2.0,0.0,1.0,0.0,0,13.5,1.76,6.0,24.0,16.0,3,1,2,3,2,1,0,,0,0,0,0,0,6,2.0,0.0,0.0,0,0,0,1.19,-0.204,1.17,-0.12%,-1.46,-1.55,0.0,5t --- 0 out tie,5t 3 out d2,,2023-04-01,146,121,718755,2023,1.0,15.0,25.0,84.0,5.0,17.0,16.0,14.0,24.0,12.0,47.0,9.6,2.6,4.0,6.0,22.0,2.0,3.0,3.0,4.0,6.0,5.0,15.0,6.75,2.5,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
