Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,9,114,2021-08-12,WSN,@,NYM,"L,1-4",GS-4,L(0-1),99,3.0,8,4,4,0,2,1,0,12.00,6.17,16,51,37,5,6,2,12,8,1,0,29,,,0,0,0,16,0,0,0,0,0,0,.93,-0.220,.08,-0.01%,-1.91,,,1b start tie,4b 1-- 0 out d3,1.0,2021-08-12,120,121,632949
2,10,123,2021-08-22,WSN,@,MIL,"L,3-7",GS-4,L(0-2),9,4.0,6,3,3,3,5,1,0,9.00,6.17,20,81,45,10,4,4,8,6,1,0,40,,,0,0,0,16,0,1,0,1,0,0,1.10,-0.151,.01,0.00%,-0.98,,,1b start tie,4b 3 out d2,,2021-08-22,120,158,632786
3,11,128,2021-08-28,WSN,@,NYM,"L,3-5",GS-6,,5,5.1,6,2,2,0,6,2,0,6.57,6.01,21,71,51,13,12,5,10,4,0,0,54,,,1,1,0,21,1,0,0,0,0,0,1.07,0.019,.01,0.00%,0.43,,,1b start tie,6b 1-- 1 out tie,,2021-08-28,120,121,632717
4,12,133,2021-09-03,WSN,,NYM,"L,2-6",GS-5,,5,5.0,5,2,2,1,3,0,1,5.71,5.19,22,,,15,10,9,8,2,1,0,51,,,0,0,0,20,3,1,0,0,0,0,.89,-0.005,.00,0.00%,0.43,,,1t start tie,5t 3 out d2,,2021-09-03,120,121,632617
5,13,139,2021-09-08,WSN,@,ATL,"W,4-2",GS-1,,4,0.1,1,0,0,0,0,0,1,5.60,5.32,3,8,4,1,0,1,1,1,0,0,49,,,0,0,0,2,0,0,0,0,0,0,.93,-0.039,.00,0.00%,-0.41,,,1b start a 1,1b 12- 1 out a1,,2021-09-08,120,144,632554
6,14,148,2021-09-18,WSN,,COL,"L,0-6",7-GF,,9,3.0,1,0,0,3,2,0,0,4.79,5.25,13,51,29,10,5,4,4,0,0,0,,0,0,0,0,0,10,0,0,0,0,0,0,.04,0.005,.00,0.00%,1.46,,,7t --- 0 out d6,9t end d 6,,2021-09-18,120,115,632417
7,15,154,2021-09-24,WSN,@,CIN,"L,7-8",7-7,,5,0.2,1,0,0,0,1,0,0,4.64,5.09,3,,,2,1,1,1,0,0,0,,2,1,1,0,0,3,0,0,0,0,0,0,.71,-0.025,.00,0.00%,-0.03,,,7b 12- 1 out d2,7b 3 out d3,,2021-09-24,120,113,632364
8,16,156,2021-09-26,WSN,@,CIN,"L,2-9",6-GF(8),,1,2.1,2,2,2,3,1,0,0,4.94,5.20,13,,,9,5,4,5,1,0,0,,3,0,0,0,0,9,1,0,0,0,1,0,.04,0.005,.00,0.00%,-0.06,,,6b 123 2 out d6,8b end d 8,,2021-09-26,120,113,632333
9,17,159,2021-09-29,WSN,@,COL,"L,5-10",6-7,,2,2.0,2,0,0,1,0,0,0,4.56,5.16,8,42,30,8,0,3,4,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.15,0.021,.00,0.00%,1.16,,,6b --- 0 out d4,7b 3 out d4,,2021-09-29,120,115,632310
10,18,160,2021-10-01,WSN,,BOS,"L,2-4",9-GF,,1,1.0,0,0,0,2,0,0,0,4.39,5.31,4,18,9,3,1,0,2,0,1,0,,0,0,0,0,0,2,0,0,0,0,0,0,.30,0.017,.00,0.00%,0.49,,,9t --- 0 out d2,9t end d 2,,2021-10-01,120,111,632261
1.0,19.0,23.0,2023-04-24,MIA,@,ATL,"L,0-11",6-GF(8),,99.0,3.0,7,6,6,2,2,2,0,18.0,12.59,18,62,40,7,6,5.0,9.0,2,0,0,,0,0,0,0,0,16,1,1,0,0,0,0,0.02,-0.024,0.02,-0.02%,-4.36,-6.65,-3.0,6b --- 0 out d5,8b end d11,,2023-04-24,146,144,718443
