Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,112,2021-04-01,DET,,CLE,"W,3-2",7-8,H(1),99,1.1,1.0,0.0,0.0,1.0,1.0,0.0,0,0.0,3.92,5.0,21.0,12.0,4,1,1,2,1,0,0,,0.0,0.0,0,0,0,4,0.0,0.0,0.0,1,0,0,1.05,0.051,1.08,0.03%,0.61,,,7t --- 2 out a3,8t 3 out a3,,2021-04-01,116,114,634645,2021,1.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,113,2021-04-04,DET,,CLE,"L,3-9",6-7,BL(0-1),2,1.2,4.0,4.0,4.0,0.0,1.0,1.0,0,12.0,7.17,9.0,21.0,16.0,3,2,3,5,2,0,0,,2.0,1.0,0,0,0,9,1.0,0.0,0.0,0,0,0,1.68,-0.486,1.87,-0.32%,-3.08,,,6t -23 1 out a2,7t 3 out d3,,2021-04-04,116,114,634611,2021,1.667,1.333,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.5,1.333,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.5,1.333,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.5,1.333,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.5,1.333,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.5
3,114,2021-04-11,DET,@,CLE,"L,2-5",5-6,,6,1.1,2.0,1.0,1.0,0.0,1.0,0.0,0,10.38,5.48,5.0,15.0,10.0,2,1,2,2,2,0,0,,1.0,0.0,0,0,0,5,1.0,0.0,0.0,1,0,0,0.82,-0.051,0.78,-0.03%,-0.24,,,5b 1-- 2 out d1,6b 3 out d2,,2021-04-11,116,114,632228,2021,1.333,3.0,5.0,14.0,1.0,4.0,4.0,1.0,2.0,2.0,9.0,12.0,2.0,3.0,5.0,14.0,1.0,4.0,4.0,1.0,2.0,2.0,9.0,12.0,2.0,3.0,5.0,14.0,1.0,4.0,4.0,1.0,2.0,2.0,9.0,12.0,2.0,3.0,5.0,14.0,1.0,4.0,4.0,1.0,2.0,2.0,9.0,12.0,2.0,3.0,5.0,14.0,1.0,4.0,4.0,1.0,2.0,2.0,9.0,12.0,2.0
4,115,2021-04-14,DET,@,HOU,"W,6-4",6-6,,2,0.1,2.0,1.0,1.0,1.0,0.0,0.0,0,11.57,5.96,4.0,23.0,12.0,2,1,0,3,2,0,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,1.76,-0.118,1.67,-0.07%,-1.41,,,6b --- 0 out a4,6b 12- 1 out a3,,2021-04-14,116,117,634521,2021,0.333,4.333,7.0,19.0,1.0,5.0,5.0,1.0,3.0,3.0,12.0,10.385,1.846,4.333,7.0,19.0,1.0,5.0,5.0,1.0,3.0,3.0,12.0,10.385,1.846,4.333,7.0,19.0,1.0,5.0,5.0,1.0,3.0,3.0,12.0,10.385,1.846,4.333,7.0,19.0,1.0,5.0,5.0,1.0,3.0,3.0,12.0,10.385,1.846,4.333,7.0,19.0,1.0,5.0,5.0,1.0,3.0,3.0,12.0,10.385,1.846
5,116,2021-04-17,DET,@,OAK,"L,0-7",6-6,,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,9.53,5.11,3.0,11.0,6.0,1,1,0,2,2,0,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.14,0.005,0.12,0.00%,0.5,,,6b --- 0 out d5,6b 3 out d5,,2021-04-17,116,133,634479,2021,1.0,4.667,9.0,23.0,1.0,6.0,6.0,2.0,3.0,3.0,14.0,11.571,2.357,4.667,9.0,23.0,1.0,6.0,6.0,2.0,3.0,3.0,14.0,11.571,2.357,4.667,9.0,23.0,1.0,6.0,6.0,2.0,3.0,3.0,14.0,11.571,2.357,3.333,8.0,18.0,1.0,6.0,6.0,1.0,2.0,3.0,13.0,16.2,2.7,4.667,9.0,23.0,1.0,6.0,6.0,2.0,3.0,3.0,14.0,11.571,2.357
6,117,2021-04-22,DET,,PIT,"L,2-4",9-GF,,4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,9.0,5.0,1.0,7.0,4.0,0,1,0,1,1,0,0,,1.0,0.0,0,0,0,1,0.0,0.0,0.0,0,0,0,0.46,0.013,0.35,0.01%,0.32,,,9t -2- 2 out d2,9t end d 2,,2021-04-22,116,134,634492,2021,0.333,5.667,10.0,26.0,1.0,6.0,6.0,2.0,4.0,3.0,15.0,9.529,2.118,5.667,10.0,26.0,1.0,6.0,6.0,2.0,4.0,3.0,15.0,9.529,2.118,5.667,10.0,26.0,1.0,6.0,6.0,2.0,4.0,3.0,15.0,9.529,2.118,2.667,5.0,12.0,0.0,2.0,2.0,1.0,2.0,1.0,6.0,6.75,2.25,5.667,10.0,26.0,1.0,6.0,6.0,2.0,4.0,3.0,15.0,9.529,2.118
7,118,2021-04-25,DET,,KCR,"L,0-4",9-GF,,2,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0,8.53,4.59,1.0,5.0,3.0,2,0,0,0,0,0,0,,1.0,0.0,0,0,0,1,0.0,0.0,0.0,0,0,0,0.07,0.002,0.05,0.00%,0.23,,,9t 1-- 2 out d4,9t end d 4,,2021-04-25,116,118,634448,2021,0.333,6.0,10.0,27.0,1.0,6.0,6.0,2.0,4.0,3.0,15.0,9.0,2.0,6.0,10.0,27.0,1.0,6.0,6.0,2.0,4.0,3.0,15.0,9.0,2.0,4.667,9.0,22.0,1.0,6.0,6.0,1.0,3.0,3.0,14.0,11.571,2.143,1.667,3.0,8.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,5.4,2.4,6.0,10.0,27.0,1.0,6.0,6.0,2.0,4.0,3.0,15.0,9.0,2.0
8,119,2021-04-26,DET,,KCR,"L,2-3",7-7,,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,7.36,4.12,3.0,13.0,8.0,2,3,2,0,0,0,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.74,0.056,0.48,0.02%,0.51,,,7t --- 0 out d1,7t 3 out d1,,2021-04-26,116,118,634451,2021,1.0,6.333,10.0,28.0,1.0,6.0,6.0,2.0,5.0,3.0,15.0,8.526,1.895,6.333,10.0,28.0,1.0,6.0,6.0,2.0,5.0,3.0,15.0,8.526,1.895,3.333,5.0,14.0,0.0,2.0,2.0,1.0,3.0,1.0,6.0,5.4,1.8,1.667,1.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.6,6.333,10.0,28.0,1.0,6.0,6.0,2.0,5.0,3.0,15.0,8.526,1.895
9,120,2021-04-30,DET,@,NYY,"L,0-10",8-GF(8),,3,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0,6.48,4.01,4.0,17.0,8.0,0,0,2,2,1,0,0,,0.0,0.0,0,0,0,4,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.00%,0.52,,,8b --- 0 out d10,8b end d10,,2021-04-30,116,147,634327,2021,1.0,7.333,10.0,31.0,1.0,6.0,6.0,2.0,6.0,3.0,15.0,7.364,1.636,7.333,10.0,31.0,1.0,6.0,6.0,2.0,6.0,3.0,15.0,7.364,1.636,3.0,3.0,12.0,0.0,1.0,1.0,1.0,3.0,0.0,3.0,3.0,1.333,1.667,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.333,10.0,31.0,1.0,6.0,6.0,2.0,6.0,3.0,15.0,7.364,1.636
10,121,2021-05-04,DET,@,BOS,"L,7-11",2-3,,3,1.1,1.0,1.0,1.0,2.0,1.0,0.0,0,6.52,4.31,6.0,21.0,10.0,2,2,2,1,1,0,0,,1.0,0.0,0,0,0,4,1.0,0.0,0.0,1,0,0,0.3,-0.01,0.09,0.00%,-0.34,,,2b 1-- 1 out d5,3b 12- 2 out d6,,2021-05-04,116,111,634241,2021,1.333,8.333,12.0,35.0,1.0,6.0,6.0,2.0,6.0,3.0,17.0,6.48,1.68,8.333,12.0,35.0,1.0,6.0,6.0,2.0,6.0,3.0,17.0,6.48,1.68,3.667,3.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.818,2.333,2.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.857,8.333,12.0,35.0,1.0,6.0,6.0,2.0,6.0,3.0,17.0,6.48,1.68
