Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,1,40,2021-05-18,MIN,,CHW,"W,5-4",GS-4,,99,4.0,5,4,4,1,4,2,1,9.0,9.17,20,,,14,7,5,9,4,0,0,39,,,0,0,0,18,2,0,0,0,0,1,0.87,-0.211,0.3,-0.04%,-1.96,,,1t start tie,4t 3 out d4,,2021-05-18,142,145,634073
2,2,59,2021-06-06,MIN,@,KCR,"W,2-1",GS-4,,18,4.0,5,1,1,0,4,0,0,5.63,5.17,15,,,9,8,2,9,5,1,0,52,,,0,0,0,15,0,1,0,0,0,0,1.18,0.096,0.25,0.01%,1.15,,,1b start tie,4b 3 out tie,,2021-06-06,142,118,633893
3,3,63,2021-06-11,MIN,,HOU,"L,4-6",GS-5,,4,5.0,7,2,2,1,7,1,0,4.85,4.55,22,73.0,52.0,20,5,2,12,4,2,0,51,,,1,0,0,20,1,0,0,1,1,0,1.17,0.071,0.22,0.01%,0.56,,,1t start tie,5t 3 out a1,,2021-06-11,142,117,633720
4,4,68,2021-06-16,MIN,@,SEA,"W,7-2",GS-4,,4,4.0,1,0,0,0,6,0,0,3.71,3.52,12,63.0,40.0,10,4,2,4,1,2,0,66,,,0,1,0,12,0,0,0,0,0,0,0.82,0.2,0.06,0.01%,1.98,,,1b start a 2,4b 3 out a3,,2021-06-16,142,136,633658
5,5,73,2021-06-22,MIN,,CIN,"L,7-10",GS-5,,5,4.1,6,4,4,2,2,1,0,4.64,4.15,21,78.0,53.0,13,3,9,8,2,1,0,35,,,0,1,0,19,1,0,0,0,0,1,1.15,-0.282,0.21,-0.03%,-1.86,,,1t start tie,5t -23 1 out d1,,2021-06-22,142,113,633580
6,6,78,2021-06-30,MIN,@,CHW,"L,3-13",GS-4,L(0-1),7,3.1,4,5,5,2,3,3,0,5.84,5.6,16,80.0,49.0,14,7,2,9,2,0,0,33,,,0,0,0,14,0,0,0,0,0,0,0.63,-0.29,0.11,-0.03%,-3.09,,,1b start a 1,4b 1-3 1 out d3,,2021-06-30,142,145,633479
7,7,83,2021-07-05,MIN,,CHW,"W,8-5",GS-5,W(1-1),4,5.0,2,0,0,3,7,0,0,4.85,5.02,20,93.0,57.0,14,12,4,6,3,0,0,67,,,0,0,0,17,1,0,0,0,0,0,0.78,0.247,0.1,0.02%,2.56,,,1t start tie,5t 3 out a3,,2021-07-05,142,145,633487
8,8,88,2021-07-10,MIN,,DET,"W,9-4",GS-4,,4,3.1,4,4,4,2,4,2,0,5.45,5.56,16,79.0,49.0,16,6,4,6,2,1,0,38,,,1,0,0,14,0,0,0,0,0,0,0.72,-0.195,0.05,-0.01%,-2.15,,,1t start tie,4t 1-3 1 out d3,,2021-07-10,142,116,633289
9,9,95,2021-07-20,MIN,@,CHW,"L,5-9",GS-5,,9,5.0,5,4,3,1,4,1,0,5.45,5.46,21,66.0,48.0,12,7,5,11,4,2,0,46,,,0,0,0,20,1,1,0,1,0,1,0.78,-0.183,0.03,0.00%,-1.34,,,1b start tie,5b 3 out d2,,2021-07-20,142,145,633268
10,10,100,2021-07-25,MIN,,LAA,"L,2-6",GS-6,,4,5.1,3,2,2,1,4,1,0,5.19,5.36,19,,,9,10,7,7,2,0,0,57,,,0,1,0,18,0,1,0,0,0,0,0.86,0.088,0.02,0.00%,0.8,,,1t start tie,6t --- 1 out tie,,2021-07-25,142,108,633179
11,11,105,2021-07-31,MIN,@,STL,"W,8-1",GS-4,,5,4.0,4,1,1,1,6,0,0,4.94,4.99,16,64.0,44.0,14,7,3,6,3,1,0,55,,,0,0,0,15,0,0,0,1,0,0,0.58,0.111,0.0,0.00%,0.92,,,1b start a 2,4b 3 out a6,,2021-07-31,142,138,633127
12,12,110,2021-08-06,MIN,@,HOU,"W,5-4",GS-5,,5,5.0,7,3,3,1,5,2,0,4.99,5.18,23,80.0,55.0,14,8,4,13,5,3,0,45,,,0,0,0,22,1,0,0,0,0,0,0.67,-0.072,0.0,0.00%,-0.37,,,1b start tie,5b 3 out d1,,2021-08-06,142,117,633029
13,13,115,2021-08-11,MIN,,CHW,"W,1-0",GS-6,,4,5.1,6,0,0,1,6,0,0,4.53,4.83,22,82.0,54.0,12,17,8,7,3,1,0,61,,,0,0,0,21,0,0,0,1,0,0,1.31,0.28,0.0,0.00%,2.53,,,1t start tie,6t 1-- 1 out tie,,2021-08-11,142,145,632927
14,14,120,2021-08-17,MIN,,CLE,"L,1-3",GS-6,L(1-2),5,6.0,5,3,2,0,3,1,0,4.38,4.79,23,69.0,52.0,14,7,8,12,4,2,0,55,,,0,0,0,22,2,0,0,0,1,0,0.86,-0.055,0.0,0.00%,0.07,,,1t start tie,6t 3 out d3,,2021-08-17,142,114,632880
15,15,126,2021-08-25,MIN,@,BOS,"W,9-6",GS-5,,7,5.0,4,0,0,1,7,0,0,4.06,4.51,19,,,12,8,2,9,3,0,0,65,,,0,0,0,18,0,0,0,0,0,0,0.98,0.254,0.0,0.00%,2.79,,,1b start tie,5b 3 out a4,,2021-08-25,142,111,632767
16,16,131,2021-08-30,MIN,@,DET,"W,3-2",GS-6,W(2-2),4,6.0,5,2,2,0,5,1,0,3.98,4.44,22,77.0,53.0,10,10,4,13,4,4,0,59,,,0,0,0,22,2,0,0,2,0,0,1.11,0.127,0.0,0.00%,1.03,,,1b start tie,6b 3 out a1,,2021-08-30,142,116,633372
17,17,137,2021-09-06,MIN,@,CLE,"W,5-2",GS-4,,6,4.0,6,2,2,0,4,1,0,4.0,4.44,16,59.0,42.0,14,6,7,5,1,0,0,46,,,1,0,0,16,1,0,0,1,0,0,1.04,0.008,0.0,0.00%,0.09,,,1b start a 2,4b 3 out a1,,2021-09-06,142,114,632591
18,18,143,2021-09-12,MIN,,KCR,"L,3-5",GS-5,,5,4.1,5,3,3,0,6,1,0,4.12,4.39,18,75.0,49.0,9,15,5,7,1,0,0,47,,,0,0,0,17,1,0,0,0,1,0,0.9,-0.049,0.0,0.00%,-0.37,,,1t start tie,5t 12- 1 out d1,,2021-09-12,142,118,632519
19,19,149,2021-09-18,MIN,@,TOR,"L,2-6",GS-4,L(2-3),5,4.0,4,4,4,2,3,2,0,4.34,4.63,18,74.0,48.0,9,12,4,9,3,1,0,39,,,0,0,0,16,1,0,0,0,0,0,0.93,-0.261,0.0,0.00%,-1.83,,,1b start a 2,4b 3 out d2,,2021-09-18,142,141,632431
