Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,1,2021-05-18,MIN,,CHW,"W,5-4",GS-4,,99,4.0,5.0,4.0,4.0,1.0,4.0,2.0,1,9.0,9.17,20.0,,,14,7,5,9,4,0,0,39,,,0,0,0,18,2.0,0.0,0.0,0,0,1,0.87,-0.211,0.3,-0.04%,-1.96,,,1t start tie,4t 3 out d4,,2021-05-18,142,145,634073,2021,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,2,2021-06-06,MIN,@,KCR,"W,2-1",GS-4,,18,4.0,5.0,1.0,1.0,0.0,4.0,0.0,0,5.63,5.17,15.0,,,9,8,2,9,5,1,0,52,,,0,0,0,15,0.0,1.0,0.0,0,0,0,1.18,0.096,0.25,0.01%,1.15,,,1b start tie,4b 3 out tie,,2021-06-06,142,118,633893,2021,4.0,4.0,5.0,20.0,2.0,4.0,4.0,1.0,4.0,4.0,13.0,9.0,1.5,4.0,5.0,20.0,2.0,4.0,4.0,1.0,4.0,4.0,13.0,9.0,1.5,4.0,5.0,20.0,2.0,4.0,4.0,1.0,4.0,4.0,13.0,9.0,1.5,4.0,5.0,20.0,2.0,4.0,4.0,1.0,4.0,4.0,13.0,9.0,1.5,4.0,5.0,20.0,2.0,4.0,4.0,1.0,4.0,4.0,13.0,9.0,1.5
3,3,2021-06-11,MIN,,HOU,"L,4-6",GS-5,,4,5.0,7.0,2.0,2.0,1.0,7.0,1.0,0,4.85,4.55,22.0,73.0,52.0,20,5,2,12,4,2,0,51,,,1,0,0,20,1.0,0.0,0.0,1,1,0,1.17,0.071,0.22,0.01%,0.56,,,1t start tie,5t 3 out a1,,2021-06-11,142,117,633720,2021,5.0,8.0,10.0,35.0,2.0,5.0,5.0,1.0,8.0,5.0,20.0,5.625,1.375,8.0,10.0,35.0,2.0,5.0,5.0,1.0,8.0,5.0,20.0,5.625,1.375,8.0,10.0,35.0,2.0,5.0,5.0,1.0,8.0,5.0,20.0,5.625,1.375,8.0,10.0,35.0,2.0,5.0,5.0,1.0,8.0,5.0,20.0,5.625,1.375,8.0,10.0,35.0,2.0,5.0,5.0,1.0,8.0,5.0,20.0,5.625,1.375
4,4,2021-06-16,MIN,@,SEA,"W,7-2",GS-4,,4,4.0,1.0,0.0,0.0,0.0,6.0,0.0,0,3.71,3.52,12.0,63.0,40.0,10,4,2,4,1,2,0,66,,,0,1,0,12,0.0,0.0,0.0,0,0,0,0.82,0.2,0.06,0.01%,1.98,,,1b start a 2,4b 3 out a3,,2021-06-16,142,136,633658,2021,4.0,13.0,17.0,57.0,3.0,7.0,7.0,2.0,15.0,7.0,31.0,4.846,1.462,13.0,17.0,57.0,3.0,7.0,7.0,2.0,15.0,7.0,31.0,4.846,1.462,13.0,17.0,57.0,3.0,7.0,7.0,2.0,15.0,7.0,31.0,4.846,1.462,13.0,17.0,57.0,3.0,7.0,7.0,2.0,15.0,7.0,31.0,4.846,1.462,13.0,17.0,57.0,3.0,7.0,7.0,2.0,15.0,7.0,31.0,4.846,1.462
5,5,2021-06-22,MIN,,CIN,"L,7-10",GS-5,,5,4.1,6.0,4.0,4.0,2.0,2.0,1.0,0,4.64,4.15,21.0,78.0,53.0,13,3,9,8,2,1,0,35,,,0,1,0,19,1.0,0.0,0.0,0,0,1,1.15,-0.282,0.21,-0.03%,-1.86,,,1t start tie,5t -23 1 out d1,,2021-06-22,142,113,633580,2021,4.333,17.0,18.0,69.0,3.0,7.0,7.0,2.0,21.0,7.0,32.0,3.706,1.176,17.0,18.0,69.0,3.0,7.0,7.0,2.0,21.0,7.0,32.0,3.706,1.176,17.0,18.0,69.0,3.0,7.0,7.0,2.0,21.0,7.0,32.0,3.706,1.176,13.0,13.0,49.0,1.0,3.0,3.0,1.0,17.0,3.0,19.0,2.077,1.077,17.0,18.0,69.0,3.0,7.0,7.0,2.0,21.0,7.0,32.0,3.706,1.176
6,6,2021-06-30,MIN,@,CHW,"L,3-13",GS-4,L(0-1),7,3.1,4.0,5.0,5.0,2.0,3.0,3.0,0,5.84,5.6,16.0,80.0,49.0,14,7,2,9,2,0,0,33,,,0,0,0,14,0.0,0.0,0.0,0,0,0,0.63,-0.29,0.11,-0.03%,-3.09,,,1b start a 1,4b 1-3 1 out d3,,2021-06-30,142,145,633479,2021,3.333,21.333,24.0,90.0,4.0,11.0,11.0,4.0,23.0,9.0,42.0,4.641,1.312,21.333,24.0,90.0,4.0,11.0,11.0,4.0,23.0,9.0,42.0,4.641,1.312,21.333,24.0,90.0,4.0,11.0,11.0,4.0,23.0,9.0,42.0,4.641,1.312,13.333,14.0,55.0,2.0,6.0,6.0,3.0,15.0,4.0,22.0,4.05,1.275,21.333,24.0,90.0,4.0,11.0,11.0,4.0,23.0,9.0,42.0,4.641,1.312
7,7,2021-07-05,MIN,,CHW,"W,8-5",GS-5,W(1-1),4,5.0,2.0,0.0,0.0,3.0,7.0,0.0,0,4.85,5.02,20.0,93.0,57.0,14,12,4,6,3,0,0,67,,,0,0,0,17,1.0,0.0,0.0,0,0,0,0.78,0.247,0.1,0.02%,2.56,,,1t start tie,5t 3 out a3,,2021-07-05,142,145,633487,2021,5.0,24.667,28.0,106.0,7.0,16.0,16.0,6.0,26.0,12.0,55.0,5.838,1.378,24.667,28.0,106.0,7.0,16.0,16.0,6.0,26.0,12.0,55.0,5.838,1.378,20.667,23.0,86.0,5.0,12.0,12.0,5.0,22.0,8.0,42.0,5.226,1.355,11.667,11.0,49.0,4.0,9.0,9.0,4.0,11.0,5.0,24.0,6.943,1.286,24.667,28.0,106.0,7.0,16.0,16.0,6.0,26.0,12.0,55.0,5.838,1.378
8,8,2021-07-10,MIN,,DET,"W,9-4",GS-4,,4,3.1,4.0,4.0,4.0,2.0,4.0,2.0,0,5.45,5.56,16.0,79.0,49.0,16,6,4,6,2,1,0,38,,,1,0,0,14,0.0,0.0,0.0,0,0,0,0.72,-0.195,0.05,-0.01%,-2.15,,,1t start tie,4t 1-3 1 out d3,,2021-07-10,142,116,633289,2021,3.333,29.667,30.0,126.0,7.0,16.0,16.0,9.0,33.0,13.0,58.0,4.854,1.315,29.667,30.0,126.0,7.0,16.0,16.0,9.0,33.0,13.0,58.0,4.854,1.315,21.667,20.0,91.0,5.0,11.0,11.0,8.0,25.0,8.0,38.0,4.569,1.292,12.667,12.0,57.0,4.0,9.0,9.0,7.0,12.0,6.0,26.0,6.395,1.5,29.667,30.0,126.0,7.0,16.0,16.0,9.0,33.0,13.0,58.0,4.854,1.315
9,9,2021-07-20,MIN,@,CHW,"L,5-9",GS-5,,9,5.0,5.0,4.0,3.0,1.0,4.0,1.0,0,5.45,5.46,21.0,66.0,48.0,12,7,5,11,4,2,0,46,,,0,0,0,20,1.0,1.0,0.0,1,0,1,0.78,-0.183,0.03,0.00%,-1.34,,,1b start tie,5b 3 out d2,,2021-07-20,142,145,633268,2021,5.0,33.0,34.0,142.0,9.0,20.0,20.0,11.0,37.0,15.0,68.0,5.455,1.364,33.0,34.0,142.0,9.0,20.0,20.0,11.0,37.0,15.0,68.0,5.455,1.364,20.0,17.0,85.0,6.0,13.0,13.0,9.0,22.0,8.0,37.0,5.85,1.3,11.667,10.0,52.0,5.0,9.0,9.0,7.0,14.0,6.0,26.0,6.943,1.457,33.0,34.0,142.0,9.0,20.0,20.0,11.0,37.0,15.0,68.0,5.455,1.364
10,10,2021-07-25,MIN,,LAA,"L,2-6",GS-6,,4,5.1,3.0,2.0,2.0,1.0,4.0,1.0,0,5.19,5.36,19.0,,,9,10,7,7,2,0,0,57,,,0,1,0,18,0.0,1.0,0.0,0,0,0,0.86,0.088,0.02,0.00%,0.8,,,1t start tie,6t --- 1 out tie,,2021-07-25,142,108,633179,2021,5.333,38.0,39.0,163.0,10.0,24.0,23.0,12.0,41.0,18.0,79.0,5.447,1.342,38.0,39.0,163.0,10.0,24.0,23.0,12.0,41.0,18.0,79.0,5.447,1.342,21.0,21.0,94.0,7.0,17.0,16.0,10.0,20.0,11.0,47.0,6.857,1.476,13.333,11.0,57.0,3.0,8.0,7.0,6.0,15.0,6.0,24.0,4.725,1.275,38.0,39.0,163.0,10.0,24.0,23.0,12.0,41.0,18.0,79.0,5.447,1.342
