Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1.0,1.0,2021-09-08,LAA,@,SDP,"L,5-8",6-7,,99.0,1.1,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.67,4.0,17.0,12.0,4,0,3.0,0.0,0,0,0,,2,0,0,0,0,4,0.0,0.0,0.0,1,0,0,0.06,0.004,0.0,0.00%,1.05,,,6b -23 2 out d7,7b 3 out d5,,2021-09-08,108,135,632631,2021,1.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,2.0,2021-09-10,LAA,@,HOU,"L,5-10",5-5,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.31,4.0,,,1,0,3.0,1.0,0,0,0,,0,0,0,0,0,4,0.0,0.0,0.0,1,0,0,0.35,0.014,0.0,0.00%,0.53,,,5b --- 0 out d4,5b 3 out d4,,2021-09-10,108,117,632549,2021,1.0,1.333,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.75,1.333,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.75,1.333,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.75,1.333,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.75,1.333,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.75
3.0,3.0,2021-09-14,LAA,@,CHW,"L,3-9",4-5,,3.0,1.1,2.0,2.0,2.0,0.0,0.0,0.0,1,4.91,3.44,7.0,19.0,12.0,3,0,4.0,2.0,0,0,0,,1,0,0,0,0,6,1.0,0.0,0.0,0,0,0,0.29,-0.03,0.0,0.00%,-1.09,,,4b --3 2 out d4,5b 3 out d6,,2021-09-14,108,145,632506,2021,1.333,2.333,3.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.286,2.333,3.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.286,2.333,3.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.286,2.333,3.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.286,2.333,3.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.286
4.0,4.0,2021-09-16,LAA,@,CHW,"W,9-3",9-GF,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,3.86,2.96,4.0,16.0,11.0,5,1,3.0,0.0,0,0,0,,0,0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.04,0.004,0.0,0.00%,0.53,,,9b --- 0 out a6,9b end a 6,,2021-09-16,108,145,632476,2021,1.0,3.667,5.0,15.0,0.0,2.0,2.0,0.0,1.0,1.0,6.0,4.909,1.364,3.667,5.0,15.0,0.0,2.0,2.0,0.0,1.0,1.0,6.0,4.909,1.364,3.667,5.0,15.0,0.0,2.0,2.0,0.0,1.0,1.0,6.0,4.909,1.364,3.667,5.0,15.0,0.0,2.0,2.0,0.0,1.0,1.0,6.0,4.909,1.364,3.667,5.0,15.0,0.0,2.0,2.0,0.0,1.0,1.0,6.0,4.909,1.364
5.0,5.0,2021-09-18,LAA,,OAK,"L,1-3",6-7,,1.0,1.1,0.0,0.0,0.0,1.0,1.0,0.0,0,3.0,3.17,4.0,14.0,9.0,2,1,1.0,1.0,1,0,0,,1,0,0,0,0,3,0.0,0.0,0.0,1,0,0,0.53,0.042,0.0,0.00%,0.88,,,6t -2- 2 out d3,7t 3 out d3,,2021-09-18,108,133,632444,2021,1.333,4.667,6.0,19.0,0.0,2.0,2.0,0.0,2.0,1.0,7.0,3.857,1.286,4.667,6.0,19.0,0.0,2.0,2.0,0.0,2.0,1.0,7.0,3.857,1.286,4.667,6.0,19.0,0.0,2.0,2.0,0.0,2.0,1.0,7.0,3.857,1.286,3.333,5.0,15.0,0.0,2.0,2.0,0.0,1.0,1.0,6.0,5.4,1.5,4.667,6.0,19.0,0.0,2.0,2.0,0.0,2.0,1.0,7.0,3.857,1.286
6.0,6.0,2021-09-21,LAA,,HOU,"L,5-10",5-5,,2.0,0.1,3.0,3.0,3.0,1.0,1.0,1.0,0,7.11,5.38,5.0,21.0,9.0,3,1,2.0,1.0,0,0,0,,1,1,0,0,0,4,0.0,0.0,0.0,0,0,0,0.65,-0.152,0.0,0.00%,-2.69,,,5t 1-- 0 out d2,5t 123 1 out d4,,2021-09-21,108,117,632418,2021,0.333,6.0,6.0,23.0,0.0,2.0,2.0,1.0,3.0,1.0,7.0,3.0,1.167,6.0,6.0,23.0,0.0,2.0,2.0,1.0,3.0,1.0,7.0,3.0,1.167,6.0,6.0,23.0,0.0,2.0,2.0,1.0,3.0,1.0,7.0,3.0,1.167,3.667,3.0,15.0,0.0,2.0,2.0,1.0,2.0,1.0,4.0,4.909,1.091,6.0,6.0,23.0,0.0,2.0,2.0,1.0,3.0,1.0,7.0,3.0,1.167
7.0,7.0,2021-09-28,LAA,@,TEX,"L,2-5",3-4,,6.0,1.2,2.0,0.0,0.0,0.0,0.0,0.0,0,5.63,4.92,6.0,22.0,14.0,6,1,5.0,1.0,0,1,0,,0,0,0,1,0,6,0.0,0.0,0.0,0,0,0,0.54,0.055,0.0,0.00%,0.81,,,3b --- 0 out d2,4b 1-- 2 out d2,,2021-09-28,108,140,632308,2021,1.667,6.333,9.0,28.0,1.0,5.0,5.0,2.0,4.0,2.0,13.0,7.105,1.737,6.333,9.0,28.0,1.0,5.0,5.0,2.0,4.0,2.0,13.0,7.105,1.737,5.0,8.0,24.0,1.0,5.0,5.0,2.0,3.0,2.0,12.0,9.0,2.0,2.667,4.0,13.0,1.0,3.0,3.0,2.0,3.0,1.0,7.0,10.125,2.25,6.333,9.0,28.0,1.0,5.0,5.0,2.0,4.0,2.0,13.0,7.105,1.737
8.0,8.0,2021-10-03,LAA,@,SEA,"W,7-3",2-3,W(1-0),4.0,1.1,1.0,0.0,0.0,0.0,0.0,0.0,0,4.82,4.67,5.0,,,6,0,3.0,2.0,0,0,0,,1,0,1,0,0,5,0.0,0.0,0.0,0,0,0,0.88,0.08,0.0,0.00%,0.72,,,2b 1-- 2 out a2,3b 3 out a2,,2021-10-03,108,136,632237,2021,1.333,8.0,11.0,34.0,1.0,5.0,5.0,2.0,4.0,2.0,15.0,5.625,1.625,8.0,11.0,34.0,1.0,5.0,5.0,2.0,4.0,2.0,15.0,5.625,1.625,5.667,8.0,26.0,1.0,5.0,5.0,2.0,3.0,2.0,12.0,7.941,1.765,3.333,5.0,15.0,1.0,3.0,3.0,2.0,2.0,1.0,8.0,8.1,2.1,8.0,11.0,34.0,1.0,5.0,5.0,2.0,4.0,2.0,15.0,5.625,1.625
1.0,9.0,2022-04-08,LAA,,HOU,"L,6-13",5-6,L(0-1),99.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,0,9.0,8.61,8.0,27.0,18.0,4,1,4.0,3.0,1,1,0,,0,0,1,0,0,8,0.0,0.0,0.0,0,0,0,1.07,-0.176,1.02,-0.10%,-1.03,1.3,3.0,5t --- 0 out tie,6t 3 out d2,,2022-04-08,108,117,661041,2022,2.0,9.333,12.0,39.0,1.0,5.0,5.0,2.0,4.0,2.0,16.0,4.821,1.5,9.333,12.0,39.0,1.0,5.0,5.0,2.0,4.0,2.0,16.0,4.821,1.5,5.667,7.0,24.0,1.0,3.0,3.0,2.0,3.0,1.0,10.0,4.765,1.588,3.333,6.0,16.0,1.0,3.0,3.0,1.0,1.0,1.0,9.0,8.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,10.0,2022-04-10,LAA,,HOU,"L,1-4",9-GF,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,6.0,6.11,4.0,,,2,4,1.0,2.0,1,1,0,,0,0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.13,0.008,0.12,0.00%,0.49,3.65,6.0,9t --- 0 out d3,9t end d 3,,2022-04-10,108,117,661039,2022,1.0,11.333,14.0,47.0,2.0,7.0,7.0,2.0,5.0,3.0,21.0,5.559,1.412,11.333,14.0,47.0,2.0,7.0,7.0,2.0,5.0,3.0,21.0,5.559,1.412,6.667,8.0,28.0,2.0,5.0,5.0,2.0,3.0,2.0,14.0,6.75,1.5,5.0,5.0,19.0,1.0,2.0,2.0,0.0,1.0,1.0,8.0,3.6,1.0,2.0,2.0,8.0,1.0,2.0,2.0,0.0,1.0,1.0,5.0,9.0,1.0
