Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1.0,1.0,142.0,2022-09-13,PIT,@,CIN,"W,1-0",GS-6,,99.0,5.2,1,0,0,3,5,0,0,0.0,2.94,21,83,56,15,10,5.0,8.0,3,1,0,69.0,,,0,0,0,18,1,0,0,1,0,1,1.09,0.327,0.0,0.00%,2.93,20.35,32.0,1b start tie,6b 1-- 2 out tie,2.0,2022-09-13,134,113,663106
2.0,2.0,148.0,2022-09-20,PIT,@,NYY,"L,8-9",GS-5,,6.0,5.0,3,2,1,2,5,0,0,0.84,2.64,21,74,45,14,10,8.0,6.0,2,2,0,58.0,,,0,0,0,19,0,0,0,0,0,1,1.12,-0.043,0.0,0.00%,0.42,16.25,27.0,1b start tie,5b 3 out d1,,2022-09-20,134,147,661229
3.0,3.0,153.0,2022-09-25,PIT,,CHC,"L,3-8",GS-5,L(0-1),4.0,4.2,1,1,1,2,7,0,0,1.17,2.26,19,80,55,15,15,4.0,6.0,3,2,0,63.0,,,0,0,0,17,0,0,0,0,0,2,0.95,0.246,0.0,0.00%,2.22,20.7,32.0,1t start tie,5t 1-- 2 out tie,,2022-09-25,134,112,662243
4.0,4.0,158.0,2022-10-01,PIT,@,STL,"L,3-13",GS-1,L(0-2),5.0,0.2,3,6,6,3,0,1,0,4.5,3.67,8,38,19,7,1,2.0,3.0,1,1,0,19.0,,,0,0,0,5,1,0,0,0,0,0,1.47,-0.39,0.0,0.00%,-5.62,-14.1,-16.0,1b start tie,1b --- 2 out d6,,2022-10-01,134,138,661956
1.0,5.0,37.0,2023-05-09,PIT,,COL,"L,1-10",GS-5,L(0-1),99.0,5.0,7,5,2,1,1,1,0,3.6,6.06,24,74,50,9,7,11.0,11.0,5,0,0,39.0,,,0,0,0,23,0,0,0,0,0,0,1.0,-0.291,1.18,-0.21%,-2.38,4.45,12.0,1t start tie,5t 3 out d4,,2023-05-09,134,115,718252
2.0,6.0,42.0,2023-05-16,PIT,@,DET,"L,0-4",GS-4,L(0-2),6.0,3.0,7,4,3,4,3,0,0,5.63,5.76,20,81,44,10,9,7.0,6.0,5,0,0,30.0,,,0,0,0,16,3,0,0,0,0,0,0.83,-0.261,0.93,-0.18%,-3.78,0.15,9.0,1b start tie,4b 1-3 0 out d4,,2023-05-16,134,116,718155
3.0,7.0,47.0,2023-05-22,PIT,,TEX,"W,6-4",GS-8,W(1-2),5.0,7.2,5,2,2,2,4,0,0,4.02,4.4,28,93,59,13,8,12.0,10.0,4,0,0,63.0,,,0,0,0,25,0,0,0,2,1,0,1.02,0.298,1.12,0.20%,1.96,21.05,39.0,1t start tie,8t 1-- 2 out a4,,2023-05-22,134,140,718075
4.0,8.0,52.0,2023-05-28,PIT,@,SEA,"L,3-6",GS-5,,5.0,5.0,5,3,3,4,6,2,0,4.35,5.38,24,99,60,16,13,5.0,9.0,3,0,0,47.0,,,0,0,0,20,1,0,0,0,0,0,0.84,-0.117,0.96,-0.08%,-0.57,11.85,24.0,1b start tie,5b 3 out d2,,2023-05-28,134,136,717983
5.0,9.0,57.0,2023-06-03,PIT,,STL,"W,4-3",GS-2,,5.0,2.0,1,1,1,2,1,1,0,4.37,5.95,8,30,18,8,2,3.0,2.0,0,0,0,49.0,,,0,0,0,6,0,0,0,1,0,0,0.77,-0.007,0.95,-0.01%,0.05,2.7,6.0,1t start tie,2t 3 out d1,,2023-06-03,134,138,717907
6.0,10.0,61.0,2023-06-07,PIT,,OAK,"L,5-9",3-7,,3.0,5.0,10,2,2,2,1,1,0,4.23,6.07,24,91,54,12,6,8.0,13.0,5,2,0,,0.0,0.0,2,0,0,22,2,0,0,1,0,0,0.26,0.016,0.3,0.01%,0.62,2.05,12.0,3t --- 0 out d6,7t 3 out d6,,2023-06-07,134,133,717865
7.0,11.0,65.0,2023-06-13,PIT,@,CHC,"L,3-11",GS-6,L(1-3),5.0,5.1,6,4,4,2,4,1,0,4.64,5.95,23,92,56,16,7,12.0,5.0,4,0,0,42.0,,,0,0,0,21,0,0,0,1,0,0,1.08,-0.14,1.41,-0.11%,-0.96,7.2,16.0,1b start a 1,6b 1-3 1 out tie,,2023-06-13,134,112,717782
