Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,1,2021-04-03,PIT,@,CHC,"L,1-5",8-GF(8),,99,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.17,3.0,14.0,11.0,2,4,2,0,0,0,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.04,0.003,0.04,0.00%,0.51,,,8b --- 0 out d4,8b end d 4,,2021-04-03,134,112,634643,2021,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,2,2021-04-05,PIT,@,CIN,"L,3-5",5-6,,1,2.0,1.0,1.0,1.0,0.0,4.0,1.0,0,3.0,4.17,7.0,33.0,22.0,8,6,1,2,0,0,0,,0.0,0.0,0,0,0,7,0.0,0.0,0.0,0,0,0,0.94,0.007,0.99,0.00%,0.13,,,5b --- 0 out a1,6b 3 out tie,,2021-04-05,134,113,634558,2021,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,3,2021-04-12,PIT,,SDP,"L,2-6",6-7,L(0-1),6,1.2,5.0,5.0,5.0,2.0,0.0,1.0,0,11.57,7.88,12.0,47.0,25.0,9,1,3,7,5,0,0,,0.0,0.0,1,0,0,10,1.0,0.0,0.0,0,0,0,0.87,-0.411,0.72,-0.20%,-4.22,,,6t --- 0 out tie,7t 1-- 2 out d5,,2021-04-12,134,135,632198,2021,1.667,3.0,1.0,10.0,1.0,1.0,1.0,0.0,5.0,1.0,4.0,3.0,0.333,3.0,1.0,10.0,1.0,1.0,1.0,0.0,5.0,1.0,4.0,3.0,0.333,3.0,1.0,10.0,1.0,1.0,1.0,0.0,5.0,1.0,4.0,3.0,0.333
4,4,2021-04-15,PIT,,SDP,"L,3-8",6-7,,2,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0,9.45,7.07,8.0,31.0,16.0,4,1,1,4,0,1,0,,0.0,0.0,2,0,0,5,0.0,0.0,0.0,0,1,0,0.26,-0.019,0.23,-0.01%,0.01,,,6t --- 0 out d4,7t 3 out d5,,2021-04-15,134,135,634621,2021,2.0,4.667,6.0,22.0,2.0,6.0,6.0,2.0,5.0,3.0,13.0,11.571,1.714,4.667,6.0,22.0,2.0,6.0,6.0,2.0,5.0,3.0,13.0,11.571,1.714,4.667,6.0,22.0,2.0,6.0,6.0,2.0,5.0,3.0,13.0,11.571,1.714
5,5,2021-05-02,PIT,,STL,"L,0-3",6-7,,16,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0,7.27,6.4,9.0,,,3,2,2,3,1,0,0,,0.0,0.0,0,0,0,7,1.0,0.0,1.0,0,0,0,0.47,0.046,0.46,0.03%,1.01,,,6t --- 0 out d3,7t 3 out d3,,2021-05-02,134,138,634260,2021,2.0,6.667,6.0,30.0,2.0,7.0,7.0,4.0,6.0,3.0,13.0,9.45,1.5,6.667,6.0,30.0,2.0,7.0,7.0,4.0,6.0,3.0,13.0,9.45,1.5,6.667,6.0,30.0,2.0,7.0,7.0,4.0,6.0,3.0,13.0,9.45,1.5
6,6,2021-05-07,PIT,@,CHC,"L,2-3",8-GF(8),,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,6.52,5.86,3.0,15.0,8.0,1,2,0,2,2,0,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.08,0.007,0.08,0.00%,0.51,,,8b --- 0 out d3,8b end d 3,,2021-05-07,134,112,634216,2021,1.0,8.667,7.0,39.0,2.0,7.0,7.0,6.0,8.0,4.0,15.0,7.269,1.5,8.667,7.0,39.0,2.0,7.0,7.0,6.0,8.0,4.0,15.0,7.269,1.5,8.667,7.0,39.0,2.0,7.0,7.0,6.0,8.0,4.0,15.0,7.269,1.5
7,7,2021-05-10,PIT,,CIN,"L,1-14",6-7,,2,2.0,5.0,4.0,4.0,0.0,2.0,1.0,0,8.49,6.17,10.0,42.0,25.0,4,3,5,3,2,0,0,,0.0,0.0,0,0,0,10,2.0,0.0,0.0,1,0,0,0.05,-0.016,0.04,-0.01%,-2.99,,,6t --- 0 out d6,7t 3 out d10,,2021-05-10,134,113,634152,2021,2.0,9.667,7.0,42.0,2.0,7.0,7.0,6.0,9.0,4.0,15.0,6.517,1.345,8.667,7.0,39.0,2.0,7.0,7.0,6.0,8.0,4.0,15.0,7.269,1.5,9.667,7.0,42.0,2.0,7.0,7.0,6.0,9.0,4.0,15.0,6.517,1.345
8,8,2021-05-14,PIT,,SFG,"W,3-2",11-GF(11),W(1-1),3,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0,7.82,6.17,5.0,,,1,0,2,2,0,0,0,,0.0,0.0,0,0,0,4,0.0,0.0,0.0,0,0,0,3.47,-0.054,2.01,-0.02%,0.13,,,11t -2- 0 out tie,11t end d 1,,2021-05-14,134,137,634108,2021,1.0,11.667,12.0,52.0,3.0,11.0,11.0,6.0,11.0,7.0,25.0,8.486,1.543,8.667,11.0,42.0,2.0,10.0,10.0,6.0,6.0,6.0,21.0,10.385,1.962,11.667,12.0,52.0,3.0,11.0,11.0,6.0,11.0,7.0,25.0,8.486,1.543
9,9,2021-05-19,PIT,@,STL,"L,5-8",5-6,,4,2.0,4.0,2.0,2.0,2.0,2.0,0.0,0,7.98,5.9,12.0,,,6,4,1,7,4,0,0,,0.0,0.0,0,0,0,9,0.0,0.0,0.0,0,1,0,0.18,-0.037,0.13,-0.02%,-1.04,,,5b --- 0 out d4,6b 3 out d6,,2021-05-19,134,138,634026,2021,2.0,12.667,13.0,57.0,3.0,12.0,11.0,7.0,11.0,7.0,26.0,7.816,1.579,8.0,7.0,35.0,1.0,6.0,5.0,5.0,6.0,4.0,13.0,5.625,1.5,12.667,13.0,57.0,3.0,12.0,11.0,7.0,11.0,7.0,26.0,7.816,1.579
10,10,2021-05-22,PIT,@,ATL,"L,1-6",8-GF(8),,2,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0,7.47,5.66,4.0,17.0,8.0,3,2,0,1,0,0,0,,0.0,0.0,1,0,0,3,0.0,0.0,0.0,0,0,0,0.03,0.002,0.02,0.00%,0.53,,,8b --- 0 out d5,8b end d 5,,2021-05-22,134,144,634049,2021,1.0,14.667,17.0,69.0,3.0,14.0,13.0,9.0,13.0,7.0,30.0,7.977,1.773,8.0,11.0,39.0,1.0,7.0,6.0,5.0,7.0,4.0,17.0,6.75,2.0,14.667,17.0,69.0,3.0,14.0,13.0,9.0,13.0,7.0,30.0,7.977,1.773
11,11,2021-05-31,PIT,@,KCR,"L,3-7",8-GF(8),,8,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0,8.1,5.69,6.0,22.0,11.0,3,0,2,3,3,0,0,,0.0,0.0,0,0,0,5,2.0,0.0,0.0,0,0,0,0.32,-0.047,0.07,-0.01%,-1.46,,,8b --- 0 out d2,8b end d 4,,2021-05-31,134,118,633900,2021,1.0,15.667,17.0,73.0,3.0,14.0,13.0,10.0,15.0,7.0,30.0,7.468,1.723,7.0,10.0,34.0,1.0,7.0,6.0,4.0,7.0,3.0,15.0,7.714,2.0,15.667,17.0,73.0,3.0,14.0,13.0,10.0,15.0,7.0,30.0,7.468,1.723
