Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1.0,137.0,5.0,2021-04-06,SEA,,CHW,"L,4-10",GS-2,,99.0,1.1,0,1,1,1,2,0,0,6.75,2.42,5,21,13,2,2,1.0,1.0,0,1,0,51,,,0,0,0,4,0,0,0,0,0,0,0.94,-0.001,0.88,0.00%,0.05,,,1t start tie,2t --3 1 out tie,,2021-04-06,136,145,634609
1.0,138.0,39.0,2023-05-12,BOS,,STL,"L,6-8",GS-5,,99.0,5.0,4,2,2,1,9,1,0,3.6,2.86,20,87,58,19,9,3.0,7.0,2,0,0,59,,,0,0,0,19,0,0,0,0,0,0,0.72,0.052,0.67,0.03%,0.71,22.25,36.0,1t start tie,5t 3 out tie,,2023-05-12,111,138,718211
2.0,139.0,45.0,2023-05-19,BOS,@,SDP,"W,6-1",GS-6,W(1-0),6.0,6.0,5,1,1,2,5,1,0,2.45,3.89,24,107,66,21,10,3.0,14.0,7,4,0,61,,,0,0,0,22,0,0,0,0,0,0,0.68,0.172,0.59,0.09%,1.99,21.3,40.0,1b start tie,6b 3 out a5,,2023-05-19,111,135,718107
3.0,140.0,50.0,2023-05-24,BOS,@,LAA,"L,3-7",GS-3,L(1-1),4.0,3.0,4,5,5,3,5,2,0,5.14,5.54,16,59,35,9,5,2.0,6.0,3,0,0,33,,,0,0,0,12,1,0,0,0,1,0,0.68,-0.279,0.57,-0.14%,-3.41,2.55,9.0,1b start tie,3b 3 out d5,,2023-05-24,111,108,718034
4.0,141.0,55.0,2023-05-31,BOS,,CIN,"L,4-5",GS-5,,6.0,5.0,4,1,1,1,8,0,0,4.26,4.26,20,100,68,12,19,3.0,8.0,2,1,0,62,,,0,0,0,19,2,0,0,0,0,0,0.93,0.18,0.65,0.08%,1.71,22.25,36.0,1t start tie,5t 3 out a1,,2023-05-31,111,113,717948
5.0,142.0,61.0,2023-06-06,BOS,@,CLE,"W,5-4",GS-7,W(2-1),5.0,7.0,6,2,2,2,9,0,0,3.81,3.52,29,106,71,15,25,6.0,12.0,6,2,0,64,,,0,0,0,27,3,0,0,0,0,0,0.75,0.069,0.41,0.02%,1.47,28.95,52.0,1b start tie,7b 3 out d1,,2023-06-06,111,114,717873
6.0,143.0,67.0,2023-06-12,BOS,,COL,"L,3-4",GS-7,,5.0,6.0,4,1,0,1,8,0,0,3.09,3.07,24,98,70,16,16,10.0,5.0,3,0,0,69,,,0,0,0,23,2,0,0,0,0,1,0.96,0.15,0.54,0.05%,1.86,26.5,46.0,1t start tie,7t 1-- 0 out tie,,2023-06-12,111,115,717794
7.0,144.0,73.0,2023-06-19,BOS,@,MIN,"W,9-3",GS-7,W(3-1),6.0,6.1,3,3,3,1,7,1,1,3.29,3.23,23,91,60,12,15,7.0,7.0,3,1,0,61,,,0,0,0,21,0,0,0,1,0,0,0.95,-0.028,0.63,-0.01%,0.34,23.25,41.0,1b start tie,7b --- 1 out a5,,2023-06-19,111,142,717693
8.0,145.0,78.0,2023-06-24,BOS,@,CHW,"L,4-5",GS-4,,4.0,4.0,2,1,1,0,3,1,0,3.19,3.4,14,63,37,8,5,2.0,9.0,4,2,0,57,,,0,0,0,14,0,0,0,0,0,0,0.71,0.111,0.55,0.05%,1.11,11.8,18.0,1b start tie,4b 3 out tie,,2023-06-24,111,145,717629
9.0,146.0,83.0,2023-06-30,BOS,@,TOR,"W,5-0",GS-8,W(4-1),5.0,7.2,3,0,0,2,7,0,0,2.7,3.22,26,110,70,17,14,8.0,9.0,2,2,0,78,,,0,0,0,24,0,0,0,2,0,0,0.74,0.365,0.39,0.12%,3.61,32.25,54.0,1b start tie,8b 12- 2 out a5,,2023-06-30,111,141,717555
