Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1.0,137.0,2021-04-06,SEA,,CHW,"L,4-10",GS-2,,99.0,1.1,0.0,1.0,1.0,1.0,2.0,0.0,0,6.75,2.42,5.0,21,13,2,2,1.0,1.0,0,1,0,51,,,0,0,0,4,0.0,0.0,0.0,0,0,0,0.94,-0.001,0.88,0.00%,0.05,,,1t start tie,2t --3 1 out tie,,2021-04-06,136,145,634609,2021,1.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1.0,138.0,2023-05-12,BOS,,STL,"L,6-8",GS-5,,99.0,5.0,4.0,2.0,2.0,1.0,9.0,1.0,0,3.6,2.86,20.0,87,58,19,9,3.0,7.0,2,0,0,59,,,0,0,0,19,0.0,0.0,0.0,0,0,0,0.72,0.052,0.67,0.03%,0.71,22.25,36.0,1t start tie,5t 3 out tie,,2023-05-12,111,138,718211,2023,5.0,1.333,0.0,5.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,6.75,0.75,1.333,0.0,5.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,6.75,0.75,1.333,0.0,5.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,6.75,0.75,1.333,0.0,5.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,6.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,139.0,2023-05-19,BOS,@,SDP,"W,6-1",GS-6,W(1-0),6.0,6.0,5.0,1.0,1.0,2.0,5.0,1.0,0,2.45,3.89,24.0,107,66,21,10,3.0,14.0,7,4,0,61,,,0,0,0,22,0.0,0.0,0.0,0,0,0,0.68,0.172,0.59,0.09%,1.99,21.3,40.0,1b start tie,6b 3 out a5,,2023-05-19,111,135,718107,2023,6.0,6.333,4.0,25.0,1.0,3.0,3.0,2.0,11.0,1.0,7.0,4.263,0.947,6.333,4.0,25.0,1.0,3.0,3.0,2.0,11.0,1.0,7.0,4.263,0.947,6.333,4.0,25.0,1.0,3.0,3.0,2.0,11.0,1.0,7.0,4.263,0.947,6.333,4.0,25.0,1.0,3.0,3.0,2.0,11.0,1.0,7.0,4.263,0.947,5.0,4.0,20.0,1.0,2.0,2.0,1.0,9.0,1.0,7.0,3.6,1.0
3.0,140.0,2023-05-24,BOS,@,LAA,"L,3-7",GS-3,L(1-1),4.0,3.0,4.0,5.0,5.0,3.0,5.0,2.0,0,5.14,5.54,16.0,59,35,9,5,2.0,6.0,3,0,0,33,,,0,0,0,12,1.0,0.0,0.0,0,1,0,0.68,-0.279,0.57,-0.14%,-3.41,2.55,9.0,1b start tie,3b 3 out d5,,2023-05-24,111,108,718034,2023,3.0,12.333,9.0,49.0,2.0,4.0,4.0,4.0,16.0,2.0,15.0,2.919,1.054,12.333,9.0,49.0,2.0,4.0,4.0,4.0,16.0,2.0,15.0,2.919,1.054,12.333,9.0,49.0,2.0,4.0,4.0,4.0,16.0,2.0,15.0,2.919,1.054,12.333,9.0,49.0,2.0,4.0,4.0,4.0,16.0,2.0,15.0,2.919,1.054,11.0,9.0,44.0,2.0,3.0,3.0,3.0,14.0,2.0,15.0,2.455,1.091
4.0,141.0,2023-05-31,BOS,,CIN,"L,4-5",GS-5,,6.0,5.0,4.0,1.0,1.0,1.0,8.0,0.0,0,4.26,4.26,20.0,100,68,12,19,3.0,8.0,2,1,0,62,,,0,0,0,19,2.0,0.0,0.0,0,0,0,0.93,0.18,0.65,0.08%,1.71,22.25,36.0,1t start tie,5t 3 out a1,,2023-05-31,111,113,717948,2023,5.0,15.333,13.0,65.0,4.0,9.0,9.0,7.0,21.0,5.0,26.0,5.283,1.304,15.333,13.0,65.0,4.0,9.0,9.0,7.0,21.0,5.0,26.0,5.283,1.304,15.333,13.0,65.0,4.0,9.0,9.0,7.0,21.0,5.0,26.0,5.283,1.304,14.0,13.0,60.0,4.0,8.0,8.0,6.0,19.0,5.0,26.0,5.143,1.357,14.0,13.0,60.0,4.0,8.0,8.0,6.0,19.0,5.0,26.0,5.143,1.357
5.0,142.0,2023-06-06,BOS,@,CLE,"W,5-4",GS-7,W(2-1),5.0,7.0,6.0,2.0,2.0,2.0,9.0,0.0,0,3.81,3.52,29.0,106,71,15,25,6.0,12.0,6,2,0,64,,,0,0,0,27,3.0,0.0,0.0,0,0,0,0.75,0.069,0.41,0.02%,1.47,28.95,52.0,1b start tie,7b 3 out d1,,2023-06-06,111,114,717873,2023,7.0,20.333,17.0,85.0,4.0,10.0,10.0,8.0,29.0,7.0,32.0,4.426,1.23,20.333,17.0,85.0,4.0,10.0,10.0,8.0,29.0,7.0,32.0,4.426,1.23,20.333,17.0,85.0,4.0,10.0,10.0,8.0,29.0,7.0,32.0,4.426,1.23,14.0,13.0,60.0,3.0,7.0,7.0,6.0,18.0,6.0,25.0,4.5,1.357,19.0,17.0,80.0,4.0,9.0,9.0,7.0,27.0,7.0,32.0,4.263,1.263
6.0,143.0,2023-06-12,BOS,,COL,"L,3-4",GS-7,,5.0,6.0,4.0,1.0,0.0,1.0,8.0,0.0,0,3.09,3.07,24.0,98,70,16,16,10.0,5.0,3,0,0,69,,,0,0,0,23,2.0,0.0,0.0,0,0,1,0.96,0.15,0.54,0.05%,1.86,26.5,46.0,1t start tie,7t 1-- 0 out tie,,2023-06-12,111,115,717794,2023,6.0,27.333,23.0,114.0,4.0,12.0,12.0,10.0,38.0,10.0,41.0,3.951,1.207,27.333,23.0,114.0,4.0,12.0,12.0,10.0,38.0,10.0,41.0,3.951,1.207,26.0,23.0,109.0,4.0,11.0,11.0,9.0,36.0,10.0,41.0,3.808,1.231,15.0,14.0,65.0,2.0,8.0,8.0,6.0,22.0,8.0,26.0,4.8,1.333,26.0,23.0,109.0,4.0,11.0,11.0,9.0,36.0,10.0,41.0,3.808,1.231
7.0,144.0,2023-06-19,BOS,@,MIN,"W,9-3",GS-7,W(3-1),6.0,6.1,3.0,3.0,3.0,1.0,7.0,1.0,1,3.29,3.23,23.0,91,60,12,15,7.0,7.0,3,1,0,61,,,0,0,0,21,0.0,0.0,0.0,1,0,0,0.95,-0.028,0.63,-0.01%,0.34,23.25,41.0,1b start tie,7b --- 1 out a5,,2023-06-19,111,142,717693,2023,6.333,33.333,27.0,138.0,4.0,13.0,12.0,11.0,46.0,12.0,47.0,3.24,1.14,33.333,27.0,138.0,4.0,13.0,12.0,11.0,46.0,12.0,47.0,3.24,1.14,27.0,23.0,113.0,3.0,10.0,9.0,9.0,35.0,11.0,40.0,3.0,1.185,18.0,14.0,73.0,0.0,4.0,3.0,4.0,25.0,7.0,21.0,1.5,1.0,32.0,27.0,133.0,4.0,12.0,11.0,10.0,44.0,12.0,47.0,3.094,1.156
8.0,145.0,2023-06-24,BOS,@,CHW,"L,4-5",GS-4,,4.0,4.0,2.0,1.0,1.0,0.0,3.0,1.0,0,3.19,3.4,14.0,63,37,8,5,2.0,9.0,4,2,0,57,,,0,0,0,14,0.0,0.0,0.0,0,0,0,0.71,0.111,0.55,0.05%,1.11,11.8,18.0,1b start tie,4b 3 out tie,,2023-06-24,111,145,717629,2023,4.0,39.667,30.0,161.0,5.0,16.0,15.0,12.0,53.0,13.0,53.0,3.403,1.059,39.667,30.0,161.0,5.0,16.0,15.0,12.0,53.0,13.0,53.0,3.403,1.059,27.333,21.0,112.0,3.0,12.0,11.0,8.0,37.0,11.0,38.0,3.622,1.061,19.333,13.0,76.0,1.0,6.0,5.0,4.0,24.0,6.0,21.0,2.328,0.879,38.333,30.0,156.0,5.0,15.0,14.0,11.0,51.0,13.0,53.0,3.287,1.07
9.0,146.0,2023-06-30,BOS,@,TOR,"W,5-0",GS-8,W(4-1),5.0,7.2,3.0,0.0,0.0,2.0,7.0,0.0,0,2.7,3.22,26.0,110,70,17,14,8.0,9.0,2,2,0,78,,,0,0,0,24,0.0,0.0,0.0,2,0,0,0.74,0.365,0.39,0.12%,3.61,32.25,54.0,1b start tie,8b 12- 2 out a5,,2023-06-30,111,141,717555,2023,7.667,43.667,32.0,175.0,6.0,17.0,16.0,12.0,56.0,14.0,58.0,3.298,1.008,43.667,32.0,175.0,6.0,17.0,16.0,12.0,56.0,14.0,58.0,3.298,1.008,28.333,19.0,110.0,2.0,8.0,7.0,5.0,35.0,9.0,32.0,2.224,0.847,16.333,9.0,61.0,2.0,5.0,4.0,2.0,18.0,4.0,17.0,2.204,0.673,42.333,32.0,170.0,6.0,16.0,15.0,11.0,54.0,14.0,58.0,3.189,1.016
10.0,147.0,2023-07-08,BOS,,OAK,"W,10-3",GS-6,W(5-1),7.0,6.0,6.0,2.0,2.0,1.0,3.0,2.0,0,2.73,3.63,24.0,93,66,18,9,11.0,9.0,2,2,0,54,,,0,0,0,23,0.0,0.0,0.0,0,0,0,0.47,0.13,0.37,0.06%,1.26,15.3,31.0,1t start tie,6t 3 out a7,,2023-07-08,111,133,717449,2023,6.0,51.333,35.0,201.0,6.0,17.0,16.0,14.0,63.0,14.0,61.0,2.805,0.955,51.333,35.0,201.0,6.0,17.0,16.0,14.0,63.0,14.0,61.0,2.805,0.955,31.0,18.0,116.0,2.0,7.0,6.0,6.0,34.0,7.0,29.0,1.742,0.774,18.0,8.0,63.0,2.0,4.0,4.0,3.0,17.0,2.0,14.0,2.0,0.611,50.0,35.0,196.0,6.0,16.0,15.0,13.0,61.0,14.0,61.0,2.7,0.96
11.0,148.0,2023-07-15,BOS,@,CHC,"L,4-10",GS-3,L(5-2),6.0,3.0,3.0,6.0,6.0,3.0,4.0,1.0,1,3.51,3.9,16.0,63,39,3,11,4.0,4.0,2,0,0,30,,,2,0,0,12,0.0,0.0,0.0,0,0,0,0.97,-0.287,0.86,-0.15%,-4.36,-1.45,3.0,1b start tie,3b 3 out d6,,2023-07-15,111,112,717403,2023,3.0,57.333,41.0,225.0,8.0,19.0,18.0,15.0,66.0,16.0,73.0,2.826,0.977,56.0,41.0,220.0,8.0,18.0,17.0,14.0,64.0,16.0,73.0,2.732,0.982,30.0,18.0,111.0,4.0,7.0,6.0,5.0,28.0,6.0,32.0,1.8,0.767,17.667,11.0,64.0,3.0,3.0,3.0,3.0,13.0,3.0,20.0,1.528,0.792,56.0,41.0,220.0,8.0,18.0,17.0,14.0,64.0,16.0,73.0,2.732,0.982
12.0,149.0,2023-07-22,BOS,,NYM,"W,8-6",GS-6,W(6-2),6.0,6.0,3.0,3.0,2.0,1.0,7.0,0.0,0,3.46,3.67,22.0,96,64,18,10,4.0,10.0,5,0,0,62,,,0,0,0,21,1.0,0.0,0.0,0,0,0,0.91,0.003,0.74,0.00%,0.26,25.1,43.0,1t start tie,6t 3 out tie,,2023-07-22,111,121,717324,2023,6.0,60.333,44.0,241.0,9.0,25.0,24.0,18.0,70.0,17.0,79.0,3.58,1.028,54.0,40.0,216.0,8.0,22.0,21.0,16.0,59.0,16.0,72.0,3.5,1.037,27.0,17.0,103.0,5.0,12.0,12.0,7.0,24.0,5.0,32.0,4.0,0.889,16.667,12.0,66.0,3.0,8.0,8.0,6.0,14.0,3.0,21.0,4.32,1.08,59.0,44.0,236.0,9.0,24.0,23.0,17.0,68.0,17.0,79.0,3.508,1.034
13.0,150.0,2023-07-29,BOS,@,SFG,"L,2-3",GS-5,,6.0,5.0,8.0,1.0,1.0,2.0,5.0,0.0,0,3.34,3.58,24.0,104,66,18,11,9.0,8.0,4,1,0,50,,,0,0,0,22,2.0,0.0,0.0,1,0,0,1.15,0.13,1.22,0.08%,1.55,13.25,27.0,1b start tie,5b 3 out d1,,2023-07-29,111,137,717221,2023,5.0,66.333,47.0,263.0,9.0,28.0,26.0,19.0,77.0,18.0,83.0,3.528,0.995,54.0,38.0,214.0,7.0,24.0,22.0,15.0,61.0,16.0,68.0,3.667,0.981,26.667,17.0,102.0,4.0,12.0,11.0,7.0,24.0,5.0,30.0,3.713,0.9,15.0,12.0,62.0,3.0,11.0,10.0,5.0,14.0,4.0,22.0,6.0,1.133,65.0,47.0,258.0,9.0,27.0,25.0,18.0,75.0,18.0,83.0,3.462,1.0
