Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,1,113,2021-08-12,CLE,,OAK,"L,0-17",5-6,,99,1.1,3,3,3,3,0,0,0,20.25,9.92,10,46,26,7,2,2,5,2,1,0,,3,3,0,0,0,6,0,0,0,0,1,0,.12,-0.014,.03,0.00%,-3.32,,,5t 123 0 out d6,6t 1-3 1 out d11,,2021-08-12,114,133,632900
2,2,141,2021-09-12,CLE,,MIL,"L,1-11",4-5,,30,2.0,1,0,0,0,1,0,0,8.10,5.27,7,31,20,5,2,3,3,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.08,0.010,.00,0.00%,1.04,,,4t --- 0 out d7,5t 3 out d7,,2021-09-12,114,158,632510
3,3,149,2021-09-20,CLE,,KCR,"L,2-4",1-3,,7,2.1,2,0,0,0,2,0,0,4.76,3.70,8,33,20,7,3,1,5,2,0,0,,2,0,0,0,0,8,1,0,0,0,0,0,.85,0.121,.00,0.00%,1.56,,,1t 1-3 2 out d2,3t 3 out d2,2.0,2021-09-20,114,118,633394
4,4,151,2021-09-23,CLE,,CHW,"L,2-7",7-GF(7),,2,1.0,0,0,0,0,2,0,0,4.05,3.02,3,12,7,3,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.002,.00,0.00%,0.52,,,7t --- 0 out d5,7t end d 5,1.0,2021-09-23,114,145,633866
1,5,14,2022-04-20,WSN,,ARI,"L,2-11",4-4,,99,0.2,1,1,1,1,0,0,0,13.50,7.61,4,13,6,2,0,1,2,1,1,0,,1,1,0,0,0,3,1,0,0,0,0,0,.14,-0.025,.13,-0.01%,-1.50,-1.70,-1.00,4t 1-- 1 out d6,4t 3 out d8,,2022-04-20,120,109,662560
2,6,16,2022-04-22,WSN,,SFG,"L,1-7",6-6,,1,1.0,0,0,0,2,0,0,0,5.40,8.51,5,16,7,2,0,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.002,.03,0.00%,0.47,1.05,3.00,6t --- 0 out d7,6t 3 out d7,,2022-04-22,120,137,662557
3,7,17,2022-04-23,WSN,,SFG,"L,2-5",7-7,,0,1.0,0,0,0,0,0,0,0,3.38,6.49,3,8,7,2,1,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.24,0.018,.17,0.01%,0.47,2.25,3.00,7t --- 0 out d3,7t 3 out d3,,2022-04-23,120,137,662549
4,8,22,2022-04-29,WSN,@,SFG,"W,14-4",8-8,,5,0.2,1,0,0,2,1,0,0,2.70,7.01,5,29,13,3,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.000,.00,0.00%,-0.28,1.70,5.00,8b --- 0 out a10,8b 123 2 out a10,,2022-04-29,120,137,662081
5,9,23,2022-04-30,WSN,@,SFG,"L,3-9",8-GF(8),,0,1.0,1,0,0,1,2,0,0,2.08,5.88,5,31,20,3,4,0,2,1,1,0,,0,0,1,0,0,4,0,0,0,0,0,0,.01,0.000,.00,0.00%,0.48,5.05,9.00,8b --- 0 out d6,8b end d 6,,2022-04-30,120,137,662084
6,10,51,2022-05-31,WSN,@,NYM,"L,0-10",6-6,,30,1.0,3,2,2,0,1,1,0,5.06,7.42,6,,,7,3,2,3,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.01,-0.002,.00,0.00%,-1.53,-1.55,0.00,6b --- 0 out d8,6b 3 out d10,,2022-05-31,120,121,662544
