Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,95,2021-04-05,BOS,,TBR,"W,11-2",GS-5,W(1-0),99,5.0,2.0,0.0,0.0,4.0,4.0,0.0,0,0.0,3.97,20.0,92.0,52.0,15,10,3,9,2,1,0,63.0,,,0,0,0,16,1.0,0.0,0.0,1,0,0,1.18,0.278,1.02,0.14%,2.79,,,1t start tie,5t 3 out a3,,2021-04-05,111,139,634601,2021,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,96,2021-04-11,BOS,@,BAL,"W,14-9",GS-6,W(2-0),5,6.0,7.0,4.0,4.0,3.0,7.0,1.0,0,3.27,4.26,26.0,101.0,65.0,8,12,5,11,7,1,0,46.0,,,0,0,0,22,1.0,1.0,0.0,1,0,0,0.79,0.119,0.95,0.09%,-0.84,,,1b start tie,6b 3 out a6,,2021-04-11,111,110,632200,2021,6.0,5.0,2.0,20.0,0.0,0.0,0.0,4.0,4.0,1.0,3.0,0.0,1.2,5.0,2.0,20.0,0.0,0.0,0.0,4.0,4.0,1.0,3.0,0.0,1.2,5.0,2.0,20.0,0.0,0.0,0.0,4.0,4.0,1.0,3.0,0.0,1.2
3,97,2021-04-17,BOS,,CHW,"W,7-4",GS-4,,5,3.2,4.0,2.0,2.0,4.0,3.0,0.0,0,3.68,4.4,19.0,,,7,9,5,7,4,1,0,44.0,,,0,0,0,15,1.0,0.0,0.0,0,0,0,1.09,-0.004,1.33,0.00%,0.12,,,1t start tie,4t --- 2 out tie,,2021-04-17,111,145,634471,2021,3.667,11.0,9.0,46.0,1.0,4.0,4.0,7.0,11.0,4.0,16.0,3.273,1.455,11.0,9.0,46.0,1.0,4.0,4.0,7.0,11.0,4.0,16.0,3.273,1.455,11.0,9.0,46.0,1.0,4.0,4.0,7.0,11.0,4.0,16.0,3.273,1.455
4,98,2021-04-22,BOS,,SEA,"L,3-7",GS-6,,4,6.0,1.0,2.0,2.0,3.0,4.0,0.0,0,3.48,4.09,20.0,86.0,55.0,20,4,5,8,3,0,0,63.0,,,0,0,0,17,1.0,0.0,0.0,1,0,0,0.9,0.102,1.11,0.08%,1.35,,,1t start tie,6t 3 out tie,,2021-04-22,111,136,634508,2021,6.0,14.667,13.0,65.0,1.0,6.0,6.0,11.0,14.0,5.0,21.0,3.682,1.636,14.667,13.0,65.0,1.0,6.0,6.0,11.0,14.0,5.0,21.0,3.682,1.636,14.667,13.0,65.0,1.0,6.0,6.0,11.0,14.0,5.0,21.0,3.682,1.636
5,99,2021-04-28,BOS,@,NYM,"W,1-0",GS-5,W(3-0),5,5.0,1.0,0.0,0.0,3.0,7.0,0.0,1,2.81,3.83,19.0,93.0,55.0,14,14,4,4,2,1,0,69.0,,,0,0,0,15,0.0,0.0,0.0,1,0,0,1.17,0.3,1.38,0.21%,2.46,,,1b start tie,5b 3 out a1,,2021-04-28,111,121,634310,2021,5.0,20.667,14.0,85.0,1.0,8.0,8.0,14.0,18.0,6.0,23.0,3.484,1.355,20.667,14.0,85.0,1.0,8.0,8.0,14.0,18.0,6.0,23.0,3.484,1.355,20.667,14.0,85.0,1.0,8.0,8.0,14.0,18.0,6.0,23.0,3.484,1.355
6,100,2021-05-04,BOS,,DET,"W,11-7",GS-5,W(4-0),5,5.0,6.0,3.0,3.0,2.0,8.0,0.0,0,3.23,3.4,22.0,100.0,65.0,18,7,9,3,2,0,0,49.0,,,1,0,0,20,1.0,0.0,0.0,1,0,0,0.83,0.008,1.03,0.01%,-0.21,,,1t start tie,5t 3 out a5,,2021-05-04,111,116,634241,2021,5.0,25.667,15.0,104.0,1.0,8.0,8.0,17.0,25.0,6.0,24.0,2.805,1.247,25.667,15.0,104.0,1.0,8.0,8.0,17.0,25.0,6.0,24.0,2.805,1.247,25.667,15.0,104.0,1.0,8.0,8.0,17.0,25.0,6.0,24.0,2.805,1.247
7,101,2021-05-09,BOS,@,BAL,"W,4-3",GS-6,W(5-0),4,6.0,3.0,2.0,2.0,3.0,2.0,1.0,0,3.19,3.85,24.0,103.0,72.0,14,8,7,12,5,2,0,57.0,,,0,0,0,21,0.0,0.0,0.0,0,0,0,1.02,0.116,1.46,0.10%,1.16,,,1b start tie,6b 3 out a1,,2021-05-09,111,110,634177,2021,6.0,30.667,21.0,126.0,1.0,11.0,11.0,19.0,33.0,7.0,31.0,3.228,1.304,25.667,19.0,106.0,1.0,11.0,11.0,15.0,29.0,6.0,28.0,3.857,1.325,30.667,21.0,126.0,1.0,11.0,11.0,19.0,33.0,7.0,31.0,3.228,1.304
8,102,2021-05-14,BOS,,LAA,"W,4-3",GS-7,,4,6.0,4.0,2.0,2.0,0.0,7.0,1.0,0,3.16,3.73,22.0,92.0,68.0,21,12,3,12,3,2,0,63.0,,,0,0,0,22,1.0,0.0,0.0,0,0,0,0.84,0.18,1.08,0.14%,1.95,,,1t start tie,7t 1-- 0 out a1,,2021-05-14,111,108,634138,2021,6.0,36.667,24.0,150.0,2.0,13.0,13.0,22.0,35.0,8.0,37.0,3.191,1.255,25.667,15.0,104.0,1.0,9.0,9.0,15.0,24.0,4.0,21.0,3.156,1.169,36.667,24.0,150.0,2.0,13.0,13.0,22.0,35.0,8.0,37.0,3.191,1.255
9,103,2021-05-20,BOS,@,TOR,"W,8-7",GS-5,,5,5.0,7.0,5.0,4.0,2.0,8.0,0.0,0,3.59,3.46,25.0,,,19,12,6,9,5,0,0,41.0,,,0,0,0,23,4.0,0.0,0.0,0,0,1,1.27,-0.255,1.92,-0.23%,-2.29,,,1b start tie,5b 3 out tie,,2021-05-20,111,141,634018,2021,5.0,42.667,28.0,172.0,3.0,15.0,15.0,22.0,42.0,10.0,45.0,3.164,1.172,28.0,15.0,107.0,2.0,9.0,9.0,11.0,28.0,5.0,24.0,2.893,0.929,42.667,28.0,172.0,3.0,15.0,15.0,22.0,42.0,10.0,45.0,3.164,1.172
10,104,2021-05-26,BOS,,ATL,"W,9-5",GS-6,W(6-0),5,6.0,7.0,4.0,4.0,2.0,9.0,1.0,0,3.86,3.45,27.0,102.0,68.0,17,16,4,12,3,3,0,49.0,,,0,0,0,24,3.0,1.0,0.0,0,1,0,0.84,-0.109,1.08,-0.09%,-0.65,,,1t start tie,6t 3 out d1,,2021-05-26,111,144,633993,2021,6.0,47.667,35.0,197.0,3.0,20.0,19.0,24.0,50.0,14.0,56.0,3.587,1.238,27.0,21.0,112.0,2.0,12.0,11.0,10.0,32.0,8.0,33.0,3.667,1.148,47.667,35.0,197.0,3.0,20.0,19.0,24.0,50.0,14.0,56.0,3.587,1.238
