Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,322,2021-04-02,LAD,@,COL,"W,11-6",7-8,,99,1.2,5.0,2.0,2.0,0.0,2.0,2.0,0,10.8,16.37,9.0,27.0,18.0,3,3,2,5,3,0,0,,0.0,0.0,0,0,0,9,0.0,0.0,0.0,0,0,0,0.54,-0.006,0.57,0.00%,-1.11,,,7b --- 1 out a6,8b 3 out a5,,2021-04-02,119,115,634653,2021,1.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,323,2021-04-05,LAD,@,OAK,"W,10-3",7-8,,2,2.0,4.0,3.0,3.0,2.0,0.0,1.0,0,12.27,14.35,12.0,47.0,27.0,6,3,5,5,3,0,0,,0.0,0.0,0,0,0,10,0.0,0.0,0.0,0,0,0,0.1,0.002,0.1,0.00%,-2.01,,,7b --- 0 out a8,8b 3 out a6,,2021-04-05,119,133,634600,2021,2.0,1.667,5.0,9.0,2.0,2.0,2.0,0.0,2.0,2.0,11.0,10.8,3.0,1.667,5.0,9.0,2.0,2.0,2.0,0.0,2.0,2.0,11.0,10.8,3.0,1.667,5.0,9.0,2.0,2.0,2.0,0.0,2.0,2.0,11.0,10.8,3.0,1.667,5.0,9.0,2.0,2.0,2.0,0.0,2.0,2.0,11.0,10.8,3.0,1.667,5.0,9.0,2.0,2.0,2.0,0.0,2.0,2.0,11.0,10.8,3.0
3,324,2021-04-13,LAD,,COL,"W,7-0",8-8,,7,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0,9.64,11.1,3.0,11.0,9.0,3,3,0,1,1,0,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.04,0.003,0.05,0.00%,0.53,,,8t --- 0 out a7,8t 3 out a7,,2021-04-13,119,115,632212,2021,1.0,3.667,9.0,21.0,3.0,5.0,5.0,2.0,2.0,3.0,18.0,12.273,3.0,3.667,9.0,21.0,3.0,5.0,5.0,2.0,2.0,3.0,18.0,12.273,3.0,3.667,9.0,21.0,3.0,5.0,5.0,2.0,2.0,3.0,18.0,12.273,3.0,3.667,9.0,21.0,3.0,5.0,5.0,2.0,2.0,3.0,18.0,12.273,3.0,3.667,9.0,21.0,3.0,5.0,5.0,2.0,2.0,3.0,18.0,12.273,3.0
4,325,2021-04-15,LAD,,COL,"W,7-5",9-GF,S(1),1,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0,7.94,8.99,5.0,,,3,4,2,1,0,0,0,,0.0,0.0,0,0,0,5,0.0,0.0,0.0,0,0,0,3.14,0.078,3.98,0.06%,0.53,,,9t --- 0 out a2,9t end a 2,,2021-04-15,119,115,634547,2021,1.0,4.667,9.0,24.0,3.0,5.0,5.0,2.0,4.0,3.0,18.0,9.643,2.357,4.667,9.0,24.0,3.0,5.0,5.0,2.0,4.0,3.0,18.0,9.643,2.357,4.667,9.0,24.0,3.0,5.0,5.0,2.0,4.0,3.0,18.0,9.643,2.357,4.667,9.0,24.0,3.0,5.0,5.0,2.0,4.0,3.0,18.0,9.643,2.357,4.667,9.0,24.0,3.0,5.0,5.0,2.0,4.0,3.0,18.0,9.643,2.357
5,326,2021-04-16,LAD,@,SDP,"W,11-6",11-GF(12),W(1-0),0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0,5.87,6.82,7.0,,,8,1,1,1,0,0,0,,0.0,0.0,0,0,0,6,0.0,0.0,1.0,0,0,0,2.59,0.323,3.62,0.27%,2.17,,,11b -2- 0 out tie,12b end a 5,,2021-04-16,119,135,634531,2021,2.0,5.667,11.0,29.0,3.0,5.0,5.0,2.0,6.0,3.0,20.0,7.941,2.294,5.667,11.0,29.0,3.0,5.0,5.0,2.0,6.0,3.0,20.0,7.941,2.294,5.667,11.0,29.0,3.0,5.0,5.0,2.0,6.0,3.0,20.0,7.941,2.294,4.0,6.0,20.0,1.0,3.0,3.0,2.0,4.0,1.0,9.0,6.75,2.0,5.667,11.0,29.0,3.0,5.0,5.0,2.0,6.0,3.0,20.0,7.941,2.294
6,327,2021-04-19,LAD,@,SEA,"L,3-4",6-6,,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,5.19,6.75,4.0,16.0,10.0,5,0,2,1,0,1,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.83,0.047,1.01,0.03%,0.5,,,6b --- 0 out d1,6b 3 out d1,,2021-04-19,119,136,634421,2021,1.0,7.667,11.0,36.0,3.0,5.0,5.0,3.0,10.0,3.0,20.0,5.87,1.826,7.667,11.0,36.0,3.0,5.0,5.0,3.0,10.0,3.0,20.0,5.87,1.826,7.667,11.0,36.0,3.0,5.0,5.0,3.0,10.0,3.0,20.0,5.87,1.826,4.0,2.0,15.0,0.0,0.0,0.0,1.0,8.0,0.0,2.0,0.0,0.75,7.667,11.0,36.0,3.0,5.0,5.0,3.0,10.0,3.0,20.0,5.87,1.826
7,328,2021-04-25,LAD,,SDP,"L,7-8",7-7,,5,1.0,3.0,2.0,1.0,0.0,1.0,0.0,0,5.59,6.17,6.0,,,1,1,4,1,1,0,0,,0.0,0.0,0,0,0,6,0.0,0.0,0.0,1,0,0,0.75,-0.013,1.07,-0.01%,-1.47,,,7t --- 0 out a6,7t 3 out a4,,2021-04-25,119,135,634356,2021,1.0,8.667,11.0,40.0,3.0,5.0,5.0,4.0,10.0,3.0,20.0,5.192,1.731,8.667,11.0,40.0,3.0,5.0,5.0,4.0,10.0,3.0,20.0,5.192,1.731,7.0,6.0,31.0,1.0,3.0,3.0,4.0,8.0,1.0,9.0,3.857,1.429,4.0,2.0,16.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0,0.0,1.0,8.667,11.0,40.0,3.0,5.0,5.0,4.0,10.0,3.0,20.0,5.192,1.731
8,329,2021-05-18,LAD,,ARI,"W,9-1",8-8,,22,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,5.06,5.7,3.0,7.0,5.0,2,1,1,1,1,0,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.04,0.003,0.05,0.00%,0.53,,,8t --- 0 out a7,8t 3 out a7,,2021-05-18,119,109,634092,2021,1.0,9.667,14.0,46.0,3.0,7.0,6.0,4.0,11.0,3.0,23.0,5.586,1.862,9.667,14.0,46.0,3.0,7.0,6.0,4.0,11.0,3.0,23.0,5.586,1.862,6.0,5.0,25.0,0.0,2.0,1.0,2.0,9.0,0.0,5.0,1.5,1.167,4.0,3.0,17.0,0.0,2.0,1.0,2.0,5.0,0.0,3.0,2.25,1.25,9.667,14.0,46.0,3.0,7.0,6.0,4.0,11.0,3.0,23.0,5.586,1.862
9,330,2021-05-20,LAD,,ARI,"W,3-2",GS-2,,1,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0,4.26,5.14,8.0,31.0,22.0,6,2,6,1,0,1,0,51.0,,,0,0,0,8,2.0,0.0,0.0,1,0,0,0.98,0.101,1.19,0.07%,1.05,,,1t start tie,2t 3 out tie,,2021-05-20,119,109,634059,2021,2.0,10.667,14.0,49.0,3.0,7.0,6.0,4.0,12.0,3.0,23.0,5.062,1.688,10.667,14.0,49.0,3.0,7.0,6.0,4.0,12.0,3.0,23.0,5.062,1.688,6.0,5.0,25.0,0.0,2.0,1.0,2.0,8.0,0.0,5.0,1.5,1.167,3.0,3.0,13.0,0.0,2.0,1.0,1.0,2.0,0.0,3.0,3.0,1.333,10.667,14.0,49.0,3.0,7.0,6.0,4.0,12.0,3.0,23.0,5.062,1.688
10,331,2021-05-23,LAD,@,SFG,"W,11-5",7-7,,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,3.95,4.85,4.0,,,3,1,2,1,0,1,0,,0.0,0.0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.03,0.002,0.04,0.00%,0.5,,,7b --- 0 out a9,7b 3 out a9,,2021-05-23,119,137,633980,2021,1.0,12.667,17.0,57.0,3.0,7.0,6.0,4.0,13.0,5.0,28.0,4.263,1.658,12.667,17.0,57.0,3.0,7.0,6.0,4.0,13.0,5.0,28.0,4.263,1.658,7.0,6.0,28.0,0.0,2.0,1.0,2.0,7.0,2.0,8.0,1.286,1.143,4.0,6.0,17.0,0.0,2.0,1.0,0.0,3.0,2.0,8.0,2.25,1.5,12.667,17.0,57.0,3.0,7.0,6.0,4.0,13.0,5.0,28.0,4.263,1.658
