Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,1,105,2022-08-04,TEX,,CHW,"W,3-2",GS-5,,99,5.0,3,1,0,4,3,0,0,0.0,4.31,22,93.0,55.0,7,9,7,8,2,3,0,58.0,,,0,0,0,18,0,0,0,2,0,1,1.42,0.159,0.11,0.01%,1.42,13.05,24.0,1t start tie,5t 3 out tie,,2022-08-04,140,145,661817
2,2,111,2022-08-11,TEX,@,HOU,"L,3-7",GS-5,L(0-1),6,4.1,6,5,5,3,1,2,0,4.82,7.29,22,88.0,49.0,10,5,4,14,5,3,0,29.0,,,0,0,0,19,1,0,0,0,0,0,0.74,-0.235,0.04,-0.01%,-2.88,-3.65,1.0,1b start tie,5b --- 1 out d5,,2022-08-11,140,117,662722
3,3,117,2022-08-17,TEX,,OAK,"L,2-7",GS-5,L(0-2),5,5.0,4,3,3,1,3,2,0,5.02,7.44,20,83.0,56.0,13,11,5,11,3,3,0,49.0,,,0,0,0,19,0,0,0,0,0,0,0.77,-0.116,0.02,0.00%,-0.58,8.25,15.0,1t start tie,5t 3 out d2,,2022-08-17,140,133,661788
4,4,122,2022-08-22,TEX,@,MIN,"W,2-1",GS-4,,4,4.0,5,1,1,2,2,0,0,4.42,6.6,18,89.0,55.0,8,8,5,9,5,1,0,48.0,,,1,1,0,16,1,2,0,0,0,0,1.22,0.063,0.04,0.00%,0.89,6.8,15.0,1b start tie,4b 3 out d1,,2022-08-22,140,142,661658
5,5,136,2022-09-07,TEX,@,HOU,"L,3-4",GS-3,,15,3.0,0,0,0,3,3,0,0,3.8,6.25,11,,,3,6,2,3,2,1,0,59.0,,,0,1,0,8,0,0,0,0,0,0,1.2,0.15,0.0,0.00%,1.42,10.95,18.0,1b start a 1,3b 3 out a3,,2022-09-07,140,117,661086
6,6,142,2022-09-13,TEX,,OAK,"W,8-7",GS-5,,5,4.0,8,7,7,1,5,1,0,5.68,5.99,21,70.0,48.0,10,12,6,9,6,0,0,22.0,,,0,0,0,20,2,0,0,0,0,0,0.78,-0.411,0.0,0.00%,-4.69,-0.4,6.0,1t start tie,5t -2- 0 out d4,,2022-09-13,140,133,661838
7,7,147,2022-09-20,TEX,,LAA,"L,2-5",GS-5,,6,4.2,7,2,2,0,5,1,0,5.4,5.65,19,84.0,52.0,14,10,7,7,5,2,0,47.0,,,0,0,0,19,1,0,0,1,0,0,0.99,0.013,0.0,0.00%,0.32,12.3,23.0,1t start tie,5t --- 2 out d1,,2022-09-20,140,108,661837
8,8,152,2022-09-25,TEX,,CLE,"L,4-10",GS-5,L(0-3),4,5.0,6,4,3,1,3,0,0,5.4,5.2,21,79.0,52.0,13,7,6,11,6,4,0,43.0,,,2,0,0,20,0,0,0,2,0,0,0.89,-0.205,0.0,0.00%,-1.58,7.05,15.0,1t start tie,5t 3 out d3,,2022-09-25,140,114,661828
9,9,157,2022-10-01,TEX,@,LAA,"L,2-3",GS-5,,5,5.0,4,1,1,1,2,0,0,4.95,4.91,20,71.0,43.0,2,9,7,10,4,1,0,56.0,,,0,0,0,19,2,0,0,0,0,0,0.85,0.119,0.0,0.00%,1.44,10.25,18.0,1b start tie,5b 3 out d1,,2022-10-01,140,108,663405
1,10,1,2023-03-30,TEX,,PHI,"W,11-7",4-4,W(1-0),99,0.1,1,0,0,1,0,0,0,0.0,12.26,3,5.0,3.0,0,0,1,1,0,0,0,,1.0,1.0,0,0,0,2,1,0,1,0,0,0,0.45,-0.037,0.4,-0.02%,-0.67,3.55,7.0,4t -2- 2 out d4,4t 3 out d5,,2023-03-30,140,143,718779
