Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,17,2021-05-21,SEA,@,SDP,"L,1-16",6-7,,99,2.0,2.0,3.0,3.0,1.0,3.0,1.0,0,13.5,8.17,9.0,37.0,22.0,4,5,1,4,1,0,0,,0,0,0,0,0,8,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.00%,-2.06,,,6b --- 0 out d11,7b 3 out d14,,2021-05-21,136,135,634019,2021,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,18,2021-05-26,SEA,@,OAK,"L,3-6",7-GF(8),,4,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0,6.75,5.92,6.0,22.0,10.0,3,2,2,2,0,1,0,,0,0,0,0,0,5,0.0,0.0,0.0,1,0,0,0.1,0.008,0.1,0.01%,0.99,,,7b --- 0 out d6,8b end d 3,,2021-05-26,136,133,634074,2021,2.0,2.0,2.0,9.0,1.0,3.0,3.0,1.0,3.0,1.0,5.0,13.5,1.5,2.0,2.0,9.0,1.0,3.0,3.0,1.0,3.0,1.0,5.0,13.5,1.5,2.0,2.0,9.0,1.0,3.0,3.0,1.0,3.0,1.0,5.0,13.5,1.5
3,19,2021-06-27,SEA,@,CHW,"L,5-7",6-GF(6),,31,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,5.4,4.97,3.0,17.0,11.0,3,3,0,2,0,1,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.02,0.002,0.02,0.00%,0.53,,,6b --- 0 out d5,6b end d 5,,2021-06-27,136,145,633501,2021,1.0,4.0,2.0,15.0,1.0,3.0,3.0,2.0,4.0,1.0,5.0,6.75,1.0,4.0,2.0,15.0,1.0,3.0,3.0,2.0,4.0,1.0,5.0,6.75,1.0,4.0,2.0,15.0,1.0,3.0,3.0,2.0,4.0,1.0,5.0,6.75,1.0
4,20,2021-06-29,SEA,@,TOR,"L,3-9",8-GF(8),,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,4.5,4.34,3.0,8.0,8.0,4,2,2,0,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.01,0.001,0.01,0.00%,0.54,,,8b --- 0 out d6,8b end d 6,,2021-06-29,136,141,633497,2021,1.0,5.0,2.0,18.0,1.0,3.0,3.0,2.0,5.0,1.0,5.0,5.4,0.8,5.0,2.0,18.0,1.0,3.0,3.0,2.0,5.0,1.0,5.0,5.4,0.8,5.0,2.0,18.0,1.0,3.0,3.0,2.0,5.0,1.0,5.0,5.4,0.8
5,21,2021-07-03,SEA,,TEX,"L,3-7",7-GF,,3,3.0,1.0,0.0,0.0,1.0,4.0,0.0,0,3.0,3.39,11.0,39.0,26.0,5,8,3,3,1,0,0,,0,0,1,0,0,10,0.0,0.0,0.0,0,0,0,0.08,0.014,0.08,0.01%,1.49,,,7t --- 0 out d5,9t end d 4,,2021-07-03,136,140,633379,2021,3.0,6.0,2.0,21.0,1.0,3.0,3.0,2.0,6.0,1.0,5.0,4.5,0.667,6.0,2.0,21.0,1.0,3.0,3.0,2.0,6.0,1.0,5.0,4.5,0.667,6.0,2.0,21.0,1.0,3.0,3.0,2.0,6.0,1.0,5.0,4.5,0.667
6,22,2021-07-11,SEA,,LAA,"L,1-7",5-5,L(0-1),7,0.1,1.0,2.0,2.0,1.0,0.0,0.0,1,4.82,4.03,4.0,16.0,8.0,4,0,2,0,0,0,0,,0,0,0,0,0,1,0.0,0.0,0.0,0,0,0,1.89,-0.258,2.22,-0.18%,-2.03,,,5t --- 0 out tie,5t 1-- 1 out d2,,2021-07-11,136,108,633318,2021,0.333,9.0,3.0,32.0,1.0,3.0,3.0,3.0,10.0,1.0,6.0,3.0,0.667,9.0,3.0,32.0,1.0,3.0,3.0,3.0,10.0,1.0,6.0,3.0,0.667,9.0,3.0,32.0,1.0,3.0,3.0,3.0,10.0,1.0,6.0,3.0,0.667
7,23,2021-07-21,SEA,@,COL,"L,3-6",8-GF(8),,9,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0,4.35,3.85,4.0,19.0,10.0,3,4,0,1,1,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.12,0.009,0.13,0.01%,0.58,,,8b --- 0 out d3,8b end d 3,,2021-07-21,136,115,633190,2021,1.0,9.333,4.0,36.0,1.0,5.0,5.0,4.0,10.0,1.0,7.0,4.821,0.857,7.333,2.0,27.0,0.0,2.0,2.0,3.0,7.0,0.0,2.0,2.455,0.682,9.333,4.0,36.0,1.0,5.0,5.0,4.0,10.0,1.0,7.0,4.821,0.857
8,24,2021-08-15,SEA,,TOR,"L,3-8",8-GF,,24,2.0,2.0,2.0,2.0,0.0,3.0,2.0,0,5.11,5.36,8.0,28.0,20.0,5,7,3,2,0,0,0,,0,0,0,0,0,8,0.0,0.0,0.0,0,0,0,0.04,-0.014,0.03,-0.01%,-1.01,,,8t --- 0 out d5,9t end d 5,,2021-08-15,136,141,632857,2021,2.0,10.333,4.0,40.0,1.0,5.0,5.0,5.0,12.0,1.0,7.0,4.355,0.871,6.333,2.0,25.0,0.0,2.0,2.0,3.0,8.0,0.0,2.0,2.842,0.789,10.333,4.0,40.0,1.0,5.0,5.0,5.0,12.0,1.0,7.0,4.355,0.871
9,25,2021-08-20,SEA,@,HOU,"L,3-12",7-GF(8),,4,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0,4.4,4.5,6.0,25.0,16.0,8,4,1,1,1,0,0,,0,0,0,0,0,6,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.00%,1.05,,,7b --- 0 out d10,8b end d 9,,2021-08-20,136,117,632774,2021,2.0,12.333,6.0,48.0,3.0,7.0,7.0,5.0,15.0,3.0,15.0,5.108,0.892,7.333,4.0,30.0,2.0,4.0,4.0,3.0,10.0,2.0,10.0,4.909,0.955,12.333,6.0,48.0,3.0,7.0,7.0,5.0,15.0,3.0,15.0,5.108,0.892
10,26,2021-08-22,SEA,@,HOU,"W,6-3",11-GF(11),S(1),1,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0,4.2,4.3,2.0,,,2,1,0,1,1,0,0,,3,0,0,0,0,2,0.0,0.0,0.0,0,0,0,4.45,0.208,4.33,0.12%,1.6,,,11b 123 1 out a3,11b end a 3,,2021-08-22,136,117,632793,2021,0.667,14.333,6.0,54.0,3.0,7.0,7.0,5.0,19.0,3.0,15.0,4.395,0.767,8.333,4.0,33.0,2.0,4.0,4.0,3.0,13.0,2.0,10.0,4.32,0.84,14.333,6.0,54.0,3.0,7.0,7.0,5.0,19.0,3.0,15.0,4.395,0.767
