Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1.0,36.0,161.0,2021-10-02,MIL,@,LAD,"L,3-8",3-GF(8),,99.0,6.0,7,5,5,0,5,2,0,7.5,5.84,24,91,57,13,9,4.0,15.0,3,2,0,,0.0,0.0,0,0,0,23,2,0,0,1,1,0,0.24,-0.123,0.0,0.00%,-1.84,,,3b --- 0 out d2,8b end d 7,,2021-10-02,158,119,632260
1.0,37.0,13.0,2023-04-13,MIL,@,SDP,"W,4-3",GS-6,,99.0,5.2,2,1,1,1,6,1,0,1.59,3.96,19,83,49,14,6,6.0,6.0,0,1,0,66.0,,,0,0,0,18,0,0,0,1,0,0,0.92,0.258,1.06,0.18%,1.88,20.95,32.0,1b start a 2,6b --- 2 out a2,,2023-04-13,158,135,718589
2.0,38.0,18.0,2023-04-18,MIL,@,SEA,"W,6-5",GS-5,,4.0,5.0,5,4,4,2,2,0,1,4.22,4.1,23,73,48,17,3,7.0,11.0,5,0,0,41.0,,,0,0,0,19,1,0,0,0,1,0,1.16,-0.207,1.32,-0.14%,-1.57,2.45,9.0,1b start a 1,5b 3 out d1,,2023-04-18,158,136,718517
3.0,39.0,23.0,2023-04-24,MIL,,DET,"L,2-4",GS-5,L(0-1),5.0,5.0,5,4,4,4,1,1,0,5.17,5.3,21,79,41,9,6,11.0,5.0,2,0,0,38.0,,,0,1,0,17,1,0,0,2,0,0,1.07,-0.202,1.26,-0.14%,-1.41,-0.15,6.0,1t start tie,5t 3 out d2,,2023-04-24,158,116,718441
4.0,40.0,28.0,2023-04-30,MIL,,LAA,"L,0-3",GS-5,L(0-2),5.0,5.0,3,2,2,1,9,2,0,4.79,5.34,19,86,57,13,10,6.0,3.0,0,1,0,61.0,,,1,0,0,18,0,0,0,0,0,0,0.74,0.014,0.85,0.01%,0.6,22.85,36.0,1t start tie,5t 3 out d2,,2023-04-30,158,108,718365
5.0,41.0,33.0,2023-05-06,MIL,@,SFG,"L,1-4",GS-6,L(0-3),5.0,6.0,4,3,3,1,4,1,0,4.73,5.17,23,89,59,14,8,9.0,9.0,1,4,0,55.0,,,0,0,0,22,1,0,0,0,0,0,0.53,-0.096,0.63,-0.07%,0.05,12.5,25.0,1b start tie,6b 3 out d3,,2023-05-06,158,137,718287
6.0,42.0,37.0,2023-05-10,MIL,,LAD,"L,1-8",6-6,,3.0,0.2,2,1,1,2,0,0,0,4.94,5.34,6,27,16,3,2,1.0,3.0,1,0,0,,1.0,1.0,0,0,0,3,0,0,0,0,1,0,0.13,-0.028,0.16,-0.02%,-1.88,-2.9,-1.0,6t 1-- 0 out d5,6t 123 2 out d7,,2023-05-10,158,119,718228
7.0,43.0,40.0,2023-05-14,MIL,,KCR,"W,9-6",GS-4,,3.0,3.2,6,4,4,2,3,1,0,5.52,5.51,19,81,47,13,8,6.0,8.0,5,1,0,34.0,,,0,0,0,16,1,0,0,0,1,0,1.08,-0.232,1.29,-0.17%,-2.03,1.45,8.0,1t start tie,4t --- 2 out a4,,2023-05-14,158,118,718177
8.0,44.0,48.0,2023-05-23,MIL,,HOU,"W,6-0",GS-6,W(1-3),8.0,5.1,4,0,0,2,4,0,1,4.71,5.21,22,82,51,18,7,9.0,6.0,2,0,0,62.0,,,0,0,0,19,0,0,0,1,0,0,0.96,0.223,1.11,0.16%,2.18,19.8,34.0,1t start tie,6t 12- 1 out a2,,2023-05-23,158,117,718056
9.0,45.0,53.0,2023-05-28,MIL,,SFG,"W,7-5",GS-7,W(2-3),4.0,6.0,5,4,4,0,6,2,1,4.89,5.33,24,90,62,18,11,8.0,9.0,3,2,0,52.0,,,0,0,0,22,0,0,0,0,0,0,0.49,0.046,0.6,0.03%,-0.89,17.9,30.0,1t start tie,7t --- 0 out a3,,2023-05-28,158,137,717986
