Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1.0,1.0,162.0,2022-10-05,TEX,,NYY,"W,4-2",7-7,H(1),99.0,1.0,1,0,0,0,1,0,0,0.0,1.11,4,18,13,2,1,2.0,1.0,1,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,1.07,0.069,0.0,0.00%,0.48,3.65,6.0,7t --- 0 out a2,7t 3 out a2,,2022-10-05,140,147,661996
1.0,2.0,28.0,2023-04-30,TEX,,NYY,"W,15-2",9-GF,,99.0,1.0,2,1,1,2,1,0,0,9.0,7.26,7,33,20,4,2,3.0,1.0,1,0,0,,0.0,0.0,0,0,0,5,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,-0.47,-0.15,3.0,9t --- 0 out a14,9t end a13,,2023-04-30,140,147,718356
2.0,3.0,30.0,2023-05-03,TEX,,ARI,"L,7-12",9-GF,,2.0,1.0,1,0,0,0,0,0,0,4.5,5.26,4,16,11,1,1,1.0,3.0,1,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.03,0.002,0.03,0.00%,0.53,1.65,3.0,9t --- 0 out d5,9t end d 5,,2023-05-03,140,109,718325
3.0,4.0,32.0,2023-05-06,TEX,@,LAA,"W,10-1",9-GF,,2.0,1.0,1,1,1,0,0,1,0,6.0,8.92,4,19,12,5,1,1.0,3.0,1,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,-0.47,-0.35,0.0,9b --- 0 out a10,9b end a 9,,2023-05-06,140,108,718275
4.0,5.0,40.0,2023-05-14,TEX,@,OAK,"W,11-3",8-8,,7.0,1.0,0,0,0,0,0,0,0,4.5,7.51,3,13,7,2,1,1.0,2.0,0,1,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.02,0.002,0.03,0.00%,0.47,2.25,3.0,8b --- 0 out a8,8b 3 out a8,,2023-05-14,140,133,718172
5.0,6.0,64.0,2023-06-11,TEX,@,TBR,"L,3-7",8-GF(8),,27.0,1.0,1,0,0,0,2,0,0,3.6,5.86,4,14,11,1,4,1.0,1.0,1,0,0,,0.0,0.0,0,0,0,4,1,0,0,0,0,0,0.05,0.003,0.06,0.00%,0.5,5.65,9.0,8b --- 0 out d4,8b end d 4,,2023-06-11,140,139,717801
6.0,7.0,65.0,2023-06-12,TEX,,LAA,"L,6-9",12-GF(12),,0.0,0.1,0,0,0,0,0,0,0,3.38,5.69,2,10,7,0,1,2.0,0.0,0,0,0,,0.0,0.0,0,0,0,2,0,0,0,0,0,1,0.46,-0.008,0.63,-0.01%,0.11,0.75,1.0,12t --- 2 out d4,12t end d 4,,2023-06-12,140,108,717792
7.0,8.0,77.0,2023-06-25,TEX,@,NYY,"L,3-5",8-GF(8),BS(1),12.0,0.2,2,1,1,1,0,0,0,4.5,5.92,4,13,8,2,1,0.0,3.0,3,0,0,,2.0,2.0,0,0,0,3,1,0,1,0,0,0,1.89,-0.513,2.29,-0.37%,-2.07,-2.3,-1.0,8b 12- 1 out a1,8b end d 2,,2023-06-25,140,147,717622
8.0,9.0,78.0,2023-06-26,TEX,,DET,"L,2-7",8-9,,0.0,1.1,2,0,0,0,1,0,0,3.68,5.16,6,26,17,4,5,1.0,4.0,2,0,0,,0.0,0.0,0,0,0,6,1,0,0,0,0,0,0.06,0.004,0.07,0.00%,0.36,3.8,7.0,8t --- 0 out d5,9t -2- 1 out d5,,2023-06-26,140,116,717606
9.0,10.0,80.0,2023-06-28,TEX,,DET,"W,10-2",9-GF,,1.0,0.1,1,0,0,0,0,0,0,3.52,5.08,2,5,4,1,1,0.0,2.0,1,0,0,,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.11,0.15,1.0,9t --- 2 out a8,9t end a 8,,2023-06-28,140,116,717580
10.0,11.0,81.0,2023-06-29,TEX,,DET,"L,5-8",9-GF,,0.0,1.0,0,0,0,0,2,0,0,3.12,4.41,3,13,12,0,3,1.0,0.0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.02,0.002,0.02,0.00%,0.53,6.25,9.0,9t --- 0 out d5,9t end d 5,,2023-06-29,140,116,717570
11.0,12.0,99.0,2023-07-22,TEX,,LAD,"L,3-16",6-8,,22.0,2.0,4,3,3,0,5,0,0,5.06,3.26,10,45,33,7,9,1.0,4.0,2,0,0,,0.0,0.0,0,0,0,10,2,0,0,0,0,0,0.04,0.002,0.05,0.00%,-1.43,6.1,12.0,6t --- 0 out d7,8t -23 0 out d8,,2023-07-22,140,119,717305
12.0,13.0,102.0,2023-07-25,TEX,@,HOU,"L,3-4",GS-2,L(0-1),2.0,2.0,2,2,2,1,3,0,0,5.68,3.02,9,44,25,8,4,0.0,5.0,3,0,0,46.0,,,0,0,0,7,1,0,0,0,1,0,1.11,-0.113,2.41,-0.15%,-0.98,4.7,9.0,1b start tie,2b 3 out d2,,2023-07-25,140,117,717255
