Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,280,1,2021-04-01,MIN,@,MIL,"L,5-6",7-7,H(1),99,1.0,0,0,0,0,1,0,0,0.0,1.17,3,10.0,7.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,,0,0,0,0,0,3,0,0,0,0,0,0,0.72,0.055,0.66,0.03%,0.51,,,7b --- 0 out a3,7b 3 out a3,,2021-04-01,142,158,634638
2,281,2,2021-04-03,MIN,@,MIL,"W,2-0",7-7,H(2),1,1.0,0,0,0,0,3,0,0,0.0,-0.83,3,13.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,3,0,0,0,0,0,0,1.42,0.109,1.18,0.05%,0.51,,,7b --- 0 out a1,7b 3 out a1,,2021-04-03,142,158,634575
3,282,5,2021-04-06,MIN,@,DET,"L,3-4",9-9,,2,1.0,2,0,0,0,1,0,0,0.0,-0.16,4,19.0,16.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,,0,0,0,0,0,4,0,0,0,1,0,0,2.83,0.138,3.31,0.10%,0.51,,,9b --- 0 out tie,9b 3 out tie,,2021-04-06,142,116,634603
4,283,8,2021-04-10,MIN,,SEA,"L,3-4",9-GF(10),L(0-1),3,2.0,1,1,0,0,0,0,0,0.0,1.17,7,18.0,17.0,5.0,1.0,4.0,3.0,1.0,1.0,0.0,,0,0,0,0,0,6,0,0,0,0,1,0,3.34,0.087,3.62,0.06%,0.65,,,9t --- 0 out tie,10t end d 1,,2021-04-10,142,136,632205
5,284,13,2021-04-15,MIN,,BOS,"W,4-3",8-8,BS(1),4,0.1,1,0,0,1,1,0,0,0.0,1.48,3,,,5.0,0.0,0.0,1.0,1.0,0.0,0.0,,3,3,0,0,0,2,1,0,1,0,0,0,3.18,-0.28,2.76,-0.15%,-2.22,,,8t 123 2 out a3,8t 3 out tie,,2021-04-15,142,111,634554
6,285,17,2021-04-21,MIN,@,OAK,"L,12-13",6-8,H(3),5,2.1,2,0,0,0,3,0,0,0.0,1.21,8,27.0,19.0,7.0,3.0,2.0,3.0,2.0,0.0,0.0,,2,2,0,0,0,8,1,0,0,1,0,0,1.99,0.116,1.62,0.06%,-0.41,,,6b -23 2 out a3,8b 3 out a1,,2021-04-21,142,133,634440
7,286,18,2021-04-23,MIN,,PIT,"W,2-0",9-GF,S(1),1,0.2,0,0,0,0,1,0,0,0.0,1.13,2,12.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,2,0,0,0,0,0,0,0.71,0.036,0.51,0.02%,0.27,,,9t --- 1 out a2,9t end a 2,,2021-04-23,142,134,634434
8,287,21,2021-04-26,MIN,@,CLE,"L,3-5",9-9,,2,1.0,2,0,0,0,1,0,0,0.0,1.13,5,20.0,13.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,,0,0,0,0,0,5,1,0,0,0,0,0,3.49,0.142,2.61,0.06%,0.52,,,9b --- 0 out tie,9b 3 out tie,,2021-04-26,142,114,634394
9,288,27,2021-05-03,MIN,,TEX,"W,6-5",9-GF,S(2),6,1.0,2,2,2,0,1,1,0,1.74,2.4,5,18.0,13.0,5.0,2.0,2.0,2.0,0.0,0.0,0.0,,0,0,0,0,0,5,0,0,0,0,0,0,0.8,0.034,0.53,0.01%,-1.49,,,9t --- 0 out a3,9t end a 1,,2021-05-03,142,140,634285
10,289,28,2021-05-04,MIN,,TEX,"L,3-6",8-9,BS(2),0,1.1,3,2,2,0,1,1,0,3.09,3.43,7,25.0,18.0,2.0,4.0,3.0,3.0,0.0,0.0,0.0,,1,0,0,0,0,5,0,0,0,0,1,0,3.48,-0.242,2.43,-0.10%,-1.16,,,8t -2- 2 out a2,9t 3 out tie,,2021-05-04,142,140,634229
