Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,79,2021-04-09,WSN,@,LAD,"L,0-1",GS-5,,99,5.0,2.0,0.0,0.0,2.0,4.0,0.0,0,0.0,2.77,18.0,,,17,2,5,7,3,1,0,65.0,,,0,0,0,16,0.0,0.0,0.0,1,0,0,0.87,0.286,0.84,0.16%,2.64,,,1b start tie,5b 3 out tie,,2021-04-09,120,119,634533,2021,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,80,2021-04-14,WSN,@,STL,"W,6-0",GS-6,W(1-0),4,6.0,4.0,0.0,0.0,1.0,5.0,0.0,0,0.0,2.35,22.0,,,21,9,9,7,4,0,0,68.0,,,0,0,0,21,2.0,0.0,0.0,1,0,0,0.83,0.271,0.65,0.13%,2.88,,,1b start tie,6b 3 out a5,,2021-04-14,120,138,634541,2021,6.0,5.0,2.0,18.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,0.8,5.0,2.0,18.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,0.8,5.0,2.0,18.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,0.8,5.0,2.0,18.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,0.8,5.0,2.0,18.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,0.8
3,81,2021-04-19,WSN,,STL,"L,5-12",GS-5,L(1-1),4,4.1,8.0,10.0,10.0,3.0,5.0,4.0,1,5.87,6.1,24.0,,,14,13,7,8,3,1,0,9.0,,,0,0,0,18,1.0,0.0,1.0,0,0,0,0.57,-0.393,0.46,-0.19%,-7.83,,,1t start tie,5t --- 1 out d8,,2021-04-19,120,138,634431,2021,4.333,11.0,6.0,40.0,0.0,0.0,0.0,3.0,9.0,2.0,8.0,0.0,0.818,11.0,6.0,40.0,0.0,0.0,0.0,3.0,9.0,2.0,8.0,0.0,0.818,11.0,6.0,40.0,0.0,0.0,0.0,3.0,9.0,2.0,8.0,0.0,0.818,11.0,6.0,40.0,0.0,0.0,0.0,3.0,9.0,2.0,8.0,0.0,0.818,11.0,6.0,40.0,0.0,0.0,0.0,3.0,9.0,2.0,8.0,0.0,0.818
4,82,2021-04-24,WSN,@,NYM,"W,7-1",GS-6,W(2-1),4,6.0,5.0,1.0,1.0,1.0,4.0,1.0,1,4.64,5.8,24.0,91.0,59.0,12,14,7,11,1,3,0,61.0,,,0,0,0,22,0.0,0.0,0.0,1,0,0,0.63,0.16,0.62,0.09%,1.95,,,1b start a 1,6b 3 out a6,,2021-04-24,120,121,634443,2021,6.0,15.333,14.0,64.0,4.0,10.0,10.0,6.0,14.0,7.0,29.0,5.87,1.304,15.333,14.0,64.0,4.0,10.0,10.0,6.0,14.0,7.0,29.0,5.87,1.304,15.333,14.0,64.0,4.0,10.0,10.0,6.0,14.0,7.0,29.0,5.87,1.304,15.333,14.0,64.0,4.0,10.0,10.0,6.0,14.0,7.0,29.0,5.87,1.304,15.333,14.0,64.0,4.0,10.0,10.0,6.0,14.0,7.0,29.0,5.87,1.304
5,83,2021-05-04,WSN,,ATL,"L,1-6",GS-6,L(2-2),9,5.1,5.0,2.0,2.0,2.0,3.0,1.0,0,4.39,5.76,22.0,,,13,12,5,12,5,0,0,51.0,,,0,0,0,20,1.0,0.0,1.0,2,0,1,1.05,0.097,1.27,0.07%,1.25,,,1t start tie,6t -2- 1 out d1,,2021-05-04,120,144,634297,2021,5.333,21.333,19.0,88.0,5.0,11.0,11.0,7.0,18.0,8.0,37.0,4.641,1.219,21.333,19.0,88.0,5.0,11.0,11.0,7.0,18.0,8.0,37.0,4.641,1.219,21.333,19.0,88.0,5.0,11.0,11.0,7.0,18.0,8.0,37.0,4.641,1.219,16.333,17.0,70.0,5.0,11.0,11.0,5.0,14.0,8.0,35.0,6.061,1.347,21.333,19.0,88.0,5.0,11.0,11.0,7.0,18.0,8.0,37.0,4.641,1.219
6,84,2021-05-09,WSN,@,NYY,"L,2-3",GS-6,,4,5.0,3.0,2.0,2.0,5.0,7.0,1.0,0,4.26,5.79,23.0,,,16,10,5,6,3,0,0,55.0,,,1,0,0,18,0.0,0.0,0.0,0,0,0,1.02,0.007,0.86,0.00%,0.22,,,1b start tie,6b 1-- 0 out d2,,2021-05-09,120,147,634218,2021,5.0,26.667,24.0,110.0,6.0,13.0,13.0,9.0,21.0,10.0,46.0,4.388,1.238,26.667,24.0,110.0,6.0,13.0,13.0,9.0,21.0,10.0,46.0,4.388,1.238,26.667,24.0,110.0,6.0,13.0,13.0,9.0,21.0,10.0,46.0,4.388,1.238,15.667,18.0,70.0,6.0,13.0,13.0,6.0,12.0,8.0,38.0,7.468,1.532,26.667,24.0,110.0,6.0,13.0,13.0,9.0,21.0,10.0,46.0,4.388,1.238
7,85,2021-05-15,WSN,@,ARI,"L,4-11",GS-5,L(2-3),5,4.0,8.0,8.0,8.0,3.0,5.0,1.0,1,5.8,5.92,24.0,,,20,6,8,7,3,0,0,16.0,,,0,0,0,20,1.0,0.0,1.0,0,0,0,0.91,-0.397,0.72,-0.19%,-4.97,,,1b start a 1,5b 12- 0 out d4,,2021-05-15,120,109,634097,2021,4.0,31.667,27.0,133.0,7.0,15.0,15.0,14.0,28.0,11.0,52.0,4.263,1.295,31.667,27.0,133.0,7.0,15.0,15.0,14.0,28.0,11.0,52.0,4.263,1.295,26.667,25.0,115.0,7.0,15.0,15.0,12.0,24.0,11.0,50.0,5.063,1.388,16.333,13.0,69.0,3.0,5.0,5.0,8.0,14.0,4.0,23.0,2.755,1.286,31.667,27.0,133.0,7.0,15.0,15.0,14.0,28.0,11.0,52.0,4.263,1.295
8,86,2021-05-20,WSN,@,CHC,"L,2-5",GS-4,L(2-4),4,3.2,5.0,4.0,2.0,1.0,3.0,1.0,1,5.72,5.99,19.0,78.0,52.0,11,7,4,10,6,1,0,41.0,,,1,0,0,16,0.0,0.0,0.0,0,1,1,1.02,-0.284,0.77,-0.13%,-2.42,,,1b start a 2,4b 12- 2 out d2,,2021-05-20,120,112,634112,2021,3.667,35.667,35.0,157.0,8.0,23.0,23.0,17.0,33.0,13.0,64.0,5.804,1.458,35.667,35.0,157.0,8.0,23.0,23.0,17.0,33.0,13.0,64.0,5.804,1.458,24.667,29.0,117.0,8.0,23.0,23.0,14.0,24.0,11.0,56.0,8.392,1.743,14.333,16.0,69.0,3.0,12.0,12.0,10.0,15.0,5.0,27.0,7.535,1.814,35.667,35.0,157.0,8.0,23.0,23.0,17.0,33.0,13.0,64.0,5.804,1.458
9,87,2021-05-26,WSN,,CIN,"W,5-3",GS-4,,5,4.0,3.0,0.0,0.0,1.0,4.0,0.0,0,5.19,5.62,16.0,55.0,38.0,12,7,8,3,2,0,0,59.0,,,0,0,0,15,0.0,0.0,0.0,0,0,0,0.97,0.192,0.75,0.09%,1.94,,,1t start tie,4t 3 out a3,,2021-05-26,120,113,633890,2021,4.0,39.333,40.0,176.0,9.0,27.0,25.0,18.0,36.0,14.0,72.0,5.72,1.475,39.333,40.0,176.0,9.0,27.0,25.0,18.0,36.0,14.0,72.0,5.72,1.475,24.0,26.0,112.0,5.0,17.0,15.0,12.0,22.0,7.0,43.0,5.625,1.583,12.667,16.0,66.0,3.0,14.0,12.0,9.0,15.0,4.0,26.0,8.526,1.974,39.333,40.0,176.0,9.0,27.0,25.0,18.0,36.0,14.0,72.0,5.72,1.475
10,88,2021-05-31,WSN,@,ATL,"L,3-5",GS-5,L(2-5),4,5.0,3.0,4.0,4.0,3.0,7.0,1.0,0,5.4,5.53,21.0,87.0,56.0,15,22,4,7,1,0,0,49.0,,,0,0,0,17,0.0,0.0,0.0,0,1,0,0.91,-0.144,0.61,-0.06%,-1.34,,,1b start tie,5b 3 out d1,,2021-05-31,120,144,633917,2021,5.0,43.333,43.0,192.0,9.0,27.0,25.0,19.0,40.0,14.0,75.0,5.192,1.431,43.333,43.0,192.0,9.0,27.0,25.0,19.0,40.0,14.0,75.0,5.192,1.431,22.0,24.0,104.0,4.0,16.0,14.0,12.0,22.0,6.0,38.0,5.727,1.636,11.667,16.0,59.0,2.0,12.0,10.0,5.0,12.0,3.0,23.0,7.714,1.8,43.333,43.0,192.0,9.0,27.0,25.0,19.0,40.0,14.0,75.0,5.192,1.431
