Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,139,1,2021-04-01,TOR,@,NYY,"W,3-2",GS-6,,99,5.1,4,2,2,1,5,1,0,3.38,4.30,21,92,53,9,12,9,6,0,2,0,56,,,0,0,0,20,0,0,0,0,0,0,.84,0.023,.91,0.02%,0.59,,,1b start tie,6b 1-- 1 out tie,,2021-04-01,141,147,634642
2,140,6,2021-04-07,TOR,@,TEX,"L,1-2",GS-7,L(0-1),5,7.0,7,2,2,0,7,1,0,2.92,3.58,28,90,68,18,16,11,10,7,0,0,62,,,0,0,0,28,1,0,0,0,0,0,.65,0.051,.64,0.03%,1.65,,,1b start tie,7b 3 out d2,,2021-04-07,141,140,634583
3,141,11,2021-04-13,TOR,,NYY,"W,7-3",GS-7,W(1-1),5,6.2,4,1,0,1,7,0,0,1.89,2.85,24,95,68,22,12,10,6,3,1,0,70,,,0,0,0,23,2,0,0,2,0,1,.52,0.238,.51,0.14%,2.42,,,1t start tie,7t --3 2 out a5,,2021-04-13,141,147,634569
4,142,17,2021-04-20,TOR,@,BOS,"L,2-4",GS-5,L(1-2),6,5.0,8,4,4,0,2,1,0,3.00,3.30,23,83,59,17,6,6,15,7,1,0,37,,,0,0,0,23,3,1,0,1,0,1,.93,-0.203,.99,-0.13%,-1.21,,,1b start tie,5b 3 out d3,,2021-04-20,141,111,634409
5,143,21,2021-04-25,TOR,@,TBR,"W,1-0",GS-4,,4,3.2,3,0,0,1,5,0,0,2.60,3.03,15,62,43,14,10,4,5,1,1,0,59,,,0,0,0,14,0,0,0,0,0,0,1.00,0.184,1.07,0.12%,1.73,,,1b start tie,4b 1-- 2 out tie,,2021-04-25,141,139,634376
6,144,30,2021-05-06,TOR,@,OAK,"W,10-4",GS-5,W(2-2),10,5.0,6,4,4,1,6,1,0,3.31,3.17,21,91,58,14,10,7,7,4,0,0,44,,,0,0,0,20,1,0,0,1,0,0,1.09,-0.179,1.13,-0.11%,-1.52,,,1b start tie,5b 3 out a1,,2021-05-06,141,133,634231
7,145,35,2021-05-12,TOR,@,ATL,"W,4-1",GS-7,W(3-2),5,7.0,5,1,1,1,6,1,0,2.95,3.27,27,94,63,19,9,7,13,5,2,0,68,,,0,0,0,26,1,0,0,0,0,0,.98,0.318,1.07,0.21%,2.72,,,1b start tie,7b 3 out a1,,2021-05-12,141,144,634238
8,146,40,2021-05-18,TOR,,BOS,"W,8-0",GS-7,W(4-2),5,7.0,4,0,0,0,7,0,0,2.51,2.96,25,100,67,20,8,11,7,3,1,0,76,,,0,0,0,25,1,0,0,0,0,1,.81,0.296,1.14,0.25%,3.80,,,1t start tie,7t 3 out a6,,2021-05-18,141,111,634133
9,147,45,2021-05-23,TOR,,TBR,"L,4-6",GS-7,,4,6.2,8,2,2,1,7,1,0,2.53,3.02,27,107,74,18,11,10,9,6,0,0,56,,,0,1,1,25,2,0,0,0,0,0,1.00,0.132,1.08,0.09%,1.46,,,1t start tie,7t -2- 2 out tie,,2021-05-23,141,139,633975
10,148,50,2021-05-28,TOR,@,CLE,"W,11-2",GS-5,W(5-2),4,5.0,4,2,2,2,6,0,0,2.62,2.93,21,91,58,17,4,6,7,2,1,0,55,,,0,0,0,19,0,0,0,0,0,0,.92,-0.002,.83,0.00%,0.61,,,1b start tie,5b 3 out a7,,2021-05-28,141,114,633966
11,149,55,2021-06-04,TOR,,HOU,"L,1-13",GS-6,L(5-3),6,5.2,7,7,6,3,1,2,0,3.23,3.47,27,91,58,17,6,9,14,3,2,0,27,,,0,0,0,23,3,0,0,0,1,0,.96,-0.198,1.06,-0.13%,-3.86,,,1t start tie,6t --- 2 out d7,,2021-06-04,141,117,633815
12,150,60,2021-06-10,TOR,@,CHW,"L,2-5",GS-6,L(5-4),5,6.0,5,3,3,1,3,1,0,3.34,3.58,23,95,57,18,7,9,10,7,1,0,52,,,0,0,0,22,2,0,0,1,0,0,.56,-0.061,.55,-0.04%,0.19,,,1b start tie,6b 3 out d1,,2021-06-10,141,145,633733
13,151,65,2021-06-15,TOR,,NYY,"L,5-6",GS-6,,4,6.0,5,3,3,4,3,2,0,3.43,3.97,26,92,58,15,7,13,6,1,0,0,49,,,0,0,0,22,1,0,0,1,0,0,1.05,0.036,.93,0.02%,0.26,,,1t start tie,6t 3 out a2,,2021-06-15,141,147,633653
