Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1.0,313.0,2021-08-14,BOS,,BAL,"W,16-2",GS-5,W(1-0),99.0,5.0,6.0,2.0,2.0,0.0,8.0,2.0,0,3.6,5.17,20.0,89.0,60.0,15,16,7.0,5.0,1,1,0,55,,,0,0,0,20,1.0,0.0,0.0,0,0,0,0.55,0.109,0.84,0.10%,0.79,,,1t start tie,5t 3 out a5,,2021-08-14,111,110,632905,2021,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,314.0,2021-08-20,BOS,,TEX,"W,6-0",GS-5,W(2-0),5.0,5.0,5.0,0.0,0.0,1.0,5.0,0.0,0,1.8,3.47,20.0,71.0,49.0,15,7,8.0,6.0,3,1,0,61,,,0,0,0,19,1.0,0.0,0.0,1,0,0,1.17,0.283,1.69,0.25%,2.79,,,1t start tie,5t 3 out a2,,2021-08-20,111,140,632827,2021,5.0,5.0,6.0,20.0,2.0,2.0,2.0,0.0,8.0,3.0,13.0,3.6,1.2,5.0,6.0,20.0,2.0,2.0,2.0,0.0,8.0,3.0,13.0,3.6,1.2,5.0,6.0,20.0,2.0,2.0,2.0,0.0,8.0,3.0,13.0,3.6,1.2,5.0,6.0,20.0,2.0,2.0,2.0,0.0,8.0,3.0,13.0,3.6,1.2,5.0,6.0,20.0,2.0,2.0,2.0,0.0,8.0,3.0,13.0,3.6,1.2
3.0,315.0,2021-08-26,BOS,,MIN,"W,12-2",GS-6,W(3-0),5.0,5.1,2.0,2.0,2.0,2.0,8.0,1.0,1,2.35,3.76,21.0,80.0,55.0,13,14,4.0,6.0,1,0,0,62,,,0,0,0,18,0.0,0.0,0.0,0,0,0,0.72,0.062,0.94,0.05%,0.38,,,1t start tie,6t 12- 1 out a3,,2021-08-26,111,142,632741,2021,5.333,10.0,11.0,40.0,2.0,2.0,2.0,1.0,13.0,4.0,19.0,1.8,1.2,10.0,11.0,40.0,2.0,2.0,2.0,1.0,13.0,4.0,19.0,1.8,1.2,10.0,11.0,40.0,2.0,2.0,2.0,1.0,13.0,4.0,19.0,1.8,1.2,10.0,11.0,40.0,2.0,2.0,2.0,1.0,13.0,4.0,19.0,1.8,1.2,10.0,11.0,40.0,2.0,2.0,2.0,1.0,13.0,4.0,19.0,1.8,1.2
4.0,316.0,2021-09-01,BOS,@,TBR,"W,3-2",GS-6,,5.0,6.0,6.0,2.0,2.0,2.0,3.0,1.0,2,2.53,4.48,25.0,95.0,57.0,14,12,9.0,9.0,5,2,0,53,,,0,1,0,21,0.0,0.0,0.0,3,0,1,1.16,0.045,1.55,0.04%,0.94,,,1b start tie,6b 3 out d1,,2021-09-01,111,139,632653,2021,6.0,15.333,13.0,61.0,3.0,4.0,4.0,3.0,21.0,5.0,24.0,2.348,1.043,15.333,13.0,61.0,3.0,4.0,4.0,3.0,21.0,5.0,24.0,2.348,1.043,15.333,13.0,61.0,3.0,4.0,4.0,3.0,21.0,5.0,24.0,2.348,1.043,15.333,13.0,61.0,3.0,4.0,4.0,3.0,21.0,5.0,24.0,2.348,1.043,15.333,13.0,61.0,3.0,4.0,4.0,3.0,21.0,5.0,24.0,2.348,1.043
5.0,317.0,2021-09-06,BOS,,TBR,"L,10-11",GS-4,,4.0,3.2,10.0,5.0,1.0,1.0,6.0,0.0,0,2.52,3.93,23.0,,,18,11,7.0,9.0,3,0,0,34,,,0,0,0,22,0.0,1.0,0.0,0,0,1,0.8,-0.186,1.1,-0.16%,-3.24,,,1t start tie,4t 12- 2 out a2,,2021-09-06,111,139,632603,2021,3.667,21.333,19.0,86.0,4.0,6.0,6.0,5.0,24.0,6.0,33.0,2.531,1.125,21.333,19.0,86.0,4.0,6.0,6.0,5.0,24.0,6.0,33.0,2.531,1.125,21.333,19.0,86.0,4.0,6.0,6.0,5.0,24.0,6.0,33.0,2.531,1.125,16.333,13.0,66.0,2.0,4.0,4.0,5.0,16.0,3.0,20.0,2.204,1.102,21.333,19.0,86.0,4.0,6.0,6.0,5.0,24.0,6.0,33.0,2.531,1.125
6.0,318.0,2021-09-17,BOS,,BAL,"W,7-1",GS-5,W(4-0),10.0,5.0,2.0,1.0,1.0,0.0,1.0,1.0,1,2.4,4.27,17.0,79.0,54.0,16,4,9.0,6.0,3,1,0,60,,,0,0,0,16,0.0,0.0,0.0,1,0,0,0.8,0.188,1.3,0.18%,1.79,,,1t start tie,5t 3 out a2,,2021-09-17,111,110,632454,2021,5.0,25.0,29.0,109.0,4.0,11.0,7.0,6.0,30.0,7.0,45.0,2.52,1.4,25.0,29.0,109.0,4.0,11.0,7.0,6.0,30.0,7.0,45.0,2.52,1.4,25.0,29.0,109.0,4.0,11.0,7.0,6.0,30.0,7.0,45.0,2.52,1.4,15.0,18.0,69.0,2.0,9.0,5.0,5.0,17.0,3.0,26.0,3.0,1.533,25.0,29.0,109.0,4.0,11.0,7.0,6.0,30.0,7.0,45.0,2.52,1.4
7.0,319.0,2021-09-22,BOS,,NYM,"W,12-5",GS-5,W(5-0),4.0,5.0,6.0,2.0,2.0,2.0,8.0,0.0,0,2.57,3.83,22.0,89.0,56.0,9,13,6.0,6.0,3,0,0,53,,,1,0,0,20,1.0,0.0,0.0,1,0,0,0.62,0.054,0.82,0.04%,0.79,,,1t start tie,5t 3 out a8,,2021-09-22,111,121,632389,2021,5.0,30.0,31.0,126.0,5.0,12.0,8.0,6.0,31.0,8.0,50.0,2.4,1.233,30.0,31.0,126.0,5.0,12.0,8.0,6.0,31.0,8.0,50.0,2.4,1.233,25.0,25.0,106.0,3.0,10.0,6.0,6.0,23.0,5.0,37.0,2.16,1.24,14.667,18.0,65.0,2.0,8.0,4.0,3.0,10.0,3.0,26.0,2.455,1.432,30.0,31.0,126.0,5.0,12.0,8.0,6.0,31.0,8.0,50.0,2.4,1.233
8.0,320.0,2021-09-28,BOS,@,BAL,"L,2-4",GS-6,L(5-1),5.0,5.1,4.0,3.0,3.0,1.0,6.0,1.0,0,2.9,3.84,21.0,85.0,54.0,17,8,5.0,9.0,4,0,0,53,,,0,0,0,20,0.0,0.0,0.0,0,0,1,1.06,-0.007,2.82,-0.01%,0.61,,,1b start tie,6b 1-- 1 out tie,,2021-09-28,111,110,632317,2021,5.333,35.0,37.0,148.0,5.0,14.0,10.0,8.0,39.0,9.0,57.0,2.571,1.286,35.0,37.0,148.0,5.0,14.0,10.0,8.0,39.0,9.0,57.0,2.571,1.286,25.0,26.0,108.0,3.0,12.0,8.0,7.0,26.0,5.0,38.0,2.88,1.32,13.667,18.0,62.0,1.0,8.0,4.0,3.0,15.0,3.0,24.0,2.634,1.537,35.0,37.0,148.0,5.0,14.0,10.0,8.0,39.0,9.0,57.0,2.571,1.286
9.0,321.0,2021-10-03,BOS,@,WSN,"W,7-5",GS-3,,4.0,2.1,4.0,2.0,2.0,3.0,7.0,0.0,0,3.16,3.69,14.0,,,13,10,0.0,4.0,3,0,0,45,,,0,0,0,11,2.0,0.0,1.0,0,0,0,1.19,-0.181,5.01,-0.46%,-2.1,,,1b start tie,3b 123 1 out d2,,2021-10-03,111,120,632234,2021,2.333,40.333,41.0,169.0,6.0,17.0,13.0,9.0,45.0,10.0,64.0,2.901,1.24,40.333,41.0,169.0,6.0,17.0,13.0,9.0,45.0,10.0,64.0,2.901,1.24,25.0,28.0,108.0,3.0,13.0,9.0,6.0,24.0,5.0,40.0,3.24,1.36,15.333,12.0,60.0,2.0,6.0,6.0,3.0,15.0,3.0,19.0,3.522,0.978,40.333,41.0,169.0,6.0,17.0,13.0,9.0,45.0,10.0,64.0,2.901,1.24
1.0,322.0,2022-07-12,BOS,@,TBR,"L,2-3",GS-5,,99.0,5.0,3.0,0.0,0.0,1.0,5.0,0.0,0,0.0,1.71,19.0,78.0,53.0,25,4,6.0,7.0,5,0,0,65,,,0,0,0,18,1.0,0.0,0.0,0,0,0,1.17,0.269,1.15,0.16%,2.27,18.85,30.0,1b start tie,5b 3 out a2,,2022-07-12,111,139,661877,2022,5.0,42.667,45.0,183.0,6.0,19.0,15.0,12.0,52.0,12.0,70.0,3.164,1.336,42.667,45.0,183.0,6.0,19.0,15.0,12.0,52.0,12.0,70.0,3.164,1.336,21.333,26.0,97.0,2.0,13.0,9.0,7.0,28.0,6.0,37.0,3.797,1.547,12.667,14.0,57.0,1.0,7.0,7.0,6.0,21.0,4.0,20.0,4.974,1.579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
