Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,351,2022-07-14,WSN,,ATL,"L,4-5",GS-5,L(0-1),99,5.0,4.0,4.0,4.0,2.0,5.0,2.0,0,7.2,7.51,19.0,90.0,52.0,12,9,5,7,1,1,0,46,,,1,0,0,17,0.0,0.0,0.0,2,0,0,0.99,-0.233,0.0,0.00%,-1.66,9.65,18.0,1t start tie,5t 3 out d2,,2022-07-14,120,144,662518,2022,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,352,2022-07-23,WSN,@,ARI,"L,2-7",GS-5,L(0-2),8,5.0,6.0,3.0,3.0,2.0,4.0,1.0,0,6.3,6.41,22.0,93.0,54.0,12,7,7,9,3,1,0,45,,,0,0,0,19,1.0,0.0,0.0,1,1,0,0.92,-0.112,0.0,0.00%,-0.56,8.45,18.0,1b start tie,5b 3 out d2,,2022-07-23,120,109,663305,2022,5.0,5.0,4.0,19.0,2.0,4.0,4.0,2.0,5.0,2.0,10.0,7.2,1.2,5.0,4.0,19.0,2.0,4.0,4.0,2.0,5.0,2.0,10.0,7.2,1.2,5.0,4.0,19.0,2.0,4.0,4.0,2.0,5.0,2.0,10.0,7.2,1.2,5.0,4.0,19.0,2.0,4.0,4.0,2.0,5.0,2.0,10.0,7.2,1.2,5.0,4.0,19.0,2.0,4.0,4.0,2.0,5.0,2.0,10.0,7.2,1.2
3,353,2022-07-29,WSN,,STL,"L,2-6",GS-6,L(0-3),5,5.2,6.0,6.0,6.0,2.0,4.0,2.0,0,7.47,6.75,25.0,108.0,66.0,17,8,8,11,3,2,0,35,,,3,0,0,23,0.0,0.0,0.0,0,0,0,0.94,-0.298,0.0,0.00%,-3.29,3.95,11.0,1t start tie,6t --- 2 out d5,,2022-07-29,120,138,662477,2022,5.667,10.0,10.0,41.0,3.0,7.0,7.0,4.0,9.0,4.0,20.0,6.3,1.4,10.0,10.0,41.0,3.0,7.0,7.0,4.0,9.0,4.0,20.0,6.3,1.4,10.0,10.0,41.0,3.0,7.0,7.0,4.0,9.0,4.0,20.0,6.3,1.4,10.0,10.0,41.0,3.0,7.0,7.0,4.0,9.0,4.0,20.0,6.3,1.4,10.0,10.0,41.0,3.0,7.0,7.0,4.0,9.0,4.0,20.0,6.3,1.4
4,354,2022-08-03,WSN,,NYM,"L,5-9",GS-5,L(0-4),4,4.1,5.0,5.0,4.0,3.0,2.0,1.0,1,7.65,7.01,22.0,,,15,9,7,9,3,2,0,34,,,0,0,0,18,1.0,0.0,1.0,1,0,0,0.93,-0.124,0.0,0.00%,-1.19,0.35,7.0,1t start tie,5t 123 1 out d2,,2022-08-03,120,121,662552,2022,4.333,15.667,16.0,66.0,5.0,13.0,13.0,6.0,13.0,6.0,32.0,7.468,1.404,15.667,16.0,66.0,5.0,13.0,13.0,6.0,13.0,6.0,32.0,7.468,1.404,15.667,16.0,66.0,5.0,13.0,13.0,6.0,13.0,6.0,32.0,7.468,1.404,15.667,16.0,66.0,5.0,13.0,13.0,6.0,13.0,6.0,32.0,7.468,1.404,15.667,16.0,66.0,5.0,13.0,13.0,6.0,13.0,6.0,32.0,7.468,1.404
5,355,2022-08-08,WSN,@,CHC,"L,3-6",GS-6,L(0-5),4,5.0,7.0,4.0,4.0,2.0,3.0,2.0,0,7.56,7.27,23.0,91.0,56.0,12,9,3,15,6,1,0,38,,,0,0,0,21,1.0,0.0,0.0,0,0,0,0.56,-0.186,0.0,0.00%,-1.81,3.85,12.0,1b start tie,6b 1-3 0 out d2,,2022-08-08,120,112,661060,2022,5.0,20.0,21.0,88.0,6.0,18.0,17.0,9.0,15.0,8.0,41.0,7.65,1.5,20.0,21.0,88.0,6.0,18.0,17.0,9.0,15.0,8.0,41.0,7.65,1.5,20.0,21.0,88.0,6.0,18.0,17.0,9.0,15.0,8.0,41.0,7.65,1.5,15.0,17.0,69.0,4.0,14.0,13.0,7.0,10.0,6.0,31.0,7.8,1.6,20.0,21.0,88.0,6.0,18.0,17.0,9.0,15.0,8.0,41.0,7.65,1.5
6,356,2022-08-13,WSN,,SDP,"W,4-3",GS-5,,4,5.0,6.0,3.0,3.0,3.0,4.0,2.0,0,7.2,7.48,24.0,,,17,6,6,11,4,1,0,44,,,0,0,0,21,1.0,0.0,0.0,0,0,0,1.05,-0.122,0.0,0.00%,-0.66,7.85,18.0,1t start tie,5t 3 out d3,,2022-08-13,120,135,662473,2022,5.0,25.0,28.0,111.0,8.0,22.0,21.0,11.0,18.0,11.0,55.0,7.56,1.56,25.0,28.0,111.0,8.0,22.0,21.0,11.0,18.0,11.0,55.0,7.56,1.56,25.0,28.0,111.0,8.0,22.0,21.0,11.0,18.0,11.0,55.0,7.56,1.56,15.0,18.0,70.0,5.0,15.0,14.0,7.0,9.0,7.0,35.0,8.4,1.667,25.0,28.0,111.0,8.0,22.0,21.0,11.0,18.0,11.0,55.0,7.56,1.56
7,357,2022-08-18,WSN,@,SDP,"W,3-1",GS-5,,4,5.0,1.0,1.0,1.0,2.0,4.0,1.0,0,6.43,7.17,18.0,79.0,45.0,15,5,4,8,2,2,0,63,,,0,0,0,16,0.0,0.0,0.0,0,0,0,0.79,0.134,0.0,0.00%,1.32,15.45,24.0,1b start tie,5b 3 out tie,,2022-08-18,120,135,662182,2022,5.0,30.0,34.0,135.0,10.0,25.0,24.0,14.0,22.0,14.0,68.0,7.2,1.6,30.0,34.0,135.0,10.0,25.0,24.0,14.0,22.0,14.0,68.0,7.2,1.6,25.0,30.0,116.0,8.0,21.0,20.0,12.0,17.0,12.0,58.0,7.2,1.68,14.333,18.0,69.0,5.0,12.0,11.0,8.0,9.0,8.0,36.0,6.907,1.814,30.0,34.0,135.0,10.0,25.0,24.0,14.0,22.0,14.0,68.0,7.2,1.6
8,358,2022-08-24,WSN,@,SEA,"W,3-1",GS-5,,5,4.1,2.0,0.0,0.0,2.0,2.0,0.0,1,5.72,6.85,16.0,81.0,46.0,16,2,6,5,1,1,0,59,,,1,0,0,13,1.0,0.0,0.0,2,0,0,1.24,0.144,0.0,0.00%,1.35,10.75,19.0,1b start a 1,5b --3 1 out a1,,2022-08-24,120,136,662144,2022,4.333,35.0,35.0,153.0,11.0,26.0,25.0,16.0,26.0,15.0,72.0,6.429,1.457,35.0,35.0,153.0,11.0,26.0,25.0,16.0,26.0,15.0,72.0,6.429,1.457,25.0,25.0,112.0,8.0,19.0,18.0,12.0,17.0,11.0,52.0,6.48,1.48,15.0,14.0,65.0,5.0,8.0,8.0,7.0,11.0,7.0,31.0,4.8,1.4,35.0,35.0,153.0,11.0,26.0,25.0,16.0,26.0,15.0,72.0,6.429,1.457
9,359,2022-08-31,WSN,,OAK,"W,5-1",GS-7,W(1-5),6,7.0,3.0,1.0,1.0,3.0,4.0,1.0,1,5.05,6.65,26.0,95.0,57.0,12,9,11,7,2,2,0,68,,,0,0,0,21,0.0,0.0,0.0,2,0,0,0.88,0.196,0.0,0.00%,2.28,21.55,40.0,1t start tie,7t 3 out a4,,2022-08-31,120,133,662465,2022,7.0,39.333,37.0,169.0,11.0,26.0,25.0,18.0,28.0,16.0,75.0,5.72,1.398,39.333,37.0,169.0,11.0,26.0,25.0,18.0,28.0,16.0,75.0,5.72,1.398,23.667,21.0,103.0,6.0,13.0,12.0,12.0,15.0,10.0,43.0,4.563,1.394,14.333,9.0,58.0,3.0,4.0,4.0,7.0,10.0,5.0,20.0,2.512,1.116,39.333,37.0,169.0,11.0,26.0,25.0,18.0,28.0,16.0,75.0,5.72,1.398
10,360,2022-09-05,WSN,@,STL,"W,6-0",GS-5,W(2-5),4,5.0,2.0,0.0,0.0,2.0,3.0,0.0,0,4.56,6.31,19.0,81.0,52.0,11,4,6,8,4,0,0,64,,,0,0,0,17,0.0,0.0,0.0,0,0,0,1.21,0.294,0.0,0.00%,2.39,18.85,30.0,1b start tie,5b 3 out a1,,2022-09-05,120,138,661926,2022,5.0,46.333,40.0,195.0,12.0,27.0,26.0,21.0,32.0,17.0,81.0,5.05,1.317,46.333,40.0,195.0,12.0,27.0,26.0,21.0,32.0,17.0,81.0,5.05,1.317,26.333,19.0,107.0,6.0,9.0,9.0,12.0,17.0,9.0,40.0,3.076,1.177,16.333,6.0,60.0,2.0,2.0,2.0,7.0,10.0,3.0,13.0,1.102,0.796,46.333,40.0,195.0,12.0,27.0,26.0,21.0,32.0,17.0,81.0,5.05,1.317
