Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,388,13,2021-04-17,KCR,,TOR,"W,3-2",GS-3,,99,3.0,2,1,1,0,1,0,0,3.00,2.50,11,36,25,9,2,1,9,4,0,0,52,,,0,0,0,11,1,0,0,0,0,0,.81,0.045,.89,0.03%,0.61,,,1t start tie,3t 3 out d1,2.0,2021-04-17,118,141,634520
2,389,16,2021-04-20,KCR,,TBR,"L,7-14",4-5,,2,2.0,4,2,2,0,1,1,0,5.40,4.97,9,27,18,3,2,2,6,2,0,0,,0,0,0,0,0,9,1,1,0,1,0,0,.78,-0.118,.87,-0.08%,-0.93,,,4t --- 0 out d1,5t 3 out d3,,2021-04-20,118,139,634407
3,390,24,2021-04-30,KCR,@,MIN,"L,1-9",4-7,,9,4.0,2,1,1,2,2,1,0,4.00,5.84,16,60,36,9,4,3,9,4,1,0,,0,0,0,0,0,14,1,0,0,0,0,0,.22,0.007,.30,0.01%,1.05,,,4b --- 0 out d3,7b 3 out d4,,2021-04-30,118,142,634391
4,391,31,2021-05-07,KCR,,CHW,"L,0-3",8-GF,,6,2.0,1,0,0,1,2,0,0,3.27,5.26,9,,,8,5,3,3,0,0,0,,0,0,0,0,0,8,0,0,0,0,0,1,.34,0.027,.45,0.02%,1.07,,,8t --- 0 out d3,9t end d 3,,2021-05-07,118,145,634235
5,392,33,2021-05-09,KCR,,CHW,"L,3-9",9-GF,,1,0.1,0,0,0,0,0,0,0,3.18,5.20,1,4,3,1,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.02,0.001,.02,0.00%,0.34,,,9t -2- 2 out d6,9t end d 6,,2021-05-09,118,145,634167
6,393,34,2021-05-11,KCR,@,DET,"L,7-8",6-8,,1,3.0,2,0,0,1,1,0,0,2.51,4.84,11,40,25,6,4,6,3,1,0,0,,0,0,0,0,0,10,0,0,0,1,0,0,.03,0.005,.03,0.00%,1.52,,,6b --- 0 out d7,8b 3 out d4,,2021-05-11,118,116,634179
7,394,38,2021-05-14,KCR,@,CHW,"L,1-3",6-GF(6),,2,1.0,1,0,0,0,1,0,0,2.35,4.60,4,12,7,0,3,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.20,0.016,.19,0.01%,0.53,,,6b --- 0 out d2,6b end d 2,2.0,2021-05-14,118,145,634166
8,395,48,2021-05-27,KCR,@,TBR,"L,2-7",8-GF(8),,12,1.0,0,0,0,0,2,0,0,2.20,4.27,3,18,14,2,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.001,.02,0.00%,0.49,,,8b --- 0 out d5,8b end d 5,,2021-05-27,118,139,633915
9,396,50,2021-05-29,KCR,@,MIN,"L,5-6",GS-4,L(0-1),1,3.0,4,3,3,1,2,1,0,3.26,4.72,14,47,30,7,5,6,5,1,0,0,40,,,0,0,0,13,1,0,0,0,0,0,.92,-0.099,.89,-0.06%,-0.85,,,1b start tie,4b 1-- 0 out tie,,2021-05-29,118,142,633944
10,397,55,2021-06-04,KCR,,MIN,"W,14-5",9-GF,,5,1.0,0,0,0,0,0,0,0,3.10,4.65,3,7,6,2,0,0,3,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.54,,,9t --- 0 out a9,9t end a 9,,2021-06-04,118,142,633838
11,398,58,2021-06-07,KCR,@,LAA,"L,3-8",1-5,,2,4.0,3,3,3,2,4,1,0,3.70,4.85,16,73,42,12,7,5,5,1,0,0,,1,0,1,0,0,14,0,0,0,1,0,0,.54,-0.036,.48,-0.02%,-0.72,,,1b 1-- 2 out d4,5b --- 2 out d5,,2021-06-07,118,108,633796
12,399,64,2021-06-13,KCR,@,OAK,"L,3-6",8-GF(8),,5,1.0,0,0,0,0,0,0,0,3.55,4.79,3,10,7,2,1,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.08,0.006,.05,0.00%,0.50,,,8b --- 0 out d3,8b end d 3,,2021-06-13,118,133,633707
13,400,65,2021-06-14,KCR,,DET,"L,3-10",6-GF,,0,4.0,4,3,3,0,3,2,0,3.99,5.25,16,49,32,9,5,3,10,2,0,0,,0,0,0,0,0,16,1,0,0,0,0,0,.09,0.004,.04,0.00%,-0.85,,,6t --- 0 out d5,9t end d 7,,2021-06-14,118,116,633655
14,401,68,2021-06-18,KCR,,BOS,"W,5-3",5-6,H(1),3,1.1,1,0,0,1,2,0,0,3.82,5.13,6,21,12,2,4,1,2,2,0,0,,2,0,0,0,0,5,1,0,0,0,0,0,2.11,0.143,.63,0.03%,0.99,,,5t 12- 2 out a1,6t 3 out a1,,2021-06-18,118,111,633683
15,402,73,2021-06-24,KCR,@,NYY,"L,1-8",8-GF(8),,5,1.0,1,1,1,1,2,0,0,3.98,5.03,5,22,10,3,3,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.01,-0.001,.00,0.00%,-0.48,,,8b --- 0 out d6,8b end d 7,,2021-06-24,118,147,633559
16,403,75,2021-06-26,KCR,@,TEX,"L,0-8",2-5,,1,3.1,3,3,3,1,3,1,0,4.37,5.14,14,55,35,11,4,4,6,1,0,0,,3,0,0,0,0,13,1,0,0,0,0,0,.38,-0.034,.10,-0.01%,-0.65,,,2b 123 2 out d3,5b 3 out d6,,2021-06-26,118,140,633534
17,404,80,2021-07-01,KCR,@,BOS,"L,1-15",5-5,,4,1.0,4,4,4,1,1,0,1,5.25,5.20,9,30,19,5,2,1,5,4,1,0,,0,0,0,0,0,7,1,0,0,0,0,0,.16,-0.039,.02,0.00%,-3.44,,,5b --- 0 out d5,5b 3 out d9,,2021-07-01,118,111,633457
18,405,84,2021-07-05,KCR,,CIN,"L,2-6",8-GF,,3,2.0,2,1,1,1,1,0,0,5.21,5.12,8,30,18,6,2,5,1,1,0,0,,0,0,0,0,0,7,0,1,0,1,0,0,.18,0.002,.02,0.00%,0.07,,,8t --- 0 out d3,9t end d 4,,2021-07-05,118,113,633363
19,406,89,2021-07-10,KCR,@,CLE,"L,6-14",5-6,,4,1.2,4,3,3,1,2,1,0,5.67,5.34,9,37,23,5,5,3,3,1,0,0,,0,0,1,0,0,8,1,0,0,1,0,0,.18,-0.056,.01,0.00%,-2.29,,,5b --- 0 out d4,6b -2- 2 out d6,,2021-07-10,118,114,633317
