Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,1,8,2023-04-07,CHW,@,PIT,"L,9-13",6-GF(8),,99,3.0,3,1,1,2,4,0,0,3.00,2.59,14,58,35,8,6,3,5,2,0,0,,0,0,0,0,0,12,1,0,0,0,0,0,.05,0.007,.05,0.00%,0.57,9.75,18.00,6b --- 0 out d5,8b end d 6,,2023-04-07,145,134,718679
2,2,12,2023-04-11,CHW,@,MIN,"L,3-4",10-GF(10),L(0-1),3,0.0,1,1,0,0,0,0,0,3.00,2.59,1,1,1,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2.56,-0.187,2.63,-0.12%,-0.76,-0.60,0.00,10b -2- 0 out tie,10b end d 1,,2023-04-11,145,142,718616
3,3,49,2023-05-22,CHW,@,CLE,"L,0-3",2-6,L(0-2),40,5.0,2,1,1,2,1,0,0,2.25,3.51,17,67,40,8,8,7,7,4,1,0,,0,0,0,1,0,15,1,0,0,0,0,0,1.03,0.122,.45,0.03%,1.48,8.85,15.00,2b --- 0 out tie,6b 3 out d1,,2023-05-22,145,114,718072
4,4,54,2023-05-27,CHW,@,DET,"L,3-7",GS-5,,4,4.2,4,2,2,2,3,0,0,2.84,3.41,20,68,45,15,6,4,11,2,1,0,49,,,2,0,0,17,1,0,0,0,1,0,.96,-0.029,.53,-0.01%,0.28,8.90,17.00,1b start tie,5b -2- 2 out d2,,2023-05-27,145,116,718005
5,5,58,2023-05-31,CHW,,LAA,"L,5-12",5-8,,3,4.0,2,2,2,2,1,1,0,3.24,4.40,15,65,40,9,4,5,7,2,1,0,,0,0,0,0,0,13,0,0,0,1,0,0,.04,0.002,.01,0.00%,0.11,4.60,9.00,5t --- 0 out d7,8t 3 out d8,,2023-05-31,145,108,717943
6,6,71,2023-06-16,CHW,@,SEA,"L,2-3",8-GF(8),,15,1.0,0,0,0,0,0,0,0,3.06,4.33,4,14,10,3,2,3,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,.64,0.030,.26,0.01%,0.49,2.25,3.00,8b --- 0 out d1,8b end d 1,,2023-06-16,145,136,717733
7,7,72,2023-06-17,CHW,@,SEA,"W,4-3",11-GF(11),S(1),0,1.0,0,0,0,0,1,0,0,2.89,4.17,4,16,8,2,2,2,1,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,1,5.75,0.439,2.29,0.11%,1.11,4.25,6.00,11b -2- 0 out a1,11b end a 1,,2023-06-17,145,136,717722
8,8,74,2023-06-19,CHW,,TEX,"L,2-5",6-6,,1,0.2,0,0,0,0,0,0,0,2.79,4.13,2,9,5,1,0,0,2,1,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,.89,0.044,.36,0.01%,0.94,1.50,2.00,6t 12- 1 out d3,6t 3 out d3,,2023-06-19,145,140,717695
9,9,79,2023-06-25,CHW,,BOS,"W,4-1",3-7,W(1-2),5,4.0,2,0,0,1,3,0,0,2.31,3.86,15,58,39,14,6,3,8,3,1,0,,2,0,0,0,0,14,0,0,0,0,0,0,.93,0.249,.29,0.05%,2.21,17.20,27.00,3t -23 2 out d1,7t 1-3 2 out a3,,2023-06-25,145,111,717614
10,10,84,2023-06-30,CHW,@,OAK,"L,4-7",5-GF(8),,4,4.0,5,3,3,1,3,1,0,2.96,4.13,18,58,41,11,6,5,9,3,2,0,,0,0,1,0,0,17,1,0,0,0,0,0,.18,-0.063,.07,-0.02%,-1.12,5.40,12.00,5b --- 0 out d3,8b end d 4,,2023-06-30,145,133,717551
11,11,89,2023-07-06,CHW,,TOR,"L,4-5",GS-5,,5,4.0,11,3,3,0,1,2,0,3.45,4.79,21,73,48,11,4,7,13,6,0,0,29,,,0,0,0,21,1,0,0,1,0,0,1.06,-0.252,.22,-0.03%,-1.90,-1.60,6.00,1t start tie,5t 12- 0 out tie,2.0,2023-07-06,145,141,717480
12,12,95,2023-07-16,CHW,@,ATL,"W,8-1",9-GF,,9,1.0,1,0,0,0,1,0,0,3.34,4.68,4,15,11,1,3,1,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.05,0.002,.01,0.00%,0.55,3.65,6.00,9b --- 0 out a7,9b end a 7,,2023-07-16,145,144,717391
13,13,97,2023-07-19,CHW,@,NYM,"L,1-5",7-GF(8),,2,2.0,1,0,0,1,0,0,0,3.15,4.68,7,19,11,4,0,2,4,1,0,0,,0,0,0,0,0,6,0,0,0,1,0,0,.08,0.010,.01,0.00%,1.03,3.30,6.00,7b --- 0 out d4,8b end d 4,,2023-07-19,145,121,717341
14,14,101,2023-07-23,CHW,@,MIN,"L,4-5",12-GF(12),L(1-3),3,0.2,2,1,0,1,0,0,0,3.09,4.74,4,13,8,0,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,1,1,0,0,2.97,-0.187,.23,-0.01%,-0.37,-0.30,2.00,12b -2- 0 out tie,12b end d 1,,2023-07-23,145,142,717285
15,15,102,2023-07-25,CHW,,CHC,"L,3-7",6-7,,1,2.0,3,2,2,0,3,1,0,3.41,4.85,9,29,21,8,3,1,5,2,2,0,,0,0,1,0,0,9,0,0,0,0,0,0,.19,-0.023,.01,0.00%,-0.95,4.70,9.00,6t --- 0 out d4,7t 3 out d6,,2023-07-25,145,112,717263
16,16,106,2023-07-29,CHW,,CLE,"W,7-2",6-6,H(1),3,1.0,1,0,0,0,2,0,0,3.32,4.70,4,16,9,3,1,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.67,0.050,.02,0.00%,0.53,5.65,9.00,6t --- 0 out a3,6t 3 out a3,,2023-07-29,145,114,717217
17,17,108,2023-08-01,CHW,@,TEX,"L,0-2",GS-6,L(1-4),2,6.0,3,1,1,1,6,1,0,3.07,4.60,20,80,47,19,6,7,6,1,0,0,67,,,0,0,0,19,0,0,0,2,0,0,.92,0.181,.03,0.00%,2.19,21.10,37.00,1b start tie,6b 3 out d1,,2023-08-01,145,140,717168
18,18,113,2023-08-06,CHW,@,CLE,"W,5-3",GS-6,,4,6.0,6,3,2,1,6,1,0,3.06,4.52,23,96,69,11,12,7,9,6,1,0,55,,,2,1,0,22,2,0,0,1,0,0,1.01,-0.117,.01,0.00%,-0.03,17.30,34.00,1b start a 2,6b 3 out d1,,2023-08-06,145,114,717108
19,19,118,2023-08-12,CHW,,MIL,"L,2-3",GS-7,L(1-5),5,6.1,6,3,3,3,5,0,0,3.20,4.36,27,97,58,18,9,7,12,6,0,0,51,,,0,0,0,24,1,0,0,1,0,0,1.24,0.027,.02,0.00%,0.99,12.85,29.00,1t start tie,7t -2- 1 out tie,,2023-08-12,145,158,717023
20,20,123,2023-08-19,CHW,@,COL,"L,5-11",GS-3,L(1-6),6,3.0,5,5,5,5,2,0,0,3.79,4.49,20,86,43,13,5,9,4,2,0,0,26,,,0,0,0,15,0,0,0,0,0,1,1.13,-0.294,.00,0.00%,-3.20,-5.25,0.00,1b start a 1,3b 3 out d3,,2023-08-19,145,115,716933
21,21,128,2023-08-24,CHW,,OAK,"L,5-8",GS-6,,4,5.2,6,5,5,0,4,3,1,4.15,4.90,24,91,58,16,9,9,10,3,2,0,41,,,0,0,0,23,1,0,0,0,0,0,.96,-0.322,.00,0.00%,-1.95,6.55,14.00,1t start tie,6t --- 2 out tie,,2023-08-24,145,133,716864
