Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,1,2,2021-04-02,COL,,LAD,"L,6-11",9-GF,,99,1.0,0,0,0,0,0,0,0,0.00,3.17,3,13,7,2,1,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.002,.03,0.00%,0.58,,,9t --- 0 out d5,9t end d 5,,2021-04-02,115,119,634653
2,2,6,2021-04-07,COL,,ARI,"W,8-0",9-GF,,4,1.0,1,0,0,0,1,0,0,0.00,2.17,5,15,12,2,1,0,4,1,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.01,0.001,.01,0.00%,0.58,,,9t --- 0 out a8,9t end a 8,,2021-04-07,115,109,634542
3,3,8,2021-04-09,COL,@,SFG,"L,1-3",8-GF(8),,1,0.2,0,0,0,0,0,0,0,0.00,2.42,1,6,3,1,0,1,0,0,0,0,,3,0,0,0,0,1,0,0,0,1,0,0,.28,0.017,.28,0.01%,1.58,,,8b 123 1 out d3,8b end d 3,,2021-04-09,115,137,634494
4,4,10,2021-04-11,COL,@,SFG,"L,0-4",8-GF(8),,1,1.0,0,0,0,0,0,0,1,0.00,3.44,4,18,8,2,0,0,3,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,.04,0.00%,0.50,,,8b --- 0 out d4,8b end d 4,,2021-04-11,115,137,632188
5,5,20,2021-04-24,COL,,PHI,"L,5-7",9-GF,,12,1.0,0,0,0,0,0,0,0,0.00,3.38,3,8,6,1,2,1,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.29,0.023,.17,0.01%,0.58,,,9t --- 0 out d2,9t end d 2,,2021-04-24,115,143,634418
6,6,21,2021-04-25,COL,,PHI,"W,12-2",9-GF,,0,1.0,1,0,0,0,2,0,0,0.00,2.64,4,14,10,2,2,0,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.58,,,9t --- 0 out a10,9t end a10,,2021-04-25,115,143,634388
7,7,24,2021-04-28,COL,@,SFG,"L,3-7",6-6,,2,1.0,1,0,0,1,1,0,0,0.00,2.87,4,23,12,5,3,1,1,1,0,0,,0,0,0,1,0,3,0,0,0,0,0,0,.21,0.010,.14,0.00%,0.50,,,6b --- 0 out d4,6b 3 out d4,,2021-04-28,115,137,634309
8,8,26,2021-04-30,COL,@,ARI,"L,2-7",8-GF(8),,1,1.0,2,2,2,1,2,1,0,2.35,4.47,6,26,15,2,5,1,2,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.07,-0.021,.04,-0.01%,-1.49,,,8b --- 0 out d3,8b end d 5,,2021-04-30,115,109,634328
9,9,28,2021-05-02,COL,@,ARI,"L,4-8",8-GF(8),,1,0.2,0,0,0,0,2,0,0,2.16,3.89,2,,,1,3,0,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,.08,0.004,.05,0.00%,0.69,,,8b -2- 1 out d4,8b end d 4,,2021-05-02,115,109,634299
10,10,29,2021-05-04,COL,,SFG,"L,4-12",7-GF(7),,1,1.0,0,0,0,0,1,0,0,1.93,3.60,3,10,7,4,0,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.58,,,7t --- 0 out d8,7t end d 8,1.0,2021-05-04,115,137,634246
