Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,44,2021-06-13,SFG,@,WSN,"L,0-5",7-GF(8),,99,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0,0.0,2.67,8.0,33.0,22.0,7,5,2,3,1,1,0,,0,0,0,0,0,7,0.0,0.0,0.0,0,0,0,0.03,0.004,0.04,0.00%,0.97,,,7b --- 0 out d5,8b end d 5,,2021-06-13,137,120,633710,2021,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,45,2021-06-15,SFG,,ARI,"W,9-8",8-8,W(1-0),1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.84,3.0,11.0,8.0,2,0,2,1,0,1,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.2,0.015,0.25,0.01%,0.5,,,8t --- 0 out d3,8t 3 out d3,,2021-06-15,137,109,633679,2021,1.0,2.0,1.0,8.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,8.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,8.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0
3,46,2021-06-16,SFG,,ARI,"W,13-7",9-GF,,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,3.17,4.0,,,4,0,1,1,1,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.02,0.003,0.03,0.00%,0.5,,,9t --- 0 out a6,9t end a 6,,2021-06-16,137,109,633645,2021,1.0,3.0,1.0,11.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.667,3.0,1.0,11.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.667,3.0,1.0,11.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.667
4,47,2021-06-19,SFG,,PHI,"L,6-13",5-5,,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,2.77,3.0,7.0,6.0,2,1,2,0,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.88,0.066,0.96,0.04%,0.5,,,5t --- 0 out tie,5t 3 out tie,,2021-06-19,137,143,633592,2021,1.0,4.0,1.0,15.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.75,4.0,1.0,15.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.75,4.0,1.0,15.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.75
5,48,2021-06-20,SFG,,PHI,"W,11-2",8-8,,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,2.5,3.0,6.0,6.0,3,1,1,1,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.04,0.003,0.05,0.00%,0.5,,,8t --- 0 out a7,8t 3 out a7,,2021-06-20,137,143,633611,2021,1.0,5.0,1.0,18.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.6,5.0,1.0,18.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.6,5.0,1.0,18.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.6
6,49,2021-06-22,SFG,@,LAA,"W,5-0",9-GF,,1,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0,0.0,2.03,5.0,19.0,13.0,5,3,0,3,2,1,0,,0,0,0,0,0,5,0.0,0.0,0.0,0,0,0,0.18,0.009,0.19,0.01%,0.54,,,9b --- 0 out a5,9b end a 5,,2021-06-22,137,108,633670,2021,1.0,6.0,1.0,21.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0,0.0,0.5,6.0,1.0,21.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0,0.0,0.5,6.0,1.0,21.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0,0.0,0.5
7,50,2021-06-27,SFG,,OAK,"L,2-6",7-7,,4,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0,1.13,2.3,6.0,26.0,16.0,6,2,3,1,0,1,0,,0,0,0,0,0,5,0.0,0.0,0.0,0,0,0,0.13,-0.011,0.12,-0.01%,-0.5,,,7t --- 0 out d5,7t 3 out d6,,2021-06-27,137,133,633527,2021,1.0,7.0,3.0,26.0,0.0,0.0,0.0,2.0,7.0,0.0,3.0,0.0,0.714,5.0,2.0,18.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,0.0,0.6,7.0,3.0,26.0,0.0,0.0,0.0,2.0,7.0,0.0,3.0,0.0,0.714
8,51,2021-06-28,SFG,@,LAD,"L,2-3",7-7,,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,1.04,2.36,2.0,5.0,4.0,2,0,0,2,0,0,0,,0,0,0,0,0,2,0.0,0.0,0.0,0,0,0,0.5,0.026,0.7,0.02%,0.28,,,7b --- 1 out d1,7b 3 out d1,,2021-06-28,137,119,633458,2021,0.667,8.0,5.0,32.0,0.0,1.0,1.0,3.0,8.0,0.0,5.0,1.125,1.0,5.0,4.0,21.0,0.0,1.0,1.0,2.0,6.0,0.0,4.0,1.8,1.2,8.0,5.0,32.0,0.0,1.0,1.0,3.0,8.0,0.0,5.0,1.125,1.0
9,52,2021-07-02,SFG,@,ARI,"W,11-4",8-8,,3,1.0,2.0,2.0,2.0,0.0,1.0,2.0,0,2.79,4.93,5.0,16.0,11.0,3,3,0,4,0,0,0,,0,0,0,0,0,5,0.0,0.0,0.0,0,0,0,0.36,-0.013,0.42,-0.01%,-1.49,,,8b --- 0 out a5,8b 3 out a3,,2021-07-02,137,109,633470,2021,1.0,8.667,5.0,34.0,0.0,1.0,1.0,3.0,8.0,0.0,5.0,1.038,0.923,4.667,4.0,19.0,0.0,1.0,1.0,1.0,5.0,0.0,4.0,1.929,1.071,8.667,5.0,34.0,0.0,1.0,1.0,3.0,8.0,0.0,5.0,1.038,0.923
10,53,2021-07-05,SFG,,STL,"L,3-5",9-GF,,2,1.0,2.0,2.0,2.0,1.0,0.0,0.0,1,4.22,5.33,7.0,26.0,14.0,6,2,2,3,1,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,1,0,0.24,-0.056,0.25,-0.04%,-1.5,,,9t --- 0 out d2,9t end d 4,,2021-07-05,137,138,633380,2021,1.0,9.667,7.0,39.0,2.0,3.0,3.0,3.0,9.0,2.0,13.0,2.793,1.034,4.667,6.0,21.0,2.0,3.0,3.0,1.0,5.0,2.0,12.0,5.786,1.5,9.667,7.0,39.0,2.0,3.0,3.0,3.0,9.0,2.0,13.0,2.793,1.034
