Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,113,4,2021-04-05,MIN,@,DET,"W,15-6",GS-6,W(1-0),99,6.0,3,1,1,0,5,1,0,1.50,3.67,22,92,65,12,10,5,12,4,0,0,67,,,1,0,0,22,0,0,0,0,0,0,.23,0.116,.27,0.08%,2.03,,,1b start a 1,6b 3 out a12,,2021-04-05,142,116,634588
2,114,9,2021-04-11,MIN,,SEA,"L,6-8",GS-6,,5,5.0,7,4,4,1,7,2,1,4.09,5.08,24,91,59,17,9,6,9,2,3,0,43,,,0,0,0,21,1,0,0,0,0,0,.87,0.034,.86,0.02%,-1.44,,,1t start tie,6t --- 0 out a2,,2021-04-11,142,136,632215
3,115,15,2021-04-20,MIN,@,OAK,"L,0-7",GS-4,L(1-1),8,3.1,4,5,5,4,0,2,0,6.28,7.29,19,67,39,13,4,8,7,5,1,0,28,,,2,0,0,15,0,0,0,1,0,2,.80,-0.187,.73,-0.10%,-1.93,,,1b start tie,4b 12- 1 out d3,1.0,2021-04-20,142,133,634490
4,116,20,2021-04-25,MIN,,PIT,"L,2-6",GS-6,L(1-2),4,5.1,6,2,2,1,2,0,0,5.49,6.12,22,91,57,15,9,5,14,5,2,0,49,,,0,0,1,20,1,0,0,0,1,0,.85,0.049,.60,0.02%,0.53,,,1t start tie,6t 1-- 1 out d1,,2021-04-25,142,134,634349
5,117,25,2021-05-01,MIN,,KCR,"L,3-11",GS-4,L(1-3),5,3.1,8,9,8,2,0,2,0,7.83,7.08,19,68,49,8,10,9,8,4,0,0,8,,,0,0,1,16,3,0,0,0,1,0,.54,-0.343,.44,-0.17%,-6.91,,,1t start tie,4t --3 1 out d8,,2021-05-01,142,118,634329
6,118,31,2021-05-07,MIN,@,DET,"W,7-3",GS-5,W(2-3),5,5.0,4,0,0,2,5,0,0,6.43,6.24,20,86,53,14,11,6,7,2,1,0,62,,,0,0,0,18,0,0,0,1,0,0,1.34,0.289,.73,0.10%,2.53,,,1b start a 1,5b 3 out a2,,2021-05-07,142,116,634204
7,119,36,2021-05-14,MIN,,OAK,"L,1-6",GS-6,L(2-4),6,6.0,5,5,5,2,4,3,0,6.62,6.79,25,92,58,11,11,7,12,3,2,0,44,,,0,0,0,23,1,0,0,0,0,0,.65,-0.164,.25,-0.04%,-1.93,,,1t start tie,6t 3 out d5,,2021-05-14,142,133,634131
8,120,41,2021-05-19,MIN,,CHW,"L,1-2",GS-6,L(2-5),4,6.0,5,2,2,4,2,0,1,6.08,6.52,28,87,52,11,6,13,8,4,0,0,52,,,0,0,0,22,2,0,0,0,0,0,1.37,0.041,.51,0.01%,1.07,,,1t start tie,6t 3 out d1,,2021-05-19,142,145,634030
9,121,47,2021-05-24,MIN,,BAL,"W,8-3",GS-6,,4,6.0,5,1,1,2,3,0,0,5.48,6.08,25,96,63,16,10,10,10,4,0,0,59,,,2,0,0,23,2,0,0,0,0,0,1.31,0.245,.35,0.04%,2.07,,,1t start tie,6t 3 out tie,,2021-05-24,142,110,633982
10,122,52,2021-05-30,MIN,,KCR,"L,3-6",GS-5,L(2-6),5,4.1,6,5,5,1,5,0,0,5.90,5.69,20,66,47,10,10,9,5,2,2,0,35,,,1,0,0,19,1,0,0,0,0,0,1.24,-0.258,.49,-0.06%,-2.03,,,1t start tie,5t 123 1 out d1,,2021-05-30,142,118,633881
11,123,57,2021-06-04,MIN,@,KCR,"L,5-14",GS-1,L(2-7),4,0.1,6,9,8,2,1,1,0,7.28,6.01,10,38,20,5,3,3,3,1,0,0,4,,,1,0,0,7,1,0,0,0,0,0,1.02,-0.431,.24,-0.06%,-8.75,,,1b start tie,1b --- 1 out d9,,2021-06-04,142,118,633838
12,124,63,2021-06-11,MIN,,HOU,"L,4-6",8-GF,L(2-8),6,2.0,3,2,2,0,2,0,0,7.35,5.83,9,35,20,3,2,3,4,3,1,0,,0,0,0,0,0,9,1,0,0,0,0,0,1.32,-0.354,.24,-0.04%,-0.98,,,8t --- 0 out d1,9t end d 2,,2021-06-11,142,117,633720
13,125,65,2021-06-13,MIN,,HOU,"L,3-14",8-GF,,1,2.0,4,3,3,2,1,1,0,7.57,6.04,12,43,26,1,6,3,6,1,0,0,,0,0,0,0,0,8,1,0,0,0,2,0,.00,-0.001,.00,0.00%,-1.98,,,8t --- 0 out d9,9t end d11,,2021-06-13,142,117,633749
