Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,68,2021-04-05,CIN,,PIT,"W,5-3",8-8,H(1),99,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.17,3.0,15.0,9.0,2,2,1,1,0,1,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,1.61,0.128,1.84,0.09%,0.56,,,8t --- 0 out a1,8t 3 out a1,,2021-04-05,113,134,634558,2021,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,69,2021-04-07,CIN,,PIT,"W,11-4",8-8,,1,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.17,3.0,15.0,9.0,2,4,1,0,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.01,0.001,0.01,0.00%,0.56,,,8t --- 0 out a9,8t 3 out a9,,2021-04-07,113,134,634570,2021,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,70,2021-04-09,CIN,@,ARI,"W,6-5",8-9,BS(1),1,1.1,1.0,2.0,2.0,1.0,2.0,1.0,0,5.4,4.97,6.0,,,6,3,0,3,0,1,0,,0,0,0,0,0,5,0.0,0.0,0.0,0,0,0,1.88,-0.278,2.05,-0.18%,-1.26,,,8b --- 0 out a2,9b --- 1 out tie,,2021-04-09,113,109,634540,2021,1.333,2.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
4,71,2021-04-12,CIN,@,SFG,"W,3-0",9-GF,S(1),2,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0,4.91,4.26,1.0,5.0,3.0,0,2,0,0,0,0,0,,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0.56,0.016,0.61,0.01%,0.32,,,9b -2- 2 out a3,9b end a 3,,2021-04-12,113,137,634648,2021,0.333,3.333,1.0,12.0,1.0,2.0,2.0,1.0,5.0,1.0,4.0,5.4,0.6,3.333,1.0,12.0,1.0,2.0,2.0,1.0,5.0,1.0,4.0,5.4,0.6,3.333,1.0,12.0,1.0,2.0,2.0,1.0,5.0,1.0,4.0,5.4,0.6,3.333,1.0,12.0,1.0,2.0,2.0,1.0,5.0,1.0,4.0,5.4,0.6,3.333,1.0,12.0,1.0,2.0,2.0,1.0,5.0,1.0,4.0,5.4,0.6
5,72,2021-04-13,CIN,@,SFG,"L,6-7",7-7,,0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0,4.15,3.63,2.0,7.0,4.0,1,2,0,1,0,0,0,,2,1,0,0,0,1,0.0,0.0,0.0,0,1,0,2.01,-0.042,2.28,-0.03%,0.19,,,7b 1-3 1 out tie,7b 3 out d1,,2021-04-13,113,137,634510,2021,0.667,3.667,1.0,13.0,1.0,2.0,2.0,1.0,6.0,1.0,4.0,4.909,0.545,3.667,1.0,13.0,1.0,2.0,2.0,1.0,6.0,1.0,4.0,4.909,0.545,3.667,1.0,13.0,1.0,2.0,2.0,1.0,6.0,1.0,4.0,4.909,0.545,2.667,1.0,10.0,1.0,2.0,2.0,1.0,5.0,1.0,4.0,6.75,0.75,3.667,1.0,13.0,1.0,2.0,2.0,1.0,6.0,1.0,4.0,4.909,0.545
6,73,2021-04-17,CIN,,CLE,"W,3-2",9-9,,3,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1,3.38,3.36,4.0,,,3,3,1,0,0,0,0,,0,0,1,0,0,3,0.0,0.0,0.0,0,0,0,0.97,0.045,1.04,0.03%,0.56,,,9t --- 0 out d1,9t 3 out d1,,2021-04-17,113,114,634460,2021,1.0,4.333,1.0,15.0,1.0,2.0,2.0,1.0,7.0,1.0,4.0,4.154,0.462,4.333,1.0,15.0,1.0,2.0,2.0,1.0,7.0,1.0,4.0,4.154,0.462,4.333,1.0,15.0,1.0,2.0,2.0,1.0,7.0,1.0,4.0,4.154,0.462,2.333,1.0,9.0,1.0,2.0,2.0,1.0,4.0,1.0,4.0,7.714,0.857,4.333,1.0,15.0,1.0,2.0,2.0,1.0,7.0,1.0,4.0,4.154,0.462
7,74,2021-04-20,CIN,,ARI,"L,4-5",8-8,,2,0.2,0.0,0.0,0.0,1.0,0.0,0.0,1,3.0,4.34,4.0,,,2,0,0,2,0,1,0,,2,1,0,0,0,2,0.0,0.0,0.0,0,0,0,3.23,-0.003,3.6,0.00%,0.47,,,8t -23 1 out tie,8t 3 out d1,,2021-04-20,113,109,634408,2021,0.667,5.333,1.0,19.0,1.0,2.0,2.0,1.0,9.0,1.0,4.0,3.375,0.375,5.333,1.0,19.0,1.0,2.0,2.0,1.0,9.0,1.0,4.0,3.375,0.375,4.333,1.0,16.0,1.0,2.0,2.0,1.0,8.0,1.0,4.0,4.154,0.462,2.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.333,1.0,19.0,1.0,2.0,2.0,1.0,9.0,1.0,4.0,3.375,0.375
8,75,2021-04-22,CIN,,ARI,"L,11-14",9-10,L(0-1),1,1.0,2.0,4.0,3.0,1.0,2.0,0.0,0,6.43,4.03,6.0,26.0,16.0,5,4,1,2,1,0,0,,1,0,0,0,0,5,0.0,0.0,0.0,0,0,0,3.06,-0.062,3.11,-0.04%,-0.72,,,9t -2- 1 out tie,10t 123 1 out d1,,2021-04-22,113,109,634514,2021,1.0,6.0,1.0,23.0,1.0,2.0,2.0,2.0,9.0,1.0,4.0,3.0,0.5,6.0,1.0,23.0,1.0,2.0,2.0,2.0,9.0,1.0,4.0,3.0,0.5,4.0,1.0,17.0,1.0,2.0,2.0,2.0,6.0,1.0,4.0,4.5,0.75,2.333,0.0,10.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.429,6.0,1.0,23.0,1.0,2.0,2.0,2.0,9.0,1.0,4.0,3.0,0.5
9,76,2021-04-26,CIN,@,LAD,"W,5-3",6-7,H(2),3,1.2,0.0,1.0,1.0,1.0,4.0,0.0,0,6.23,3.29,6.0,32.0,20.0,6,5,0,1,1,0,0,,0,0,0,0,0,5,0.0,0.0,0.0,0,0,0,1.28,0.121,1.05,0.06%,0.81,,,6b --- 0 out a2,7b 1-- 2 out a2,,2021-04-26,113,119,634363,2021,1.667,7.0,3.0,29.0,1.0,6.0,5.0,3.0,11.0,1.0,6.0,6.429,0.857,7.0,3.0,29.0,1.0,6.0,5.0,3.0,11.0,1.0,6.0,6.429,0.857,3.667,2.0,17.0,0.0,4.0,3.0,2.0,6.0,0.0,2.0,7.364,1.091,2.667,2.0,14.0,0.0,4.0,3.0,2.0,4.0,0.0,2.0,10.125,1.5,7.0,3.0,29.0,1.0,6.0,5.0,3.0,11.0,1.0,6.0,6.429,0.857
10,77,2021-04-30,CIN,,CHC,"W,8-6",9-9,H(3),3,0.2,0.0,0.0,0.0,3.0,0.0,0.0,0,5.79,4.24,5.0,27.0,13.0,5,4,0,2,0,0,0,,2,2,0,0,0,1,0.0,0.0,0.0,0,1,0,2.07,-0.075,2.01,-0.04%,-1.24,,,9t 12- 0 out a4,9t 123 2 out a2,,2021-04-30,113,112,634305,2021,0.667,8.667,3.0,35.0,1.0,7.0,6.0,4.0,15.0,1.0,6.0,6.231,0.808,8.667,3.0,35.0,1.0,7.0,6.0,4.0,15.0,1.0,6.0,6.231,0.808,5.0,2.0,22.0,0.0,5.0,4.0,3.0,9.0,0.0,2.0,7.2,1.0,3.333,2.0,16.0,0.0,5.0,4.0,3.0,6.0,0.0,2.0,10.8,1.5,8.667,3.0,35.0,1.0,7.0,6.0,4.0,15.0,1.0,6.0,6.231,0.808
