Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,1,3,2024-03-30,BOS,@,SEA,"L,3-4",10-GF(10),,99,0.0,1,0,0,0,0,0,0,---,---,1,5,2,0,1,0,1,1,0,0,,2,1,0,0,0,1,0,0,0,0,0,0,5.3,-0.178,4.98,-0.10%,-0.73,-0.6,0.0,10b 1-3 1 out tie,10b end d 1,,2024-03-30,111,136,745278
2,2,4,2024-03-31,BOS,@,SEA,"W,5-1",7-GF,S(1),0,2.1,0,0,0,0,1,0,0,0.00,2.27,7,15,12,0,2,2,4,1,0,0,,2,0,0,0,0,7,0,0,0,0,0,0,0.41,0.073,0.36,0.04%,1.4,7.25,10.0,7b 12- 2 out a4,9b end a 4,,2024-03-31,111,136,745279
3,3,7,2024-04-03,BOS,@,OAK,"W,1-0",6-7,H(1),2,1.1,0,0,0,0,0,0,0,0.00,2.59,4,10,7,1,1,3,1,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,1.43,0.146,1.46,0.09%,0.69,3.0,4.0,6b 1-- 2 out a1,7b 3 out a1,,2024-04-03,111,133,745678
4,4,9,2024-04-06,BOS,@,LAA,"L,1-2",7-GF(8),,2,2.0,0,0,0,0,5,0,0,0.00,1.01,6,26,16,4,8,0,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,0.51,0.079,0.57,0.05%,1.06,14.5,21.0,7b --- 0 out d1,8b end d 1,,2024-04-06,111,108,746248
5,5,13,2024-04-11,BOS,,BAL,"L,4-9",6-7,H(2),4,2.0,0,0,0,1,1,0,0,0.00,1.70,6,31,20,7,2,1,3,1,1,0,,0,0,0,0,0,5,0,0,0,1,0,0,1.41,0.181,1.54,0.12%,1.09,5.9,9.0,6t --- 0 out a1,7t 3 out a1,,2024-04-11,111,110,746977
6,6,16,2024-04-14,BOS,,LAA,"W,5-4",6-8,H(3),2,2.2,2,1,1,0,1,0,1,0.87,2.16,10,34,22,3,3,5,3,2,1,0,,2,0,0,0,0,9,0,1,0,1,0,0,1.35,0.248,1.33,0.15%,1.31,4.2,8.0,6t 1-3 1 out a1,8t 3 out a2,,2024-04-14,111,108,746975
7,7,20,2024-04-18,BOS,,CLE,"L,4-5",7-8,,3,2.0,1,0,0,0,1,0,0,0.73,2.16,7,24,17,2,5,3,3,1,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,0.78,0.117,0.75,0.07%,1.09,5.9,9.0,7t --- 0 out d1,8t 3 out d1,,2024-04-18,111,114,746970
8,8,23,2024-04-21,BOS,@,PIT,"W,6-1",6-7,W(1-0),2,2.0,2,0,0,1,2,0,0,0.63,2.22,8,34,19,3,2,3,2,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,0.63,0.076,0.59,0.04%,1.05,10.7,18.0,6b --- 0 out a4,7b 3 out a4,,2024-04-21,111,134,745514
9,9,28,2024-04-27,BOS,,CHC,"W,17-0",5-6,W(2-0),5,2.0,0,0,0,0,2,0,0,0.55,2.09,6,25,16,3,4,2,2,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,0.34,0.053,0.32,0.03%,1.09,12.5,18.0,5t --- 0 out a3,6t 3 out a9,,2024-04-27,111,112,746971
10,10,30,2024-04-30,BOS,,SFG,"W,4-0",9-GF,,2,1.0,2,0,0,0,1,0,0,0.52,2.03,5,17,13,4,1,2,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.52,0.016,0.52,0.01%,0.54,3.05,6.0,9t --- 0 out a4,9t end a 4,,2024-04-30,111,137,746968
