Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,72,2021-04-02,OAK,,HOU,"L,5-9",6-7,,99,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0,4.5,3.67,8.0,,,6,2,3,3,1,1,0,,0,0,0,0,0,7,0.0,0.0,0.0,1,0,0,0.46,-0.011,0.46,-0.01%,-0.01,,,6t --- 0 out d3,7t 3 out d4,,2021-04-02,133,117,634605,2021,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,73,2021-04-03,OAK,,HOU,"L,1-9",8-8,,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,3.0,3.5,4.0,18.0,10.0,2,0,0,4,3,1,0,,0,0,0,0,0,4,1.0,0.0,0.0,0,0,0,0.2,0.008,0.19,0.00%,0.5,,,8t --- 0 out d4,8t 3 out d4,,2021-04-03,133,117,634629,2021,1.0,2.0,2.0,8.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,4.5,1.5,2.0,2.0,8.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,4.5,1.5,2.0,2.0,8.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,4.5,1.5,2.0,2.0,8.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,4.5,1.5,2.0,2.0,8.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,4.5,1.5
3,74,2021-05-09,OAK,,TBR,"L,3-4",8-GF,,35,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1.8,2.57,6.0,23.0,15.0,4,1,0,4,3,0,0,,0,0,0,0,0,6,0.0,0.0,0.0,0,0,0,0.59,0.088,0.77,0.07%,0.99,,,8t --- 0 out d1,9t end d 1,,2021-05-09,133,139,634211,2021,2.0,3.0,3.0,12.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.333,3.0,3.0,12.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.333,3.0,3.0,12.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.333,3.0,3.0,12.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.333,3.0,3.0,12.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.333
4,75,2021-05-12,OAK,@,BOS,"W,4-1",6-7,H(1),2,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.29,2.46,6.0,23.0,16.0,5,2,2,3,0,1,0,,0,0,0,0,0,6,0.0,0.0,0.0,0,0,0,0.77,0.123,1.02,0.10%,1.12,,,6b --- 0 out a3,7b 3 out a3,,2021-05-12,133,111,634154,2021,2.0,5.0,3.0,18.0,0.0,1.0,1.0,1.0,3.0,1.0,4.0,1.8,0.8,5.0,3.0,18.0,0.0,1.0,1.0,1.0,3.0,1.0,4.0,1.8,0.8,5.0,3.0,18.0,0.0,1.0,1.0,1.0,3.0,1.0,4.0,1.8,0.8,5.0,3.0,18.0,0.0,1.0,1.0,1.0,3.0,1.0,4.0,1.8,0.8,5.0,3.0,18.0,0.0,1.0,1.0,1.0,3.0,1.0,4.0,1.8,0.8
5,76,2021-05-14,OAK,@,MIN,"W,6-1",7-7,,1,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0,1.13,2.3,5.0,12.0,10.0,2,1,1,3,2,0,0,,0,0,0,0,0,5,1.0,0.0,0.0,0,0,0,1.43,0.035,1.76,0.03%,0.51,,,7b --- 0 out a4,7b 3 out a4,,2021-05-14,133,142,634131,2021,1.0,7.0,3.0,24.0,0.0,1.0,1.0,1.0,4.0,1.0,4.0,1.286,0.571,7.0,3.0,24.0,0.0,1.0,1.0,1.0,4.0,1.0,4.0,1.286,0.571,7.0,3.0,24.0,0.0,1.0,1.0,1.0,4.0,1.0,4.0,1.286,0.571,5.0,1.0,16.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.2,7.0,3.0,24.0,0.0,1.0,1.0,1.0,4.0,1.0,4.0,1.286,0.571
6,77,2021-05-16,OAK,@,MIN,"W,7-6",6-6,H(2),1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,2.39,3.0,8.0,4.0,0,0,1,2,1,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,1,0,0,1.62,0.089,2.09,0.07%,0.51,,,6b --- 0 out a1,6b 3 out a1,,2021-05-16,133,142,634188,2021,1.0,8.0,5.0,29.0,0.0,1.0,1.0,1.0,5.0,2.0,7.0,1.125,0.75,8.0,5.0,29.0,0.0,1.0,1.0,1.0,5.0,2.0,7.0,1.125,0.75,8.0,5.0,29.0,0.0,1.0,1.0,1.0,5.0,2.0,7.0,1.125,0.75,5.0,2.0,17.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.4,8.0,5.0,29.0,0.0,1.0,1.0,1.0,5.0,2.0,7.0,1.125,0.75
7,78,2021-05-18,OAK,,HOU,"W,6-5",7-7,,1,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0,2.7,2.27,5.0,,,2,2,1,3,1,0,0,,0,0,0,0,0,4,1.0,0.0,0.0,0,1,0,1.53,-0.286,2.41,-0.27%,-1.51,,,7t --- 0 out tie,7t 3 out d2,,2021-05-18,133,117,634050,2021,1.0,9.0,6.0,32.0,0.0,1.0,1.0,1.0,5.0,2.0,8.0,1.0,0.778,9.0,6.0,32.0,0.0,1.0,1.0,1.0,5.0,2.0,8.0,1.0,0.778,7.0,4.0,24.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,0.571,4.0,3.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.75,9.0,6.0,32.0,0.0,1.0,1.0,1.0,5.0,2.0,8.0,1.0,0.778
8,79,2021-05-20,OAK,,HOU,"L,4-8",6-7,,1,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0,3.0,2.09,8.0,30.0,21.0,7,2,3,3,3,0,0,,0,0,0,0,0,8,1.0,0.0,0.0,0,0,0,0.53,-0.033,0.9,-0.03%,-0.01,,,6t --- 0 out d3,7t 3 out d3,,2021-05-20,133,117,634045,2021,2.0,10.0,8.0,37.0,0.0,3.0,3.0,1.0,6.0,3.0,11.0,2.7,0.9,10.0,8.0,37.0,0.0,3.0,3.0,1.0,6.0,3.0,11.0,2.7,0.9,7.0,5.0,25.0,0.0,2.0,2.0,0.0,5.0,2.0,7.0,2.571,0.714,3.0,5.0,13.0,0.0,2.0,2.0,0.0,2.0,2.0,7.0,6.0,1.667,10.0,8.0,37.0,0.0,3.0,3.0,1.0,6.0,3.0,11.0,2.7,0.9
9,80,2021-05-23,OAK,@,LAA,"L,5-6",6-6,H(3),2,1.0,1.0,1.0,1.0,0.0,3.0,1.0,0,3.46,2.71,4.0,18.0,12.0,5,1,0,1,0,0,0,,0,0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.71,-0.021,1.01,-0.02%,-0.46,,,6b --- 0 out a3,6b 3 out a2,,2021-05-23,133,108,633985,2021,1.0,12.0,10.0,45.0,0.0,4.0,4.0,1.0,8.0,4.0,14.0,3.0,0.917,12.0,10.0,45.0,0.0,4.0,4.0,1.0,8.0,4.0,14.0,3.0,0.917,7.0,7.0,27.0,0.0,3.0,3.0,0.0,5.0,3.0,10.0,3.857,1.0,4.0,5.0,16.0,0.0,3.0,3.0,0.0,3.0,2.0,7.0,6.75,1.25,12.0,10.0,45.0,0.0,4.0,4.0,1.0,8.0,4.0,14.0,3.0,0.917
10,81,2021-05-25,OAK,,SEA,"L,3-4",5-6,,1,1.1,1.0,0.0,0.0,1.0,2.0,0.0,0,3.14,2.68,6.0,29.0,21.0,5,3,1,2,0,0,0,,2,0,0,0,0,5,0.0,0.0,0.0,0,0,0,1.17,0.07,1.79,0.06%,0.93,,,5t 12- 2 out d2,6t 3 out d2,,2021-05-25,133,136,633945,2021,1.333,13.0,11.0,49.0,1.0,5.0,5.0,1.0,11.0,5.0,18.0,3.462,0.923,13.0,11.0,49.0,1.0,5.0,5.0,1.0,11.0,5.0,18.0,3.462,0.923,6.0,8.0,25.0,1.0,4.0,4.0,0.0,7.0,4.0,14.0,6.0,1.333,4.0,5.0,17.0,1.0,4.0,4.0,0.0,6.0,3.0,10.0,9.0,1.25,13.0,11.0,49.0,1.0,5.0,5.0,1.0,11.0,5.0,18.0,3.462,0.923
