Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,124,2021-04-02,SEA,,SFG,"L,3-6",7-7,L(0-1),99,0.2,2.0,3.0,3.0,2.0,2.0,0.0,0,40.5,6.17,6.0,31.0,15.0,2,5,1,1,1,0,0,,0,0,1,0,0,4,1.0,0.0,0.0,0,0,0,2.07,-0.387,2.03,-0.23%,-2.73,,,7t --- 0 out tie,7t 1-- 2 out d3,,2021-04-02,136,137,634578,2021,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,125,2021-04-05,SEA,,CHW,"L,0-6",6-7,,2,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0,10.13,3.55,9.0,42.0,26.0,7,3,4,2,2,0,0,,0,0,0,0,0,8,0.0,0.0,0.0,0,0,0,0.09,0.008,0.09,0.01%,0.99,,,6t --- 0 out d6,7t 3 out d6,,2021-04-05,136,145,634551,2021,2.0,0.667,2.0,6.0,0.0,3.0,3.0,2.0,2.0,1.0,3.0,40.5,6.0,0.667,2.0,6.0,0.0,3.0,3.0,2.0,2.0,1.0,3.0,40.5,6.0,0.667,2.0,6.0,0.0,3.0,3.0,2.0,2.0,1.0,3.0,40.5,6.0
3,126,2021-04-08,SEA,@,MIN,"L,2-10",5-6,,2,1.0,3.0,1.0,1.0,0.0,2.0,0.0,0,9.82,2.35,6.0,28.0,17.0,2,6,2,2,1,0,0,,1,1,0,0,0,5,1.0,0.0,0.0,0,1,0,0.13,-0.016,0.13,-0.01%,-0.88,,,5b 1-- 1 out d5,6b 12- 1 out d5,,2021-04-08,136,142,634550,2021,1.0,2.667,4.0,15.0,0.0,3.0,3.0,3.0,4.0,1.0,5.0,10.125,2.625,2.667,4.0,15.0,0.0,3.0,3.0,3.0,4.0,1.0,5.0,10.125,2.625,2.667,4.0,15.0,0.0,3.0,3.0,3.0,4.0,1.0,5.0,10.125,2.625
4,127,2021-04-11,SEA,@,MIN,"W,8-6",8-8,W(1-1),2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,7.71,2.74,4.0,18.0,11.0,5,1,2,0,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.45,0.032,0.45,0.02%,0.51,,,8b --- 0 out d1,8b 3 out d1,,2021-04-11,136,142,632215,2021,1.0,3.667,7.0,21.0,0.0,4.0,4.0,3.0,6.0,2.0,9.0,9.818,2.727,3.667,7.0,21.0,0.0,4.0,4.0,3.0,6.0,2.0,9.0,9.818,2.727,3.667,7.0,21.0,0.0,4.0,4.0,3.0,6.0,2.0,9.0,9.818,2.727
5,128,2021-04-16,SEA,,HOU,"W,6-5",8-8,,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,6.35,2.82,3.0,10.0,7.0,4,0,2,1,0,1,0,,0,0,0,0,0,3,0.0,0.0,0.0,1,0,0,1.15,0.051,1.4,0.04%,0.5,,,8t --- 0 out d1,8t 3 out d1,,2021-04-16,136,117,634517,2021,1.0,4.667,7.0,25.0,0.0,4.0,4.0,4.0,7.0,2.0,9.0,7.714,2.357,4.667,7.0,25.0,0.0,4.0,4.0,4.0,7.0,2.0,9.0,7.714,2.357,4.667,7.0,25.0,0.0,4.0,4.0,4.0,7.0,2.0,9.0,7.714,2.357
6,129,2021-04-18,SEA,,HOU,"W,7-2",9-GF,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.4,2.87,3.0,7.0,6.0,1,0,3,0,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.08,0.006,0.1,0.01%,0.5,,,9t --- 0 out a5,9t end a 5,,2021-04-18,136,117,634538,2021,1.0,5.667,8.0,28.0,0.0,4.0,4.0,4.0,7.0,2.0,10.0,6.353,2.118,5.667,8.0,28.0,0.0,4.0,4.0,4.0,7.0,2.0,10.0,6.353,2.118,5.667,8.0,28.0,0.0,4.0,4.0,4.0,7.0,2.0,10.0,6.353,2.118
7,130,2021-04-23,SEA,@,BOS,"L,5-6",5-6,,4,1.1,2.0,0.0,0.0,0.0,3.0,0.0,0,4.5,2.17,6.0,26.0,18.0,9,3,1,2,1,0,0,,1,0,0,0,0,6,0.0,0.0,0.0,0,0,0,0.49,0.032,0.56,0.02%,0.81,,,5b 1-- 2 out d3,6b 3 out d3,,2021-04-23,136,111,634386,2021,1.333,6.667,8.0,31.0,0.0,4.0,4.0,4.0,7.0,2.0,10.0,5.4,1.8,6.0,6.0,25.0,0.0,1.0,1.0,2.0,5.0,1.0,7.0,1.5,1.333,6.667,8.0,31.0,0.0,4.0,4.0,4.0,7.0,2.0,10.0,5.4,1.8
8,131,2021-04-25,SEA,@,BOS,"L,3-5",1-2,,1,1.2,1.0,1.0,1.0,2.0,1.0,0.0,1,4.66,3.07,7.0,35.0,16.0,3,2,1,2,1,0,0,,3,1,0,0,0,4,1.0,0.0,0.0,1,0,0,0.96,-0.011,1.12,-0.01%,0.2,,,1b 123 1 out d2,2b 3 out d4,,2021-04-25,136,111,634355,2021,1.667,8.0,10.0,37.0,0.0,4.0,4.0,4.0,10.0,2.0,12.0,4.5,1.75,5.333,6.0,22.0,0.0,1.0,1.0,1.0,6.0,1.0,7.0,1.688,1.312,8.0,10.0,37.0,0.0,4.0,4.0,4.0,10.0,2.0,12.0,4.5,1.75
9,132,2021-04-30,SEA,,LAA,"W,7-4",5-6,W(2-1),4,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0,3.86,2.57,6.0,20.0,16.0,6,1,2,1,1,0,0,,0,0,0,0,0,6,0.0,0.0,0.0,0,0,0,0.99,0.149,1.18,0.11%,0.99,,,5t --- 0 out a1,6t 3 out a1,,2021-04-30,136,108,634287,2021,2.0,9.667,11.0,44.0,0.0,5.0,5.0,6.0,11.0,3.0,14.0,4.655,1.759,6.0,4.0,23.0,0.0,1.0,1.0,3.0,5.0,1.0,5.0,1.5,1.167,9.667,11.0,44.0,0.0,5.0,5.0,6.0,11.0,3.0,14.0,4.655,1.759
10,133,2021-05-03,SEA,,BAL,"L,3-5",5-6,,2,1.1,0.0,0.0,0.0,0.0,2.0,0.0,0,3.46,2.32,4.0,18.0,12.0,3,2,1,1,0,0,0,,1,0,0,0,0,4,0.0,0.0,0.0,0,0,0,1.19,0.125,1.39,0.09%,0.82,,,5t -2- 2 out tie,6t 3 out a1,,2021-05-03,136,110,634242,2021,1.333,11.667,11.0,50.0,0.0,5.0,5.0,6.0,14.0,3.0,14.0,3.857,1.457,7.0,4.0,25.0,0.0,1.0,1.0,2.0,7.0,1.0,5.0,1.286,0.857,11.667,11.0,50.0,0.0,5.0,5.0,6.0,14.0,3.0,14.0,3.857,1.457
