Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,286,2021-04-09,TBR,,NYY,"W,10-5",7-8,,99,2.0,1.0,1.0,1.0,1.0,3.0,1.0,0,4.5,8.17,8.0,36.0,24.0,4,5,1,3,0,1,0,,0,0,0,0,0,7,0.0,0.0,0.0,0,0,0,0.21,0.019,0.2,0.01%,-0.02,,,7t --- 0 out a5,8t 3 out a5,,2021-04-09,139,147,634499,2021,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,287,2021-04-14,TBR,,TEX,"L,1-5",9-GF,,4,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0,3.0,5.17,3.0,,,3,3,1,0,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.02,0.001,0.02,0.00%,0.49,,,9t --- 0 out d5,9t end d 5,,2021-04-14,139,140,634496,2021,1.0,2.0,1.0,8.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,4.5,1.0,2.0,1.0,8.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,4.5,1.0,2.0,1.0,8.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,4.5,1.0,2.0,1.0,8.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,4.5,1.0,2.0,1.0,8.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,4.5,1.0
3,288,2021-04-16,TBR,@,NYY,"W,8-2",9-GF,,1,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0,2.25,3.67,3.0,13.0,9.0,4,3,1,0,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.04,0.003,0.04,0.00%,0.52,,,9b --- 0 out a6,9b end a 6,,2021-04-16,139,147,634464,2021,1.0,3.0,1.0,11.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,3.0,0.667,3.0,1.0,11.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,3.0,0.667,3.0,1.0,11.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,3.0,0.667,3.0,1.0,11.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,3.0,0.667,3.0,1.0,11.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,3.0,0.667
4,289,2021-04-19,TBR,@,KCR,"W,4-1",8-8,H(1),2,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0,1.8,3.17,5.0,20.0,16.0,3,3,1,3,1,0,0,,0,0,0,0,0,5,0.0,0.0,0.0,0,0,0,0.99,0.056,1.01,0.04%,0.54,,,8b --- 0 out a3,8b 3 out a3,,2021-04-19,139,118,634396,2021,1.0,4.0,1.0,14.0,1.0,1.0,1.0,1.0,7.0,1.0,4.0,2.25,0.5,4.0,1.0,14.0,1.0,1.0,1.0,1.0,7.0,1.0,4.0,2.25,0.5,4.0,1.0,14.0,1.0,1.0,1.0,1.0,7.0,1.0,4.0,2.25,0.5,4.0,1.0,14.0,1.0,1.0,1.0,1.0,7.0,1.0,4.0,2.25,0.5,4.0,1.0,14.0,1.0,1.0,1.0,1.0,7.0,1.0,4.0,2.25,0.5
5,290,2021-04-20,TBR,@,KCR,"W,14-7",5-6,H(2),0,1.2,2.0,1.0,1.0,1.0,1.0,0.0,0,2.7,3.32,8.0,29.0,18.0,4,2,2,4,2,1,0,,2,0,0,0,0,7,1.0,0.0,0.0,0,0,0,1.55,0.126,1.61,0.08%,0.49,,,5b 12- 1 out a2,6b 3 out a5,,2021-04-20,139,118,634407,2021,1.667,5.0,3.0,19.0,1.0,1.0,1.0,1.0,8.0,1.0,6.0,1.8,0.8,5.0,3.0,19.0,1.0,1.0,1.0,1.0,8.0,1.0,6.0,1.8,0.8,5.0,3.0,19.0,1.0,1.0,1.0,1.0,8.0,1.0,6.0,1.8,0.8,3.0,2.0,11.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.667,5.0,3.0,19.0,1.0,1.0,1.0,1.0,8.0,1.0,6.0,1.8,0.8
6,291,2021-04-25,TBR,,TOR,"L,0-1",9-GF,,4,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0,2.35,3.04,5.0,18.0,10.0,2,3,0,4,2,1,0,,0,0,0,0,0,5,0.0,0.0,0.0,0,0,0,0.93,0.037,1.11,0.03%,0.49,,,9t --- 0 out d1,9t end d 1,,2021-04-25,139,141,634376,2021,1.0,6.667,5.0,27.0,1.0,2.0,2.0,2.0,9.0,2.0,9.0,2.7,1.05,6.667,5.0,27.0,1.0,2.0,2.0,2.0,9.0,2.0,9.0,2.7,1.05,6.667,5.0,27.0,1.0,2.0,2.0,2.0,9.0,2.0,9.0,2.7,1.05,3.667,4.0,16.0,0.0,1.0,1.0,1.0,4.0,1.0,5.0,2.455,1.364,6.667,5.0,27.0,1.0,2.0,2.0,2.0,9.0,2.0,9.0,2.7,1.05
7,292,2021-04-26,TBR,,OAK,"L,1-2",9-GF,,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,2.08,3.4,3.0,11.0,5.0,2,1,1,1,0,0,0,,0,0,0,0,0,2,0.0,0.0,0.0,1,0,0,0.66,0.037,0.67,0.02%,0.49,,,9t --- 0 out d1,9t end d 1,,2021-04-26,139,133,634343,2021,1.0,7.667,7.0,32.0,1.0,2.0,2.0,2.0,10.0,2.0,11.0,2.348,1.174,7.667,7.0,32.0,1.0,2.0,2.0,2.0,10.0,2.0,11.0,2.348,1.174,5.667,6.0,24.0,0.0,1.0,1.0,1.0,7.0,1.0,7.0,1.588,1.235,3.667,6.0,18.0,0.0,1.0,1.0,1.0,3.0,1.0,7.0,2.455,1.909,7.667,7.0,32.0,1.0,2.0,2.0,2.0,10.0,2.0,11.0,2.348,1.174
8,293,2021-05-01,TBR,,HOU,"L,1-3",7-8,,4,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.69,3.36,7.0,,,6,1,3,4,1,2,0,,0,0,0,0,0,7,0.0,0.0,0.0,0,0,0,0.35,0.034,0.33,0.02%,0.98,,,7t --- 0 out d3,8t 3 out d3,,2021-05-01,139,117,634307,2021,2.0,8.667,7.0,35.0,1.0,2.0,2.0,3.0,10.0,2.0,11.0,2.077,1.154,8.667,7.0,35.0,1.0,2.0,2.0,3.0,10.0,2.0,11.0,2.077,1.154,5.667,6.0,24.0,0.0,1.0,1.0,2.0,5.0,1.0,7.0,1.588,1.412,3.667,4.0,16.0,0.0,1.0,1.0,2.0,2.0,1.0,5.0,2.455,1.636,8.667,7.0,35.0,1.0,2.0,2.0,3.0,10.0,2.0,11.0,2.077,1.154
9,294,2021-05-04,TBR,@,LAA,"W,8-3",9-GF,,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.54,3.17,3.0,9.0,6.0,1,2,1,1,0,1,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.11,0.009,0.11,0.01%,0.54,,,9b --- 0 out a5,9b end a 5,,2021-05-04,139,108,634267,2021,1.0,10.667,8.0,42.0,1.0,2.0,2.0,3.0,10.0,2.0,12.0,1.688,1.031,10.667,8.0,42.0,1.0,2.0,2.0,3.0,10.0,2.0,12.0,1.688,1.031,6.667,7.0,28.0,0.0,1.0,1.0,2.0,3.0,1.0,8.0,1.35,1.35,4.0,3.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,10.667,8.0,42.0,1.0,2.0,2.0,3.0,10.0,2.0,12.0,1.688,1.031
10,295,2021-05-06,TBR,@,LAA,"W,8-3",8-8,,1,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0,1.42,2.85,4.0,19.0,14.0,5,2,1,1,0,0,0,,0,0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.22,0.017,0.24,0.01%,0.54,,,8b --- 0 out a5,8b 3 out a5,,2021-05-06,139,108,634247,2021,1.0,11.667,8.0,45.0,1.0,2.0,2.0,3.0,11.0,2.0,12.0,1.543,0.943,11.667,8.0,45.0,1.0,2.0,2.0,3.0,11.0,2.0,12.0,1.543,0.943,6.667,5.0,26.0,0.0,1.0,1.0,2.0,3.0,1.0,6.0,1.35,1.05,4.0,1.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5,11.667,8.0,45.0,1.0,2.0,2.0,3.0,11.0,2.0,12.0,1.543,0.943
