Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,147,2021-04-06,NYM,@,PHI,"W,8-4",GS-6,W(1-0),99,6.0,3.0,1.0,1.0,2.0,3.0,1.0,1,1.5,5.84,24.0,85.0,53.0,13,10,15,3,3,0,0,63.0,,,0,0,0,21,0.0,0.0,0.0,1,0,1,1.29,0.265,1.4,0.17%,2.03,,,1b start tie,6b 3 out a1,,2021-04-06,121,143,634608,2021,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,148,2021-04-11,NYM,,MIA,"W,6-5",GS-1,,4,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0,1.42,5.7,2.0,7.0,4.0,0,1,1,1,0,0,0,49.0,,,0,0,0,2,0.0,0.0,0.0,0,0,0,1.16,-0.002,1.21,0.00%,-0.03,,,1t start tie,1t 1-- 1 out tie,,2021-04-11,121,146,632192,2021,0.333,6.0,3.0,24.0,1.0,1.0,1.0,2.0,3.0,1.0,6.0,1.5,0.833,6.0,3.0,24.0,1.0,1.0,1.0,2.0,3.0,1.0,6.0,1.5,0.833,6.0,3.0,24.0,1.0,1.0,1.0,2.0,3.0,1.0,6.0,1.5,0.833
3,149,2021-04-13,NYM,,PHI,"W,4-0",GS-6,W(2-0),1,6.0,4.0,0.0,0.0,0.0,3.0,0.0,0,0.73,3.98,20.0,86.0,61.0,11,11,8,9,5,1,0,67.0,,,0,0,0,20,0.0,0.0,0.0,2,0,0,1.11,0.342,1.48,0.27%,2.95,,,1t start tie,6t 3 out a3,2.0,2021-04-13,121,143,632226,2021,6.0,6.333,4.0,26.0,1.0,1.0,1.0,2.0,3.0,1.0,7.0,1.421,0.947,6.333,4.0,26.0,1.0,1.0,1.0,2.0,3.0,1.0,7.0,1.421,0.947,6.333,4.0,26.0,1.0,1.0,1.0,2.0,3.0,1.0,7.0,1.421,0.947
4,150,2021-04-18,NYM,@,COL,"W,2-1",GS-8,W(3-0),4,8.0,3.0,1.0,1.0,1.0,5.0,0.0,0,0.89,3.32,27.0,90.0,62.0,15,8,11,10,5,2,0,76.0,,,0,0,0,26,1.0,0.0,0.0,1,0,0,1.2,0.515,1.26,0.33%,3.62,,,1b start tie,8b 3 out a1,,2021-04-18,121,115,634468,2021,8.0,12.333,8.0,46.0,1.0,1.0,1.0,2.0,6.0,1.0,11.0,0.73,0.811,12.333,8.0,46.0,1.0,1.0,1.0,2.0,6.0,1.0,11.0,0.73,0.811,12.333,8.0,46.0,1.0,1.0,1.0,2.0,6.0,1.0,11.0,0.73,0.811
5,151,2021-04-24,NYM,,WSN,"L,1-7",GS-4,L(3-1),5,4.0,8.0,5.0,4.0,2.0,4.0,0.0,0,2.22,3.21,21.0,72.0,43.0,8,4,10,5,5,0,0,30.0,,,0,0,0,18,0.0,0.0,0.0,1,1,0,0.89,-0.273,1.07,-0.20%,-3.04,,,1t start tie,4t 3 out d5,,2021-04-24,121,120,634443,2021,4.0,20.333,11.0,73.0,1.0,2.0,2.0,3.0,11.0,2.0,15.0,0.885,0.689,20.333,11.0,73.0,1.0,2.0,2.0,3.0,11.0,2.0,15.0,0.885,0.689,20.333,11.0,73.0,1.0,2.0,2.0,3.0,11.0,2.0,15.0,0.885,0.689
6,152,2021-04-30,NYM,@,PHI,"L,1-2",GS-5,L(3-2),5,5.0,3.0,2.0,0.0,1.0,8.0,0.0,0,1.84,2.76,19.0,64.0,47.0,9,14,7,3,0,0,0,64.0,,,0,0,0,18,0.0,0.0,0.0,1,0,0,0.91,-0.013,1.05,-0.01%,0.53,,,1b start tie,5b 3 out d2,,2021-04-30,121,143,634336,2021,5.0,24.333,19.0,94.0,1.0,7.0,6.0,5.0,15.0,2.0,23.0,2.219,0.986,24.333,19.0,94.0,1.0,7.0,6.0,5.0,15.0,2.0,23.0,2.219,0.986,24.333,19.0,94.0,1.0,7.0,6.0,5.0,15.0,2.0,23.0,2.219,0.986
7,153,2021-05-05,NYM,@,STL,"L,1-4",GS-5,L(3-3),4,5.0,7.0,4.0,2.0,1.0,6.0,2.0,0,2.1,3.32,25.0,98.0,67.0,14,11,6,12,7,1,0,46.0,,,1,0,0,24,0.0,0.0,0.0,0,0,2,0.84,-0.199,0.85,-0.12%,-1.6,,,1b start tie,5b 3 out d3,1.0,2021-05-05,121,138,634250,2021,5.0,29.333,22.0,113.0,1.0,9.0,6.0,6.0,23.0,2.0,26.0,1.841,0.955,23.333,19.0,89.0,0.0,8.0,5.0,4.0,20.0,1.0,20.0,1.929,0.986,29.333,22.0,113.0,1.0,9.0,6.0,6.0,23.0,2.0,26.0,1.841,0.955
8,154,2021-05-11,NYM,,BAL,"W,3-2",GS-7,,5,6.1,5.0,1.0,1.0,2.0,5.0,0.0,0,1.99,3.19,26.0,,,12,14,13,6,3,0,0,62.0,,,0,0,0,23,0.0,0.0,1.0,0,0,0,1.24,0.195,1.46,0.14%,1.88,,,1t start tie,7t 123 1 out tie,,2021-05-11,121,110,634170,2021,6.333,34.333,29.0,138.0,3.0,13.0,8.0,7.0,29.0,4.0,39.0,2.097,1.049,28.0,25.0,112.0,2.0,12.0,7.0,5.0,26.0,3.0,32.0,2.25,1.071,34.333,29.0,138.0,3.0,13.0,8.0,7.0,29.0,4.0,39.0,2.097,1.049
9,155,2021-05-16,NYM,@,TBR,"L,1-7",GS-6,L(3-4),4,6.0,6.0,5.0,5.0,1.0,1.0,3.0,1,2.7,4.11,25.0,91.0,57.0,13,8,9,13,5,0,0,40.0,,,1,0,0,23,0.0,0.0,0.0,1,0,0,0.58,-0.181,0.69,-0.13%,-2.06,,,1b start tie,6b 3 out d4,,2021-05-16,121,139,634071,2021,6.0,40.667,34.0,164.0,3.0,14.0,9.0,9.0,34.0,4.0,44.0,1.992,1.057,28.333,26.0,118.0,2.0,13.0,8.0,7.0,28.0,3.0,33.0,2.541,1.165,40.667,34.0,164.0,3.0,14.0,9.0,9.0,34.0,4.0,44.0,1.992,1.057
10,156,2021-05-21,NYM,@,MIA,"W,6-5",GS-7,,4,6.0,6.0,2.0,2.0,1.0,8.0,0.0,0,2.73,3.76,23.0,,,16,12,7,7,3,0,0,59.0,,,0,2,0,21,1.0,0.0,0.0,0,1,0,1.22,0.196,1.78,0.17%,1.65,,,1b start a 2,7b 1-- 0 out a2,,2021-05-21,121,146,634089,2021,6.0,46.667,40.0,189.0,6.0,19.0,14.0,10.0,35.0,7.0,59.0,2.7,1.071,26.333,29.0,116.0,5.0,17.0,12.0,7.0,24.0,5.0,44.0,4.101,1.367,46.667,40.0,189.0,6.0,19.0,14.0,10.0,35.0,7.0,59.0,2.7,1.071
