Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,45,35,2021-05-09,PHI,@,ATL,"L,1-6",5-6,,99,2.0,2,0,0,1,3,0,0,0.0,1.67,8,31.0,16.0,4,4,4,0,0,0,0,,0.0,0.0,0,1,1,7,0,0,0,0,0,0,0.22,0.025,0.29,0.02%,1.06,,,5b --- 0 out d4,6b 3 out d4,,2021-05-09,143,144,634175
2,46,37,2021-05-12,PHI,@,WSN,"W,5-2",8-8,,2,0.2,1,0,0,1,2,0,0,0.0,1.67,5,,,3,4,1,1,1,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,1,0.75,0.017,0.97,0.01%,0.26,,,8b --- 1 out d1,8b 3 out d1,,2021-05-12,143,120,634151
3,47,41,2021-05-16,PHI,@,TOR,"L,8-10",5-7,,3,2.1,1,1,0,0,1,0,2,0.0,3.17,11,33.0,21.0,5,3,5,3,1,0,0,,2.0,0.0,0,0,0,9,1,0,0,0,0,0,0.18,0.008,0.22,0.01%,0.61,,,5b 1-3 2 out d5,7b 3 out d5,,2021-05-16,143,141,634069
4,48,43,2021-05-19,PHI,,MIA,"L,1-3",9-GF,,2,1.0,0,0,0,1,1,0,0,0.0,3.34,4,11.0,6.0,2,2,2,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.31,0.018,0.42,0.02%,0.51,,,9t --- 0 out d2,9t end d 2,,2021-05-19,143,146,634044
5,49,44,2021-05-20,PHI,,MIA,"L,0-6",9-GF,,0,1.0,0,0,0,0,0,0,0,0.0,3.31,3,,,1,0,3,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.01,0.001,0.01,0.00%,0.51,,,9t --- 0 out d6,9t end d 6,,2021-05-20,143,146,634039
6,50,46,2021-05-22,PHI,,BOS,"L,3-4",4-5,,1,2.0,0,0,0,0,1,0,0,0.0,3.06,6,21.0,15.0,6,2,4,1,0,0,0,,1.0,0.0,0,0,0,6,0,0,0,0,0,0,0.86,0.12,0.86,0.07%,1.4,,,4t 1-- 0 out d2,5t 3 out d1,,2021-05-22,143,111,633984
7,51,51,2021-05-27,PHI,@,MIA,"W,3-2",5-7,,4,3.0,1,0,0,0,3,0,0,0.0,2.59,9,,,9,7,3,3,1,0,0,,3.0,1.0,0,0,0,8,0,0,0,0,1,0,2.14,0.388,2.43,0.26%,2.36,,,5b 123 0 out a2,7b 3 out a1,,2021-05-27,143,146,633957
8,52,53,2021-05-30,PHI,@,TBR,"L,2-6",5-5,,2,0.1,1,0,0,1,0,0,0,0.0,2.85,3,10.0,4.0,1,1,0,2,1,0,0,,2.0,1.0,0,0,0,2,1,0,0,0,0,0,0.63,-0.033,0.58,-0.02%,-0.51,,,5b 1-3 2 out d3,5b 3 out d4,,2021-05-30,143,139,633892
9,53,55,2021-06-01,PHI,@,CIN,"W,17-3",6-7,,1,2.0,0,0,0,0,1,0,0,0.0,2.75,5,14.0,9.0,2,2,4,0,0,0,0,,2.0,0.0,0,0,0,5,0,0,0,1,0,0,0.25,0.047,0.21,0.02%,2.14,,,6b 12- 0 out a7,7b 3 out a7,,2021-06-01,143,113,633868
10,54,57,2021-06-05,PHI,,WSN,"W,5-2",3-6,W(1-0),3,3.0,0,0,0,0,3,0,1,0.0,2.65,12,47.0,30.0,10,6,6,2,0,0,0,,2.0,1.0,0,0,0,11,0,0,0,0,0,1,1.11,0.099,1.11,0.06%,1.17,,,3t 12- 1 out tie,6t --- 1 out a3,,2021-06-05,143,120,633795
