Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,6,28,2021-05-01,SEA,,LAA,"L,5-10",9-GF,,99,1.0,2,0,0,0,0,0,0,0.00,3.17,5,,,2,2,4,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.50,,,9t --- 0 out d7,9t end d 7,,2021-05-01,136,108,634272
2,7,30,2021-05-03,SEA,,BAL,"L,3-5",3-3,,1,1.0,2,0,0,1,1,0,0,0.00,3.67,6,20,12,2,3,1,3,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.36,0.055,1.59,0.04%,0.50,,,3t --- 0 out tie,3t 3 out tie,,2021-05-03,136,110,634242
3,8,96,2021-07-24,KCR,,DET,"W,9-8",6-6,,81,1.0,1,0,0,0,1,0,0,0.00,2.84,4,15,11,3,1,1,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.84,0.041,.02,0.00%,0.54,,,6t --- 0 out d2,6t 3 out d2,,2021-07-24,118,116,633201
4,9,100,2021-07-28,KCR,,CHW,"W,3-2",7-7,,3,1.0,0,0,0,0,2,0,0,0.00,1.92,2,14,11,2,3,0,0,0,0,0,,1,0,0,1,0,2,0,0,0,0,0,0,.91,0.062,.05,0.00%,0.93,,,7t 1-- 0 out d2,7t 3 out d2,,2021-07-28,118,145,633114
5,10,102,2021-07-30,KCR,@,TOR,"L,4-6",7-7,,1,1.0,3,3,3,1,1,1,0,5.40,4.97,6,22,13,5,0,2,2,2,0,0,,0,0,0,0,0,5,1,0,0,1,0,0,.83,-0.177,.05,-0.01%,-2.46,,,7b --- 0 out d1,7b 3 out d4,,2021-07-30,118,141,633091
6,11,104,2021-08-01,KCR,@,TOR,"L,1-5",6-6,,1,1.0,0,0,0,1,1,0,0,4.50,4.84,4,17,8,2,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.13,0.006,.00,0.00%,0.54,,,6b --- 0 out d5,6b 3 out d5,,2021-08-01,118,141,633067
7,12,106,2021-08-04,KCR,@,CHW,"W,9-1",8-8,,2,1.0,1,0,0,0,0,0,0,3.86,4.60,4,19,12,5,0,1,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.05,0.002,.00,0.00%,0.53,,,8b --- 0 out a8,8b 3 out a8,,2021-08-04,118,145,633053
8,13,108,2021-08-06,KCR,@,STL,"L,2-4",6-6,,1,1.0,0,0,0,0,1,0,0,3.38,4.17,3,11,7,3,1,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.36,0.028,.01,0.00%,0.48,,,6b --- 0 out d2,6b 3 out d2,,2021-08-06,118,138,632982
9,14,110,2021-08-08,KCR,@,STL,"W,6-5",5-5,,1,0.1,0,0,0,0,0,0,0,3.24,4.13,1,6,4,1,0,0,1,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,2.59,0.059,.02,0.00%,0.43,,,5b 12- 2 out a2,5b 3 out a2,,2021-08-08,118,138,632985
10,15,112,2021-08-10,KCR,,NYY,"W,8-4",5-6,,1,1.0,1,1,1,2,3,0,0,3.86,4.03,6,30,15,5,4,1,0,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,1.79,-0.077,.00,0.00%,-0.25,,,5t 12- 2 out d1,6t 1-- 2 out d1,,2021-08-10,118,147,632987
