Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,75,2021-04-04,LAD,@,COL,"W,4-2",GS-8,W(1-0),99,7.0,3.0,1.0,1.0,1.0,6.0,0.0,0,1.29,1.88,25.0,79.0,59.0,16,11,8,10,3,2,0,72,,,0,0,0,24,1.0,0.0,0.0,0,0,0,0.79,0.365,0.91,0.25%,3.65,,,1b start a 3,8b 1-- 0 out a4,,2021-04-04,119,115,634557,2021,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,76,2021-04-10,LAD,,WSN,"W,9-5",GS-6,W(2-0),5,5.2,9.0,3.0,3.0,0.0,3.0,1.0,0,2.84,3.01,25.0,,,15,10,9,13,7,0,0,42,,,0,0,0,25,0.0,0.0,0.0,0,0,0,0.74,0.015,0.83,0.01%,-0.35,,,1t start tie,6t 1-3 2 out a3,,2021-04-10,119,120,632191,2021,5.667,7.0,3.0,25.0,0.0,1.0,1.0,1.0,6.0,1.0,4.0,1.286,0.571,7.0,3.0,25.0,0.0,1.0,1.0,1.0,6.0,1.0,4.0,1.286,0.571,7.0,3.0,25.0,0.0,1.0,1.0,1.0,6.0,1.0,4.0,1.286,0.571,7.0,3.0,25.0,0.0,1.0,1.0,1.0,6.0,1.0,4.0,1.286,0.571,7.0,3.0,25.0,0.0,1.0,1.0,1.0,6.0,1.0,4.0,1.286,0.571
3,77,2021-04-15,LAD,,COL,"W,7-5",GS-6,,4,6.0,7.0,5.0,4.0,2.0,6.0,2.0,0,3.86,4.13,27.0,,,14,12,7,12,3,0,0,44,,,0,0,0,24,1.0,0.0,1.0,0,0,0,1.14,-0.321,1.45,-0.24%,-1.84,,,1t start tie,6t 3 out d2,,2021-04-15,119,115,634547,2021,6.0,12.667,12.0,50.0,1.0,4.0,4.0,1.0,9.0,2.0,16.0,2.842,1.026,12.667,12.0,50.0,1.0,4.0,4.0,1.0,9.0,2.0,16.0,2.842,1.026,12.667,12.0,50.0,1.0,4.0,4.0,1.0,9.0,2.0,16.0,2.842,1.026,12.667,12.0,50.0,1.0,4.0,4.0,1.0,9.0,2.0,16.0,2.842,1.026,12.667,12.0,50.0,1.0,4.0,4.0,1.0,9.0,2.0,16.0,2.842,1.026
4,78,2021-04-20,LAD,@,SEA,"W,1-0",GS-7,W(3-0),4,7.0,1.0,0.0,0.0,1.0,11.0,0.0,0,2.81,3.13,23.0,88.0,68.0,18,16,5,6,1,1,0,85,,,0,0,0,22,0.0,0.0,0.0,0,0,0,0.96,0.493,1.12,0.35%,3.47,,,1b start tie,7b 3 out a1,,2021-04-20,119,136,634417,2021,7.0,18.667,19.0,77.0,3.0,9.0,8.0,3.0,15.0,5.0,30.0,3.857,1.179,18.667,19.0,77.0,3.0,9.0,8.0,3.0,15.0,5.0,30.0,3.857,1.179,18.667,19.0,77.0,3.0,9.0,8.0,3.0,15.0,5.0,30.0,3.857,1.179,18.667,19.0,77.0,3.0,9.0,8.0,3.0,15.0,5.0,30.0,3.857,1.179,18.667,19.0,77.0,3.0,9.0,8.0,3.0,15.0,5.0,30.0,3.857,1.179
5,79,2021-04-26,LAD,,CIN,"L,3-5",GS-5,,5,5.0,4.0,3.0,3.0,2.0,6.0,0.0,1,3.23,3.04,22.0,87.0,54.0,17,10,8,5,3,1,0,51,,,0,0,0,17,2.0,0.0,0.0,0,1,0,1.13,-0.1,1.38,-0.07%,-0.37,,,1t start tie,5t 3 out d2,,2021-04-26,119,113,634363,2021,5.0,25.667,20.0,100.0,3.0,9.0,8.0,4.0,26.0,5.0,31.0,2.805,0.935,25.667,20.0,100.0,3.0,9.0,8.0,4.0,26.0,5.0,31.0,2.805,0.935,25.667,20.0,100.0,3.0,9.0,8.0,4.0,26.0,5.0,31.0,2.805,0.935,18.667,17.0,75.0,3.0,8.0,7.0,3.0,20.0,4.0,27.0,3.375,1.071,25.667,20.0,100.0,3.0,9.0,8.0,4.0,26.0,5.0,31.0,2.805,0.935
6,80,2021-05-02,LAD,@,MIL,"W,16-4",GS-7,W(4-0),5,7.0,4.0,1.0,1.0,0.0,10.0,1.0,0,2.87,2.88,24.0,90.0,66.0,19,15,8,6,2,1,0,75,,,0,0,0,24,0.0,0.0,0.0,1,0,0,0.13,0.044,0.16,0.03%,2.54,,,1b start a 5,7b 3 out a13,,2021-05-02,119,158,634282,2021,7.0,30.667,24.0,122.0,3.0,12.0,11.0,6.0,32.0,7.0,37.0,3.228,0.978,30.667,24.0,122.0,3.0,12.0,11.0,6.0,32.0,7.0,37.0,3.228,0.978,30.667,24.0,122.0,3.0,12.0,11.0,6.0,32.0,7.0,37.0,3.228,0.978,18.0,12.0,72.0,2.0,8.0,7.0,5.0,23.0,5.0,21.0,3.5,0.944,30.667,24.0,122.0,3.0,12.0,11.0,6.0,32.0,7.0,37.0,3.228,0.978
7,81,2021-05-07,LAD,@,LAA,"L,2-9",GS-5,L(4-1),4,5.0,8.0,5.0,5.0,0.0,4.0,2.0,1,3.59,3.4,23.0,76.0,56.0,11,10,6,12,5,2,0,35,,,1,1,0,22,2.0,0.0,0.0,0,0,0,0.57,-0.273,0.62,-0.18%,-2.32,,,1b start tie,5b 3 out d4,,2021-05-07,119,108,634213,2021,5.0,37.667,28.0,146.0,4.0,13.0,12.0,6.0,42.0,8.0,44.0,2.867,0.903,37.667,28.0,146.0,4.0,13.0,12.0,6.0,42.0,8.0,44.0,2.867,0.903,30.667,25.0,121.0,4.0,12.0,11.0,5.0,36.0,7.0,40.0,3.228,0.978,19.0,9.0,69.0,1.0,4.0,4.0,3.0,27.0,3.0,14.0,1.895,0.632,37.667,28.0,146.0,4.0,13.0,12.0,6.0,42.0,8.0,44.0,2.867,0.903
8,82,2021-05-12,LAD,,SEA,"W,7-1",GS-7,W(5-1),4,7.0,2.0,1.0,1.0,1.0,6.0,0.0,0,3.26,3.19,24.0,87.0,64.0,24,10,8,9,2,3,0,74,,,0,0,0,23,0.0,0.0,0.0,0,0,0,0.68,0.217,0.73,0.14%,2.69,,,1t start tie,7t 3 out a5,,2021-05-12,119,136,634140,2021,7.0,42.667,36.0,169.0,6.0,18.0,17.0,6.0,46.0,12.0,60.0,3.586,0.984,42.667,36.0,169.0,6.0,18.0,17.0,6.0,46.0,12.0,60.0,3.586,0.984,30.0,24.0,119.0,5.0,14.0,13.0,5.0,37.0,10.0,44.0,3.9,0.967,17.0,16.0,69.0,3.0,9.0,9.0,2.0,20.0,7.0,29.0,4.765,1.059,42.667,36.0,169.0,6.0,18.0,17.0,6.0,46.0,12.0,60.0,3.586,0.984
9,83,2021-05-18,LAD,,ARI,"W,9-1",GS-7,W(6-1),5,6.2,3.0,1.0,1.0,0.0,8.0,0.0,1,3.04,2.96,24.0,92.0,69.0,19,17,6,9,3,2,0,72,,,0,0,0,23,1.0,0.0,0.0,0,0,0,0.97,0.259,1.19,0.19%,2.24,,,1t start tie,7t 12- 2 out a2,,2021-05-18,119,109,634092,2021,6.667,49.667,38.0,193.0,6.0,19.0,18.0,7.0,52.0,12.0,62.0,3.262,0.906,49.667,38.0,193.0,6.0,19.0,18.0,7.0,52.0,12.0,62.0,3.262,0.906,31.0,19.0,116.0,3.0,10.0,10.0,4.0,37.0,7.0,32.0,2.903,0.742,19.0,14.0,71.0,3.0,7.0,7.0,1.0,20.0,5.0,25.0,3.316,0.789,49.667,38.0,193.0,6.0,19.0,18.0,7.0,52.0,12.0,62.0,3.262,0.906
10,84,2021-05-23,LAD,@,SFG,"W,11-5",GS-6,W(7-1),4,6.0,3.0,2.0,2.0,0.0,10.0,1.0,0,3.03,2.87,21.0,,,26,11,3,8,3,1,0,68,,,0,0,0,21,0.0,0.0,0.0,0,0,0,0.19,0.1,0.31,0.10%,1.01,,,1b start tie,6b 3 out a9,,2021-05-23,119,137,633980,2021,6.0,56.333,41.0,217.0,6.0,20.0,19.0,7.0,60.0,13.0,66.0,3.036,0.852,56.333,41.0,217.0,6.0,20.0,19.0,7.0,60.0,13.0,66.0,3.036,0.852,30.667,21.0,117.0,3.0,11.0,11.0,3.0,34.0,8.0,35.0,3.228,0.783,18.667,13.0,71.0,2.0,7.0,7.0,1.0,18.0,5.0,22.0,3.375,0.75,56.333,41.0,217.0,6.0,20.0,19.0,7.0,60.0,13.0,66.0,3.036,0.852
