Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,15,4,2021-04-04,HOU,@,OAK,"W,9-2",GS-5,,99,4.1,4,2,2,2,5,0,0,4.15,2.25,19,101,65,13,10,3,9,1,2,0,50,,,0,0,0,17,2,1,0,0,0,0,1.09,0.048,1.30,0.03%,0.54,,,1b start a 1,5b --3 1 out a4,,2021-04-04,117,133,634651
2,16,9,2021-04-10,HOU,,OAK,"L,3-7",GS-6,L(0-1),5,6.0,7,4,4,0,7,1,0,5.23,2.69,24,93,69,17,11,7,10,5,3,0,49,,,0,0,0,24,0,0,0,0,0,0,.79,-0.138,.98,-0.10%,-0.84,,,1t start tie,6t 3 out d4,,2021-04-10,117,133,632202
3,17,13,2021-04-16,HOU,@,SEA,"L,5-6",GS-6,,5,5.2,5,2,2,2,7,0,0,4.50,2.36,23,90,57,17,6,3,11,4,3,0,56,,,0,0,0,21,2,0,0,1,0,0,1.33,0.059,1.45,0.04%,0.65,,,1b start tie,6b -2- 2 out a1,,2021-04-16,117,136,634517
4,18,17,2021-04-21,HOU,@,COL,"L,3-6",GS-5,L(0-2),4,5.0,6,4,4,3,1,1,0,5.14,3.50,23,88,55,14,5,5,14,5,1,0,37,,,1,0,0,19,2,0,0,0,0,0,.77,-0.162,.64,-0.08%,-1.11,,,1b start tie,5b 3 out d2,,2021-04-21,117,115,634424
5,19,22,2021-04-26,HOU,,SEA,"W,5-2",GS-6,W(1-2),4,6.0,5,2,2,0,2,2,1,4.67,4.36,24,96,67,14,8,7,14,3,3,0,56,,,0,0,0,23,0,0,0,0,0,0,.87,0.164,.91,0.10%,1.16,,,1t start tie,6t 3 out a3,,2021-04-26,117,136,634382
6,20,27,2021-05-01,HOU,@,TBR,"W,3-1",GS-7,W(2-2),4,7.0,4,0,0,1,5,0,0,3.71,3.91,26,,,19,12,8,12,3,1,0,73,,,0,0,0,25,0,0,0,0,0,0,.86,0.347,.92,0.22%,3.43,,,1b start a 3,7b 3 out a3,,2021-05-01,117,139,634307
7,21,32,2021-05-07,HOU,,TOR,"W,10-4",GS-7,W(3-2),5,7.0,4,2,2,1,2,2,0,3.51,4.39,25,84,61,14,7,6,16,9,1,0,62,,,0,1,0,24,1,0,0,0,0,0,.83,0.188,.90,0.12%,1.69,,,1t start tie,7t 3 out a3,,2021-05-07,117,141,634201
8,22,37,2021-05-12,HOU,,LAA,"W,9-1",GS-4,,4,3.2,2,0,0,0,4,0,0,3.22,4.11,13,44,34,9,6,2,7,4,1,0,61,,,0,0,0,13,1,0,0,0,0,0,.83,0.177,1.00,0.13%,2.00,,,1t start tie,4t --- 2 out a3,,2021-05-12,117,108,634172
9,23,53,2021-05-31,HOU,,BOS,"W,11-2",GS-6,W(4-2),18,6.0,3,1,1,1,9,0,0,3.02,3.70,22,87,61,18,13,6,6,2,0,0,70,,,0,0,0,21,3,0,0,0,0,0,.55,0.228,.72,0.18%,2.16,,,1t start tie,6t 3 out a5,,2021-05-31,117,111,633896
10,24,58,2021-06-05,HOU,@,TOR,"L,2-6",GS-5,L(4-3),4,4.1,9,6,6,0,5,2,0,3.76,3.95,21,74,50,8,10,6,10,4,1,0,26,,,0,0,0,21,1,0,0,0,0,0,1.04,-0.310,1.47,-0.26%,-3.58,,,1b start tie,5b --- 1 out d5,,2021-06-05,117,141,633800
11,25,63,2021-06-11,HOU,@,MIN,"W,6-4",GS-7,,5,7.0,4,3,3,1,8,3,0,3.77,4.28,27,103,76,16,20,7,11,5,2,0,64,,,0,0,0,26,1,0,0,0,0,1,.86,0.095,1.17,0.08%,0.58,,,1b start tie,7b 3 out a1,,2021-06-11,117,142,633720
12,26,68,2021-06-17,HOU,,CHW,"W,10-2",GS-7,W(5-3),5,7.0,4,2,2,1,5,0,0,3.65,4.07,26,93,69,13,13,7,13,7,2,0,65,,,0,0,0,25,1,0,0,0,0,0,.42,0.195,.59,0.16%,1.69,,,1t start tie,7t 3 out a6,,2021-06-17,117,145,633687
13,27,74,2021-06-23,HOU,@,BAL,"W,13-0",GS-7,W(6-3),5,7.0,3,0,0,1,6,0,0,3.32,3.87,25,84,69,18,13,3,15,4,4,0,76,,,0,0,0,24,1,0,0,0,0,0,.46,0.178,.60,0.14%,3.69,,,1b start a 3,7b 3 out a11,,2021-06-23,117,110,633568
14,28,80,2021-06-29,HOU,,BAL,"L,3-13",GS-2,,5,1.1,1,1,1,0,0,1,0,3.38,4.02,5,21,15,3,2,3,2,0,0,0,48,,,0,0,0,5,0,0,0,0,0,0,.68,-0.029,.95,-0.02%,-0.23,,,1t start tie,2t --- 1 out d1,,2021-06-29,117,110,633449
15,29,134,2021-09-03,HOU,@,SDP,"W,6-3",GS-5,,65,4.1,5,2,2,1,4,0,0,3.42,3.92,18,71,49,13,10,4,9,4,2,0,48,,,0,1,0,16,2,0,0,0,0,0,1.16,-0.083,1.49,-0.06%,-0.31,,,1b start tie,5b -2- 1 out a1,,2021-09-03,117,135,632651
16,30,139,2021-09-08,HOU,,SEA,"L,5-8",GS-3,,4,3.0,4,2,2,2,2,0,0,3.51,3.91,15,70,42,7,6,4,7,2,1,0,43,,,0,0,0,13,1,0,0,0,0,0,1.27,-0.048,1.22,-0.03%,-0.42,,,1t start tie,3t 3 out a1,,2021-09-08,117,136,632580
17,31,145,2021-09-15,HOU,@,TEX,"W,7-2",GS-6,W(7-3),6,6.0,2,1,1,1,6,0,0,3.38,3.77,21,81,54,15,9,7,7,4,0,0,69,,,1,0,0,20,0,1,0,0,0,0,.70,0.157,.40,0.05%,2.13,,,1b start tie,6b 3 out a5,,2021-09-15,117,140,632485
18,32,151,2021-09-21,HOU,@,LAA,"W,10-5",GS-6,W(8-3),5,5.1,6,4,4,0,3,2,0,3.56,3.94,21,79,54,12,10,5,13,6,2,0,43,,,0,0,0,21,1,0,0,1,0,0,.58,0.137,.13,0.02%,-1.06,,,1b start tie,6b --- 1 out a6,,2021-09-21,117,108,632418
19,33,157,2021-09-28,HOU,,TBR,"W,4-3",GS-5,,6,5.0,5,2,2,1,6,1,0,3.56,3.94,21,,,11,14,5,9,3,0,0,54,,,0,0,0,20,1,0,0,0,0,0,.64,0.017,.10,0.00%,0.64,,,1t start tie,5t 3 out d2,,2021-09-28,117,139,632316
20,34,162,2021-10-03,HOU,,OAK,"W,7-6",GS-6,,4,6.0,4,3,3,1,3,2,1,3.62,4.14,24,84,57,17,8,6,13,3,1,0,54,,,0,0,0,21,0,0,0,0,1,0,.95,-0.030,.35,-0.01%,0.16,,,1t start tie,6t 3 out d1,,2021-10-03,117,133,632245
1,35,4,2022-04-10,HOU,@,LAA,"W,4-1",GS-5,W(1-0),99,5.0,4,1,1,0,2,1,0,1.80,4.91,18,,,13,4,6,10,3,4,0,57,,,0,0,0,18,1,0,0,0,0,0,.87,0.146,.91,0.09%,1.44,14.85,24.00,1b start tie,5b 3 out a1,,2022-04-10,117,108,661039
2,36,9,2022-04-17,HOU,@,SEA,"L,2-7",GS-4,L(1-1),6,4.0,8,6,6,1,2,1,0,7.00,5.45,21,70,46,9,3,3,15,7,1,0,23,,,0,0,0,20,1,0,0,0,0,0,.91,-0.260,.98,-0.17%,-4.20,-4.40,0.00,1b start tie,4b 3 out d6,,2022-04-17,117,136,662174
3,37,14,2022-04-23,HOU,,TOR,"L,2-3",GS-6,,5,5.2,6,2,2,1,3,1,0,5.52,5.23,23,86,64,14,9,5,14,5,2,0,51,,,0,0,0,21,0,0,0,1,1,0,1.22,0.046,1.17,0.03%,0.62,10.55,20.00,1t start tie,6t 1-- 2 out tie,,2022-04-23,117,141,662875
4,38,20,2022-04-29,HOU,@,TOR,"W,11-7",GS-5,W(2-1),5,5.0,7,4,4,1,6,1,1,5.95,5.04,24,90,57,13,14,7,9,3,1,0,42,,,0,0,0,22,3,0,0,0,0,0,1.20,-0.160,1.25,-0.10%,-1.66,13.85,27.00,1b start a 1,5b 3 out a1,,2022-04-29,117,141,661826
5,39,26,2022-05-05,HOU,,DET,"W,3-2",GS-6,,5,6.0,6,0,0,1,3,0,0,4.56,4.48,23,91,60,13,7,9,10,4,2,0,62,,,0,1,0,22,1,0,0,1,0,0,1.02,0.346,1.14,0.23%,2.84,15.30,31.00,1t start tie,6t 3 out a2,,2022-05-05,117,116,662816
6,40,31,2022-05-11,HOU,@,MIN,"W,11-3",GS-3,,5,3.0,3,1,1,0,3,0,0,4.40,4.12,12,44,29,8,3,2,7,4,1,0,52,,,0,0,0,12,2,0,0,0,0,0,.90,0.028,1.16,0.02%,0.42,8.95,15.00,1b start tie,3b 3 out a4,,2022-05-11,117,142,661702
7,41,37,2022-05-17,HOU,@,BOS,"W,13-4",GS-5,W(3-1),5,5.0,12,4,4,0,1,2,0,4.81,4.69,27,99,70,14,8,10,16,8,2,0,28,,,0,0,0,27,3,0,0,0,0,0,.37,-0.061,.44,-0.05%,-1.44,2.05,12.00,1b start tie,5b 3 out a9,,2022-05-17,117,111,663271
8,42,42,2022-05-22,HOU,,TEX,"W,5-2",GS-7,W(4-1),4,6.2,6,1,1,1,10,1,0,4.24,4.33,27,98,69,17,20,10,6,2,0,0,67,,,0,0,0,26,0,0,0,0,0,0,.97,0.207,1.24,0.16%,1.89,32.80,57.00,1t start tie,7t 12- 2 out a3,,2022-05-22,117,140,662857
9,43,47,2022-05-28,HOU,@,SEA,"L,0-6",GS-5,L(4-2),5,4.2,12,6,5,2,4,1,1,4.80,4.51,30,93,63,9,9,8,15,8,1,0,20,,,1,0,0,26,4,0,0,0,1,1,.68,-0.274,.86,-0.21%,-4.16,-0.50,11.00,1b start tie,5b 12- 2 out d6,,2022-05-28,117,136,662131
10,44,52,2022-06-03,HOU,@,KCR,"W,10-3",GS-6,W(5-2),5,6.0,5,3,3,1,6,1,0,4.76,4.43,24,91,62,9,11,8,9,3,2,0,55,,,0,0,0,23,1,0,0,0,0,0,.62,0.210,.67,0.14%,-0.07,19.90,37.00,1b start tie,6b 3 out a7,,2022-06-03,117,118,662692
11,45,57,2022-06-08,HOU,,SEA,"L,3-6",GS-5,L(5-3),4,4.1,7,5,4,4,3,2,0,5.04,4.90,24,91,58,11,7,4,13,6,1,0,30,,,1,0,0,19,2,0,0,0,1,0,1.24,-0.407,1.41,-0.28%,-3.14,1.15,10.00,1t start tie,5t 1-- 1 out d2,,2022-06-08,117,136,662760
12,46,62,2022-06-14,HOU,@,TEX,"W,4-3",GS-6,,5,6.0,5,3,3,0,4,1,0,4.99,4.81,23,84,54,14,13,8,11,5,0,0,54,,,0,0,0,23,1,0,0,0,0,0,.74,-0.096,.99,-0.08%,-0.10,12.50,25.00,1b start tie,6b 3 out d3,,2022-06-14,117,140,661880
13,47,67,2022-06-21,HOU,,NYM,"W,8-2",GS-6,W(6-3),6,6.0,4,1,1,1,5,1,0,4.68,4.75,24,104,71,24,8,7,11,4,1,0,64,,,0,0,0,23,0,0,0,0,0,1,.96,0.239,1.01,0.15%,1.84,22.50,40.00,1t start tie,6t 3 out a6,,2022-06-21,117,121,662750
14,48,72,2022-06-26,HOU,@,NYY,"L,3-6",GS-7,,4,7.0,1,1,1,3,3,1,0,4.36,4.81,24,,,21,8,7,11,3,1,0,71,,,0,0,0,21,0,0,0,1,0,0,.82,0.305,.76,0.17%,2.38,17.35,31.00,1b start a 1,7b 3 out a2,,2022-06-26,117,147,661273
15,49,77,2022-07-02,HOU,,LAA,"W,9-1",GS-6,W(7-3),5,6.0,2,1,1,3,8,1,0,4.15,4.76,23,104,74,16,14,4,8,2,0,0,69,,,0,0,0,20,1,0,0,0,0,0,.65,0.169,.47,0.07%,1.84,28.50,49.00,1t start tie,6t 3 out a4,,2022-07-02,117,108,662890
16,50,83,2022-07-08,HOU,@,OAK,"W,8-3",GS-8,W(8-3),5,8.0,4,3,3,1,2,1,0,4.08,4.74,29,98,70,16,4,8,18,6,4,0,63,,,0,0,0,27,1,0,0,1,1,0,.58,0.036,.28,0.01%,0.55,17.00,31.00,1b start tie,8b 3 out a5,,2022-07-08,117,133,662352
17,51,89,2022-07-15,HOU,,OAK,"L,1-5",GS-7,L(8-4),6,6.1,6,3,3,0,9,0,0,4.09,4.44,25,97,71,18,10,4,12,2,3,0,58,,,0,0,0,25,2,0,0,0,0,0,1.17,-0.114,.43,-0.03%,0.39,22.65,41.00,1t start tie,7t --3 1 out d1,,2022-07-15,117,133,662923
18,52,94,2022-07-22,HOU,@,SEA,"W,5-2",GS-6,W(9-4),6,6.0,4,1,1,2,3,1,0,3.93,4.49,23,105,70,12,9,8,10,5,1,0,61,,,0,0,0,21,1,0,0,1,0,0,1.04,0.247,.59,0.09%,1.70,17.90,34.00,1b start a 1,6b 3 out a4,,2022-07-22,117,136,662167
19,53,100,2022-07-28,HOU,,SEA,"W,4-2",GS-7,,5,6.2,4,2,2,2,3,0,0,3.86,4.41,25,106,65,14,9,7,13,3,1,0,59,,,0,0,0,22,2,0,0,1,1,0,1.25,0.146,.56,0.04%,1.00,13.40,27.00,1t start tie,7t -2- 2 out tie,,2022-07-28,117,136,662907
20,54,106,2022-08-03,HOU,,BOS,"W,6-1",GS-7,W(10-4),5,7.0,2,0,0,0,10,0,1,3.62,4.18,24,97,70,20,13,5,8,4,1,0,83,,,0,0,0,23,1,0,0,0,0,0,.45,0.211,.13,0.04%,3.31,37.95,61.00,1t start tie,7t 3 out a6,,2022-08-03,117,111,662725
21,55,111,2022-08-09,HOU,,TEX,"W,7-5",GS-5,W(11-4),5,5.0,5,5,5,2,4,3,2,3.85,4.49,24,96,65,13,9,8,8,2,1,0,39,,,2,0,0,20,0,0,0,0,0,0,.76,-0.315,.15,-0.04%,-2.64,7.85,18.00,1t start tie,5t 3 out d1,,2022-08-09,117,140,662724
22,56,117,2022-08-15,HOU,@,CHW,"L,2-4",GS-8,,5,7.2,6,1,1,0,4,0,1,3.69,4.37,28,94,67,16,12,9,14,6,2,0,67,,,0,1,0,27,0,0,0,1,0,0,1.26,0.476,.16,0.04%,3.64,19.05,36.00,1b start a 2,8b 1-- 2 out a2,,2022-08-15,117,145,661449
23,57,123,2022-08-21,HOU,@,ATL,"W,5-4",GS-7,W(12-4),5,7.0,5,2,2,2,6,1,0,3.63,4.36,26,98,64,12,13,7,11,4,2,0,63,,,0,1,0,24,1,0,0,1,0,0,1.01,0.233,.18,0.03%,1.59,23.55,43.00,1b start tie,7b 3 out tie,,2022-08-21,117,144,661480
24,58,128,2022-08-27,HOU,,BAL,"L,1-3",GS-5,L(12-5),5,5.0,4,3,3,3,5,2,0,3.69,4.49,22,102,73,18,7,1,13,4,1,0,49,,,2,0,0,19,1,0,0,0,0,0,.87,-0.131,.08,-0.01%,-0.64,11.05,21.00,1t start tie,5t 3 out d3,,2022-08-27,117,110,661090
25,59,134,2022-09-04,HOU,@,LAA,"W,9-1",GS-7,W(13-5),7,7.0,4,0,0,1,8,0,0,3.51,4.34,26,111,73,17,14,8,9,5,2,0,76,,,1,0,0,25,1,0,0,0,0,0,.46,0.187,.04,0.01%,3.41,32.75,55.00,1b start tie,7b 3 out a7,,2022-09-04,117,108,663435
26,60,139,2022-09-10,HOU,,LAA,"L,1-6",GS-5,L(13-6),5,5.0,10,6,6,1,4,1,1,3.75,4.37,25,88,61,22,4,8,11,6,0,0,26,,,1,0,0,23,3,0,0,0,0,0,.79,-0.384,.05,-0.01%,-3.64,0.05,9.00,1t start tie,5t 3 out d5,,2022-09-10,117,108,661084
27,61,146,2022-09-17,HOU,,OAK,"L,5-8",GS-6,L(13-7),6,6.0,7,6,6,2,6,2,0,3.96,4.45,27,93,64,15,8,5,14,5,1,0,38,,,2,0,0,24,0,1,0,0,1,0,1.07,-0.439,.02,-0.01%,-3.16,8.10,18.00,1t start tie,6t 3 out d2,,2022-09-17,117,133,662823
28,62,152,2022-09-23,HOU,@,BAL,"L,0-6",GS-6,L(13-8),5,5.1,3,1,1,1,6,1,0,3.88,4.43,20,94,60,11,12,6,7,3,1,0,63,,,1,0,0,19,0,0,0,0,0,0,.79,0.074,.01,0.00%,0.94,19.60,31.00,1b start tie,6b 12- 1 out d1,,2022-09-23,117,110,663259
29,63,160,2022-10-03,HOU,,PHI,"L,0-3",7-8,,9,2.0,2,2,2,2,1,2,0,3.94,4.60,10,44,26,6,4,2,5,1,1,0,,0,0,0,0,0,8,0,0,0,0,0,0,.64,-0.114,.00,0.00%,-1.05,0.10,3.00,7t --- 0 out d1,8t 3 out d3,,2022-10-03,117,143,662777
1,64,3,2023-04-01,HOU,,CHW,"W,6-4",GS-4,,99,4.0,7,3,3,1,5,2,0,6.75,8.01,20,82,53,11,11,7,7,3,1,0,40,,,2,0,0,19,0,0,0,0,0,0,1.25,-0.133,1.16,-0.08%,-0.96,8.20,18.00,1t start tie,4t 3 out d1,,2023-04-01,117,145,718760
2,65,8,2023-04-07,HOU,@,MIN,"L,2-3",GS-6,,5,5.1,7,1,1,1,6,0,0,3.86,4.33,24,95,63,12,12,4,13,4,4,0,55,,,0,0,0,23,1,0,0,0,0,0,1.40,0.237,1.25,0.13%,2.17,17.20,31.00,1b start tie,6b 12- 1 out a1,,2023-04-07,117,142,718684
3,66,13,2023-04-12,HOU,@,PIT,"W,7-0",GS-6,W(1-0),4,6.0,2,0,0,3,2,0,0,2.35,4.23,21,93,62,11,15,6,10,3,2,0,67,,,2,1,0,18,1,0,0,1,0,0,1.07,0.369,.89,0.18%,3.15,18.50,34.00,1b start tie,6b 3 out a2,,2023-04-12,117,134,718608
4,67,18,2023-04-18,HOU,,TOR,"L,2-4",GS-5,L(1-1),5,4.1,7,4,4,2,4,2,0,3.66,5.24,20,81,53,13,6,7,7,3,0,0,35,,,0,1,0,18,0,0,0,1,0,0,.86,-0.193,.79,-0.11%,-2.37,4.35,13.00,1t start tie,5t 12- 1 out d4,,2023-04-18,117,141,718520
5,68,23,2023-04-24,HOU,@,TBR,"L,3-8",GS-3,L(1-2),5,2.2,7,6,6,2,3,0,0,5.64,5.00,17,73,43,8,11,4,8,6,1,0,21,,,1,0,0,14,2,1,0,0,1,0,1.41,-0.509,1.42,-0.31%,-5.00,-5.40,-1.00,1b start a 2,3b 1-3 2 out d3,,2023-04-24,117,139,718449
6,69,28,2023-04-30,HOU,,PHI,"W,4-3",GS-6,W(2-2),5,5.1,3,2,2,1,3,2,1,5.20,5.60,21,82,57,13,12,1,15,6,1,0,56,,,0,0,0,19,0,0,0,0,0,0,1.06,0.068,1.01,0.04%,0.53,15.00,25.00,1t start tie,6t 1-- 1 out a2,,2023-04-30,117,143,718354
