Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,455,3,2022-04-09,HOU,@,LAA,"L,0-2",GS-5,L(0-1),99,5.0,3,1,1,3,7,1,0,1.8,4.71,20,80.0,47.0,11,7,5,5,2,0,0,61,,,0,1,0,16,1,0,0,0,0,0,0.92,0.119,1.0,0.08%,1.44,19.65,33.0,1b start tie,5b 3 out d1,,2022-04-09,117,108,661040
2,456,8,2022-04-16,HOU,@,SEA,"W,4-0",GS-8,W(1-1),6,8.0,3,0,0,0,8,0,1,0.69,2.73,27,87.0,64.0,15,14,5,13,3,1,0,84,,,0,0,0,26,0,0,0,1,0,0,0.83,0.368,0.91,0.24%,3.6,35.6,58.0,1b start tie,8b 3 out a4,,2022-04-16,117,136,662206
3,457,13,2022-04-22,HOU,,TOR,"L,3-4",GS-6,,5,6.0,4,3,3,1,5,2,0,1.89,3.85,22,85.0,65.0,14,3,8,8,3,0,0,56,,,0,1,0,21,0,0,0,0,0,0,0.89,-0.005,0.89,0.00%,-0.16,14.5,28.0,1t start tie,6t 3 out tie,,2022-04-22,117,141,662922
4,458,19,2022-04-28,HOU,@,TEX,"W,3-2",GS-7,W(2-1),5,7.0,4,1,1,0,8,0,0,1.73,3.04,25,91.0,64.0,13,13,6,11,3,1,0,73,,,0,0,0,24,0,0,0,0,1,0,1.33,0.204,1.33,0.12%,2.38,31.35,52.0,1b start tie,7b 3 out tie,,2022-04-28,117,140,661912
5,459,25,2022-05-04,HOU,,SEA,"W,7-2",GS-7,W(3-1),5,6.2,5,2,2,0,3,1,0,1.93,3.27,24,101.0,73.0,18,8,8,13,4,3,0,59,,,0,0,0,24,0,0,0,1,0,0,0.49,0.196,0.58,0.14%,1.21,18.0,33.0,1t start tie,7t --- 2 out a5,,2022-05-04,117,136,662835
6,460,30,2022-05-10,HOU,@,MIN,"W,5-0",GS-8,W(4-1),5,8.0,1,0,0,2,5,0,0,1.55,3.14,24,89.0,63.0,16,6,8,9,4,2,0,83,,,0,0,0,22,0,0,0,2,0,0,0.56,0.307,0.69,0.23%,3.79,30.2,49.0,1b start tie,8b 3 out a5,,2022-05-10,117,142,661696
7,461,35,2022-05-15,HOU,@,WSN,"W,8-0",GS-5,W(5-1),4,5.0,2,0,0,3,5,0,0,1.38,3.11,20,107.0,64.0,9,12,6,6,1,4,0,65,,,0,0,0,17,0,0,0,0,0,0,1.24,0.273,1.45,0.19%,2.34,22.25,36.0,1b start tie,5b 3 out a2,,2022-05-15,117,120,662528
8,462,41,2022-05-21,HOU,,TEX,"W,2-1",GS-6,W(6-1),5,6.0,6,0,0,0,8,0,0,1.22,2.8,24,95.0,67.0,16,15,6,10,4,2,0,68,,,0,0,0,24,0,0,0,0,0,1,1.01,0.346,1.31,0.27%,2.84,29.9,52.0,1t start tie,6t 3 out a2,,2022-05-21,117,140,662763
9,463,46,2022-05-27,HOU,@,SEA,"L,1-6",GS-6,L(6-2),5,6.0,10,6,6,1,6,4,1,2.03,3.63,30,99.0,68.0,8,12,8,14,3,1,0,33,,,0,0,0,28,1,0,0,0,0,0,0.34,-0.324,0.41,-0.24%,-3.3,6.3,18.0,1b start tie,6b 3 out d5,,2022-05-27,117,136,662132
10,464,51,2022-06-01,HOU,@,OAK,"W,5-4",GS-7,,4,7.0,2,3,3,2,6,1,1,2.23,3.73,25,95.0,62.0,14,12,6,10,1,2,0,65,,,0,0,0,22,1,0,0,1,0,0,1.21,-0.17,1.4,-0.12%,0.11,18.75,34.0,1b start tie,7b 3 out d2,,2022-06-01,117,133,662366
