Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1.0,1.0,2022-05-20,BAL,,TBR,"W,8-6",12-GF(13),W(1-0),99.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0,0.0,1.61,7.0,,,3,8,2.0,1.0,1,0,0,,0,0,0,0,0,6,0.0,0.0,1.0,0,0,0,4.0,0.611,1.77,0.16%,2.17,13.3,21.0,12t -2- 0 out tie,13t end tie,,2022-05-20,110,139,661348,2022,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,2.0,2022-06-05,BAL,,CLE,"L,2-3",6-7,,15.0,1.1,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.61,4.0,16.0,11.0,4,3,1.0,2.0,0,0,0,,1,0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.75,0.077,0.27,0.02%,0.69,5.0,7.0,6t 1-- 2 out d1,7t 3 out d1,,2022-06-05,110,114,661151,2022,1.333,2.0,1.0,7.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,7.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,7.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0
3.0,3.0,2022-06-07,BAL,,CHC,"W,9-3",8-8,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.96,4.0,10.0,8.0,2,0,1.0,3.0,1,0,0,,0,0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.07,0.005,0.02,0.00%,0.47,1.65,3.0,8t --- 0 out a6,8t 3 out a6,,2022-06-07,110,112,661170,2022,1.0,3.333,1.0,11.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.6,3.333,1.0,11.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.6,3.333,1.0,11.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.6
4.0,4.0,2022-06-09,BAL,@,KCR,"L,5-7",7-8,,1.0,1.1,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,2.76,5.0,23.0,13.0,3,2,2.0,2.0,1,0,0,,0,0,0,0,0,4,0.0,1.0,0.0,1,0,0,0.24,0.018,0.07,0.00%,0.72,1.8,4.0,7b --- 0 out d3,8b --- 1 out d2,,2022-06-09,110,118,662677,2022,1.333,4.333,2.0,15.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.692,4.333,2.0,15.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.692,4.333,2.0,15.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.692
5.0,5.0,2022-06-16,BAL,@,TOR,"W,10-2",7-8,,6.0,1.1,1.0,1.0,1.0,0.0,2.0,0.0,0,1.29,2.25,5.0,18.0,13.0,4,3,1.0,2.0,1,0,0,,0,0,0,0,0,5,1.0,0.0,0.0,0,0,0,0.03,0.003,0.01,0.00%,0.28,4.4,7.0,7b --- 0 out a8,8b -2- 1 out a9,,2022-06-16,110,141,661743,2022,1.333,5.667,3.0,20.0,0.0,0.0,0.0,2.0,4.0,1.0,5.0,0.0,0.882,5.667,3.0,20.0,0.0,0.0,0.0,2.0,4.0,1.0,5.0,0.0,0.882,5.667,3.0,20.0,0.0,0.0,0.0,2.0,4.0,1.0,5.0,0.0,0.882
6.0,6.0,2022-06-18,BAL,,TBR,"L,6-7",8-8,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.13,2.36,4.0,17.0,12.0,2,2,1.0,3.0,3,0,0,,0,0,0,0,0,4,0.0,0.0,0.0,0,0,0,1.48,0.103,0.56,0.02%,0.47,1.65,3.0,8t --- 0 out tie,8t 3 out tie,,2022-06-18,110,139,661127,2022,1.0,7.0,4.0,25.0,0.0,1.0,1.0,2.0,6.0,2.0,7.0,1.286,0.857,7.0,4.0,25.0,0.0,1.0,1.0,2.0,6.0,2.0,7.0,1.286,0.857,7.0,4.0,25.0,0.0,1.0,1.0,2.0,6.0,2.0,7.0,1.286,0.857
7.0,7.0,2022-06-19,BAL,,TBR,"W,2-1",4-5,W(2-0),0.0,1.1,0.0,0.0,0.0,0.0,2.0,0.0,0,0.96,2.04,4.0,17.0,13.0,2,4,1.0,1.0,1,0,0,,1,0,0,0,0,4,0.0,0.0,0.0,0,0,0,1.11,0.114,0.37,0.02%,0.82,11.0,16.0,4t --3 2 out a1,5t 3 out a1,,2022-06-19,110,139,661074,2022,1.333,8.0,5.0,29.0,0.0,1.0,1.0,2.0,6.0,2.0,8.0,1.125,0.875,6.0,4.0,22.0,0.0,1.0,1.0,1.0,3.0,2.0,7.0,1.5,0.833,8.0,5.0,29.0,0.0,1.0,1.0,2.0,6.0,2.0,8.0,1.125,0.875
8.0,8.0,2022-06-22,BAL,,WSN,"W,7-0",6-GF(6),S(1),2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.87,2.43,3.0,12.0,8.0,3,0,2.0,0.0,0,0,0,,0,0,0,0,0,2,0.0,0.0,0.0,1,0,0,0.89,0.045,0.25,0.01%,0.47,1.65,3.0,6t --- 0 out a3,6t end a 3,,2022-06-22,110,120,661246,2022,1.0,9.333,5.0,33.0,0.0,1.0,1.0,2.0,8.0,2.0,8.0,0.964,0.75,6.0,4.0,22.0,0.0,1.0,1.0,1.0,4.0,2.0,7.0,1.5,0.833,9.333,5.0,33.0,0.0,1.0,1.0,2.0,8.0,2.0,8.0,0.964,0.75
9.0,9.0,2022-06-25,BAL,@,CHW,"W,6-2",7-7,,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0,0.79,2.41,4.0,19.0,9.0,4,1,0.0,1.0,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.35,0.019,0.15,0.01%,0.48,5.65,9.0,7b --- 0 out a5,7b 3 out a5,,2022-06-25,110,145,661454,2022,1.0,10.333,5.0,36.0,0.0,1.0,1.0,3.0,8.0,2.0,8.0,0.871,0.774,6.0,3.0,21.0,0.0,1.0,1.0,2.0,4.0,2.0,6.0,1.5,0.833,10.333,5.0,36.0,0.0,1.0,1.0,3.0,8.0,2.0,8.0,0.871,0.774
10.0,10.0,2022-06-29,BAL,@,SEA,"L,3-9",4-4,,3.0,0.1,6.0,6.0,6.0,0.0,0.0,1.0,0,5.4,3.54,7.0,21.0,14.0,2,2,1.0,6.0,5,0,0,,0,0,1,0,0,6,3.0,0.0,0.0,0,1,0,0.46,-0.183,0.2,-0.05%,-4.9,-14.85,-17.0,4b --- 0 out d2,4b -23 1 out d6,,2022-06-29,110,136,662151,2022,0.333,11.333,5.0,40.0,0.0,1.0,1.0,4.0,10.0,2.0,8.0,0.794,0.794,5.667,2.0,20.0,0.0,1.0,1.0,2.0,6.0,1.0,3.0,1.588,0.706,11.333,5.0,40.0,0.0,1.0,1.0,4.0,10.0,2.0,8.0,0.794,0.794
