Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,109,2021-04-08,NYM,,MIA,"W,3-2",GS-6,,99,6.0,4.0,2.0,2.0,2.0,4.0,0.0,0,3.0,2.84,23.0,,,19,9,7,10,5,2,0,58.0,,,0,1,1,21,1.0,0.0,0.0,0,0,0,1.12,0.003,1.12,0.00%,0.95,,,1t start tie,6t 3 out d1,,2021-04-08,121,146,634584,2021,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,110,2021-04-11,NYM,,MIA,"W,6-5",1-5,,2,4.2,7.0,3.0,3.0,0.0,6.0,0.0,1,4.22,2.14,23.0,102.0,65.0,10,14,6,10,4,2,0,,1.0,0.0,0,0,0,21,2.0,0.0,0.0,0,0,1,1.02,-0.098,1.07,-0.06%,-0.52,,,1t 1-- 1 out tie,5t 3 out d3,,2021-04-11,121,146,632192,2021,4.667,6.0,4.0,23.0,0.0,2.0,2.0,2.0,4.0,1.0,5.0,3.0,1.0,6.0,4.0,23.0,0.0,2.0,2.0,2.0,4.0,1.0,5.0,3.0,1.0,6.0,4.0,23.0,0.0,2.0,2.0,2.0,4.0,1.0,5.0,3.0,1.0,6.0,4.0,23.0,0.0,2.0,2.0,2.0,4.0,1.0,5.0,3.0,1.0,6.0,4.0,23.0,0.0,2.0,2.0,2.0,4.0,1.0,5.0,3.0,1.0
3,111,2021-04-13,NYM,,PHI,"W,4-3",GS-5,,1,4.1,3.0,1.0,1.0,3.0,8.0,0.0,0,3.6,1.97,18.0,,,13,11,3,4,3,0,0,58.0,,,0,0,0,14,1.0,0.0,0.0,1,1,0,1.4,0.081,1.74,0.06%,0.55,,,1t start tie,5t 12- 1 out a1,1.0,2021-04-13,121,143,632189,2021,4.333,10.667,11.0,46.0,0.0,5.0,5.0,2.0,10.0,3.0,14.0,4.219,1.219,10.667,11.0,46.0,0.0,5.0,5.0,2.0,10.0,3.0,14.0,4.219,1.219,10.667,11.0,46.0,0.0,5.0,5.0,2.0,10.0,3.0,14.0,4.219,1.219,10.667,11.0,46.0,0.0,5.0,5.0,2.0,10.0,3.0,14.0,4.219,1.219,10.667,11.0,46.0,0.0,5.0,5.0,2.0,10.0,3.0,14.0,4.219,1.219
4,112,2021-04-20,NYM,@,CHC,"L,1-3",GS-4,L(0-1),6,3.2,2.0,3.0,2.0,6.0,7.0,0.0,0,3.86,2.42,20.0,91.0,51.0,19,8,3,4,4,0,0,48.0,,,1,0,0,13,0.0,0.0,0.0,0,0,1,1.01,-0.155,1.17,-0.11%,-1.75,,,1b start tie,4b 123 2 out d3,,2021-04-20,121,112,634411,2021,3.667,15.0,14.0,64.0,0.0,6.0,6.0,5.0,18.0,4.0,18.0,3.6,1.267,15.0,14.0,64.0,0.0,6.0,6.0,5.0,18.0,4.0,18.0,3.6,1.267,15.0,14.0,64.0,0.0,6.0,6.0,5.0,18.0,4.0,18.0,3.6,1.267,15.0,14.0,64.0,0.0,6.0,6.0,5.0,18.0,4.0,18.0,3.6,1.267,15.0,14.0,64.0,0.0,6.0,6.0,5.0,18.0,4.0,18.0,3.6,1.267
5,113,2021-04-25,NYM,,WSN,"W,4-0",GS-7,W(1-1),4,7.0,3.0,0.0,0.0,3.0,4.0,0.0,1,2.81,2.78,26.0,95.0,59.0,21,9,5,13,8,1,0,72.0,,,0,0,1,22,1.0,0.0,0.0,0,0,0,0.84,0.309,0.97,0.21%,3.44,,,1t start tie,7t 3 out a4,,2021-04-25,121,120,634344,2021,7.0,18.667,16.0,84.0,0.0,9.0,8.0,11.0,25.0,4.0,20.0,3.857,1.446,18.667,16.0,84.0,0.0,9.0,8.0,11.0,25.0,4.0,20.0,3.857,1.446,18.667,16.0,84.0,0.0,9.0,8.0,11.0,25.0,4.0,20.0,3.857,1.446,12.667,12.0,61.0,0.0,7.0,6.0,9.0,21.0,3.0,15.0,4.263,1.658,18.667,16.0,84.0,0.0,9.0,8.0,11.0,25.0,4.0,20.0,3.857,1.446
6,114,2021-05-01,NYM,@,PHI,"W,5-4",GS-6,,5,6.0,7.0,4.0,4.0,1.0,4.0,1.0,0,3.41,3.11,26.0,94.0,66.0,15,11,7,14,6,3,0,45.0,,,0,0,0,25,1.0,0.0,0.0,0,0,0,1.15,-0.128,1.29,-0.09%,-0.97,,,1b start a 4,6b 3 out tie,,2021-05-01,121,143,634276,2021,6.0,25.667,19.0,110.0,0.0,9.0,8.0,14.0,29.0,5.0,24.0,2.805,1.286,25.667,19.0,110.0,0.0,9.0,8.0,14.0,29.0,5.0,24.0,2.805,1.286,25.667,19.0,110.0,0.0,9.0,8.0,14.0,29.0,5.0,24.0,2.805,1.286,15.0,8.0,64.0,0.0,4.0,3.0,12.0,19.0,2.0,10.0,1.8,1.333,25.667,19.0,110.0,0.0,9.0,8.0,14.0,29.0,5.0,24.0,2.805,1.286
7,115,2021-05-06,NYM,@,STL,"W,4-1",GS-7,W(2-1),4,7.0,1.0,1.0,0.0,0.0,8.0,0.0,0,2.79,2.7,23.0,92.0,62.0,15,8,7,8,1,4,0,81.0,,,0,0,0,22,0.0,0.0,0.0,0,1,0,1.0,0.336,1.09,0.22%,2.36,,,1b start tie,7b 3 out a1,,2021-05-06,121,138,634223,2021,7.0,31.667,26.0,136.0,1.0,13.0,12.0,15.0,33.0,7.0,35.0,3.411,1.295,31.667,26.0,136.0,1.0,13.0,12.0,15.0,33.0,7.0,35.0,3.411,1.295,25.667,22.0,113.0,1.0,11.0,10.0,13.0,29.0,6.0,30.0,3.506,1.364,16.667,12.0,72.0,1.0,7.0,6.0,10.0,15.0,3.0,17.0,3.24,1.32,31.667,26.0,136.0,1.0,13.0,12.0,15.0,33.0,7.0,35.0,3.411,1.295
8,116,2021-05-12,NYM,,BAL,"W,7-1",GS-7,W(3-1),5,7.0,4.0,1.0,1.0,3.0,4.0,0.0,0,2.56,2.8,27.0,97.0,63.0,18,8,9,11,4,1,0,66.0,,,0,0,0,24,1.0,0.0,0.0,1,0,0,0.59,0.217,0.72,0.16%,2.44,,,1t start tie,7t 3 out a6,,2021-05-12,121,110,634128,2021,7.0,38.667,27.0,159.0,1.0,14.0,12.0,15.0,41.0,7.0,36.0,2.793,1.086,38.667,27.0,159.0,1.0,14.0,12.0,15.0,41.0,7.0,36.0,2.793,1.086,28.0,16.0,113.0,1.0,9.0,7.0,13.0,31.0,4.0,22.0,2.25,1.036,20.0,11.0,75.0,1.0,5.0,4.0,4.0,16.0,3.0,16.0,1.8,0.75,38.667,27.0,159.0,1.0,14.0,12.0,15.0,41.0,7.0,36.0,2.793,1.086
9,117,2021-05-17,NYM,@,ATL,"W,3-1",GS-3,,4,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0,2.4,2.74,10.0,,,7,3,4,4,1,1,0,59.0,,,0,0,0,10,0.0,0.0,0.0,0,0,0,0.71,0.158,0.96,0.13%,1.59,,,1b start tie,3b 3 out tie,,2021-05-17,121,144,634063,2021,3.0,45.667,31.0,186.0,1.0,15.0,13.0,18.0,45.0,8.0,41.0,2.562,1.073,45.667,31.0,186.0,1.0,15.0,13.0,18.0,45.0,8.0,41.0,2.562,1.073,30.667,17.0,122.0,1.0,9.0,7.0,13.0,27.0,4.0,23.0,2.054,0.978,20.0,12.0,76.0,1.0,6.0,5.0,4.0,16.0,3.0,17.0,2.25,0.8,45.667,31.0,186.0,1.0,15.0,13.0,18.0,45.0,8.0,41.0,2.562,1.073
10,118,2021-05-29,NYM,,ATL,"W,13-2",GS-5,W(4-1),11,5.0,2.0,0.0,0.0,1.0,8.0,0.0,0,2.18,2.54,16.0,80.0,52.0,18,9,3,4,2,1,0,70.0,,,0,1,0,15,0.0,0.0,0.0,1,0,0,0.96,0.271,1.46,0.25%,2.46,,,1t start tie,5t 3 out a2,,2021-05-29,121,144,633959,2021,5.0,48.667,32.0,196.0,1.0,15.0,13.0,18.0,47.0,8.0,42.0,2.404,1.027,48.667,32.0,196.0,1.0,15.0,13.0,18.0,47.0,8.0,42.0,2.404,1.027,30.0,16.0,112.0,1.0,6.0,5.0,7.0,22.0,4.0,22.0,1.5,0.767,17.0,6.0,60.0,0.0,2.0,1.0,3.0,14.0,1.0,7.0,0.529,0.529,48.667,32.0,196.0,1.0,15.0,13.0,18.0,47.0,8.0,42.0,2.404,1.027
11,119,2021-06-03,NYM,@,SDP,"L,3-4",GS-5,L(4-2),4,5.0,7.0,4.0,3.0,4.0,2.0,1.0,0,2.45,2.95,26.0,104.0,63.0,21,3,9,11,3,2,0,37.0,,,1,0,0,22,1.0,0.0,0.0,1,0,0,0.88,-0.178,1.21,-0.15%,-1.65,,,1b start tie,5b 3 out d4,,2021-06-03,121,135,633841,2021,5.0,53.667,34.0,212.0,1.0,15.0,13.0,19.0,55.0,8.0,44.0,2.18,0.988,53.667,34.0,212.0,1.0,15.0,13.0,19.0,55.0,8.0,44.0,2.18,0.988,28.0,15.0,102.0,1.0,6.0,5.0,5.0,26.0,3.0,20.0,1.607,0.714,15.0,7.0,53.0,0.0,1.0,1.0,4.0,14.0,1.0,8.0,0.6,0.733,53.667,34.0,212.0,1.0,15.0,13.0,19.0,55.0,8.0,44.0,2.18,0.988
12,120,2021-06-09,NYM,@,BAL,"W,14-1",GS-7,W(5-2),5,7.0,5.0,1.0,1.0,1.0,9.0,0.0,0,2.33,2.74,26.0,93.0,68.0,24,10,6,10,3,1,0,71.0,,,0,0,0,25,1.0,0.0,0.0,1,0,0,0.66,0.085,0.88,0.07%,2.69,,,1b start a 2,7b 3 out a7,,2021-06-09,121,110,633811,2021,7.0,58.667,41.0,238.0,2.0,19.0,16.0,23.0,57.0,10.0,55.0,2.455,1.091,52.667,37.0,215.0,2.0,17.0,14.0,21.0,53.0,9.0,50.0,2.392,1.101,27.0,15.0,102.0,1.0,6.0,4.0,8.0,24.0,3.0,20.0,1.333,0.852,13.0,10.0,52.0,1.0,4.0,3.0,5.0,12.0,2.0,14.0,2.077,1.154,58.667,41.0,238.0,2.0,19.0,16.0,23.0,57.0,10.0,55.0,2.455,1.091
13,121,2021-06-15,NYM,,CHC,"W,3-2",GS-7,W(6-2),5,7.0,5.0,2.0,2.0,0.0,12.0,1.0,1,2.35,2.67,27.0,92.0,65.0,23,11,4,10,6,0,0,71.0,,,0,0,0,26,0.0,0.0,0.0,0,0,0,1.16,0.218,1.58,0.18%,1.44,,,1t start tie,7t 3 out a1,,2021-06-15,121,112,633681,2021,7.0,65.667,46.0,264.0,2.0,20.0,17.0,24.0,66.0,11.0,61.0,2.33,1.066,55.0,35.0,218.0,2.0,15.0,12.0,22.0,56.0,8.0,47.0,1.964,1.036,27.0,19.0,105.0,1.0,6.0,5.0,9.0,25.0,4.0,25.0,1.667,1.037,17.0,14.0,68.0,1.0,5.0,4.0,6.0,19.0,3.0,19.0,2.118,1.176,65.667,46.0,264.0,2.0,20.0,17.0,24.0,66.0,11.0,61.0,2.33,1.066
