Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1.0,1.0,2021-07-29,LAA,,OAK,"L,0-4",7-8,,99.0,1.1,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.67,4.0,11.0,9.0,2,3,2.0,1.0,0,0,0,,3,0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.26,0.027,0.14,0.01%,1.34,,,7t 123 2 out d4,8t 3 out d4,,2021-07-29,108,133,633111,2021,1.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,2.0,2021-08-01,LAA,,OAK,"L,3-8",5-6,,2.0,1.1,2.0,1.0,1.0,0.0,2.0,0.0,0,3.38,0.92,6.0,23.0,17.0,6,3,3.0,1.0,1,0,0,,2,1,0,0,0,6,0.0,0.0,0.0,0,0,0,0.82,-0.013,0.3,0.00%,0.24,,,5t 12- 1 out d2,6t 1-- 2 out d3,,2021-08-01,108,133,633048,2021,1.333,1.333,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.333,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.333,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.333,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.333,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3.0,3.0,2021-08-04,LAA,@,TEX,"W,2-1",7-7,H(1),2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0,2.45,0.44,4.0,21.0,14.0,6,2,1.0,1.0,1,0,0,,0,0,1,0,0,4,0.0,0.0,0.0,0,0,0,1.83,0.11,0.46,0.02%,0.52,,,7b --- 0 out a1,7b 3 out a1,,2021-08-04,108,140,633055,2021,1.0,2.667,2.0,10.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,3.375,0.75,2.667,2.0,10.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,3.375,0.75,2.667,2.0,10.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,3.375,0.75,2.667,2.0,10.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,3.375,0.75,2.667,2.0,10.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,3.375,0.75
4.0,4.0,2021-08-06,LAA,@,LAD,"W,4-3",7-9,W(1-0),1.0,2.1,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,1.5,8.0,,,5,1,1.0,7.0,1,3,0,,1,0,0,0,0,8,0.0,0.0,0.0,0,0,0,1.64,0.295,0.57,0.06%,1.29,,,7b 1-- 2 out tie,9b 3 out tie,,2021-08-06,108,119,633028,2021,2.333,3.667,3.0,14.0,0.0,1.0,1.0,0.0,5.0,0.0,3.0,2.455,0.818,3.667,3.0,14.0,0.0,1.0,1.0,0.0,5.0,0.0,3.0,2.455,0.818,3.667,3.0,14.0,0.0,1.0,1.0,0.0,5.0,0.0,3.0,2.455,0.818,3.667,3.0,14.0,0.0,1.0,1.0,0.0,5.0,0.0,3.0,2.455,0.818,3.667,3.0,14.0,0.0,1.0,1.0,0.0,5.0,0.0,3.0,2.455,0.818
5.0,5.0,2021-08-10,LAA,,TOR,"W,6-3",5-5,H(2),3.0,1.0,3.0,2.0,2.0,0.0,2.0,0.0,0,3.86,1.17,6.0,,,3,5,1.0,3.0,2,1,0,,0,0,0,0,0,6,1.0,1.0,0.0,0,0,0,1.48,-0.127,0.39,-0.02%,-1.46,,,5t --- 0 out a3,5t 3 out a1,1.0,2021-08-10,108,141,632208,2021,1.0,6.0,4.0,22.0,0.0,1.0,1.0,0.0,5.0,0.0,4.0,1.5,0.667,6.0,4.0,22.0,0.0,1.0,1.0,0.0,5.0,0.0,4.0,1.5,0.667,6.0,4.0,22.0,0.0,1.0,1.0,0.0,5.0,0.0,4.0,1.5,0.667,4.667,4.0,18.0,0.0,1.0,1.0,0.0,4.0,0.0,4.0,1.929,0.857,6.0,4.0,22.0,0.0,1.0,1.0,0.0,5.0,0.0,4.0,1.5,0.667
6.0,6.0,2021-08-12,LAA,,TOR,"W,6-3",7-8,,1.0,1.2,0.0,0.0,0.0,1.0,1.0,0.0,0,3.12,1.67,6.0,27.0,16.0,5,2,1.0,3.0,1,0,0,,0,0,0,0,0,5,0.0,0.0,0.0,0,0,0,0.37,0.047,0.06,0.00%,0.83,,,7t --- 0 out a4,8t 1-- 2 out a4,,2021-08-12,108,141,632918,2021,1.667,7.0,7.0,28.0,0.0,3.0,3.0,0.0,7.0,2.0,10.0,3.857,1.0,7.0,7.0,28.0,0.0,3.0,3.0,0.0,7.0,2.0,10.0,3.857,1.0,7.0,7.0,28.0,0.0,3.0,3.0,0.0,7.0,2.0,10.0,3.857,1.0,4.333,5.0,18.0,0.0,2.0,2.0,0.0,4.0,2.0,8.0,4.154,1.154,7.0,7.0,28.0,0.0,3.0,3.0,0.0,7.0,2.0,10.0,3.857,1.0
7.0,7.0,2021-08-15,LAA,,HOU,"W,3-1",7-7,H(3),2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,2.79,1.93,5.0,18.0,10.0,3,3,3.0,0.0,0,0,0,,0,0,0,0,0,4,0.0,0.0,0.0,0,0,0,1.72,0.098,0.11,0.00%,0.54,,,7t --- 0 out a1,7t 3 out a1,,2021-08-15,108,117,632881,2021,1.0,8.667,7.0,34.0,0.0,3.0,3.0,1.0,8.0,2.0,10.0,3.115,0.923,8.667,7.0,34.0,0.0,3.0,3.0,1.0,8.0,2.0,10.0,3.115,0.923,7.333,7.0,30.0,0.0,3.0,3.0,1.0,7.0,2.0,10.0,3.682,1.091,5.0,4.0,20.0,0.0,2.0,2.0,1.0,3.0,2.0,7.0,3.6,1.0,8.667,7.0,34.0,0.0,3.0,3.0,1.0,8.0,2.0,10.0,3.115,0.923
8.0,8.0,2021-08-17,LAA,@,DET,"W,8-2",5-6,,1.0,1.1,3.0,0.0,0.0,1.0,1.0,0.0,0,2.45,2.17,8.0,,,3,1,4.0,2.0,1,0,0,,1,0,0,0,0,7,0.0,0.0,0.0,0,0,0,1.73,0.107,0.08,0.00%,0.74,,,5b 1-- 2 out tie,6b 3 out tie,,2021-08-17,108,116,632868,2021,1.333,9.667,8.0,39.0,0.0,3.0,3.0,2.0,9.0,2.0,11.0,2.793,1.034,9.667,8.0,39.0,0.0,3.0,3.0,2.0,9.0,2.0,11.0,2.793,1.034,7.0,6.0,29.0,0.0,2.0,2.0,2.0,6.0,2.0,9.0,2.571,1.143,3.667,4.0,17.0,0.0,2.0,2.0,2.0,4.0,2.0,7.0,4.909,1.636,9.667,8.0,39.0,0.0,3.0,3.0,2.0,9.0,2.0,11.0,2.793,1.034
9.0,9.0,2021-08-19,LAA,@,DET,"W,13-10",8-GF,S(1),1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0,2.08,2.02,6.0,17.0,13.0,2,5,1.0,3.0,0,1,0,,0,0,0,0,0,6,0.0,0.0,0.0,0,0,0,0.86,0.131,0.12,0.01%,1.01,,,8b --- 0 out a2,9b end a 3,,2021-08-19,108,116,632846,2021,2.0,11.0,11.0,47.0,0.0,3.0,3.0,3.0,10.0,2.0,14.0,2.455,1.273,11.0,11.0,47.0,0.0,3.0,3.0,3.0,10.0,2.0,14.0,2.455,1.273,7.333,8.0,33.0,0.0,2.0,2.0,3.0,5.0,2.0,11.0,2.455,1.5,4.0,4.0,19.0,0.0,0.0,0.0,3.0,3.0,0.0,4.0,0.0,1.75,11.0,11.0,47.0,0.0,3.0,3.0,3.0,10.0,2.0,14.0,2.455,1.273
10.0,10.0,2021-08-22,LAA,@,CLE,"L,0-3",5-6,,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1.8,1.9,6.0,20.0,11.0,2,4,2.0,2.0,0,0,0,,0,0,0,0,0,6,0.0,0.0,0.0,0,0,0,0.27,0.04,0.02,0.00%,1.04,,,5b --- 0 out d3,6b 3 out d3,,2021-08-22,108,114,632812,2021,2.0,13.0,11.0,53.0,0.0,3.0,3.0,3.0,12.0,2.0,14.0,2.077,1.077,13.0,11.0,53.0,0.0,3.0,3.0,3.0,12.0,2.0,14.0,2.077,1.077,7.0,7.0,31.0,0.0,2.0,2.0,3.0,7.0,2.0,10.0,2.571,1.429,4.333,4.0,19.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,0.0,1.385,13.0,11.0,53.0,0.0,3.0,3.0,3.0,12.0,2.0,14.0,2.077,1.077
