Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,60,2021-06-13,BOS,,TOR,"L,4-18",2-7,,99,5.2,13.0,11.0,11.0,2.0,7.0,4.0,0,17.47,10.93,30.0,95.0,64.0,17,13,11,10,3,0,0,,1,0,1,0,0,27,2.0,0.0,0.0,2,1,0,0.2,-0.077,0.3,-0.07%,-7.64,,,2t 1-- 1 out d5,7t 3 out d13,,2021-06-13,111,141,633728,2021,5.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,61,2021-06-27,MIL,,COL,"W,5-0",9-GF,,13,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,14.85,9.77,3.0,8.0,6.0,1,0,3,0,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,1,0,0,0.18,0.006,0.27,0.01%,0.51,,,9t --- 0 out a5,9t end a 5,,2021-06-27,158,115,633486,2021,1.0,5.667,13.0,30.0,4.0,11.0,11.0,2.0,7.0,6.0,27.0,17.471,2.647,5.667,13.0,30.0,4.0,11.0,11.0,2.0,7.0,6.0,27.0,17.471,2.647,5.667,13.0,30.0,4.0,11.0,11.0,2.0,7.0,6.0,27.0,17.471,2.647,5.667,13.0,30.0,4.0,11.0,11.0,2.0,7.0,6.0,27.0,17.471,2.647,5.667,13.0,30.0,4.0,11.0,11.0,2.0,7.0,6.0,27.0,17.471,2.647
3,62,2021-07-27,SEA,,HOU,"L,6-8",9-GF,,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.91,8.91,3.0,15.0,9.0,5,0,1,2,2,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.05,0.004,0.07,0.00%,0.5,,,9t --- 0 out d4,9t end d 4,,2021-07-27,136,117,633158,2021,1.0,6.667,14.0,33.0,4.0,11.0,11.0,2.0,7.0,6.0,28.0,14.85,2.4,6.667,14.0,33.0,4.0,11.0,11.0,2.0,7.0,6.0,28.0,14.85,2.4,6.667,14.0,33.0,4.0,11.0,11.0,2.0,7.0,6.0,28.0,14.85,2.4,6.667,14.0,33.0,4.0,11.0,11.0,2.0,7.0,6.0,28.0,14.85,2.4,6.667,14.0,33.0,4.0,11.0,11.0,2.0,7.0,6.0,28.0,14.85,2.4
4,63,2021-07-28,SEA,,HOU,"L,4-11",8-GF,,0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1,12.1,9.79,9.0,42.0,25.0,10,3,3,2,1,0,0,,0,0,0,0,0,6,0.0,0.0,0.0,1,0,0,0.02,-0.012,0.03,-0.01%,-1.01,,,8t --- 0 out d5,9t end d 7,,2021-07-28,136,117,633146,2021,2.0,7.667,14.0,36.0,4.0,11.0,11.0,2.0,7.0,6.0,28.0,12.913,2.087,7.667,14.0,36.0,4.0,11.0,11.0,2.0,7.0,6.0,28.0,12.913,2.087,7.667,14.0,36.0,4.0,11.0,11.0,2.0,7.0,6.0,28.0,12.913,2.087,7.667,14.0,36.0,4.0,11.0,11.0,2.0,7.0,6.0,28.0,12.913,2.087,7.667,14.0,36.0,4.0,11.0,11.0,2.0,7.0,6.0,28.0,12.913,2.087
1,64,2022-06-16,NYY,,TBR,"W,2-1",4-7,,99,3.2,2.0,1.0,1.0,0.0,1.0,1.0,0,2.45,6.11,12.0,48.0,31.0,10,4,8,3,0,1,0,,0,0,0,1,0,12,0.0,0.0,0.0,0,0,0,0.91,0.086,0.66,0.04%,0.83,7.05,11.0,4t --- 0 out tie,7t --- 2 out tie,,2022-06-16,147,139,661326,2022,3.667,9.667,15.0,45.0,5.0,13.0,13.0,4.0,8.0,7.0,32.0,12.103,1.966,9.667,15.0,45.0,5.0,13.0,13.0,4.0,8.0,7.0,32.0,12.103,1.966,9.667,15.0,45.0,5.0,13.0,13.0,4.0,8.0,7.0,32.0,12.103,1.966,4.0,2.0,15.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,65,2022-07-02,NYY,@,CLE,"W,13-4",9-GF,,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.93,5.47,3.0,11.0,9.0,4,1,0,3,2,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.00%,0.46,2.25,3.0,9b --- 0 out a9,9b end a 9,1.0,2022-07-02,147,114,662964,2022,1.0,13.333,17.0,57.0,6.0,14.0,14.0,4.0,9.0,8.0,37.0,9.45,1.575,13.333,17.0,57.0,6.0,14.0,14.0,4.0,9.0,8.0,37.0,9.45,1.575,13.333,17.0,57.0,6.0,14.0,14.0,4.0,9.0,8.0,37.0,9.45,1.575,6.667,3.0,24.0,2.0,3.0,3.0,2.0,2.0,2.0,9.0,4.05,0.75,3.667,2.0,12.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,2.455,0.545
3,66,2022-07-16,NYY,,BOS,"W,14-1",7-GF,S(1),13,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0,1.17,4.68,11.0,34.0,25.0,9,0,6,3,2,0,0,,0,0,0,0,0,10,1.0,0.0,0.0,0,0,0,0.01,0.002,0.0,0.00%,1.45,7.55,12.0,7t --- 0 out a9,9t end a13,,2022-07-16,147,111,661259,2022,3.0,14.333,17.0,60.0,6.0,14.0,14.0,4.0,9.0,8.0,37.0,8.791,1.465,14.333,17.0,60.0,6.0,14.0,14.0,4.0,9.0,8.0,37.0,8.791,1.465,8.667,4.0,30.0,2.0,3.0,3.0,2.0,2.0,2.0,10.0,3.115,0.692,6.667,3.0,24.0,2.0,3.0,3.0,2.0,2.0,2.0,9.0,4.05,0.75,4.667,2.0,15.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,1.929,0.429
4,67,2022-09-08,NYY,,MIN,"L,3-4",9-GF,,53,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0,1.04,4.5,4.0,,,3,0,2,2,0,0,0,,0,0,0,0,1,4,0.0,0.0,0.0,0,0,0,0.71,0.036,0.41,0.01%,0.48,1.05,3.0,9t --- 0 out d1,9t end d 1,,2022-09-08,147,142,661252,2022,1.0,17.333,18.0,71.0,6.0,14.0,14.0,5.0,10.0,9.0,39.0,7.269,1.327,17.333,18.0,71.0,6.0,14.0,14.0,5.0,10.0,9.0,39.0,7.269,1.327,10.667,4.0,38.0,2.0,3.0,3.0,3.0,3.0,3.0,11.0,2.531,0.656,7.667,3.0,26.0,1.0,1.0,1.0,1.0,2.0,2.0,7.0,1.174,0.522,7.667,3.0,26.0,1.0,1.0,1.0,1.0,2.0,2.0,7.0,1.174,0.522
5,68,2022-09-09,NYY,,TBR,"L,2-4",8-GF,,0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.84,4.05,7.0,25.0,19.0,8,0,4,2,1,0,0,,0,0,0,0,0,7,0.0,0.0,0.0,0,0,0,0.18,0.021,0.2,0.01%,0.97,5.9,9.0,8t --- 0 out d3,9t end d 3,,2022-09-09,147,139,661234,2022,2.0,18.333,20.0,75.0,6.0,14.0,14.0,5.0,10.0,9.0,41.0,6.873,1.364,18.333,20.0,75.0,6.0,14.0,14.0,5.0,10.0,9.0,41.0,6.873,1.364,10.667,6.0,39.0,2.0,3.0,3.0,3.0,3.0,3.0,13.0,2.531,0.844,5.0,3.0,18.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.8,8.667,5.0,30.0,1.0,1.0,1.0,1.0,2.0,2.0,9.0,1.038,0.692
1,69,2023-05-11,NYY,,TBR,"L,2-8",8-GF,,99,2.0,5.0,3.0,3.0,0.0,1.0,1.0,0,13.5,8.76,11.0,28.0,19.0,2,3,3,7,5,0,0,,0,0,0,0,0,11,2.0,0.0,0.0,0,0,0,0.02,-0.016,0.02,-0.01%,-1.96,-2.5,0.0,8t --- 0 out d5,9t end d 8,,2023-05-11,147,139,718219,2023,2.0,20.333,21.0,82.0,6.0,14.0,14.0,5.0,11.0,9.0,42.0,6.197,1.279,20.333,21.0,82.0,6.0,14.0,14.0,5.0,11.0,9.0,42.0,6.197,1.279,10.667,6.0,37.0,1.0,1.0,1.0,1.0,3.0,2.0,10.0,0.844,0.656,6.0,4.0,22.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,0.0,0.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
