Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,70,2021-04-01,OAK,,HOU,"L,1-8",8-8,,99,0.2,0.0,0.0,0.0,1.0,2.0,0.0,0,0.0,1.67,3.0,17.0,10.0,3,2,0,0,0,0,0,,2,0,0,0,0,2,0.0,0.0,0.0,0,0,0,0.34,0.013,0.36,0.01%,0.91,,,8t 12- 1 out d4,8t 3 out d4,,2021-04-01,133,117,634640,2021,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,71,2021-04-02,OAK,,HOU,"L,5-9",9-GF,,0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,5.17,3.0,,,0,1,1,1,1,0,0,,2,1,0,0,0,2,0.0,0.0,0.0,0,0,1,0.28,-0.016,0.28,-0.01%,-0.57,,,9t 12- 2 out d3,9t end d 4,,2021-04-02,133,117,634605,2021,0.333,0.667,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.5,0.667,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.5,0.667,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.5
3,72,2021-04-04,OAK,,HOU,"L,2-9",8-8,,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,4.67,3.0,10.0,5.0,1,3,1,0,0,0,0,,0,0,0,0,0,2,0.0,0.0,0.0,1,0,0,0.03,0.001,0.02,0.00%,0.5,,,8t --- 0 out d7,8t 3 out d7,,2021-04-04,133,117,634651,2021,1.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0
4,73,2021-04-05,OAK,,LAD,"L,3-10",9-GF,,0,0.1,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,4.88,2.0,11.0,5.0,2,2,0,0,0,0,0,,2,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0.02,0.0,0.01,0.00%,0.43,,,9t 12- 2 out d7,9t end d 7,,2021-04-05,133,119,634600,2021,0.333,2.0,0.0,9.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.5,2.0,0.0,9.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.5,2.0,0.0,9.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.5
5,74,2021-04-08,OAK,@,HOU,"L,2-6",6-6,,2,0.2,2.0,1.0,1.0,0.0,0.0,0.0,0,3.0,4.5,4.0,9.0,7.0,1,0,1,3,2,1,0,,1,1,0,0,0,4,1.0,0.0,0.0,0,0,0,0.38,-0.057,0.29,-0.03%,-1.45,,,6b 1-- 1 out d3,6b 3 out d5,,2021-04-08,133,117,634546,2021,0.667,2.333,0.0,11.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.714,2.333,0.0,11.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.714,2.333,0.0,11.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.714
6,75,2021-04-10,OAK,@,HOU,"W,7-3",9-GF,,1,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0,2.25,3.17,3.0,11.0,8.0,2,1,0,1,1,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.25,0.02,0.19,0.01%,0.53,,,9b --- 0 out a4,9b end a 4,,2021-04-10,133,117,632202,2021,1.0,3.0,2.0,15.0,0.0,1.0,1.0,4.0,4.0,1.0,3.0,3.0,2.0,3.0,2.0,15.0,0.0,1.0,1.0,4.0,4.0,1.0,3.0,3.0,2.0,3.0,2.0,15.0,0.0,1.0,1.0,4.0,4.0,1.0,3.0,3.0,2.0
7,76,2021-04-12,OAK,@,ARI,"W,9-5",7-7,H(1),1,0.2,3.0,2.0,2.0,0.0,0.0,0.0,0,5.79,3.17,5.0,,,1,0,3,2,2,0,0,,0,0,0,0,0,5,1.0,0.0,0.0,0,0,0,0.96,-0.18,0.67,-0.08%,-1.73,,,7b --- 0 out a3,7b 1-- 2 out a1,,2021-04-12,133,109,632231,2021,0.667,4.0,2.0,18.0,0.0,1.0,1.0,4.0,6.0,1.0,3.0,2.25,1.5,3.333,2.0,15.0,0.0,1.0,1.0,3.0,4.0,1.0,3.0,2.7,1.5,4.0,2.0,18.0,0.0,1.0,1.0,4.0,6.0,1.0,3.0,2.25,1.5
8,77,2021-04-15,OAK,,DET,"W,8-4",8-8,,2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,4.76,3.35,5.0,21.0,13.0,3,2,1,2,1,0,0,,0,0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.19,0.006,0.16,0.00%,0.5,,,8t --- 0 out a6,8t 3 out a6,,2021-04-15,133,116,634632,2021,1.0,4.667,5.0,23.0,0.0,3.0,3.0,4.0,6.0,2.0,7.0,5.786,1.929,3.667,5.0,17.0,0.0,3.0,3.0,2.0,4.0,2.0,7.0,7.364,1.909,4.667,5.0,23.0,0.0,3.0,3.0,4.0,6.0,2.0,7.0,5.786,1.929
9,78,2021-04-17,OAK,,DET,"W,7-0",7-7,,1,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0,4.05,2.72,4.0,18.0,14.0,3,5,1,1,1,0,0,,0,0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.31,0.016,0.29,0.01%,0.5,,,7t --- 0 out a5,7t 3 out a5,,2021-04-17,133,116,634479,2021,1.0,5.667,6.0,28.0,0.0,3.0,3.0,5.0,7.0,2.0,8.0,4.765,1.941,3.667,6.0,19.0,0.0,3.0,3.0,2.0,4.0,2.0,8.0,7.364,2.182,5.667,6.0,28.0,0.0,3.0,3.0,5.0,7.0,2.0,8.0,4.765,1.941
10,79,2021-04-18,OAK,,DET,"W,3-2",8-8,,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,3.52,2.52,3.0,12.0,8.0,2,3,1,1,1,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.68,0.051,0.69,0.03%,0.5,,,8t --- 0 out d1,8t 3 out d1,,2021-04-18,133,116,634480,2021,1.0,6.667,7.0,32.0,0.0,3.0,3.0,5.0,9.0,2.0,9.0,4.05,1.8,4.333,7.0,21.0,0.0,3.0,3.0,1.0,5.0,2.0,9.0,6.231,1.846,6.667,7.0,32.0,0.0,3.0,3.0,5.0,9.0,2.0,9.0,4.05,1.8
