Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1.0,1.0,2021-04-04,BOS,,BAL,"L,3-11",3-6,,99.0,3.1,3.0,0.0,0.0,0.0,5.0,0.0,0,0.0,0.17,13.0,59.0,39.0,11,7,4.0,4.0,1,1,0,,2.0,0.0,0,0,0,13,0.0,0.0,0.0,0,0,0,0.05,0.009,0.05,0.01%,2.14,,,3t 12- 2 out d10,6t 3 out d8,,2021-04-04,111,110,634610,2021,3.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,2.0,2021-04-08,BOS,@,BAL,"W,7-3",6-7,H(1),3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0.0,0.17,6.0,20.0,15.0,4,4,1.0,2.0,1,0,0,,0.0,0.0,0,0,0,6,0.0,0.0,0.0,0,0,0,0.95,0.147,1.06,0.10%,1.05,,,6b --- 0 out a1,7b 3 out a3,,2021-04-08,111,110,634544,2021,2.0,3.333,3.0,13.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.9,3.333,3.0,13.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.9,3.333,3.0,13.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.9
3.0,3.0,2021-04-14,BOS,@,MIN,"W,7-1",6-6,,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.33,3.0,10.0,7.0,2,3,1.0,1.0,1,0,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.2,0.015,0.23,0.01%,0.51,,,6b --- 0 out a5,6b 3 out a5,2.0,2021-04-14,111,142,632223,2021,1.0,5.333,3.0,19.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.562,5.333,3.0,19.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.562,5.333,3.0,19.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.562
4.0,4.0,2021-04-19,BOS,,CHW,"W,11-4",7-GF,,4.0,2.2,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.73,8.0,29.0,23.0,6,5,6.0,0.0,0,0,0,,2.0,1.0,1,0,0,8,0.0,0.0,0.0,0,0,0,0.12,0.016,0.13,0.01%,1.36,,,7t 1-3 1 out a7,9t end a 7,,2021-04-19,111,145,634445,2021,2.667,6.333,3.0,22.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,0.474,6.333,3.0,22.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,0.474,6.333,3.0,22.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,0.474
5.0,5.0,2021-04-23,BOS,,SEA,"W,6-5",6-8,H(2),3.0,2.1,2.0,0.0,0.0,1.0,3.0,0.0,0,0.0,0.96,10.0,41.0,24.0,10,2,3.0,3.0,3,0,0,,0.0,0.0,0,0,0,9,1.0,0.0,0.0,0,0,0,0.81,0.054,0.98,0.04%,0.21,,,6t --- 0 out a3,8t -23 1 out a4,,2021-04-23,111,136,634386,2021,2.333,9.0,3.0,30.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,0.333,9.0,3.0,30.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,0.333,9.0,3.0,30.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,0.333
6.0,6.0,2021-04-28,BOS,@,NYM,"W,1-0",6-7,H(3),4.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,0,0.0,0.92,8.0,31.0,22.0,7,6,2.0,1.0,0,0,0,,0.0,0.0,0,0,0,7,0.0,0.0,0.0,0,0,0,1.7,0.194,2.0,0.14%,0.98,,,6b --- 0 out a1,7b 3 out a1,,2021-04-28,111,121,634310,2021,2.0,11.333,5.0,40.0,0.0,0.0,0.0,1.0,14.0,1.0,6.0,0.0,0.529,11.333,5.0,40.0,0.0,0.0,0.0,1.0,14.0,1.0,6.0,0.0,0.529,11.333,5.0,40.0,0.0,0.0,0.0,1.0,14.0,1.0,6.0,0.0,0.529
7.0,7.0,2021-05-02,BOS,@,TEX,"L,3-5",7-7,H(4),3.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0,0.63,1.84,5.0,15.0,11.0,3,2,0.0,4.0,2,0,0,,0.0,0.0,0,0,0,5,0.0,0.0,0.0,0,0,0,1.86,-0.035,2.34,-0.03%,-0.48,,,7b --- 0 out a2,7b 3 out a1,,2021-05-02,111,140,634268,2021,1.0,13.333,6.0,48.0,0.0,0.0,0.0,2.0,18.0,1.0,7.0,0.0,0.6,10.0,3.0,35.0,0.0,0.0,0.0,2.0,13.0,1.0,4.0,0.0,0.5,13.333,6.0,48.0,0.0,0.0,0.0,2.0,18.0,1.0,7.0,0.0,0.6
8.0,8.0,2021-05-05,BOS,,DET,"L,5-6",10-GF(10),L(0-1),2.0,1.0,3.0,3.0,2.0,0.0,0.0,1.0,0,1.76,2.78,5.0,,,1,3,1.0,4.0,2,0,0,,0.0,0.0,1,1,0,5,0.0,0.0,0.0,0,0,0,1.51,-0.394,1.86,-0.29%,-1.81,,,10t -2- 0 out tie,10t end d 3,,2021-05-05,111,116,634228,2021,1.0,14.333,8.0,53.0,1.0,1.0,1.0,2.0,19.0,2.0,12.0,0.628,0.698,9.0,5.0,34.0,1.0,1.0,1.0,2.0,11.0,2.0,9.0,1.0,0.778,14.333,8.0,53.0,1.0,1.0,1.0,2.0,19.0,2.0,12.0,0.628,0.698
9.0,9.0,2021-05-07,BOS,@,BAL,"W,6-2",7-8,H(5),1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0,1.56,2.82,8.0,27.0,19.0,4,3,6.0,2.0,1,0,0,,0.0,0.0,0,0,0,8,0.0,0.0,0.0,1,0,0,1.2,0.14,1.7,0.12%,1.05,,,7b --- 0 out a2,8b 3 out a3,,2021-05-07,111,110,634209,2021,2.0,15.333,11.0,58.0,2.0,4.0,3.0,2.0,19.0,3.0,18.0,1.761,0.848,9.0,8.0,36.0,2.0,4.0,3.0,2.0,10.0,3.0,15.0,3.0,1.111,15.333,11.0,58.0,2.0,4.0,3.0,2.0,19.0,3.0,18.0,1.761,0.848
10.0,10.0,2021-05-13,BOS,,OAK,"W,8-1",7-GF,S(1),5.0,3.0,3.0,1.0,1.0,1.0,2.0,0.0,1,1.77,2.97,13.0,52.0,29.0,9,3,4.0,5.0,3,0,0,,0.0,0.0,0,0,0,11,2.0,0.0,0.0,0,0,0,0.04,0.006,0.06,0.00%,0.68,,,7t --- 0 out a8,9t end a 7,,2021-05-13,111,133,634150,2021,3.0,17.333,14.0,66.0,2.0,4.0,3.0,2.0,19.0,3.0,21.0,1.558,0.923,8.333,11.0,36.0,2.0,4.0,3.0,2.0,8.0,3.0,18.0,3.24,1.56,17.333,14.0,66.0,2.0,4.0,3.0,2.0,19.0,3.0,21.0,1.558,0.923
