Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,107,2021-04-05,CHC,,MIL,"W,5-3",GS-7,W(1-0),99,6.0,2.0,2.0,2.0,2.0,6.0,0.0,1,3.0,2.67,22.0,85.0,57.0,16,15,10,3,2,0,0,64.0,,,0,0,0,19,0.0,0.0,0.0,1,0,0,0.83,0.205,0.92,0.14%,2.04,,,1t start tie,7t 12- 0 out a4,,2021-04-05,112,158,634566,2021,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,108,2021-04-11,CHC,@,PIT,"L,1-7",GS-4,L(1-1),5,3.1,10.0,5.0,5.0,2.0,3.0,0.0,1,6.75,3.17,23.0,75.0,48.0,16,5,9,8,6,0,0,21.0,,,0,0,0,20,1.0,0.0,0.0,0,0,0,1.02,-0.337,1.03,-0.20%,-3.9,,,1b start tie,4b 12- 1 out d4,,2021-04-11,112,134,632225,2021,3.333,6.0,2.0,22.0,0.0,2.0,2.0,2.0,6.0,0.0,2.0,3.0,0.667,6.0,2.0,22.0,0.0,2.0,2.0,2.0,6.0,0.0,2.0,3.0,0.667,6.0,2.0,22.0,0.0,2.0,2.0,2.0,6.0,0.0,2.0,3.0,0.667
3,109,2021-04-17,CHC,,ATL,"W,13-4",GS-6,W(2-1),5,5.0,4.0,1.0,1.0,3.0,4.0,0.0,0,5.02,3.24,21.0,92.0,56.0,15,9,7,7,5,2,0,56.0,,,0,0,1,18,0.0,0.0,0.0,1,0,1,0.78,0.181,0.62,0.09%,0.69,,,1t start tie,6t 123 0 out a11,,2021-04-17,112,144,634462,2021,5.0,9.333,12.0,45.0,0.0,7.0,7.0,4.0,9.0,1.0,13.0,6.75,1.714,9.333,12.0,45.0,0.0,7.0,7.0,4.0,9.0,1.0,13.0,6.75,1.714,9.333,12.0,45.0,0.0,7.0,7.0,4.0,9.0,1.0,13.0,6.75,1.714
4,110,2021-04-22,CHC,,NYM,"W,4-3",GS-5,,4,5.0,5.0,2.0,2.0,1.0,6.0,1.0,0,4.66,3.43,21.0,,,10,10,4,10,5,0,0,54.0,,,0,0,0,20,2.0,0.0,0.0,0,0,0,1.07,0.095,0.95,0.05%,0.53,,,1t start tie,5t 3 out a1,,2021-04-22,112,121,634419,2021,5.0,14.333,16.0,66.0,0.0,8.0,8.0,7.0,13.0,1.0,17.0,5.023,1.605,14.333,16.0,66.0,0.0,8.0,8.0,7.0,13.0,1.0,17.0,5.023,1.605,14.333,16.0,66.0,0.0,8.0,8.0,7.0,13.0,1.0,17.0,5.023,1.605
5,111,2021-04-27,CHC,@,ATL,"L,0-5",GS-5,L(2-2),4,5.0,6.0,2.0,2.0,2.0,8.0,1.0,0,4.44,3.5,23.0,86.0,56.0,15,12,4,9,4,1,0,53.0,,,0,0,0,21,2.0,0.0,0.0,0,0,0,1.1,0.012,0.94,0.01%,0.66,,,1b start tie,5b 3 out d2,,2021-04-27,112,144,634351,2021,5.0,19.333,21.0,87.0,1.0,10.0,10.0,8.0,19.0,4.0,27.0,4.655,1.5,19.333,21.0,87.0,1.0,10.0,10.0,8.0,19.0,4.0,27.0,4.655,1.5,19.333,21.0,87.0,1.0,10.0,10.0,8.0,19.0,4.0,27.0,4.655,1.5
6,112,2021-05-02,CHC,@,CIN,"L,12-13",GS-3,,4,2.2,6.0,6.0,6.0,4.0,2.0,3.0,0,6.0,5.21,16.0,,,11,3,5,5,2,0,0,20.0,,,0,1,0,12,0.0,0.0,0.0,1,0,0,0.91,-0.498,0.78,-0.26%,-4.78,,,1b start a 1,3b 12- 2 out d2,,2021-05-02,112,113,634298,2021,2.667,24.333,27.0,110.0,2.0,12.0,12.0,10.0,27.0,7.0,38.0,4.438,1.521,24.333,27.0,110.0,2.0,12.0,12.0,10.0,27.0,7.0,38.0,4.438,1.521,24.333,27.0,110.0,2.0,12.0,12.0,10.0,27.0,7.0,38.0,4.438,1.521
7,113,2021-05-08,CHC,,PIT,"W,3-2",GS-4,,5,4.0,5.0,2.0,2.0,2.0,6.0,1.0,0,5.81,5.17,20.0,83.0,53.0,13,5,6,6,3,1,0,48.0,,,2,0,0,18,1.0,0.0,0.0,0,0,1,1.16,-0.041,1.23,-0.03%,0.02,,,1t start tie,4t 3 out d1,,2021-05-08,112,134,634212,2021,4.0,27.0,33.0,126.0,5.0,18.0,18.0,14.0,29.0,10.0,53.0,6.0,1.741,21.0,31.0,104.0,5.0,16.0,16.0,12.0,23.0,10.0,51.0,6.857,2.048,27.0,33.0,126.0,5.0,18.0,18.0,14.0,29.0,10.0,53.0,6.0,1.741
8,114,2021-05-15,CHC,@,DET,"L,8-9",GS-2,,6,2.0,4.0,3.0,3.0,2.0,2.0,0.0,0,6.27,5.11,12.0,42.0,25.0,7,4,5,3,2,0,0,36.0,,,0,0,0,10,2.0,0.0,0.0,0,0,0,1.21,-0.211,1.16,-0.12%,-1.99,,,1b start a 2,2b 3 out d1,,2021-05-15,112,116,634111,2021,2.0,31.0,38.0,146.0,6.0,20.0,20.0,16.0,35.0,12.0,62.0,5.806,1.742,21.667,26.0,101.0,6.0,13.0,13.0,12.0,26.0,11.0,49.0,5.4,1.754,31.0,38.0,146.0,6.0,20.0,20.0,16.0,35.0,12.0,62.0,5.806,1.742
9,115,2021-05-20,CHC,,WSN,"W,5-2",GS-5,,4,4.2,5.0,2.0,2.0,2.0,5.0,2.0,0,5.97,5.45,19.0,77.0,48.0,12,8,4,8,2,1,0,49.0,,,0,1,0,17,1.0,0.0,0.0,1,0,0,0.84,0.021,0.86,0.01%,0.2,,,1t start tie,5t -2- 2 out a2,,2021-05-20,112,120,634112,2021,4.667,33.0,42.0,158.0,6.0,23.0,23.0,18.0,37.0,14.0,68.0,6.273,1.818,18.667,26.0,92.0,6.0,15.0,15.0,11.0,24.0,13.0,51.0,7.232,1.982,33.0,42.0,158.0,6.0,23.0,23.0,18.0,37.0,14.0,68.0,6.273,1.818
10,116,2021-05-26,CHC,@,PIT,"W,4-1",GS-6,W(3-2),5,6.0,3.0,1.0,1.0,0.0,7.0,0.0,0,5.36,4.82,20.0,71.0,48.0,17,9,7,6,2,1,0,69.0,,,0,0,0,20,1.0,1.0,0.0,1,0,0,0.81,0.24,1.07,0.19%,2.03,,,1b start tie,6b 3 out a3,,2021-05-26,112,134,633967,2021,6.0,37.667,47.0,177.0,8.0,25.0,25.0,20.0,42.0,17.0,80.0,5.973,1.779,18.333,26.0,90.0,7.0,15.0,15.0,12.0,23.0,13.0,53.0,7.364,2.073,37.667,47.0,177.0,8.0,25.0,25.0,20.0,42.0,17.0,80.0,5.973,1.779
