Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,136,1,2021-04-01,CHC,,PIT,"L,3-5",6-7,,99,1.2,1,1,1,1,2,0,0,5.40,2.57,7,31,20,6,3,2,2,1,0,0,,2,0,1,0,0,6,1,0,0,0,0,0,.87,0.007,.88,0.00%,0.42,,,6t 12- 1 out d2,7t 3 out d3,,2021-04-01,112,134,634634
2,137,3,2021-04-04,CHC,,PIT,"W,4-3",6-6,H(1),2,0.1,0,0,0,0,0,0,0,4.50,2.67,1,2,2,0,0,0,1,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,2.72,0.070,2.99,0.05%,0.44,,,6t 12- 2 out a1,6t 3 out a1,,2021-04-04,112,134,634613
3,138,5,2021-04-06,CHC,,MIL,"L,0-4",6-6,,1,1.0,0,0,0,0,2,0,0,3.00,1.50,3,14,9,1,4,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.20,0.015,.22,0.01%,0.51,,,6t --- 0 out d4,6t 3 out d4,,2021-04-06,112,158,634559
4,139,7,2021-04-08,CHC,@,PIT,"W,4-2",8-8,,1,0.0,0,0,0,3,0,0,0,3.00,4.50,3,15,3,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2.54,-0.253,2.57,-0.15%,-1.31,,,8b --- 1 out a2,8b 123 1 out a2,,2021-04-08,112,134,634555
5,140,9,2021-04-11,CHC,@,PIT,"L,1-7",8-GF(8),,2,1.0,1,0,0,0,1,0,0,2.25,3.67,4,13,9,0,1,1,2,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.01,0.001,.01,0.00%,0.51,,,8b --- 0 out d6,8b end d 6,,2021-04-11,112,134,632225
6,141,14,2021-04-17,CHC,,ATL,"W,13-4",8-8,,5,0.1,0,0,0,0,0,0,0,2.08,3.63,1,3,1,0,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.01,0.000,.01,0.00%,0.23,,,8t 1-- 2 out a9,8t 3 out a9,,2021-04-17,112,144,634462
7,142,15,2021-04-18,CHC,,ATL,"L,4-13",8-8,,0,1.0,1,0,0,1,1,0,0,1.69,3.73,5,24,14,2,3,0,3,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.51,,,8t --- 0 out d10,8t 3 out d10,,2021-04-18,112,144,634506
8,143,18,2021-04-22,CHC,,NYM,"W,4-3",10-GF(10),W(1-0),3,1.0,0,0,0,2,1,0,0,1.42,4.28,4,,,0,3,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,5.32,0.311,4.72,0.17%,1.13,,,10t -2- 0 out tie,10t end tie,,2021-04-22,112,121,634419
9,144,20,2021-04-24,CHC,,MIL,"L,3-4",9-GF,,1,1.0,1,0,0,0,1,0,0,1.23,3.85,4,18,13,2,3,0,3,3,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.68,0.039,.79,0.03%,0.51,,,9t --- 0 out d1,9t end d 1,,2021-04-24,112,158,634416
10,145,22,2021-04-26,CHC,@,ATL,"L,7-8",8-GF(8),,1,1.0,0,0,0,0,0,0,0,1.08,3.77,3,13,7,0,2,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.43,0.033,.37,0.02%,0.53,,,8b --- 0 out d1,8b end d 1,,2021-04-26,112,144,634402
11,146,23,2021-04-27,CHC,@,ATL,"L,0-5",8-GF(8),,0,0.1,0,0,0,0,0,0,0,1.04,3.75,1,3,2,0,0,0,1,1,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,.07,0.002,.06,0.00%,0.79,,,8b 123 2 out d5,8b end d 5,,2021-04-27,112,144,634351
12,147,27,2021-05-01,CHC,@,CIN,"W,3-2",6-6,H(2),3,1.0,0,0,0,0,2,0,1,0.93,3.58,4,16,10,5,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.24,0.092,1.02,0.05%,0.56,,,6b --- 0 out a1,6b 3 out a1,,2021-05-01,112,113,634273
13,148,28,2021-05-02,CHC,@,CIN,"L,12-13",8-8,,0,1.0,1,0,0,0,2,0,0,0.84,3.17,4,,,2,3,0,2,1,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,2.27,0.114,1.94,0.06%,0.56,,,8b --- 0 out tie,8b 3 out tie,,2021-05-02,112,113,634298
