Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,63,1,2021-04-01,MIL,,MIN,"W,6-5",GS-4,,99,4.0,6,3,3,2,5,0,0,6.75,2.17,20,78,50,14,8,5,8,6,1,0,41,,,0,0,0,17,1,0,0,0,0,0,.99,-0.143,.89,-0.08%,-0.98,,,1t start tie,4t 3 out d2,,2021-04-01,158,142,634638
2,64,6,2021-04-07,MIL,@,CHC,"W,4-2",GS-7,,5,7.0,1,0,0,0,8,0,0,2.45,1.35,22,74,51,13,11,8,6,2,0,0,83,,,0,0,0,22,0,0,0,1,0,1,1.01,0.445,1.03,0.27%,3.54,,,1b start tie,7b 3 out tie,,2021-04-07,158,112,634549
3,65,11,2021-04-13,MIL,,CHC,"L,2-3",GS-6,,5,6.0,3,1,1,1,6,0,1,2.12,1.64,23,95,63,15,9,7,8,3,0,0,67,,,1,0,0,20,0,0,0,0,1,0,1.22,0.257,1.46,0.18%,2.03,,,1t start tie,6t 3 out a1,,2021-04-13,158,112,632194
4,66,16,2021-04-19,MIL,@,SDP,"W,3-1",GS-6,W(1-0),5,6.0,1,1,1,3,7,0,0,1.96,1.82,22,95,62,23,11,5,7,2,1,0,70,,,0,0,0,19,0,0,0,0,0,0,.92,0.250,.94,0.15%,1.82,,,1b start tie,6b 3 out a1,,2021-04-19,158,135,634399
5,67,21,2021-04-25,MIL,@,CHC,"W,6-0",GS-6,W(2-0),5,6.0,2,0,0,2,8,0,0,1.55,1.76,21,91,62,17,12,4,7,4,2,0,74,,,0,1,0,19,0,0,0,0,0,0,1.32,0.394,1.75,0.31%,3.03,,,1b start a 1,6b 3 out a1,,2021-04-25,158,112,634400
6,68,27,2021-05-01,MIL,,LAD,"W,6-5",GS-6,,5,6.0,6,2,2,1,6,1,1,1.80,2.20,25,,,19,9,9,8,4,0,0,57,,,0,0,0,23,0,1,0,1,0,0,1.18,0.129,1.46,0.10%,1.03,,,1t start tie,6t 3 out tie,,2021-05-01,158,119,634338
7,69,32,2021-05-06,MIL,@,PHI,"L,0-2",GS-7,L(2-1),4,6.2,2,1,1,2,11,1,0,1.73,2.28,24,103,73,13,23,5,6,3,0,0,75,,,0,0,0,22,0,0,0,0,0,0,1.00,0.188,1.17,0.13%,2.43,,,1b start tie,7b --- 2 out d1,,2021-05-06,158,143,634283
8,70,37,2021-05-12,MIL,,STL,"W,4-1",GS-8,,5,7.2,3,1,1,1,10,1,0,1.64,2.34,27,98,71,19,19,5,11,5,2,0,78,,,0,1,0,25,0,0,0,0,0,1,1.19,0.263,1.65,0.22%,2.81,,,1t start tie,8t 1-- 2 out tie,,2021-05-12,158,138,634198
9,71,42,2021-05-18,MIL,@,KCR,"L,0-2",GS-8,L(2-2),5,7.2,4,2,1,2,4,0,1,1.58,2.47,29,98,60,13,7,14,8,2,0,0,67,,,0,1,0,26,0,0,0,1,0,1,1.12,0.477,1.23,0.32%,3.84,,,1b start tie,8b 12- 2 out tie,,2021-05-18,158,118,634043
10,72,47,2021-05-24,MIL,,SDP,"W,5-3",GS-7,W(3-2),5,7.0,3,0,0,0,8,0,0,1.41,2.30,24,100,72,23,11,8,8,4,0,0,79,,,0,0,0,24,0,0,0,0,0,0,.69,0.269,.74,0.18%,3.54,,,1t start tie,7t 3 out a5,,2021-05-24,158,135,633992
