Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,210,2021-04-01,CHC,,PIT,"L,3-5",4-4,,99,0.2,1.0,0.0,0.0,2.0,0.0,0.0,0,0.0,12.17,4.0,23.0,11.0,4,0,0,2,2,0,0,,0,0,2,1,1,2,0.0,0.0,0.0,0,0,0,1.28,-0.009,1.31,-0.01%,-0.1,,,4t --- 0 out d1,4t -23 2 out d1,,2021-04-01,112,134,634634,2021,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,211,2021-04-03,CHC,,PIT,"W,5-1",7-7,H(1),1,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,4.37,3.0,10.0,8.0,4,3,1,0,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.62,0.047,0.62,0.03%,0.51,,,7t --- 0 out a3,7t 3 out a3,,2021-04-03,112,134,634643,2021,1.0,0.667,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4.5,0.667,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4.5,0.667,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4.5
3,212,2021-04-07,CHC,,MIL,"L,2-4",10-GF(10),L(0-1),3,1.0,2.0,3.0,2.0,0.0,1.0,1.0,0,6.75,8.05,5.0,17.0,11.0,6,1,3,1,0,0,0,,0,0,0,1,1,5,0.0,0.0,0.0,0,0,1,1.67,-0.405,1.84,-0.27%,-1.87,,,10t -2- 0 out tie,10t end d 3,,2021-04-07,112,158,634549,2021,1.0,1.667,1.0,7.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.8,1.667,1.0,7.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.8,1.667,1.0,7.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.8
4,213,2021-04-10,CHC,@,PIT,"L,2-8",8-GF(8),,2,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0,4.91,5.62,5.0,16.0,13.0,4,3,2,1,1,0,0,,0,0,0,0,0,5,0.0,0.0,0.0,0,0,0,0.01,0.001,0.01,0.00%,0.51,,,8b --- 0 out d6,8b end d 6,,2021-04-10,112,134,632195,2021,1.0,2.667,3.0,12.0,1.0,3.0,2.0,2.0,3.0,1.0,6.0,6.75,1.875,2.667,3.0,12.0,1.0,3.0,2.0,2.0,3.0,1.0,6.0,6.75,1.875,2.667,3.0,12.0,1.0,3.0,2.0,2.0,3.0,1.0,6.0,6.75,1.875
5,214,2021-04-17,CHC,,ATL,"W,13-4",8-8,,6,0.2,0.0,0.0,0.0,1.0,1.0,0.0,0,4.15,5.48,3.0,14.0,8.0,2,2,1,0,0,0,0,,0,0,0,0,0,2,0.0,0.0,0.0,0,0,0,0.01,0.001,0.01,0.00%,0.27,,,8t --- 0 out a9,8t 1-- 2 out a9,,2021-04-17,112,144,634462,2021,0.667,3.667,5.0,17.0,1.0,3.0,2.0,2.0,5.0,1.0,8.0,4.909,1.909,3.667,5.0,17.0,1.0,3.0,2.0,2.0,5.0,1.0,8.0,4.909,1.909,3.667,5.0,17.0,1.0,3.0,2.0,2.0,5.0,1.0,8.0,4.909,1.909
6,215,2021-04-20,CHC,,NYM,"W,3-1",7-7,H(2),2,0.2,1.0,0.0,0.0,0.0,1.0,0.0,0,3.6,4.77,3.0,12.0,8.0,2,1,1,1,1,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,1.83,0.038,1.43,0.02%,0.27,,,7t --- 0 out a2,7t 1-- 2 out a2,,2021-04-20,112,121,634411,2021,0.667,4.333,5.0,20.0,1.0,3.0,2.0,3.0,6.0,1.0,8.0,4.154,1.846,4.333,5.0,20.0,1.0,3.0,2.0,3.0,6.0,1.0,8.0,4.154,1.846,4.333,5.0,20.0,1.0,3.0,2.0,3.0,6.0,1.0,8.0,4.154,1.846
7,216,2021-04-21,CHC,,NYM,"W,16-4",5-5,H(3),0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0,3.38,4.3,1.0,3.0,3.0,1,1,0,0,0,0,0,,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0.74,0.021,0.65,0.01%,0.23,,,5t 1-- 2 out a3,5t 3 out a3,,2021-04-21,112,121,634453,2021,0.333,5.0,6.0,23.0,1.0,3.0,2.0,3.0,7.0,1.0,9.0,3.6,1.8,4.333,5.0,19.0,1.0,3.0,2.0,1.0,7.0,1.0,8.0,4.154,1.385,5.0,6.0,23.0,1.0,3.0,2.0,3.0,7.0,1.0,9.0,3.6,1.8
8,217,2021-04-24,CHC,,MIL,"L,3-4",6-6,,2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,2.84,4.28,5.0,25.0,14.0,2,4,3,0,0,0,0,,0,0,0,0,0,4,0.0,0.0,0.0,0,0,0,1.8,0.076,2.11,0.05%,0.51,,,6t --- 0 out tie,6t 3 out tie,,2021-04-24,112,158,634416,2021,1.0,5.333,6.0,24.0,1.0,3.0,2.0,3.0,8.0,1.0,9.0,3.375,1.688,3.667,5.0,17.0,1.0,3.0,2.0,1.0,6.0,1.0,8.0,4.909,1.636,5.333,6.0,24.0,1.0,3.0,2.0,3.0,8.0,1.0,9.0,3.375,1.688
9,218,2021-04-26,CHC,@,ATL,"L,7-8",5-5,L(0-2),1,1.0,2.0,3.0,3.0,1.0,1.0,1.0,0,6.14,6.03,6.0,27.0,17.0,6,1,1,3,1,0,0,,0,0,0,0,0,5,1.0,0.0,0.0,0,0,0,1.39,-0.291,1.19,-0.15%,-2.47,,,5b --- 0 out tie,5b 3 out d3,,2021-04-26,112,144,634402,2021,1.0,6.333,7.0,29.0,1.0,3.0,2.0,4.0,9.0,1.0,10.0,2.842,1.737,3.667,4.0,17.0,0.0,0.0,0.0,2.0,6.0,0.0,4.0,0.0,1.636,6.333,7.0,29.0,1.0,3.0,2.0,4.0,9.0,1.0,10.0,2.842,1.737
10,219,2021-04-27,CHC,@,ATL,"L,0-5",8-8,,0,0.2,3.0,3.0,1.0,2.0,1.0,0.0,0,6.75,6.3,8.0,28.0,14.0,4,3,2,3,2,0,0,,0,0,1,0,0,6,1.0,0.0,0.0,0,0,1,0.23,-0.058,0.19,-0.03%,-3.26,,,8b --- 0 out d2,8b 123 2 out d5,,2021-04-27,112,144,634351,2021,0.667,7.333,9.0,35.0,2.0,6.0,5.0,5.0,10.0,3.0,16.0,6.136,1.909,3.667,4.0,18.0,1.0,3.0,3.0,3.0,5.0,2.0,8.0,7.364,1.909,7.333,9.0,35.0,2.0,6.0,5.0,5.0,10.0,3.0,16.0,6.136,1.909
