Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,1,2024-03-21,LAD,,SDP,"L,11-15",GS-1,L(0-1),99,1.0,4.0,5.0,5.0,1.0,2.0,0.0,1,45.0,5.13,9.0,43,23,5,4,2,3,2,0,0,26,,,0,0,0,6,1.0,1.0,0.0,0,1,0,0.91,-0.359,0.96,-0.23%,-4.48,-7.35,-6.0,1t start tie,1t 3 out d5,,2024-03-21,119,135,746175,2024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,2,2024-03-30,LAD,,STL,"L,5-6",GS-5,,8,5.0,2.0,0.0,0.0,0.0,5.0,0.0,0,7.5,1.8,17.0,68,45,15,9,6,6,4,0,0,68,,,0,0,0,17,1.0,0.0,0.0,0,0,0,0.86,0.289,0.87,0.18%,2.71,20.05,30.0,1t start tie,5t 3 out tie,,2024-03-30,119,138,746168,2024,5.0,1.0,4.0,9.0,0.0,5.0,5.0,1.0,2.0,2.0,7.0,45.0,5.0,1.0,4.0,9.0,0.0,5.0,5.0,1.0,2.0,2.0,7.0,45.0,5.0,1.0,4.0,9.0,0.0,5.0,5.0,1.0,2.0,2.0,7.0,45.0,5.0
3,3,2024-04-06,LAD,@,CHC,"W,4-1",GS-5,W(1-1),6,5.0,3.0,0.0,0.0,2.0,8.0,0.0,0,4.09,1.49,21.0,80,53,16,12,6,5,4,0,0,67,,,0,0,0,19,2.0,0.0,0.0,0,0,0,1.21,0.279,1.36,0.19%,2.73,28.25,45.0,1b start tie,5b 3 out a3,,2024-04-06,119,112,746896,2024,5.0,6.0,6.0,26.0,0.0,5.0,5.0,1.0,7.0,3.0,10.0,7.5,1.167,6.0,6.0,26.0,0.0,5.0,5.0,1.0,7.0,3.0,10.0,7.5,1.167,6.0,6.0,26.0,0.0,5.0,5.0,1.0,7.0,3.0,10.0,7.5,1.167
4,4,2024-04-12,LAD,,SDP,"L,7-8",GS-5,,5,5.0,4.0,3.0,3.0,1.0,6.0,2.0,0,4.5,3.07,19.0,91,60,19,10,5,7,3,1,0,52,,,0,0,0,18,0.0,0.0,0.0,1,0,0,0.69,-0.064,0.87,-0.05%,-0.29,14.25,24.0,1t start tie,5t 3 out a4,,2024-04-12,119,135,746162,2024,5.0,11.0,9.0,47.0,0.0,5.0,5.0,3.0,15.0,5.0,15.0,4.091,1.091,11.0,9.0,47.0,0.0,5.0,5.0,3.0,15.0,5.0,15.0,4.091,1.091,11.0,9.0,47.0,0.0,5.0,5.0,3.0,15.0,5.0,15.0,4.091,1.091
5,5,2024-04-19,LAD,,NYM,"L,4-9",GS-6,,6,6.0,7.0,4.0,3.0,1.0,9.0,1.0,0,4.5,2.99,27.0,99,72,24,16,3,14,8,0,0,52,,,1,0,0,25,2.0,0.0,0.0,0,1,1,0.7,-0.131,0.79,-0.09%,-0.75,20.7,40.0,1t start tie,6t 3 out d2,,2024-04-19,119,121,746160,2024,6.0,16.0,13.0,66.0,2.0,8.0,8.0,4.0,21.0,7.0,25.0,4.5,1.062,16.0,13.0,66.0,2.0,8.0,8.0,4.0,21.0,7.0,25.0,4.5,1.062,16.0,13.0,66.0,2.0,8.0,8.0,4.0,21.0,7.0,25.0,4.5,1.062
6,6,2024-04-25,LAD,@,WSN,"W,2-1",GS-6,W(2-1),5,6.0,4.0,0.0,0.0,1.0,7.0,0.0,0,3.54,2.63,23.0,97,70,26,8,5,10,7,0,0,70,,,0,0,0,22,2.0,0.0,0.0,0,0,0,1.16,0.392,1.28,0.26%,3.05,28.5,49.0,1b start tie,6b 3 out a1,,2024-04-25,119,120,744867,2024,6.0,22.0,20.0,93.0,3.0,12.0,11.0,5.0,30.0,10.0,37.0,4.5,1.136,22.0,20.0,93.0,3.0,12.0,11.0,5.0,30.0,10.0,37.0,4.5,1.136,22.0,20.0,93.0,3.0,12.0,11.0,5.0,30.0,10.0,37.0,4.5,1.136
7,7,2024-05-01,LAD,@,ARI,"W,8-0",GS-6,W(3-1),5,6.0,5.0,0.0,0.0,2.0,5.0,0.0,0,2.91,2.6,24.0,94,63,14,11,11,6,2,1,0,65,,,0,0,0,22,1.0,0.0,0.0,1,0,0,0.49,0.16,0.63,0.12%,3.15,23.3,43.0,1b start tie,6b 3 out a6,,2024-05-01,119,109,747207,2024,6.0,28.0,24.0,116.0,3.0,12.0,11.0,6.0,37.0,12.0,43.0,3.536,1.071,27.0,20.0,107.0,3.0,7.0,6.0,5.0,35.0,10.0,36.0,2.0,0.926,28.0,24.0,116.0,3.0,12.0,11.0,6.0,37.0,12.0,43.0,3.536,1.071
8,8,2024-05-07,LAD,,MIA,"W,8-2",GS-8,W(4-1),5,8.0,5.0,2.0,2.0,0.0,5.0,2.0,0,2.79,3.08,29.0,97,73,15,16,13,11,5,3,0,69,,,0,0,0,29,1.0,0.0,0.0,0,0,0,0.32,0.086,0.39,0.06%,2.33,25.0,43.0,1t start tie,8t 3 out a6,,2024-05-07,119,146,746147,2024,8.0,34.0,29.0,140.0,3.0,12.0,11.0,8.0,42.0,13.0,49.0,2.912,1.088,28.0,23.0,114.0,3.0,7.0,6.0,7.0,35.0,10.0,39.0,1.929,1.071,34.0,29.0,140.0,3.0,12.0,11.0,8.0,42.0,13.0,49.0,2.912,1.088
9,9,2024-05-13,LAD,@,SFG,"W,6-4",GS-6,,5,5.2,5.0,4.0,4.0,2.0,6.0,1.0,0,3.21,3.24,24.0,84,55,16,7,8,8,2,2,0,47,,,0,0,0,22,1.0,0.0,0.0,0,0,0,1.04,-0.261,1.33,-0.20%,-1.39,12.55,23.0,1b start a 1,6b 12- 2 out d1,,2024-05-13,119,137,745343,2024,5.667,42.0,34.0,169.0,5.0,14.0,13.0,8.0,47.0,16.0,61.0,2.786,1.0,31.0,25.0,122.0,5.0,9.0,8.0,5.0,32.0,11.0,46.0,2.323,0.968,42.0,34.0,169.0,5.0,14.0,13.0,8.0,47.0,16.0,61.0,2.786,1.0
10,10,2024-05-20,LAD,,ARI,"W,6-4",GS-7,W(5-1),6,6.1,7.0,2.0,2.0,1.0,8.0,0.0,0,3.17,2.98,27.0,100,69,17,13,9,9,5,0,0,58,,,0,0,0,26,2.0,0.0,0.0,0,0,0,0.75,0.09,0.93,0.07%,1.23,25.45,47.0,1t start tie,7t 1-- 1 out a4,,2024-05-20,119,109,746146,2024,6.333,47.667,39.0,193.0,6.0,18.0,17.0,10.0,53.0,18.0,70.0,3.21,1.028,31.667,26.0,127.0,4.0,10.0,9.0,6.0,32.0,11.0,45.0,2.558,1.011,47.667,39.0,193.0,6.0,18.0,17.0,10.0,53.0,18.0,70.0,3.21,1.028
