Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,35,2021-04-01,MIL,,MIN,"W,6-5",7-7,,99,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0,18.0,16.17,5.0,18.0,12.0,5,1,3,2,1,0,0,,0,0,0,0,0,5,1.0,0.0,0.0,0,0,0,0.61,-0.181,0.55,-0.10%,-1.49,,,7t --- 0 out d1,7t 3 out d3,,2021-04-01,158,142,634638,2021,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,36,2021-04-04,MIL,,MIN,"L,2-8",9-GF,,2,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0,9.0,7.67,3.0,10.0,7.0,4,2,1,0,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.01,0.001,0.01,0.00%,0.51,,,9t --- 0 out d6,9t end d 6,,2021-04-04,158,142,634597,2021,1.0,1.0,2.0,5.0,1.0,2.0,2.0,0.0,0.0,2.0,6.0,18.0,2.0,1.0,2.0,5.0,1.0,2.0,2.0,0.0,0.0,2.0,6.0,18.0,2.0,1.0,2.0,5.0,1.0,2.0,2.0,0.0,0.0,2.0,6.0,18.0,2.0
3,37,2021-04-05,MIL,@,CHC,"L,3-5",6-6,,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,6.0,8.17,4.0,18.0,8.0,4,0,1,1,0,0,0,,0,0,0,0,0,2,0.0,0.0,0.0,1,0,0,0.26,0.01,0.27,0.01%,0.51,,,6b --- 0 out d4,6b 3 out d4,,2021-04-05,158,112,634566,2021,1.0,2.0,2.0,8.0,1.0,2.0,2.0,0.0,2.0,2.0,6.0,9.0,1.0,2.0,2.0,8.0,1.0,2.0,2.0,0.0,2.0,2.0,6.0,9.0,1.0,2.0,2.0,8.0,1.0,2.0,2.0,0.0,2.0,2.0,6.0,9.0,1.0
4,38,2021-04-08,MIL,@,STL,"L,1-3",7-7,BS(1),2,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0,6.75,7.67,7.0,26.0,16.0,3,3,2,4,3,0,0,,0,0,0,0,0,6,1.0,0.0,1.0,0,0,0,3.07,-0.148,3.32,-0.10%,-0.52,,,7b --- 0 out a1,7b 3 out tie,,2021-04-08,158,138,634568,2021,1.0,3.0,2.0,12.0,1.0,2.0,2.0,1.0,2.0,2.0,6.0,6.0,1.0,3.0,2.0,12.0,1.0,2.0,2.0,1.0,2.0,2.0,6.0,6.0,1.0,3.0,2.0,12.0,1.0,2.0,2.0,1.0,2.0,2.0,6.0,6.0,1.0
5,39,2021-04-11,MIL,@,STL,"W,9-3",6-6,,2,1.0,2.0,2.0,2.0,1.0,0.0,0.0,1,9.0,7.97,6.0,,,2,1,2,2,0,0,0,,0,0,0,0,0,4,1.0,0.0,0.0,0,0,0,1.01,-0.026,1.08,-0.02%,-1.52,,,6b --- 0 out a6,6b 3 out a4,,2021-04-11,158,138,632196,2021,1.0,4.0,5.0,19.0,1.0,3.0,3.0,2.0,2.0,3.0,10.0,6.75,1.75,4.0,5.0,19.0,1.0,3.0,3.0,2.0,2.0,3.0,10.0,6.75,1.75,4.0,5.0,19.0,1.0,3.0,3.0,2.0,2.0,3.0,10.0,6.75,1.75
6,40,2021-04-17,MIL,,PIT,"W,7-1",8-8,,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.5,7.17,4.0,13.0,7.0,2,0,3,1,0,0,0,,0,0,0,0,0,4,0.0,0.0,0.0,0,0,1,0.18,0.006,0.21,0.00%,0.51,,,8t --- 0 out a6,8t 3 out a6,,2021-04-17,158,134,634473,2021,1.0,5.0,7.0,25.0,1.0,5.0,5.0,3.0,2.0,4.0,13.0,9.0,2.0,5.0,7.0,25.0,1.0,5.0,5.0,3.0,2.0,4.0,13.0,9.0,2.0,5.0,7.0,25.0,1.0,5.0,5.0,3.0,2.0,4.0,13.0,9.0,2.0
7,41,2021-04-20,MIL,@,SDP,"W,6-0",7-7,,2,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0,6.43,6.31,5.0,14.0,11.0,5,1,1,3,1,2,0,,0,0,0,0,0,5,0.0,0.0,0.0,0,0,0,0.39,0.018,0.41,0.01%,0.47,,,7b --- 0 out a5,7b 3 out a5,,2021-04-20,158,135,634392,2021,1.0,6.0,7.0,29.0,1.0,5.0,5.0,3.0,2.0,4.0,13.0,7.5,1.667,5.0,5.0,24.0,0.0,3.0,3.0,3.0,2.0,2.0,7.0,5.4,1.6,6.0,7.0,29.0,1.0,5.0,5.0,3.0,2.0,4.0,13.0,7.5,1.667
8,42,2021-04-23,MIL,@,CHC,"L,2-15",7-7,,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,5.63,5.92,3.0,11.0,7.0,1,0,3,0,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.00%,0.51,,,7b --- 0 out d13,7b 3 out d13,,2021-04-23,158,112,634426,2021,1.0,7.0,9.0,34.0,1.0,5.0,5.0,3.0,3.0,4.0,15.0,6.429,1.714,5.0,7.0,26.0,0.0,3.0,3.0,3.0,1.0,2.0,9.0,5.4,2.0,7.0,9.0,34.0,1.0,5.0,5.0,3.0,3.0,4.0,15.0,6.429,1.714
9,43,2021-04-25,MIL,@,CHC,"W,6-0",9-GF,,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,5.0,5.61,4.0,12.0,8.0,2,0,2,2,1,0,0,,0,0,0,0,0,4,1.0,0.0,0.0,0,0,0,0.06,0.003,0.09,0.00%,0.51,,,9b --- 0 out a6,9b end a 6,,2021-04-25,158,112,634400,2021,1.0,8.0,10.0,37.0,1.0,5.0,5.0,3.0,3.0,4.0,16.0,5.625,1.625,5.0,8.0,25.0,0.0,3.0,3.0,2.0,1.0,2.0,10.0,5.4,2.0,8.0,10.0,37.0,1.0,5.0,5.0,3.0,3.0,4.0,16.0,5.625,1.625
10,44,2021-04-28,MIL,,MIA,"L,2-6",4-5,,2,2.0,3.0,2.0,2.0,1.0,1.0,1.0,0,5.73,6.44,10.0,34.0,18.0,8,1,5,3,1,0,0,,2,2,1,0,0,9,0.0,0.0,1.0,0,0,0,1.07,-0.22,1.28,-0.16%,-1.99,,,4t 12- 0 out tie,5t 3 out d4,,2021-04-28,158,146,634317,2021,2.0,9.0,11.0,41.0,1.0,5.0,5.0,3.0,3.0,5.0,18.0,5.0,1.556,5.0,6.0,22.0,0.0,2.0,2.0,1.0,1.0,2.0,8.0,3.6,1.4,9.0,11.0,41.0,1.0,5.0,5.0,3.0,3.0,5.0,18.0,5.0,1.556
